gene,logFC,AveExpr,t,P.Value,padj,B
MED7,1.2581434590270033,2.993700351395864,9.389385462048304,7.390670113524861e-11,2.589359664173402e-7,14.701502981764635
COX7B,1.2439166591398572,5.668679514747414,8.30442153872943,1.3261889250559824e-9,1.4017816937841734e-6,11.953346072373323
NDUFB6,1.1670662421124427,3.905427835280946,8.206569874165204,1.7333419969327543e-9,1.6812782981491879e-6,11.697406199431795
ATP5EP2,1.9247725806476046,6.748373983017035,8.181706421039108,1.8557155608710683e-9,1.6812782981491879e-6,11.63216825489022
REEP3,1.0571587886124594,4.498633796707353,7.909080564059338,3.940062668314277e-9,2.7445255853318854e-6,10.911477433770417
THOC7,0.9057713415890524,4.885877670386538,7.722833004957823,6.623522512469453e-9,2.7445255853318854e-6,10.413620063707276
PPCS,1.0273534921865946,5.797388716819473,7.722309273163543,6.633241731062883e-9,2.7445255853318854e-6,10.412213943242817
NDUFC2,1.2942415800939036,3.816510234114977,7.65865051329197,7.929207981264946e-9,2.793724278732349e-6,10.241050250164287
ITM2B,1.0669040024472423,9.21144189166155,7.56312784897617,1.0372895572608514e-8,3.2090196937308877e-6,9.983284892116869
TXNDC12,1.180698703274425,6.022063166850628,7.411702755713039,1.591271573436458e-8,4.403535353725988e-6,9.572443725949908
PRDX4,1.1327075875740873,3.781232842477773,7.379847120580649,1.74171726667318e-8,4.508559553159716e-6,9.48567504371198
CHIC2,1.1823503219040425,4.6610647047423,7.3611379709127025,1.8367143887038658e-8,4.615787019666561e-6,9.434660956899322
COMMD8,1.1940245000829373,4.101580816813709,7.35744391805794,1.8560831304495555e-8,4.615787019666561e-6,9.42458372021298
BTF3L4,0.7396928347663334,5.064107908536585,7.303496160408957,2.1637191736111546e-8,5.08233592557109e-6,9.277241286152561
USMG5,1.4986661392913605,4.97016344125865,7.286532326627994,2.270761572088348e-8,5.23678905097611e-6,9.230842385449535
CTSC,0.9591997765972592,7.003627005028258,7.256854423787754,2.4710999532050235e-8,5.312446068890257e-6,9.149591906675465
MRPS18C,1.1233840759994098,2.5515027539223434,7.23957658923253,2.5958839367471324e-8,5.397736369459119e-6,9.102245110363723
ATP6V1E1,0.8138939205918655,6.175774071651087,7.1898133002396865,2.992128602329785e-8,5.7503271502956054e-6,8.965696655074996
MRPS11,1.1248203634649974,4.005459123311328,7.162601496316221,3.234166639888956e-8,6.122711889604704e-6,8.890916075317449
CCR1,2.4986199536043894,6.179074928023938,7.124813035061029,3.603528637388681e-8,6.576545260063537e-6,8.78693973389824
HSBP1,1.1691545808056976,5.821142816179537,7.122543945689803,3.62702104537507e-8,6.576545260063537e-6,8.780691475552489
ORMDL2,1.304119680082562,4.03728012651251,7.121266873540111,3.640310969997187e-8,6.576545260063537e-6,8.777174640154035
LOC644936,2.017993937504638,4.61219675098237,7.117358646005347,3.681289131697502e-8,6.576545260063537e-6,8.76641100054744
MED8,0.9594104733411588,4.429491802870258,7.10707017505972,3.791411002302181e-8,6.639461855880496e-6,8.73806793644388
RAB11A,1.1848930030432014,6.4785104027135825,7.078778616728725,4.111728194201104e-8,7.047724380438757e-6,8.660072719970335
FAM120AOS,0.8199654255058091,4.689590358217524,7.060995591681256,4.326949661448913e-8,7.279549792074851e-6,8.61100565994032
LY96,1.973321528824046,4.408915372510942,7.058203563140042,4.3617611494614373e-8,7.279549792074851e-6,8.603298936576596
YIPF5,1.4396519932671972,4.987505090125332,7.051084338440633,4.451812730666093e-8,7.333349698151783e-6,8.58364443518522
BLOC1S4,1.4210499785823878,4.412042477234795,7.012082389626456,4.979606103484327e-8,7.797694298345086e-6,8.475878245039791
STARD3NL,0.9485234792498339,4.870252269692862,6.9759002222884705,5.525746880302179e-8,7.953980533311443e-6,8.37576734204779
H2AFZ,0.7835504914320022,6.870420892976345,6.9685564130062945,5.643789403957977e-8,7.953980533311443e-6,8.355432270846476
SARNP,1.1747205988384641,5.121623174703387,6.963565700127457,5.725461084208222e-8,7.98041191121946e-6,8.341609923310404
NDUFS8,0.8490094574328113,5.233350728068037,6.949408930590299,5.963695993593511e-8,8.04123502651838e-6,8.30238789005742
EDARADD,0.9994232476092001,4.399601854345419,6.948257128126237,5.983514404765701e-8,8.04123502651838e-6,8.29919590497342
TM2D2,1.3269235369731758,4.390658300243638,6.9388959165268655,6.14707751172105e-8,8.074286850355409e-6,8.273248443302112
ATP5F1,0.7662235010140489,6.474765185940068,6.914057189837744,6.603325885887898e-8,8.21837304414935e-6,8.20435930158802
FADD,1.3159425273868852,3.94084547575715,6.913764090768778,6.60890925972275e-8,8.21837304414935e-6,8.20354605018441
LAMP2,0.7920577102763743,6.328324524832791,6.9040614582807525,6.796458021013774e-8,8.350204126132014e-6,8.176619874415211
MGST3,1.3601425458142375,5.113918767447468,6.889661796628625,7.08476538948699e-8,8.558396590500283e-6,8.13664226874993
PRKAR1A,0.7898498099124218,7.230082736790253,6.855848606688136,7.811334861410702e-8,9.173978831679014e-6,8.042690293020751
B2M,1.8752927426311232,13.12329195459238,6.8346405188350525,8.305034530869496e-8,9.405451606209704e-6,7.983707987591867
CPQ,0.8947472019188055,4.769284093555185,6.7915573462896575,9.407266571352585e-8,1.0198441811199673e-5,7.8637614901802255
UQCRFS1,1.053378175994702,6.003201935944147,6.7770650414095615,9.810352944873507e-8,1.0527749054817773e-5,7.823376229427209
RAP1A,0.6757131269777894,7.010789426273232,6.763720006641124,1.0196948661573238e-7,1.0689098911024376e-5,7.786171464884017
SDHAF2,1.1425332162072002,5.4691428835958655,6.736738046342777,1.1026268281374188e-7,1.1188574950476015e-5,7.710900143471568
HIGD1A,1.008077607668157,4.678291771936871,6.728811771479221,1.1282601746419566e-7,1.1254425494976314e-5,7.688776188170504
CYP1B1,2.5188472393896393,5.10566364872128,6.7171300936350375,1.1671397871203008e-7,1.138769312294915e-5,7.656160160280242
PSMA6,1.0832637064020936,5.943545460802542,6.702575349309498,1.2174807620007466e-7,1.1625431330918686e-5,7.615505900093179
THAP1,0.9382655118479102,3.65608853789014,6.7021449901319725,1.2190021814980963e-7,1.1625431330918686e-5,7.614303546237014
FARS2,1.1900737002668433,4.115601526079097,6.698206693009505,1.2330144537677214e-7,1.1671309948947595e-5,7.6032998479190645
MDH2,0.7775076550745494,6.6028710017864825,6.68981186125481,1.2634281368384143e-7,1.1783325358572387e-5,7.579840078321297
SCFD2,1.2126644053154594,4.182755723799982,6.678260126563119,1.3065214221218436e-7,1.192224296272911e-5,7.547548433620754
SNAPIN,1.2541465257183884,4.00590077877749,6.668494292580538,1.3441083652650394e-7,1.2050221533617824e-5,7.520240324841742
ARL6IP5,1.6209509733474068,7.848557244486312,6.665881046009868,1.3543501687603946e-7,1.2050221533617824e-5,7.512931573973441
RAP2B,1.0967941060486455,6.8766878659222925,6.65748578196497,1.3877889815756653e-7,1.2050221533617824e-5,7.489447773901366
S100A10,1.5366737159745147,8.532771794460157,6.655320245849442,1.3965488532338537e-7,1.2050221533617824e-5,7.483389239328737
LIMS1,1.5129950866522355,6.209567407081843,6.641809150321854,1.4524777941689143e-7,1.231303687820957e-5,7.445580400612073
ECHS1,0.7964658889329921,5.342173163303264,6.631920322075073,1.4948407412603786e-7,1.231303687820957e-5,7.417898435518898
GSTO1,2.0339572233000767,6.928664255581859,6.631822769761811,1.4952648011824504e-7,1.231303687820957e-5,7.417625315815123
EIF3G,0.8414387300079568,7.775020079388578,6.6092902282301145,1.5965399171814842e-7,1.257795795622978e-5,7.354519673224994
GLTP,1.0442548100909448,5.915819710457732,6.595201159937583,1.6633549479226105e-7,1.2926965018540727e-5,7.31504041563247
RBMX2,0.7640669689230195,4.365201911737359,6.594273653138711,1.6678512370024446e-7,1.2926965018540727e-5,7.312440874208999
NOP10,1.4170303837591935,5.456590414718203,6.593540385862674,1.671414587701576e-7,1.2926965018540727e-5,7.310385683233186
VIMP,0.9082643800446406,5.2424164861542195,6.585842623461526,1.7092891238529669e-7,1.3092323166944625e-5,7.288807928652375
CASP4,0.8607346905037786,6.8731530852426905,6.583083042356841,1.7230767094512021e-7,1.3092323166944625e-5,7.281071347853425
ENY2,0.7616570135282381,5.551849687070081,6.580070416961538,1.7382567385755867e-7,1.3092323166944625e-5,7.272624662197719
PSMB1,1.2156803280182134,7.099974427306533,6.578857887304143,1.744404458541187e-7,1.3092323166944625e-5,7.2692248152916985
RBKS,2.192628396741087,1.0371816303970085,6.574706215463091,1.765620749109953e-7,1.3121658643294906e-5,7.2575829468297695
SMIM7,0.8166760480268103,4.84789839781249,6.574004247951604,1.7692336620497303e-7,1.3121658643294906e-5,7.255614397939709
MPC2,1.3203834320092287,5.035933656897888,6.5706947898893535,1.786367650273441e-7,1.3121658643294906e-5,7.246333063418696
PSMD10,1.2030183130321463,4.6434078144673006,6.554378747644479,1.8733197191937298e-7,1.3577821324716153e-5,7.200562432242874
PSMB3,1.065904612783198,6.215090418431196,6.546830751429246,1.9149774083493421e-7,1.3664916573569921e-5,7.179381410751326
CCDC23,1.3988435772919567,4.128105888305319,6.544518556853746,1.9279245561795493e-7,1.3664916573569921e-5,7.172892103179215
UQCR11,1.182472356353146,6.0694972150512285,6.539733945677305,1.9549971480985534e-7,1.3776213236934473e-5,7.159462512968846
GTF2H5,1.3867276177915469,4.671862578764837,6.534888133815819,1.982806989952007e-7,1.3877864413610979e-5,7.145859357770238
CISD3,1.0046124941715744,3.799583412671078,6.530998490443773,2.0054179093152168e-7,1.3877864413610979e-5,7.134939061912993
COX5A,1.2737135272260458,6.198923732223663,6.524125147053399,2.0460112309565224e-7,1.3877864413610979e-5,7.1156391255250515
RGS10,1.5389728208733613,7.077704125089444,6.510283538131319,2.1302915298430987e-7,1.4146920295565375e-5,7.076761897437176
PSMB7,1.1043365620385255,5.316316677982853,6.481500327488493,2.3169341753947003e-7,1.491776298513014e-5,6.995872161554951
RFK,1.0378441073110145,3.741528703219683,6.478678491266486,2.3360975750035907e-7,1.4965182647144215e-5,6.987938645094076
SUMO1,0.9729066835270721,5.965025926275323,6.476705150155111,2.3495936454530838e-7,1.4976002914033625e-5,6.9823903045896465
