"","TB_status_limma_logFC","TB_status_limma_AveExpr","TB_status_limma_t","TB_status_limma_P.Value","TB_status_limma_padj","TB_status_limma_B"
"LOC100505984",-14.3000793252758,9.80226533923912,-5.33624205997884,4.00658935353918e-05,0.339334164167853,0.970911183806321
"LOC101928894",-13.0066877635485,10.7914082996664,-5.2231029481543,5.12845854796349e-05,0.339334164167853,0.82037152150986
"GPR110",-10.6270684031923,8.09244470627435,-4.59242639644392,0.000207584792204699,0.339334164167853,-0.0571935447314313
"PARVA",-13.0528178165035,17.1510300446365,-4.58138142064106,0.000212790176686045,0.339334164167853,-0.0731027387791965
"ORMDL3",6.27546928177688,78.1615928830376,4.53040185540167,0.000238583865234033,0.339334164167853,-0.146754077807928
"LOC100420587",-12.7168102274165,10.5547498848004,-4.52417843074538,0.000241942281231131,0.339334164167853,-0.155769728118931
"TMEM178B",-12.0180588549642,24.8109056381188,-4.48292884506866,0.000265444768307876,0.339334164167853,-0.215659152072032
"FOLH1",-9.71100106353958,6.07966425408768,-4.46778021130932,0.000274644490631736,0.339334164167853,-0.237710360519552
"NDP",-9.49237421257506,8.52105069937407,-4.45968058887069,0.000279694948737188,0.339334164167853,-0.249513090133135
"GFRA2",-11.8320592901222,11.0340000058236,-4.40308961534391,0.000317701382447663,0.339334164167853,-0.332215705358823
"LOC102723927",-5.36056160510917,40.630460060046,-4.36543596196508,0.00034584017847952,0.339334164167853,-0.38746957237878
"NOTCH1",7.47062793237621,78.014354114248,4.36100575969101,0.000349312201303431,0.339334164167853,-0.393982205090838
"ETV1",-15.8699782109817,15.5690299995516,-4.29376658305598,0.000406540901414569,0.339334164167853,-0.493121044523267
"AKR1C3",9.18265500313037,73.8730889367653,4.27933646867791,0.000420005991985854,0.339334164167853,-0.514467455449533
"PON3",-8.79531840734818,6.59111620021834,-4.23148253850687,0.000467959899563067,0.339334164167853,-0.585429737485417
"SLC13A1",-13.7055435045662,10.6056162004456,-4.22076691730961,0.000479432300902598,0.339334164167853,-0.601355405160736
"TMEM92",-6.59053764140352,3.29526882070176,-4.17279208066195,0.000534366637604626,0.339334164167853,-0.67281079934181
"MAK",-4.85062300985103,58.8616863395403,-4.17113926542177,0.000536368105235758,0.339334164167853,-0.675276985919499
"PISRT1",-11.1374356024694,8.80420714779193,-4.08211961497408,0.000656072865272563,0.339334164167853,-0.808521034291351
"TIMM13",7.19438099116979,80.2392773204685,4.07860197055524,0.000661318567252838,0.339334164167853,-0.813802494473417
"LOC100996634",-12.1043551354682,13.0047802346223,-4.07661912549878,0.000664294019548734,0.339334164167853,-0.81678010379246
"MYO3B",-11.0940659722357,18.5518683141047,-4.06906170367962,0.000675758348747611,0.339334164167853,-0.828132439573658
"DDX53",-11.1971368350749,7.69467891595075,-4.05130057755529,0.000703488771265767,0.339334164167853,-0.854833604117567
"MEN1",5.80015065767511,74.644775167152,4.04590006851562,0.000712144732703911,0.339334164167853,-0.86295833277553
"NDST4",-7.57267962566024,5.33231632496353,-4.04451784971036,0.00071437727196362,0.339334164167853,-0.865038231182773
"PLA2G1B",-9.12343543313899,9.24505902353328,-4.01566877362983,0.000762609163208735,0.339334164167853,-0.908489001958243
"TRIM71",-9.75664018722819,8.8263314711887,-4.00701363399946,0.000777706125721878,0.339334164167853,-0.921539519998472
"CLRN1",-13.6444243390344,10.2456608783065,-4.00440372204974,0.000782317024508396,0.339334164167853,-0.92547614051413
"EDNRB-AS1",-9.57029181969213,27.730159320254,-4.00425305574796,0.000782584039312514,0.339334164167853,-0.925703414085319
"AMER2",-12.5743832873159,15.0171213459526,-3.99908027946676,0.000791806951598961,0.339334164167853,-0.933507534666361
"DEPTOR",-8.60863278793941,33.2931696037859,-3.98037403260272,0.000826077708101028,0.339334164167853,-0.961748935950387
