Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ribosome	18/153	5.727084984832596E-8	1.7639421753284398E-5	0	0	4.696489374192791	78.31618678559374	RPL30;RPS5;MRPL18;RPLP1;RPL12;RPL13A;MRPL14;MRPL36;MRPL15;MRPS6;MRPS18C;RPS25;RPS16;RPS15A;RPL36AL;RPS29;RPL37A;RPS12
Proteasome	8/45	1.3985069306419545E-5	0.00215370067318861	0	0	7.0969172765579955	79.32593675265888	PSMB7;PSMD7;PSMB5;PSMD14;PSMB3;PSMA2;PSMB1;PSMD1
Huntington disease	15/193	1.1061801345963623E-4	0.01135678271518932	0	0	3.1026030839874656	28.262938201724065	NDUFA6;NDUFB11;NDUFA2;NDUFA1;CLTA;UQCR10;COX5B;SOD1;NDUFS5;NDUFAB1;TBPL1;CYCS;POLR2I;POLR2K;SLC25A6
Oxidative phosphorylation	11/133	5.281319364515099E-4	0.04066615910676626	0	0	3.301667342007714	24.914924642182378	ATP6V0E1;NDUFA6;NDUFB11;NDUFS5;NDUFA2;NDUFAB1;NDUFA1;UQCR10;COX5B;ATP6V1D;ATP6V1F
Fluid shear stress and atherosclerosis	11/139	7.649412920665119E-4	0.04712038359129713	0	0	3.159149327244791	22.66914406130827	NPPC;GSTM3;NQO1;HSP90AA1;NCF1;CTSL;PDGFA;TXN;CALM2;NFKB1;MAP2K6
Parkinson disease	11/142	9.129421995715236E-4	0.046864366244671544	0	0	3.092406735824126	21.64325373585546	NDUFA6;UBB;NDUFB11;NDUFS5;NDUFA2;NDUFAB1;NDUFA1;CYCS;UQCR10;COX5B;SLC25A6
RNA transport	12/165	9.478769058960579E-4	0.04170658385942655	0	0	2.9032843404100888	20.210592372320644	EIF5B;EIF2B2;EIF5;TGS1;EIF4A3;EIF3J;UPF3B;SAP18;PHAX;GEMIN6;EIF2S1;RAN
Non-alcoholic fatty liver disease (NAFLD)	11/149	0.001352047811139389	0.05205384072886648	0	0	2.947125882463262	19.469111260940235	NDUFA6;NDUFB11;NDUFS5;NDUFA2;NDUFAB1;NDUFA1;CYCS;UQCR10;COX5B;EIF2S1;NFKB1
Thermogenesis	13/231	0.005683793363672427	0.19451203955678972	0	0	2.2465890729363784	11.615171994494741	COA3;NDUFA6;COX16;NDUFB11;NDUFA2;NDUFA1;UQCR10;COX5B;RHEB;NDUFAF4;NDUFS5;NDUFAB1;COX14
Nucleotide excision repair	5/47	0.006238234179494448	0.19213761272842897	0	0	4.24682549794029	21.561379881529373	PCNA;CCNH;CETN2;RPA3;RBX1
Spliceosome	9/134	0.006676333892956367	0.1869373490027783	0	0	2.681204754669765	13.430654018703839	SF3B5;PPIL1;BUD31;EIF4A3;SNRPG;SNRPB2;HSPA2;SRSF7;BCAS2
Mineral absorption	5/51	0.008807444192553625	0.22605773427554307	0	0	3.913741145160659	18.520441407866322	MT1G;MT1X;ATP1B3;ATP1B2;MT1E
Alzheimer disease	10/171	0.01117207005409521	0.2646921212816404	0	0	2.3345122620256564	10.492088012075666	NDUFA6;NDUFB11;NDUFS5;NDUFA2;NDUFAB1;NDUFA1;CYCS;UQCR10;COX5B;CALM2
Osteoclast differentiation	8/127	0.014713266893859682	0.323691871664913	0	0	2.51465572791425	10.609346805420737	SPI1;NCF1;BTK;LILRA1;LILRA2;NFKB1;MAP2K6;LILRA5
Human immunodeficiency virus 1 infection	11/212	0.018260447036931866	0.37494784582500096	0	0	2.0713290400331412	8.291567270347668	BST2;CCNB1;GNG4;CYCS;B2M;CALM2;APOBEC3A;NFKB1;SKP1;RBX1;MAP2K6
Rheumatoid arthritis	6/91	0.026779546348732964	0.5155062672131095	0	0	2.6320984404816743	9.528503991025634	ATP6V0E1;CTSL;ITGB2;LTB;ATP6V1D;ATP6V1F
Epithelial cell signaling in Helicobacter pylori infection	5/68	0.02774143507655984	0.5026095296223784	0	0	2.9353058588704943	10.522567019843768	ATP6V0E1;MET;ATP6V1D;NFKB1;ATP6V1F
Collecting duct acid secretion	3/27	0.02926722705554376	0.5007947740615265	0	0	4.435573297848747	15.663281967215626	ATP6V0E1;ATP6V1D;ATP6V1F
Arginine and proline metabolism	4/49	0.033979268456630206	0.5508218255074792	0	0	3.258788545358263	11.021238149384395	ALDH4A1;ARG2;OAT;GOT1
Vibrio cholerae infection	4/50	0.03622904630541309	0.5579273131033615	0	0	3.193612774451098	10.59606897488552	SLC12A2;ATP6V0E1;ATP6V1D;ATP6V1F
Circadian rhythm	3/31	0.04181440959423541	0.6132780073821194	0	0	3.8632412594166508	12.26391451312094	NR1D1;SKP1;RBX1
Complement and coagulation cascades	5/79	0.048162466689364004	0.6742745336510961	0	0	2.5265923848505523	7.663597515501219	SERPINB2;ITGB2;CD59;VSIG4;TFPI
Legionellosis	4/55	0.04873844210875919	0.652671311717297	0	0	2.9032843404100888	8.771655799951775	ITGB2;CYCS;HSPA2;NFKB1
Glutathione metabolism	4/56	0.05149197896380867	0.6608137300355447	0	0	2.85143997718848	8.458309756823576	GSTM3;GGT7;CHAC2;GCLM
Pyrimidine metabolism	4/57	0.05432887517403527	0.6693317421441145	0	0	2.8014147144307873	8.159679020125518	CDA;PNP;NME7;DCTPP1
Epstein-Barr virus infection	9/201	0.06691357117551984	0.7926684585407735	0	0	1.7874698364465098	4.833950263275883	PSMD7;PSMD14;BTK;PSMD1;CYCS;VIM;B2M;NFKB1;MAP2K6
Rap1 signaling pathway	9/206	0.07543819435839018	0.8605542171253397	0	0	1.7440846462414976	4.507484871369092	PDGFRB;RALA;FGF18;ITGB2;FPR1;PDGFA;CALM2;MET;MAP2K6
Salivary secretion	5/90	0.07556673765580409	0.831234114213845	0	0	2.2177866489243736	5.727964228683173	SLC12A2;BST1;ATP1B3;ATP1B2;CALM2
TGF-beta signaling pathway	5/90	0.07556673765580409	0.8025708688961262	0	0	2.2177866489243736	5.727964228683173	PPP2CB;BAMBI;ID3;SKP1;RBX1
Pathways in cancer	19/530	0.07601247715769265	0.7803947654856445	0	0	1.4311000640228977	3.6877413325666315	PDGFRB;GSTM3;NQO1;HSP90AA1;RALA;SPI1;TXNRD1;PDGFA;NFKB1;RBX1;RASSF1;RPS6KA5;GNG4;FGF18;CKS2;CYCS;MET;CALM2;SKP1
mRNA surveillance pathway	5/91	0.07840320422590873	0.778973771018706	0	0	2.1934153670680616	5.58419530660111	PPP2CB;EIF4A3;SAP18;UPF3B;PELO
