Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Infectious disease_Homo sapiens_R-HSA-5663205	37/348	1.286816853720281E-13	1.9688297861920298E-10	0	0	4.244384793631128	125.97942964917887	PSMD10;RPL30;PSMD14;CCNH;RPLP1;RPL12;GTF2B;CLTA;PSMB7;PSMD7;RPS16;RPS15A;PSMB5;UBB;PSMB3;PSMB1;PSMD1;TCEB1;KPNA2;POLR2I;B2M;POLR2K;RPS12;SKP1;MAP2K6;HSP90AA1;RPS5;TXNRD1;RPL13A;RBX1;RPS25;RPS29;PSMA2;CHMP2B;RPL37A;RAN;SLC25A6
Gene Expression_Homo sapiens_R-HSA-74160	87/1631	1.0655834274639411E-11	8.15171322009915E-9	0	0	2.1294015280291654	53.79914552859698	RPL30;TP53RK;PDCD7;CCNH;RPLP1;GTF2B;EIF4A3;PHAX;NR3C1;EEF1B2;PSMD7;RPS16;PSMD1;BCAS2;ZNF385A;RPS12;EIF5B;HSP90AA1;IMP3;H2AFZ;RPS5;RPL13A;RRAGA;RRAGC;PSMA2;SARNP;MED20;RPL37A;SNRPG;GARS;GEMIN6;DNAJC8;SRSF7;HIST1H2BD;YAP1;PSMD10;SLBP;SF3B5;PCNA;PSMD14;COX16;RPL12;HIST1H2BK;TXN;COX5B;PSMB7;PPP2CB;CCNB1;PSMB5;RPS15A;UBB;PSMB3;PRDX1;ZNF704;PERP;TGS1;PSMB1;MED31;ZNF547;SAP18;SNRPB2;TCEB1;COX14;POLR2I;ZNF267;POLR2K;NOP58;TRMT10C;EIF2B2;TXNRD1;LSM1;UPF3B;NR1D1;EIF2S1;RPS25;EIF5;RHEB;RPS29;RPA3;AGO2;EIF3J;SRPRB;CYCS;RAD1;DCP1A;NOP10;RAN
Vif-mediated degradation of APOBEC3G_Homo sapiens_R-HSA-180585	12/53	5.6185990094057575E-9	2.865485494796936E-6	0	0	9.038526720144617	171.7065505881865	PSMD10;PSMB7;PSMD7;PSMB5;PSMD14;UBB;PSMA2;PSMB3;PSMB1;PSMD1;TCEB1;RBX1
Antigen processing-Cross presentation_Homo sapiens_R-HSA-1236975	14/82	1.4785994925662097E-8	5.655643059065752E-6	0	0	6.815637018645636	122.88310963534205	PSMD10;NCF1;PSMD14;CTSV;PSMB7;PSMD7;PSMB5;UBB;CTSL;PSMA2;PSMB3;PSMB1;PSMD1;B2M
G1/S Transition_Homo sapiens_R-HSA-69206	16/112	1.97396488598391E-8	6.040332551110764E-6	0	0	5.70287995437696	101.17272079472286	PSMD10;PCNA;PSMD14;CCNH;PSMB7;PPP2CB;CCNB1;PSMD7;PSMB5;UBB;PSMA2;PSMB3;RPA3;PSMB1;PSMD1;SKP1
Degradation of GLI1 by the proteasome_Homo sapiens_R-HSA-5610780	12/59	2.0570355475349383E-8	5.245440646214093E-6	0	0	8.11935451131635	143.70782382769977	PSMD10;PSMB7;PSMD7;PSMB5;PSMD14;UBB;PSMA2;PSMB3;PSMB1;PSMD1;SKP1;RBX1
GLI3 is processed to GLI3R by the proteasome_Homo sapiens_R-HSA-5610785	12/59	2.0570355475349383E-8	4.496091982469222E-6	0	0	8.11935451131635	143.70782382769977	PSMD10;PSMB7;PSMD7;PSMB5;PSMD14;UBB;PSMA2;PSMB3;PSMB1;PSMD1;SKP1;RBX1
Degradation of GLI2 by the proteasome_Homo sapiens_R-HSA-5610783	12/59	2.0570355475349383E-8	3.93408048466057E-6	0	0	8.11935451131635	143.70782382769977	PSMD10;PSMB7;PSMD7;PSMB5;PSMD14;UBB;PSMA2;PSMB3;PSMB1;PSMD1;SKP1;RBX1
The role of GTSE1 in G2/M progression after G2 checkpoint_Homo sapiens_R-HSA-8852276	12/59	2.0570355475349383E-8	3.4969604308093954E-6	0	0	8.11935451131635	143.70782382769977	PSMD10;PSMB7;HSP90AA1;CCNB1;PSMD7;PSMB5;PSMD14;UBB;PSMA2;PSMB3;PSMB1;PSMD1
Cap-dependent Translation Initiation_Homo sapiens_R-HSA-72737	16/114	2.5547263723980244E-8	3.908731349768978E-6	0	0	5.6028294288615745	97.95278563425357	EIF5B;RPL30;EIF2B2;RPS5;RPLP1;RPL12;RPL13A;EIF2S1;RPS25;RPS16;EIF5;RPS15A;RPS29;RPL37A;EIF3J;RPS12
Eukaryotic Translation Initiation_Homo sapiens_R-HSA-72613	16/114	2.5547263723980244E-8	3.553392136153616E-6	0	0	5.6028294288615745	97.95278563425357	EIF5B;RPL30;EIF2B2;RPS5;RPLP1;RPL12;RPL13A;EIF2S1;RPS25;RPS16;EIF5;RPS15A;RPS29;RPL37A;EIF3J;RPS12
Metabolism of amino acids and derivatives_Homo sapiens_R-HSA-71291	28/335	2.90177250119296E-8	3.699759939021024E-6	0	0	3.336610361366819	57.90807061913996	PSMD10;RPL30;OAT;PSMD14;RPLP1;RPL12;PSMB7;PSMD7;RPS16;RPS15A;PSMB5;PSMB3;PSMB1;PSMD1;RPS12;NQO1;ARG2;GOT1;RPS5;TXNRD1;RPL13A;ALDH4A1;RPS25;RPS29;PSMA2;NDUFAB1;RPL37A;GCLM
Influenza Infection_Homo sapiens_R-HSA-168254	18/147	3.062594360892787E-8	3.6044379785892025E-6	0	0	4.888182818037395	84.572495939563	RPL30;HSP90AA1;RPS5;RPLP1;RPL12;CLTA;RPL13A;RPS25;RPS16;RPS15A;RPS29;RPL37A;KPNA2;POLR2I;POLR2K;RAN;RPS12;SLC25A6
Vpu mediated degradation of CD4_Homo sapiens_R-HSA-180534	11/51	4.207123419334468E-8	4.59778487970124E-6	0	0	8.61023051935345	146.23530792081868	PSMD10;PSMB7;PSMD7;PSMB5;PSMD14;UBB;PSMA2;PSMB3;PSMB1;PSMD1;SKP1
Translation_Homo sapiens_R-HSA-72766	18/151	4.6652859301031445E-8	4.758591648705207E-6	0	0	4.758694531466868	80.32929350313564	EIF5B;RPL30;EIF2B2;RPS5;RPLP1;RPL12;RPL13A;EIF2S1;EEF1B2;RPS25;RPS16;EIF5;RPS15A;RPS29;RPL37A;EIF3J;SRPRB;RPS12
Mitotic G1-G1/S phases_Homo sapiens_R-HSA-453279	17/136	5.443722172007362E-8	5.20555932698204E-6	0	0	4.990019960079841	83.46416015101168	PSMD10;CDKN2D;PCNA;PSMD14;CCNH;PSMB7;PPP2CB;CCNB1;PSMD7;PSMB5;UBB;PSMA2;PSMB3;RPA3;PSMB1;PSMD1;SKP1
GTP hydrolysis and joining of the 60S ribosomal subunit_Homo sapiens_R-HSA-72706	15/107	7.089238785818298E-8	6.380314907236468E-6	0	0	5.59628406737926	92.12660346776494	EIF5B;RPL30;RPS5;RPLP1;RPL12;RPL13A;EIF2S1;RPS25;RPS16;EIF5;RPS15A;RPS29;RPL37A;EIF3J;RPS12
Activation of NF-kappaB in B cells_Homo sapiens_R-HSA-1169091	12/66	7.715598235151337E-8	6.558258499878637E-6	0	0	7.258210851025223	118.87088890816297	PSMD10;PSMB7;PSMD7;PSMB5;PSMD14;UBB;PSMA2;PSMB3;PSMB1;PSMD1;NFKB1;SKP1
SCF-beta-TrCP mediated degradation of Emi1_Homo sapiens_R-HSA-174113	11/54	7.901406950863836E-8	6.362711913064036E-6	0	0	8.13188437938937	132.98590889198945	PSMD10;PSMB7;PSMD7;PSMB5;PSMD14;UBB;PSMA2;PSMB3;PSMB1;PSMD1;SKP1
Cyclin E associated events during G1/S transition_Homo sapiens_R-HSA-69202	12/68	1.0906306293922081E-7	8.343324314850392E-6	0	0	7.044734061289187	112.9365238671548	PSMD10;PSMB7;PSMD7;PSMB5;PSMD14;UBB;CCNH;PSMA2;PSMB3;PSMB1;PSMD1;SKP1
Degradation of DVL_Homo sapiens_R-HSA-4641258	11/56	1.1747942251493559E-7	8.559215068945308E-6	0	0	7.84145993726832	125.12619696930713	PSMD10;PSMB7;PSMD7;PSMB5;PSMD14;UBB;PSMA2;PSMB3;PSMB1;PSMD1;RBX1
Degradation of beta-catenin by the destruction complex_Homo sapiens_R-HSA-195253	13/82	1.208050028170207E-7	8.40143883227462E-6	0	0	6.32880580302809	100.81210544633448	PSMD10;PSMD14;RBX1;PSMB7;PPP2CB;PSMD7;PSMB5;UBB;PSMA2;PSMB3;PSMB1;PSMD1;SKP1
Cyclin A:Cdk2-associated events at S phase entry_Homo sapiens_R-HSA-69656	12/69	1.2905985523348913E-7	8.585286022053842E-6	0	0	6.942636466198039	110.1309696859404	PSMD10;PSMB7;PSMD7;PSMB5;PSMD14;UBB;CCNH;PSMA2;PSMB3;PSMB1;PSMD1;SKP1
Host Interactions of HIV factors_Homo sapiens_R-HSA-162909	16/129	1.495214837969024E-7	9.531994592052528E-6	0	0	4.951337634807904	77.81435949861785	PSMD10;PSMD14;RBX1;PSMB7;PSMD7;PSMB5;UBB;PSMA2;PSMB3;PSMB1;PSMD1;TCEB1;B2M;RAN;SKP1;SLC25A6
