Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Proteasome Degradation WP183	11/62	3.5019053247796016E-7	1.652899313295972E-4	0	0	7.082608975597193	105.28148411101793	PSMD10;PSMB7;PSMD7;PSMB5;UBB;UBE2B;H2AFZ;PSMA2;PSMB3;PSMB1;PSMD1
Cytoplasmic Ribosomal Proteins WP477	11/89	1.3694532808301197E-5	0.0032319097427590824	0	0	4.9339523200789435	55.252933489658425	RPS25;RPL30;RPS16;RPS15A;RPS29;RPLP1;RPS5;RPL12;RPL37A;RPL13A;RPS12
Mitochondrial complex I assembly model OXPHOS system WP4324	8/56	7.24164206689192E-5	0.011393516851909953	0	0	5.70287995437696	54.36599646118963	NDUFA6;NDUFB11;NDUFS5;NDUFAF4;NDUFA2;NDUFAB1;NDUFA1;TMEM70
Ciliary landscape WP4352	15/216	3.771759846526573E-4	0.044506766189013565	0	0	2.772233311155467	21.852957076520845	YAP1;EIF5B;DYNLL1;NFKB1;COPS4;MYL6;IFT22;PSMD7;COPS5;MFAP1;CDH23;SNRPB2;VIM;CALM2;GLA
Electron Transport Chain (OXPHOS system in mitochondria) WP111	9/103	0.0011296518504546559	0.10663913468291952	0	0	3.4881692924829952	23.670178910548053	NDUFA6;NDUFS5;UCP2;NDUFA2;NDUFAB1;NDUFA1;UQCR10;COX5B;SLC25A6
Oxidative Stress WP408	5/33	0.0012850758148089626	0.10109263076497173	0	0	6.048509042521019	40.26454704242451	NQO1;TXNRD1;MT1X;NFKB1;SOD1
Translation Factors WP107	6/52	0.0018391599175185175	0.12401192586696289	0	0	4.60617227084293	29.011729056589207	EEF1B2;EIF5B;EIF2B2;EIF5;EIF3J;EIF2S1
Nonalcoholic fatty liver disease WP4396	11/155	0.0018544197870582087	0.10941076743643431	0	0	2.8330435902388773	17.8203638055948	NDUFA6;NDUFB11;NDUFS5;NDUFA2;NDUFAB1;NDUFA1;CYCS;UQCR10;COX5B;EIF2S1;NFKB1
NRF2-ARE regulation WP4357	4/23	0.0023596315292934785	0.12374956464739133	0	0	6.942636466198039	41.99774228093198	NQO1;SLC7A11;GCLM;RBX1
Dopamine metabolism WP2436	3/13	0.003705281477207722	0.17488928572420448	0	0	9.21234454168586	51.57066836355631	NQO1;PPP2CB;SOD1
NRF2 pathway WP2884	10/146	0.003793621587514603	0.1627808535733539	0	0	2.734257512372515	15.241938457770521	GSTM3;NQO1;HSP90AA1;PRDX1;TXNRD1;SLC39A11;TXN;SLC7A11;GCLM;CBR3
Ebola Virus Pathway on Host WP4217	9/129	0.005228311540282783	0.20564692058445613	0	0	2.785127419579446	14.632131720584548	BST2;GSN;CTSL;CLTA;RAB9A;EIF2S1;CLEC4G;NFKB1;ASGR1
