X1,TB_status_limma_logFC,TB_status_limma_AveExpr,TB_status_limma_t,TB_status_limma_P.Value,TB_status_limma_padj,TB_status_limma_B
PRDX1,-4.34763589450216,11.3538861739745,-15.9097899307588,3.81936969071932e-16,5.42853872940207e-12,26.5219863577195
CYSTM1,-4.42784684600602,8.18689427347737,-15.8424808637487,4.2798318585636e-16,5.42853872940207e-12,26.4158516036812
WAS,4.70089681419889,10.0080594928638,14.3459568766865,5.9633613338973e-15,4.93855793275422e-11,23.9403864546043
SOD1,-3.84681945518676,11.6852693403966,-14.1698273134606,8.24287653043107e-15,4.93855793275422e-11,23.6338097334802
GCLM,-4.52492568625409,8.61567684881891,-14.0800014730038,9.73383383150864e-15,4.93855793275422e-11,23.4761644251809
EFNB2,-4.81016611495291,4.69112074501766,-13.954456408401,1.22964535552173e-14,5.19894056314589e-11,23.2543551653343
C14orf119,-4.21535446219383,8.91182191163855,-13.6291572624105,2.26960313841205e-14,8.22504177360528e-11,22.6715095073655
DYNLL1,-3.81824811915323,10.5455771117173,-13.2961408158319,4.29830561358676e-14,1.36299271006836e-10,22.0624652266036
MIR3609,-4.15357731307423,1.54566974913533,-12.8261081896729,1.07990606603143e-13,2.97588805889016e-10,21.1809425760006
YIPF5,-3.82077411122266,9.49633852618512,-12.7690518698609,1.20963747664145e-13,2.97588805889016e-10,21.0721559240826
AGPAT4-IT1,-3.3426188932306,6.84778051186774,-12.7366276228576,1.29039611509744e-13,2.97588805889016e-10,21.0101600914476
EIF4A3,-2.65822794307018,10.9822888911382,-12.5187230629859,1.99827386595418e-13,3.79910854868423e-10,20.5902271874015
ID3,-4.62664856225214,7.71687064739733,-12.5178713176111,2.00171341162282e-13,3.79910854868423e-10,20.5885744344461
PVRL3,-3.53090051671419,5.8549564259119,-12.4914281941518,2.11157831833256e-13,3.79910854868423e-10,20.5372192932951
CTNNAL1,-5.02583882641343,6.72558306475579,-12.4608463557393,2.24639814846513e-13,3.79910854868423e-10,20.4777196923322
CREM,-5.16425391235578,11.0385981835891,-12.3699780255273,2.70161209105401e-13,4.11665823579937e-10,20.3002502702959
NCF1B,4.39774514611343,7.47472429733205,12.3428028018837,2.85540055316484e-13,4.11665823579937e-10,20.2469784790934
LILRA5,5.98245268850442,8.21040290024253,12.3316660092934,2.92099685605443e-13,4.11665823579937e-10,20.2251205968802
PSMD14,-3.34124146395826,9.351588142104,-12.2704826659217,3.31002258019954e-13,4.41940277971063e-10,20.1047638876878
HOMER1,-4.22503864906123,6.12997267629723,-12.1855072886159,3.94051024526181e-13,4.99814319509008e-10,19.9368335178585
GZMM,5.19227035759341,8.11854023911187,12.0714747285297,4.98574550331805e-13,5.94057321258244e-10,19.7100625888557
TXN,-4.29991524950327,10.368355952465,-12.0556457242268,5.1518689166199e-13,5.94057321258244e-10,19.6784552804416
GNG4,-5.38715912914894,3.47227754697491,-11.9404100350462,6.54595406093602e-13,7.21990272251413e-10,19.4474006508934
SPI1,6.32151967098181,9.92235364208912,11.8487604081525,7.92814251236438e-13,8.38004663556915e-10,19.2624363814697
FGF18,-3.49179798900501,3.59994322467654,-11.763642342691501,9.48031752010501e-13,9.61986779400095e-10,19.0896950325006
LOC101928370,-4.22476021667614,5.57777393873975,-11.7428939953448,9.9039222350391e-13,9.66318074071046e-10,19.0474471254658
MFAP1,-3.46570188237803,8.37366827353075,-11.7217375855185,1.03558945441817e-12,9.72993825173339e-10,19.0043114511228
TMEM217,-4.5317058474003,4.49507017495345,-11.6797082903735,1.13176637791316e-12,1.02538033838932e-9,18.9184475487243
SNHG12,-4.11503416402923,9.98880817281531,-11.5939603227619,1.35746087476315e-12,1.18745060244799e-9,18.7425623821014
RETNLB,-3.31658147454548,1.3079602298841,-11.5498254037756,1.49115199528814e-12,1.26091812721565e-9,18.6516627584151
GEM,-6.28373018368599,5.88631549818999,-11.5181248878408,1.59545848400297e-12,1.30559970394153e-9,18.5862169327756
HSPH1,-4.34566995370544,10.961715690514,-11.3724975237697,2.17996748467602e-12,1.69970554058455e-9,18.283886925722
RASSF8-AS1,-3.76536658209182,1.65129747662672,-11.3659176589149,2.21106444494206e-12,1.69970554058455e-9,18.2701613361438
PSMD1,-3.1526242902877,10.436258166822,-11.3209776719886,2.43599112758284e-12,1.80662873260485e-9,18.1762647348527
PGM2L1,-3.51377146305446,9.37648646686476,-11.31033985039,2.49258931098903e-12,1.80662873260485e-9,18.1539994904952
KHDRBS3,-5.22740628037125,4.41017406478862,-11.2696935527856,2.72156967355908e-12,1.91779942996797e-9,18.0687886068568
PTTG3P,-3.76837491385689,3.91911534776608,-11.1454791574651,3.56454378126985e-12,2.41399096459435e-9,17.8070345903869
ARL13B,-3.51755163675864,7.80952996451512,-11.1389006241356,3.61603818411326e-12,2.41399096459435e-9,17.7931148713142
ATP6V1D,-3.59340431749922,8.84161535763135,-11.1252852738563,3.72505227770184e-12,2.4230032354036e-9,17.7642874991383
SPINK1,-7.50495920700654,3.1038045830427,-11.1068434303305,3.8781103843607e-12,2.45949760576156e-9,17.7252018972903
NRIP3,-4.84054031293253,7.87513147741533,-11.0789980427716,4.12153889422868e-12,2.55012679679983e-9,17.6661008098279
PMEPA1,-4.80179321983746,8.75387694083198,-11.062514044523,4.27297638821521e-12,2.58087773848199e-9,17.6310653650846
RRAGC,-3.15641527201552,10.2783346768397,-10.9988407248969,4.91360595893511e-12,2.89879897595967e-9,17.495392656438
MT1X,-3.07498245820319,7.45308692187838,-10.9170734036239,5.88342003765651e-12,3.39205907989251e-9,17.320371496111
TNFSF14,-4.05139992174003,7.37472115490482,-10.8979442497782,6.13738437146586e-12,3.45984814967435e-9,17.2792966922123
DNAJA1,-3.50313444885362,11.7030223352663,-10.8638333180883,6.61850773169214e-12,3.62702712988506e-9,17.2059305900299
NCS1,-6.1997825404784,5.1570269518895,-10.8569701263555,6.71989416211755e-12,3.62702712988506e-9,17.1911502833958
ARL6IP1,-3.1463015225647,11.3587139709005,-10.8443286366027,6.91082898330971e-12,3.6436488774176e-9,17.1639094781741
TRAPPC4,-3.11885677465806,9.66595260132232,-10.8361089980688,7.03795312966975e-12,3.6436488774176e-9,17.1461856675804
NR3C1,-3.35301183708537,11.8002497344694,-10.7920444904687,7.76151921344882e-12,3.93788438813539e-9,17.0510153100331
ZFAS1,-2.98449371508779,11.6879581545462,-10.7759611230835,8.04424787210767e-12,4.00130352979662e-9,17.0162133182621
CCT4,-2.65298151716255,11.147943366395,-10.7563406528963,8.40350579528098e-12,4.06952449402623e-9,16.9737103010519
ZNF704,-4.23074068070642,5.56670092745585,-10.7510989687688,8.50223896970161e-12,4.06952449402623e-9,16.9623466582442
BST1,3.87437187278165,7.55483637931396,10.730517534652,8.90155941286881e-12,4.18175479973437e-9,16.9176914938706
GTF2B,-2.87322083437148,10.3121793292326,-10.6823331862825,9.91338880968635e-12,4.57241540589315e-9,16.8129227089141
MARC1,4.02973535675818,5.74779583974499,10.6321257454036,1.10936940615882e-11,4.92326868560115e-9,16.7034204162441
HSP90AA1,-2.78160950469542,13.8007975377442,-10.6295119745332,1.11589485396769e-11,4.92326868560115e-9,16.6977104238342
GIMAP7,-4.27786049859885,11.415530688333,-10.6256419029607,1.12562907507437e-11,4.92326868560115e-9,16.6892542381963
ORMDL2,-3.43527919195707,8.46457937979873,-10.5545712873677,1.32072203890055e-11,5.67865706488631e-9,16.5336015545476
TSC22D4,4.14123983405235,9.78561858830973,10.5255715930433,1.40998894656801e-11,5.96143326608954e-9,16.4698914720829
DNAJB4,-3.48499961444587,7.67151295139067,-10.5144596483351,1.44581181051928e-11,6.01268098512348e-9,16.4454490171398
CMSS1,-3.91276770170852,7.96801357835273,-10.5059272295635,1.47395095323436e-11,6.03083673897569e-9,16.4266692028307
RRAGA,-2.96926522245981,9.3649434835022909,-10.4728177433066,1.58856562346521e-11,6.39662424381992e-9,16.3537013046493
PLBD1,4.2006478691609,9.06260625970812,10.4602782237226,1.63432346684729e-11,6.45675957795684e-9,16.3260271701977
RAN,-3.38007763082708,11.0914435413006,-10.454888334161,1.65440465376535e-11,6.45675957795684e-9,16.3141253334424
LPXN,-3.17899574766538,11.9192172638046,-10.428936483602,1.75469319061775e-11,6.74440255448348e-9,16.2567634249721
PERP,-3.29776250084163,7.02840187952538,-10.4126755790953,1.82068660164369e-11,6.89360861350705e-9,16.2207746680978
H2AFZ,-3.03356261160127,11.3542776430506,-10.4001472828177,1.87326256680461e-11,6.92811712879781e-9,16.1930222645445
ZNF165,-4.77242641650218,6.59550882087921,-10.3975345732893,1.88442164099278e-11,6.92811712879781e-9,16.1872319402032
NMUR1,4.60448590646998,6.58642362207753,10.3823428096876,1.95067007117455e-11,7.06922833793656e-9,16.1535452119387
MED19,-3.27708620196267,8.44055948766141,-10.3613981796596,2.04594026371258e-11,7.07791949616304e-9,16.1070500275893
TRMT10C,-3.43446555938918,8.81361827517733,-10.3604650568403,2.05029402448053e-11,7.07791949616304e-9,16.1049771800379
CLEC12B,5.01437520242259,5.74963748543265,10.3563661241209,2.06953153363519e-11,7.07791949616304e-9,16.0958703592773
RYBP,-3.19058682134315,11.3269376832946,-10.3557834492043,2.07228117515786e-11,7.07791949616304e-9,16.0945756118236
TXNRD1,-4.35060273682972,10.1835175087222,-10.3515077228572,2.0925731717606e-11,7.07791949616304e-9,16.0850732020442
FAM177A1,-3.3450476947477,9.10419688042319,-10.3161135551757,2.26856688506256e-11,7.57223746582462e-9,16.0063165828842
MRPL50,-3.51480569267626,7.77334160046597,-10.3066653520656,2.31806321005668e-11,7.63696461204128e-9,15.9852640221355
NME7,-2.94625884694554,7.16849829983217,-10.2824495693153,2.45003751232439e-11,7.78576487492011e-9,15.9312502261184
