Term,Overlap,P_value,Adjusted_P_value,Old_P_value,Old_Adjusted_P_value,Odds_Ratio,Combined_Score,Genes
Ribosome,18/153,5.727084984832596e-8,1.7639421753284398e-5,0,0,4.696489374192791,78.31618678559374,RPL30;RPS5;MRPL18;RPLP1;RPL12;RPL13A;MRPL14;MRPL36;MRPL15;MRPS6;MRPS18C;RPS25;RPS16;RPS15A;RPL36AL;RPS29;RPL37A;RPS12
Proteasome,8/45,1.3985069306419545e-5,0.00215370067318861,0,0,7.0969172765579955,79.32593675265888,PSMB7;PSMD7;PSMB5;PSMD14;PSMB3;PSMA2;PSMB1;PSMD1
Huntington disease,15/193,1.1061801345963623e-4,0.01135678271518932,0,0,3.1026030839874656,28.262938201724065,NDUFA6;NDUFB11;NDUFA2;NDUFA1;CLTA;UQCR10;COX5B;SOD1;NDUFS5;NDUFAB1;TBPL1;CYCS;POLR2I;POLR2K;SLC25A6
Oxidative phosphorylation,11/133,5.281319364515099e-4,0.04066615910676626,0,0,3.301667342007714,24.914924642182378,ATP6V0E1;NDUFA6;NDUFB11;NDUFS5;NDUFA2;NDUFAB1;NDUFA1;UQCR10;COX5B;ATP6V1D;ATP6V1F
Fluid shear stress and atherosclerosis,11/139,7.649412920665119e-4,0.04712038359129713,0,0,3.159149327244791,22.66914406130827,NPPC;GSTM3;NQO1;HSP90AA1;NCF1;CTSL;PDGFA;TXN;CALM2;NFKB1;MAP2K6
Parkinson disease,11/142,9.129421995715236e-4,0.046864366244671544,0,0,3.092406735824126,21.64325373585546,NDUFA6;UBB;NDUFB11;NDUFS5;NDUFA2;NDUFAB1;NDUFA1;CYCS;UQCR10;COX5B;SLC25A6
RNA transport,12/165,9.478769058960579e-4,0.04170658385942655,0,0,2.9032843404100888,20.210592372320644,EIF5B;EIF2B2;EIF5;TGS1;EIF4A3;EIF3J;UPF3B;SAP18;PHAX;GEMIN6;EIF2S1;RAN
Infectious disease_Homo sapiens_R-HSA-5663205,37/348,1.286816853720281e-13,1.9688297861920298e-10,0,0,4.244384793631128,125.97942964917887,PSMD10;RPL30;PSMD14;CCNH;RPLP1;RPL12;GTF2B;CLTA;PSMB7;PSMD7;RPS16;RPS15A;PSMB5;UBB;PSMB3;PSMB1;PSMD1;TCEB1;KPNA2;POLR2I;B2M;POLR2K;RPS12;SKP1;MAP2K6;HSP90AA1;RPS5;TXNRD1;RPL13A;RBX1;RPS25;RPS29;PSMA2;CHMP2B;RPL37A;RAN;SLC25A6
Gene Expression_Homo sapiens_R-HSA-74160,87/1631,1.0655834274639411e-11,8.15171322009915e-9,0,0,2.1294015280291654,53.79914552859698,RPL30;TP53RK;PDCD7;CCNH;RPLP1;GTF2B;EIF4A3;PHAX;NR3C1;EEF1B2;PSMD7;RPS16;PSMD1;BCAS2;ZNF385A;RPS12;EIF5B;HSP90AA1;IMP3;H2AFZ;RPS5;RPL13A;RRAGA;RRAGC;PSMA2;SARNP;MED20;RPL37A;SNRPG;GARS;GEMIN6;DNAJC8;SRSF7;HIST1H2BD;YAP1;PSMD10;SLBP;SF3B5;PCNA;PSMD14;COX16;RPL12;HIST1H2BK;TXN;COX5B;PSMB7;PPP2CB;CCNB1;PSMB5;RPS15A;UBB;PSMB3;PRDX1;ZNF704;PERP;TGS1;PSMB1;MED31;ZNF547;SAP18;SNRPB2;TCEB1;COX14;POLR2I;ZNF267;POLR2K;NOP58;TRMT10C;EIF2B2;TXNRD1;LSM1;UPF3B;NR1D1;EIF2S1;RPS25;EIF5;RHEB;RPS29;RPA3;AGO2;EIF3J;SRPRB;CYCS;RAD1;DCP1A;NOP10;RAN
Vif-mediated degradation of APOBEC3G_Homo sapiens_R-HSA-180585,12/53,5.6185990094057575e-9,2.865485494796936e-6,0,0,9.038526720144617,171.7065505881865,PSMD10;PSMB7;PSMD7;PSMB5;PSMD14;UBB;PSMA2;PSMB3;PSMB1;PSMD1;TCEB1;RBX1
Antigen processing-Cross presentation_Homo sapiens_R-HSA-1236975,14/82,1.4785994925662097e-8,5.655643059065752e-6,0,0,6.815637018645636,122.88310963534205,PSMD10;NCF1;PSMD14;CTSV;PSMB7;PSMD7;PSMB5;UBB;CTSL;PSMA2;PSMB3;PSMB1;PSMD1;B2M
G1/S Transition_Homo sapiens_R-HSA-69206,16/112,1.97396488598391e-8,6.040332551110764e-6,0,0,5.70287995437696,101.17272079472286,PSMD10;PCNA;PSMD14;CCNH;PSMB7;PPP2CB;CCNB1;PSMD7;PSMB5;UBB;PSMA2;PSMB3;RPA3;PSMB1;PSMD1;SKP1
Degradation of GLI1 by the proteasome_Homo sapiens_R-HSA-5610780,12/59,2.0570355475349383e-8,5.245440646214093e-6,0,0,8.11935451131635,143.70782382769977,PSMD10;PSMB7;PSMD7;PSMB5;PSMD14;UBB;PSMA2;PSMB3;PSMB1;PSMD1;SKP1;RBX1
GLI3 is processed to GLI3R by the proteasome_Homo sapiens_R-HSA-5610785,12/59,2.0570355475349383e-8,4.496091982469222e-6,0,0,8.11935451131635,143.70782382769977,PSMD10;PSMB7;PSMD7;PSMB5;PSMD14;UBB;PSMA2;PSMB3;PSMB1;PSMD1;SKP1;RBX1
Degradation of GLI2 by the proteasome_Homo sapiens_R-HSA-5610783,12/59,2.0570355475349383e-8,3.93408048466057e-6,0,0,8.11935451131635,143.70782382769977,PSMD10;PSMB7;PSMD7;PSMB5;PSMD14;UBB;PSMA2;PSMB3;PSMB1;PSMD1;SKP1;RBX1
The role of GTSE1 in G2/M progression after G2 checkpoint_Homo sapiens_R-HSA-8852276,12/59,2.0570355475349383e-8,3.4969604308093954e-6,0,0,8.11935451131635,143.70782382769977,PSMD10;PSMB7;HSP90AA1;CCNB1;PSMD7;PSMB5;PSMD14;UBB;PSMA2;PSMB3;PSMB1;PSMD1
Cap-dependent Translation Initiation_Homo sapiens_R-HSA-72737,16/114,2.5547263723980244e-8,3.908731349768978e-6,0,0,5.6028294288615745,97.95278563425357,EIF5B;RPL30;EIF2B2;RPS5;RPLP1;RPL12;RPL13A;EIF2S1;RPS25;RPS16;EIF5;RPS15A;RPS29;RPL37A;EIF3J;RPS12
