Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Osteoclast differentiation	13/127	1.851131830297907E-5	0.005701486037317554	0	0	4.086315557860656	44.52910455193581	SPI1;NCF4;LILRA1;LILRA2;LILRB3;SIRPB1;LILRA5;TYROBP;AKT2;BTK;FCGR2B;SQSTM1;MAP2K6
Hematopoietic cell lineage	10/97	1.5929228006524498E-4	0.024531011130047728	0	0	4.115480379447291	35.98892855046338	CD4;ITGAM;CR1;ITGA2;CD37;CD59;CD1D;CD36;CD3E;CD33
Platelet activation	11/124	2.8938626132998303E-4	0.029710322829878257	0	0	3.5413044877985964	28.853657329282186	AKT2;ITGA2;P2RX1;TBXAS1;BTK;ADCY3;PRKACA;TLN1;RASGRP2;MYL12A;GNAI2
Malaria	6/49	0.001345497110826561	0.10360327753364519	0	0	4.888182818037395	32.3157362096332	CR1;LRP1;GYPC;HGF;ITGB2;CD36
Cholesterol metabolism	6/50	0.0014971575193906868	0.0922249031944663	0	0	4.790419161676646	31.15778182374306	LRP1;OSBPL5;SORT1;VDAC1;CD36;LIPA
Human T-cell leukemia virus 1 infection	13/219	0.003643829697507873	0.1870499244720708	0	0	2.3696898440561798	13.30514504586038	SPI1;ITGB2;ADCY3;CD3E;CD4;CCNE2;AKT2;VDAC1;LTBR;PRKACA;TLN1;CREB5;SLC25A6
Lysosome	9/123	0.003825877429092781	0.16833860688008234	0	0	2.9209872937052723	16.258120183389426	GGA1;SORT1;GAA;CTSH;ARSG;TCIRG1;LIPA;GLA;ATP6V0A1
Phagosome	10/152	0.005038128257311192	0.19396793790648087	0	0	2.6263262947788633	13.895158744075504	MARCO;ITGAM;ITGA2;NCF4;ITGB2;ITGAV;TCIRG1;CD36;FCGR2B;ATP6V0A1
Fc gamma R-mediated phagocytosis	7/91	0.007875220962714917	0.26950756183513275	0	0	3.0707815138952865	14.874970170141657	MARCKSL1;GSN;ARPC1B;AKT2;INPPL1;WAS;FCGR2B
Legionellosis	5/55	0.012027727881780642	0.37045401875884376	0	0	3.6291054255126114	16.04260801248903	PYCARD;ITGAM;CR1;ITGB2;HSPA2
Rap1 signaling pathway	11/206	0.01506758763713024	0.4218924538396467	0	0	2.1316590120729413	8.942755831936514	ITGAM;AKT2;HGF;ITGB2;FPR1;ADCY3;CALM3;TLN1;RASGRP2;GNAI2;MAP2K6
Dopaminergic synapse	8/131	0.017435870876395535	0.4475206858274854	0	0	2.437872346909235	9.871495239038483	PPP2CB;GSK3A;AKT2;CALM3;PRKACA;SLC6A3;CREB5;GNAI2
Insulin resistance	7/108	0.01895655566208185	0.44912454953240083	0	0	2.587417757078436	10.26067799007634	AKT2;RPS6KA1;PYGL;CD36;SLC27A3;PPARGC1B;CREB5
cGMP-PKG signaling pathway	9/166	0.024258487332206573	0.5336867213085446	0	0	2.1643460067816176	8.049178406502964	NPPC;AKT2;ADCY3;VDAC1;CALM3;MRVI1;CREB5;SLC25A6;GNAI2
Staphylococcus aureus infection	5/68	0.02774143507655984	0.5696241335720288	0	0	2.9353058588704943	10.522567019843768	ITGAM;ITGB2;PTAFR;FPR1;FCGR2B
