Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Immune System_Homo sapiens_R-HSA-168256	68/1547	3.82519833032856E-6	0.005852553445402696	0	0	1.7547322936544496	21.888355580643033	IFITM3;FCN2;GSK3A;ITGAM;IFITM2;ARPC1B;NCF4;ITGB2;INPPL1;ARRB1;TCIRG1;CD3E;SIRPB1;PYCARD;DUSP10;AKT2;RPS6KA1;CTSH;ITGAV;CD36;PRKACA;CD33;ZBP1;PDIA3;CR1;HGF;TYROBP;IRF4;BTK;TLN1;HCST;SQSTM1;PTAFR;DCTN3;WAS;ADCY3;CD1D;TXN;LILRA1;LILRA2;RASGRP2;RASGRP4;PSMB10;UBE2J1;LILRA5;ZNRF1;PPP2CB;AP2S1;CD300LB;CD59;MAP2K6;ATP6V0A1;IL32;RAP1GAP2;SIGLEC16;TNFSF14;CARD9;SIGLEC10;LY86;LILRB3;PSMB8;BST2;GZMM;CD4;TNIP2;UBE2O;LTBR;FCGR2B
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell_Homo sapiens_R-HSA-198933	13/157	1.6746854475790265E-4	0.12811343673979553	0	0	3.305490928970085	28.740301618093376	SIGLEC10;ITGB2;CD1D;LILRA1;CD3E;LILRA2;LILRB3;LILRA5;TYROBP;CD300LB;FCGR2B;HCST;CD33
Cross-presentation of particulate exogenous antigens (phagosomes)_Homo sapiens_R-HSA-1236973	3/8	7.965638320569233E-4	0.40624755434903087	0	0	14.970059880239521	106.81442052602705	NCF4;ITGAV;CD36
Adaptive Immune System_Homo sapiens_R-HSA-1280218	34/762	8.809516685244971E-4	0.33696401321062014	0	0	1.7812144739392606	12.5299670985064	GSK3A;NCF4;ITGB2;DCTN3;WAS;CD1D;LILRA1;CD3E;LILRA2;RASGRP2;PSMB10;UBE2J1;LILRA5;ZNRF1;PPP2CB;AKT2;AP2S1;CD300LB;CTSH;ITGAV;CD36;PRKACA;CD33;PDIA3;RAP1GAP2;SIGLEC10;LILRB3;PSMB8;CD4;TYROBP;BTK;UBE2O;FCGR2B;HCST
Innate Immune System_Homo sapiens_R-HSA-168249	35/807	0.0012138594820409042	0.3714410015045167	0	0	1.731357606966983	11.624248995604315	FCN2;GSK3A;ITGAM;ARPC1B;ITGB2;WAS;ADCY3;ARRB1;TXN;RASGRP2;RASGRP4;SIRPB1;PSMB10;PYCARD;PPP2CB;DUSP10;AKT2;RPS6KA1;CD300LB;CD59;CD36;PRKACA;MAP2K6;ZBP1;SIGLEC16;CR1;CARD9;LY86;PSMB8;GZMM;CD4;TYROBP;TNIP2;BTK;TLN1
Toll Like Receptor 4 (TLR4) Cascade_Homo sapiens_R-HSA-166016	9/122	0.0036240574198248138	0.9241346420553276	0	0	2.9449298125061354	16.550979817230992	PPP2CB;ITGAM;TNIP2;RPS6KA1;ITGB2;BTK;LY86;CD36;MAP2K6
Regulation of TP53 Activity through Association with Co-factors_Homo sapiens_R-HSA-6804759	3/14	0.004628841592045108	1.0	0	0	8.55431993156544	45.98330742763754	AKT2;TP53BP2;ZNF385A
Rap1 signalling_Homo sapiens_R-HSA-392517	3/16	0.006861549912020707	1.0	0	0	7.485029940119761	37.28908628792551	RAP1GAP2;RASGRP2;PRKACA
Protein repair_Homo sapiens_R-HSA-5676934	2/6	0.00878630885520454	1.0	0	0	13.30671989354624	63.00147146957648	MSRA;TXN
Toll-Like Receptors Cascades_Homo sapiens_R-HSA-168898	9/140	0.008799195384238274	1.0	0	0	2.566295979469632	12.14652265685433	PPP2CB;ITGAM;TNIP2;RPS6KA1;ITGB2;BTK;LY86;CD36;MAP2K6
