"","TB_status_limma_logFC","TB_status_limma_AveExpr","TB_status_limma_t","TB_status_limma_P.Value","TB_status_limma_padj","TB_status_limma_B"
"RPS10",56.770780396415,71.935988739176,31.460450952886,2.6478552337438e-18,6.71707915696128e-14,24.2415371236862
"SNORA18",-47.0346429830583,24.0860922669381,-29.8553700111736,7.27471060118379e-18,9.22724292654152e-14,23.8457849637448
"WAS",44.1201044045306,78.064206400791,22.349805947088,1.85641242112742e-15,1.56978234330535e-11,21.2073558911024
"ATP5L2",31.4863360710963,64.4850512893216,21.7198990288909,3.19152139004891e-15,1.81759967484461e-11,20.9059403314884
"C19orf10",26.3805750199224,77.6151781614069,21.5877092339877,3.58246545814532e-15,1.81759967484461e-11,20.8406603650887
"CDKN2D",31.7760630393945,84.1465134386657,20.7212433256545,7.76802662297237e-15,3.28432165619272e-11,20.3943894928275
"FKBP2",34.0739992375366,77.610203229114,20.3988908229764,1.04390740812664e-14,3.78312044705093e-11,20.2198520510596
"ARRB1",29.5272098253551,73.8951747977889,19.7412932740769,1.93350028460032e-14,6.13112940246761e-11,19.848562847788
"NACAP1",43.2756336661536,69.3219029137014,19.1571845287556,3.39621499950338e-14,9.57279801193352e-11,19.500678551585
"RPL13AP20",32.8525803545259,77.3799993385105,19.0099455804561,3.92400406988702e-14,9.95441352448940e-11,19.4101698191905
"BLOC1S1",26.7626529058978,61.3309033975728,18.5093162939659,6.46185221462417e-14,1.49022060891442e-10,19.0935801722213
"SECTM1",30.1235096851761,72.6517832446785,17.434804376547,1.96602011280127e-13,4.15616651846188e-10,18.365028168
"SNORD77",-20.6627380251961,9.8393990596172,-16.9082411816138,3.4682337843517e-13,6.76785804934108e-10,17.9817096604832
"ACPP",36.2839036666593,46.7054234790391,16.5691181481642,5.04044704016071e-13,9.13329003677121e-10,17.7250436809387
"MPND",29.4080237256692,65.406054831971,16.3801079537433,6.22622154444877e-13,1.05297858759718e-09,17.5785337807625
"GSN",32.7188325447565,75.7857241678559,16.2468824174374,7.23526566200158e-13,1.14715137071035e-09,17.4737430492076
"NFAM1",38.6391363727292,59.8744524653699,15.9032513935958,1.07119572034891e-12,1.59847606081242e-09,17.1975064699892
"ZNF428",32.1830293285987,55.4965614379271,15.6820549010161,1.38437751786533e-12,1.95104938184488e-09,17.015043152335
"IMPA2",29.840078272351,65.2945385797658,15.4921563497549,1.7296649923343e-12,2.30937586976508e-09,16.8554136343453
"RPS10P7",22.5984154167249,63.027518844871,15.2953944202259,2.18394030344291e-12,2.77010988088699e-09,16.6870434701194
"C1orf162",28.9588675190462,88.2830936759423,15.1912334458723,2.47346584180052e-12,2.98794673689503e-09,16.5966667078781
"RPS26P11",55.6784088347949,48.1579886873579,14.9163800339443,3.44743851400374e-12,3.97521001014759e-09,16.3539602751498
"PTPN18",25.3795471637161,88.1067238995323,14.7155817651455,4.40823423762796e-12,4.86209070174549e-09,16.1726920095849
"PDIA3P1",22.4889020747017,69.4905262760697,14.6278919190067,4.91220328360992e-12,5.19219887077568e-09,16.0924621506933
"ZBTB7A",22.4755257174845,93.0545659255755,14.4996091235456,5.76074250310071e-12,5.84554063274635e-09,15.9739045354783
"SLC39A11",26.1064921101726,62.0229536418827,14.3396792932953,7.03839963957432e-12,6.86731238679698e-09,15.8240956537237
"SPECC1",19.7040036312093,60.3420300758302,14.1467521224299,8.98465966183925e-12,8.44158690005697e-09,15.6403675882406
"AIF1",48.7294035642858,40.552338780846,13.9930412838048,1.09355235109232e-11,9.90758430089639e-09,15.491587124833
