Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
TYROBP Causal Network WP3945	11/61	2.9463754389143905E-7	1.3906892071675924E-4	0	0	7.198717319459442	108.2508549516682	PYCARD;CD4;ITGAM;TYROBP;ADAP2;BIN2;ITGB2;RPS6KA1;RNASE6;CD37;TCIRG1
Human Complement System WP2806	11/97	3.1163355090490574E-5	0.007354551801355775	0	0	4.52702841739202	46.97365860748828	FCN2;FKBP2;CR1;ITGA2;ITGB2;FPR1;WAS;CD59;TXN;PRKACA;GNAI2
Microglia Pathogen Phagocytosis Pathway WP3937	5/40	0.0030866933404009498	0.4856397522230828	0	0	4.990019960079841	28.845583220713163	ITGAM;TYROBP;ARPC1B;ITGB2;NCF4
Integrin-mediated Cell Adhesion WP185	8/101	0.0038753602156586936	0.4572925054477258	0	0	3.161992845991186	17.558915156989222	ITGAM;CAPNS1;AKT2;ITGA2;ITGB2;ITGAV;TLN1;MAP2K6
Fatty Acid Omega Oxidation WP206	3/15	0.005679481062252484	0.5361430122766345	0	0	7.984031936127745	41.28459411339207	ALDH2;ALDH1A1;CYP1A1
B Cell Receptor Signaling Pathway WP23	7/97	0.011009910534233716	0.8661129620263855	0	0	2.8808362656131035	12.989573915679674	PTPN18;GSK3A;IRF4;RPS6KA1;SH3BP2;BTK;MAP2K6
NRF2 pathway WP2884	9/146	0.01139825927442449	0.7685683396469084	0	0	2.4608317611352635	11.010486335329452	HGF;TXNRD1;SLC39A11;TXN;GCLM;SQSTM1;SLC5A3;SLC39A14;SLC6A3
Glycogen Synthesis and Degradation WP500	4/40	0.017447713960811927	1.0	0	0	3.9920159680638725	16.161862850405928	PPP2CB;GSK3A;CALM3;PYGL
Thiamine metabolic pathways WP4297	2/9	0.020062908617707677	1.0	0	0	8.871146595697494	34.67626978098511	BCKDK;TKT
Calcium Regulation in the Cardiac Cell WP536	8/149	0.0342347022969802	1.0	0	0	2.143364278155099	7.232815898006512	PKIA;ANXA6;ADCY3;CALM3;ARRB1;CAMK1;PRKACA;GNAI2
Development of pulmonary dendritic cells and macrophage subsets WP3892	2/13	0.04069787289446008	1.0	0	0	6.141563027790573	19.66270198639476	SPI1;IRF4
Dopamine metabolism WP2436	2/13	0.04069787289446008	1.0	0	0	6.141563027790573	19.66270198639476	PPP2CB;PRKACA
RANKL/RANK (Receptor activator of NFKB (ligand)) Signaling Pathway WP2018	4/55	0.04873844210875919	1.0	0	0	2.9032843404100888	8.771655799951775	SPI1;AKT2;SQSTM1;MAP2K6
Prion disease pathway WP3995	3/33	0.048945080912139005	1.0	0	0	3.6291054255126114	10.94921577625266	PDIA3;SPI1;IRF4
Fibrin Complement Receptor 3 Signaling Pathway WP4136	3/37	0.06484412464483195	1.0	0	0	3.2367697038355723	8.855054123575064	ITGAM;TYROBP;ITGB2
Regulation of Wnt/B-catenin Signaling by Small Molecule Compounds WP3664	2/17	0.06647430838637498	1.0	0	0	4.696489374192791	12.731899711275735	LRP1;FZD7
Parkinsons Disease Pathway WP2371	3/38	0.06914630038031797	1.0	0	0	3.1515915537346357	8.419573664266768	CCNE2;SLC6A3;UBE2J1
Ferroptosis WP4313	3/40	0.07812499551630382	1.0	0	0	2.9940119760479043	7.633069545858934	PCBP1;GCLM;SLC39A14
IL-5 Signaling Pathway WP127	3/40	0.07812499551630382	1.0	0	0	2.9940119760479043	7.633069545858934	GSK3A;RPS6KA1;BTK
Human Thyroid Stimulating Hormone (TSH) signaling pathway WP2032	4/66	0.08352654617625484	1.0	0	0	2.4194036170084074	6.006389111164661	RPS6KA1;ADCY3;GNAI2;MAP2K6
Vitamin A and Carotenoid Metabolism WP716	3/43	0.09248536094933953	1.0	0	0	2.785127419579446	6.63056651440004	RBP7;ALDH1A1;CD36
Prostaglandin Synthesis and Regulation WP98	3/45	0.10261818222605365	1.0	0	0	2.6613439787092483	6.0591886820153	TBXAS1;ANXA6;PPARGC1B
Methionine De Novo and Salvage Pathway WP3580	2/22	0.10414388425205447	1.0	0	0	3.6291054255126114	8.208970544637436	MSRA;TXN
NAD+ biosynthetic pathways WP3645	2/22	0.10414388425205447	1.0	0	0	3.6291054255126114	8.208970544637436	BST1;NADSYN1
Tryptophan metabolism WP465	3/46	0.10784284389531121	1.0	0	0	2.6034886748242645	5.798178236743239	ALDH2;ALDH1A1;CYP1A1
Chemokine signaling pathway WP3929	7/164	0.11873908175508928	1.0	0	0	1.703909254661409	3.630735476331766	AKT2;WAS;ADCY3;ARRB1;RASGRP2;CCL27;GNAI2
Secretion of Hydrochloric Acid in Parietal Cells WP2597	1/5	0.11914118820093654	1.0	0	0	7.984031936127745	16.98559707531037	HRH2
Sulindac Metabolic Pathway WP2542	1/5	0.11914118820093654	1.0	0	0	7.984031936127745	16.98559707531037	MSRA
Differentiation of white and brown adipocyte    WP2895	2/25	0.12890842246783948	1.0	0	0	3.193612774451098	6.542604487253486	PLAC8;PPARGC1B
Signal Transduction of S1P Receptor WP26	2/25	0.12890842246783948	1.0	0	0	3.193612774451098	6.542604487253486	AKT2;GNAI2
Canonical  and Non-canonical Notch signaling WP3845	2/27	0.1460968920179745	1.0	0	0	2.957048865232498	5.687839826803707	MFAP1;DLK2
Eicosanoid Synthesis WP167	2/27	0.1460968920179745	1.0	0	0	2.957048865232498	5.687839826803707	ALOX5;TBXAS1
Intraflagellar transport proteins binding to dynein WP4532	2/27	0.1460968920179745	1.0	0	0	2.957048865232498	5.687839826803707	WDR19;IFT46
Viral Acute Myocarditis WP4298	4/84	0.1596061994243345	1.0	0	0	1.90095998479232	3.488348543313279	PYCARD;CD4;ITGB2;AIF1
Hfe effect on hepcidin production WP3924	1/7	0.16273124584464063	1.0	0	0	5.70287995437696	10.35446385764878	HFE
Pentose Phosphate Metabolism WP134	1/7	0.16273124584464063	1.0	0	0	5.70287995437696	10.35446385764878	TKT
Cannabinoid receptor signaling WP3869	2/29	0.1637191408036955	1.0	0	0	2.753114460733705	4.982043844265942	CYP1A1;PRKACA
Lipid Metabolism Pathway WP3965	2/29	0.1637191408036955	1.0	0	0	2.753114460733705	4.982043844265942	AKT2;PRKACA
Pyrimidine metabolism WP4022	4/85	0.16441431113798552	1.0	0	0	1.8785957496771164	3.391552423493865	CDA;POLR2D;TK2;POLR2J
MAPK Signaling Pathway WP382	9/246	0.1661566087951338	1.0	0	0	1.4604936468526362	2.621329792457924	DUSP10;AKT2;CACNA2D3;ARRB1;HSPA2;PRKACA;RASGRP2;RASGRP4;MAP2K6
Dopaminergic Neurogenesis WP2855	2/30	0.1726661568608228	1.0	0	0	2.6613439787092483	4.674371997175302	ALDH1A1;SLC6A3
Vitamin D Receptor Pathway WP2877	7/182	0.17330831680665879	1.0	0	0	1.5353907569476433	2.6910534202460004	CDKN2D;ITGAM;DUSP10;IRF4;ALOX5;CYP1A1;S100A8
Nuclear Receptors Meta-Pathway WP2882	11/319	0.17904587851604314	1.0	0	0	1.3765572303668525	2.367834264468145	FGD4;HGF;TXNRD1;CYP1A1;SLC39A11;TXN;GCLM;SLC5A3;SLC39A14;SQSTM1;SLC6A3
Ethanol effects on histone modifications WP3996	2/31	0.18169041858172108	1.0	0	0	2.575494172944434	4.392379208156024	ALDH2;ALDH1A1
Hippo-Merlin Signaling Dysregulation WP4541	5/120	0.18308013845221566	1.0	0	0	1.66333998669328	2.8240707035231094	ITGAM;ITGA2;ITGB2;ITGAV;PRKACA
ApoE and miR-146 in inflammation and atherosclerosis WP3926	1/8	0.18371214190848226	1.0	0	0	4.990019960079841	8.455015930870282	SPI1
Insulin signalling in human adipocytes (diabetic condition) WP3635	1/8	0.18371214190848226	1.0	0	0	4.990019960079841	8.455015930870282	AKT2
Insulin signalling in human adipocytes (normal condition) WP3634	1/8	0.18371214190848226	1.0	0	0	4.990019960079841	8.455015930870282	AKT2
NAD Biosynthesis II (from tryptophan) WP2485	1/8	0.18371214190848226	1.0	0	0	4.990019960079841	8.455015930870282	NADSYN1
Phase I biotransformations, non P450 WP136	1/8	0.18371214190848226	1.0	0	0	4.990019960079841	8.455015930870282	LIPA
TFs Regulate miRNAs related to cardiac hypertrophy WP1559	1/8	0.18371214190848226	1.0	0	0	4.990019960079841	8.455015930870282	AKT2
Cytoplasmic Ribosomal Proteins WP477	4/89	0.18414653702587402	1.0	0	0	1.7941644800287067	3.0357683580239536	RPS28;RPS6KA1;RPL36A;RPS10
T-Cell antigen Receptor (TCR)  Signaling Pathway WP69	4/90	0.18919676125363832	1.0	0	0	1.7742293191394989	2.954034580830534	CD4;IRF4;WAS;CD3E
