Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Osteoclast differentiation	13/127	1.775093946360688E-5	0.00546728935479092	0	0	4.102693576128635	44.87966089877773	SPI1;SYK;NCF4;LILRA1;LILRA2;LILRA5;FOSL1;TYROBP;FCGR3B;AKT2;BTK;FCGR2B;MAP2K6
Hematopoietic cell lineage	9/97	7.132511399317303E-4	0.10984067554948647	0	0	3.718777761708985	26.94506238326173	IL11;ITGAM;CR1;FLT3;ITGA2;CD1D;CD1C;CD33;HLA-DPA1
Platelet activation	9/124	0.00393271576267775	0.40375881830158233	0	0	2.909043894240093	16.11152159866557	SYK;AKT2;ITGA2;P2RX1;TBXAS1;BTK;PRKACA;RASGRP2;MYL12A
Tuberculosis	11/179	0.00542075152795714	0.4173978676526998	0	0	2.4630266118829836	12.85089261502421	ITGAM;FCGR3B;CR1;SYK;AKT2;ITGB2;CARD9;TCIRG1;FCGR2B;ATP6V0A1;HLA-DPA1
Fc gamma R-mediated phagocytosis	7/91	0.007712307108642946	0.4750781178924055	0	0	3.083089255433945	14.999037768731213	GSN;SYK;ARPC1B;AKT2;INPPL1;WAS;FCGR2B
Leishmaniasis	6/74	0.010379500416805765	0.5328143547293626	0	0	3.2497427287006446	14.844573033000467	ITGAM;FCGR3B;CR1;ITGB2;NCF4;HLA-DPA1
Phagosome	9/152	0.014193490684288426	0.6245135901086908	0	0	2.3731673874063914	10.097760362275961	ITGAM;FCGR3B;ITGA2;NCF4;ITGB2;TCIRG1;FCGR2B;ATP6V0A1;HLA-DPA1
Fc epsilon RI signaling pathway	5/68	0.027329937014096112	1.0	0	0	2.947070611811859	10.608783990593563	SYK;AKT2;ALOX5;BTK;MAP2K6
Staphylococcus aureus infection	5/68	0.027329937014096112	0.9352911778157336	0	0	2.947070611811859	10.608783990593563	ITGAM;FCGR3B;ITGB2;FCGR2B;HLA-DPA1
B cell receptor signaling pathway	5/71	0.03215413610928344	0.99034739216593	0	0	2.8225465014536115	9.701696876024565	SYK;AKT2;INPPL1;BTK;FCGR2B
Malaria	4/49	0.033556365135316776	0.9395782237888697	0	0	3.2718498220931655	11.10638816468971	CR1;LRP1;GYPC;ITGB2
Glucagon signaling pathway	6/103	0.04422228412323768	1.0	0	0	2.3347666206198805	7.281031463929472	LDHC;AKT2;PYGL;PRKACA;FBP1;CREB5
Legionellosis	4/55	0.04815323704518734	1.0	0	0	2.9149207505920933	8.842024163658012	PYCARD;ITGAM;CR1;ITGB2
Human T-cell leukemia virus 1 infection	10/219	0.04871446534551358	1.0	0	0	1.8301443068785972	5.530292115401894	FOSL1;SPI1;CHEK2;AKT2;ITGB2;PRKACA;IL2;HLA-DPA1;CREB5;SLC25A6
Dilated cardiomyopathy (DCM)	5/91	0.077374648832407	1.0	0	0	2.202206611024246	5.635658319942324	SGCA;ITGA2;CACNA2D3;CACNA2D4;PRKACA
Rheumatoid arthritis	5/91	0.077374648832407	1.0	0	0	2.202206611024246	5.635658319942324	IL11;ITGB2;TCIRG1;HLA-DPA1;ATP6V0A1
Acute myeloid leukemia	4/66	0.08258943168134009	1.0	0	0	2.4291006254934113	6.057869806005826	SPI1;ITGAM;FLT3;AKT2
Autophagy	6/128	0.10141247244246993	1.0	0	0	1.8787575150300602	4.299647782436133	ATG16L2;AKT2;ATG10;PRKACA;ZFYVE1;CAMKK2
Chemokine signaling pathway	8/190	0.1040276183991464	1.0	0	0	1.6875856977112118	3.8191732577841697	CX3CR1;GSK3A;AKT2;CXCR2;WAS;ARRB1;PRKACA;RASGRP2
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	4/72	0.10531919102099033	1.0	0	0	2.22667557336896	5.011711479706742	SGCA;ITGA2;CACNA2D3;CACNA2D4
Thyroid hormone synthesis	4/74	0.11346553890858065	1.0	0	0	2.1664951524670966	4.714848313088854	PRKACA;ASGR1;ASGR2;CREB5
C-type lectin receptor signaling pathway	5/104	0.11879563848371137	1.0	0	0	1.9269307846462156	4.105038125920316	PYCARD;SYK;AKT2;CARD9;IL2
Ovarian steroidogenesis	3/49	0.12303208395108468	1.0	0	0	2.4538873665698744	5.141655014092984	ALOX5;CYP1A1;PRKACA
Cholesterol metabolism	3/50	0.128601317189854	1.0	0	0	2.4048096192384767	4.932356452177673	LRP1;OSBPL5;SORT1
Vibrio cholerae infection	3/50	0.128601317189854	1.0	0	0	2.4048096192384767	4.932356452177673	TCIRG1;PRKACA;ATP6V0A1
Insulin resistance	5/108	0.13328679155478806	1.0	0	0	1.8555629778074667	3.7394272708716367	AKT2;RPS6KA1;PYGL;SLC27A3;CREB5
Tight junction	7/170	0.13383636760233403	1.0	0	0	1.6503595426146411	3.3190997377485445	MARVELD2;WAS;ARHGEF18;CD1D;PRKACA;CD1C;MYL12A
Complement and coagulation cascades	4/79	0.1349843201913791	1.0	0	0	2.029375206108419	4.0640199975034355	ITGAM;CR1;ITGB2;A2M
Biosynthesis of unsaturated fatty acids	2/27	0.1451644549749239	1.0	0	0	2.9689007644919467	5.72964597939032	FADS2;FADS1
Collecting duct acid secretion	2/27	0.1451644549749239	1.0	0	0	2.9689007644919467	5.72964597939032	TCIRG1;ATP6V0A1
Endocytosis	9/244	0.15810954957803677	1.0	0	0	1.4783665692039818	2.7267985495703764	VPS29;CYTH4;CAPZB;IQSEC1;ARPC1B;CXCR2;WAS;ARRB1;EPN1
Hypertrophic cardiomyopathy (HCM)	4/85	0.16278432837254328	1.0	0	0	1.8861251915595898	3.423937933495602	SGCA;ITGA2;CACNA2D3;CACNA2D4
Regulation of actin cytoskeleton	8/214	0.16756152952414213	1.0	0	0	1.498323750304347	2.676612521832238	DIAPH2;GSN;ITGAM;ARPC1B;ITGA2;ITGB2;WAS;MYL12A
Nicotinate and nicotinamide metabolism	2/30	0.17159496050911424	1.0	0	0	2.6720106880427523	4.709735364120289	BST1;NADSYN1
Pentose phosphate pathway	2/30	0.17159496050911424	1.0	0	0	2.6720106880427523	4.709735364120289	TKT;FBP1
Viral myocarditis	3/59	0.1822794030321869	1.0	0	0	2.03797425359193	3.469069503609821	SGCA;ITGB2;HLA-DPA1
Lysosome	5/123	0.19388141088056493	1.0	0	0	1.6292748097821659	2.6728393224659404	SORT1;ARSG;TCIRG1;CTSF;ATP6V0A1
MAPK signaling pathway	10/295	0.2041215989189862	1.0	0	0	1.3586495023946197	2.158947575947367	FLT3;AKT2;RPS6KA1;CACNA2D3;ARRB1;CACNA2D4;PRKACA;RASGRP2;RASGRP4;MAP2K6
Hippo signaling pathway	6/160	0.21095942763964337	1.0	0	0	1.503006012024048	2.3388117986925567	RASSF1;FRMD6;FZD2;RASSF4;ITGB2;NKD1
Amoebiasis	4/96	0.21833576050157452	1.0	0	0	1.67000668002672	2.5412845946487663	ITGAM;ITGB2;CD1D;PRKACA
Natural killer cell mediated cytotoxicity	5/131	0.22952919490766185	1.0	0	0	1.5297771114748582	2.2514112907425994	TYROBP;FCGR3B;SYK;ITGB2;HCST
Epithelial cell signaling in Helicobacter pylori infection	3/68	0.24069522750495437	1.0	0	0	1.7682423670871155	2.518372796101562	CXCR2;TCIRG1;ATP6V0A1
Taurine and hypotaurine metabolism	1/11	0.24270438526211566	1.0	0	0	3.6436509382401168	5.159085799816664	GGT7
Allograft rejection	2/38	0.2448659994548925	1.0	0	0	2.1094821221390148	2.968134498606979	IL2;HLA-DPA1
Longevity regulating pathway	4/102	0.25053402640782724	1.0	0	0	1.5717709929663248	2.1755833765074195	AKT2;PRKACA;CREB5;CAMKK2
Insulin signaling pathway	5/137	0.25741152678544077	1.0	0	0	1.462779573746032	1.9851077384207214	AKT2;INPPL1;PYGL;PRKACA;FBP1
Ferroptosis	2/40	0.26346556444202246	1.0	0	0	2.0040080160320644	2.6730112320046	PCBP1;GCLM
Bladder cancer	2/41	0.27276984512891855	1.0	0	0	1.9551297717385991	2.5399616745811175	RASSF1;UPK3A
Graft-versus-host disease	2/41	0.27276984512891855	1.0	0	0	1.9551297717385991	2.5399616745811175	IL2;HLA-DPA1
Inositol phosphate metabolism	3/74	0.28117407837650027	1.0	0	0	1.6248713643503223	2.0616064108569248	FIG4;IMPA2;INPPL1
Type I diabetes mellitus	2/43	0.29135825394517834	1.0	0	0	1.864193503285641	2.2989265149749634	IL2;HLA-DPA1
Pertussis	3/76	0.29481431932337215	1.0	0	0	1.582111591604261	1.9324062021461406	PYCARD;ITGAM;ITGB2
Adrenergic signaling in cardiomyocytes	5/145	0.29572740502498984	1.0	0	0	1.3820744938152165	1.6838050970123954	AKT2;CACNA2D3;CACNA2D4;PRKACA;CREB5
Vasopressin-regulated water reabsorption	2/44	0.3006315833357493	1.0	0	0	1.8218254691200584	2.1895969020440007	PRKACA;CREB5
Leukocyte transendothelial migration	4/112	0.30607547762490034	1.0	0	0	1.43143429716576	1.694708772602576	ITGAM;NCF4;ITGB2;MYL12A
Cardiac muscle contraction	3/78	0.30849446949072695	1.0	0	0	1.5415446277169724	1.812935660388309	CACNA2D3;CACNA2D4;COX6C
Toxoplasmosis	4/113	0.311713181627131	1.0	0	0	1.4187667370138506	1.6538163812725102	AKT2;ALOX5;MAP2K6;HLA-DPA1
Thiamine metabolism	1/15	0.31554444134617654	1.0	0	0	2.6720106880427523	3.0820460838194843	TPK1
Cysteine and methionine metabolism	2/47	0.3283089077825412	1.0	0	0	1.705538737048565	1.8996295941430157	LDHC;GCLM
Hedgehog signaling pathway	2/47	0.3283089077825412	1.0	0	0	1.705538737048565	1.8996295941430157	ARRB1;PRKACA
Oxytocin signaling pathway	5/153	0.3349081751925745	1.0	0	0	1.3098091608052707	1.4327987853264361	CACNA2D3;CACNA2D4;CAMK1;PRKACA;CAMKK2
Intestinal immune network for IgA production	2/48	0.33747216444826783	1.0	0	0	1.67000668002672	1.814081910119734	IL2;HLA-DPA1
Arginine and proline metabolism	2/49	0.3465972728961172	1.0	0	0	1.6359249110465828	1.7334125719038218	ALDH4A1;P4HA2
Cocaine addiction	2/49	0.3465972728961172	1.0	0	0	1.6359249110465828	1.7334125719038218	PRKACA;CREB5
AMPK signaling pathway	4/120	0.3513719994759129	1.0	0	0	1.3360053440213762	1.397341067695801	AKT2;FBP1;CREB5;CAMKK2
Wnt signaling pathway	5/158	0.35963140842490604	1.0	0	0	1.2683595038177622	1.2971203641798388	FOSL1;FZD2;CSNK2A2;PRKACA;NKD1
Salmonella infection	3/86	0.3632482347064938	1.0	0	0	1.3981451274642307	1.4158579991575921	PYCARD;ARPC1B;WAS
Pantothenate and CoA biosynthesis	1/19	0.38139108902006696	1.0	0	0	2.1094821221390148	2.033392996431885	VNN2
Autoimmune thyroid disease	2/53	0.3826434235258837	1.0	0	0	1.5124588800241994	1.4529462434762603	IL2;HLA-DPA1
Epstein-Barr virus infection	6/201	0.3866749285151185	1.0	0	0	1.1964226961385458	1.1368060502242217	PDIA3;SYK;AKT2;BTK;HLA-DPA1;MAP2K6
Salivary secretion	3/90	0.3904133844435715	1.0	0	0	1.3360053440213762	1.2565786788347324	BST1;PRKACA;CST5
Pathogenic Escherichia coli infection	2/55	0.4003486021478105	1.0	0	0	1.4574603752960467	1.3341878025796103	ARPC1B;WAS
Regulation of lipolysis in adipocytes	2/55	0.4003486021478105	1.0	0	0	1.4574603752960467	1.3341878025796103	AKT2;PRKACA
Relaxin signaling pathway	4/130	0.4079847528236522	1.0	0	0	1.233235702173578	1.1056272246727736	AKT2;ARRB1;PRKACA;CREB5
Rap1 signaling pathway	6/206	0.4089412742798689	1.0	0	0	1.1673833103099402	1.043855147478949	ITGAM;AKT2;MAGI3;ITGB2;RASGRP2;MAP2K6
Glutathione metabolism	2/56	0.40911169681555504	1.0	0	0	1.43143429716576	1.2793688274765	GGT7;GCLM
Dopaminergic synapse	4/131	0.4136053986350768	1.0	0	0	1.2238216891798865	1.0804422929282882	GSK3A;AKT2;PRKACA;CREB5
Pyrimidine metabolism	2/57	0.41781177566433786	1.0	0	0	1.4063214147593432	1.2273307953808836	CDA;TK2
