Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell_Homo sapiens_R-HSA-198933	12/157	5.902137981352993E-4	0.903027111147008	0	0	3.063451744252837	22.776842501258454	TYROBP;CD160;SIGLEC10;ITGB2;CD1D;LILRA1;CD1C;LILRA2;FCGR2B;HCST;CD33;LILRA5
Rap1 signalling_Homo sapiens_R-HSA-392517	3/16	0.006786174399265903	1.0	0	0	7.515030060120241	37.52155245306602	RAP1GAP2;RASGRP2;PRKACA
Synthesis of Lipoxins (LX)_Homo sapiens_R-HSA-2142700	2/6	0.008718577527855507	1.0	0	0	13.36005344021376	63.357370499766176	ALOX5;PTGR1
Arachidonic acid metabolism_Homo sapiens_R-HSA-2142753	5/53	0.01016663953945622	1.0	0	0	3.7811472000604986	17.350336719819445	ALOX5;TBXAS1;DPEP2;CYP1A1;PTGR1
HDL-mediated lipid transport_Homo sapiens_R-HSA-194223	3/19	0.011110451576357781	1.0	0	0	6.328446366417044	28.477179813647258	ZDHHC8;A2M;PRKACA
Synthesis of Leukotrienes (LT) and Eoxins (EX)_Homo sapiens_R-HSA-2142691	3/21	0.014699202274004773	1.0	0	0	5.72573718866304	24.16239366587153	ALOX5;DPEP2;PTGR1
Linoleic acid (LA) metabolism_Homo sapiens_R-HSA-2046105	2/8	0.015744862472324966	1.0	0	0	10.02004008016032	41.5956027971552	FADS2;FADS1
Immune System_Homo sapiens_R-HSA-168256	52/1547	0.017202331697687086	1.0	0	0	1.3472322796854213	5.473414513775999	IFITM3;GSK3A;ITGAM;IFITM2;FLT3;ARPC1B;NCF4;ITGB2;INPPL1;ARRB1;TCIRG1;PYCARD;AKT2;RPS6KA1;CTSF;PRKACA;CD33;HLA-DPA1;PDIA3;ZBP1;IL11;CR1;SYK;SIGIRR;CLEC4A;TYROBP;BTK;HCST;DCTN3;WAS;KLHL11;CD1D;LILRA1;CD1C;LILRA2;RASGRP2;RASGRP4;LILRA5;MAP2K6;ATP6V0A1;IL32;RAP1GAP2;PSPN;CD160;TNFSF12;CARD9;SIGLEC10;LY86;IL2;BST2;GZMM;FCGR2B
Pyrimidine salvage reactions_Homo sapiens_R-HSA-73614	2/9	0.019912211750142357	1.0	0	0	8.90670229347584	34.882405519263955	CDA;TK2
Dectin-2 family_Homo sapiens_R-HSA-5621480	2/10	0.02448392631737818	1.0	0	0	8.016032064128257	29.737382327993018	CLEC4A;SYK
