Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
TYROBP Causal Network WP3945	9/61	1.908816792304933E-5	0.009009615259679284	0	0	5.913466276815927	64.25833769705875	PYCARD;ITGAM;TYROBP;ADAP2;BIN2;ITGB2;RPS6KA1;RNASE6;TCIRG1
Microglia Pathogen Phagocytosis Pathway WP3937	6/40	4.3712200288539626E-4	0.10316079268095352	0	0	6.012024048096192	46.504798911997035	ITGAM;TYROBP;SYK;ARPC1B;ITGB2;NCF4
IL-5 Signaling Pathway WP127	5/40	0.003034158157212663	0.4773742167347923	0	0	5.01002004008016	29.047200757168117	GSK3A;SYK;RPS6KA1;BTK;IL2
Prion disease pathway WP3995	4/33	0.008834014495511208	1.0	0	0	4.858201250986823	22.975141676962267	PDIA3;SPI1;BCL11A;POU2F2
Fibrin Complement Receptor 3 Signaling Pathway WP4136	4/37	0.01318964112943423	1.0	0	0	4.332990304934193	18.754583850507835	ITGAM;TYROBP;SYK;ITGB2
Thiamine metabolic pathways WP4297	2/9	0.019912211750142357	1.0	0	0	8.90670229347584	34.882405519263955	TPK1;TKT
B Cell Receptor Signaling Pathway WP23	6/97	0.03452990902606896	1.0	0	0	2.479185174472657	8.344762272301118	PTPN18;GSK3A;SYK;RPS6KA1;BTK;MAP2K6
Human Complement System WP2806	6/97	0.03452990902606896	1.0	0	0	2.479185174472657	8.344762272301118	FKBP2;CR1;ITGA2;ITGB2;WAS;PRKACA
RANKL/RANK (Receptor activator of NFKB (ligand)) Signaling Pathway WP2018	4/55	0.04815323704518734	1.0	0	0	2.9149207505920933	8.842024163658012	SPI1;SYK;AKT2;MAP2K6
Viral Acute Myocarditis WP4298	5/84	0.058935557970097745	1.0	0	0	2.3857238286096	6.754725331133143	PYCARD;DFFB;SGCA;ITGB2;IL2
Estrogen metabolism WP697	2/18	0.07306905370565892	1.0	0	0	4.45335114673792	11.651526803744126	SULT1A1;CYP1A1
Nucleotide-binding Oligomerization Domain (NOD) pathway WP1433	3/41	0.08203209740102893	1.0	0	0	2.9326946576078985	7.333627283603584	PYCARD;COPS6;CARD9
Glycerophospholipid Biosynthetic Pathway WP2533	2/21	0.09556240546555268	1.0	0	0	3.81715812577536	8.962594845063215	CHKB;GPD1
Tamoxifen metabolism WP691	2/21	0.09556240546555268	1.0	0	0	3.81715812577536	8.962594845063215	SULT1A1;CYP1A1
Interleukin-11 Signaling Pathway WP2332	3/44	0.09661832954836673	1.0	0	0	2.7327382036800874	6.386373134138706	IL11;ITGA2;RPS6KA1
NAD+ biosynthetic pathways WP3645	2/22	0.10344757711016117	1.0	0	0	3.6436509382401168	8.266315525388785	BST1;NADSYN1
Primary Focal Segmental Glomerulosclerosis FSGS WP2572	4/72	0.10531919102099033	1.0	0	0	2.22667557336896	5.011711479706742	KIRREL3;KIRREL2;CR1;UTRN
Integrin-mediated Cell Adhesion WP185	5/101	0.10844583632593366	1.0	0	0	1.9841663525069944	4.407834351901591	ITGAM;AKT2;ITGA2;ITGB2;MAP2K6
Nanoparticle triggered autophagic cell death WP2509	2/23	0.11150273046053624	1.0	0	0	3.485231332229677	7.6455735817600345	CHAF1A;ATG10
Arrhythmogenic Right Ventricular Cardiomyopathy WP2118	4/74	0.11346553890858065	1.0	0	0	2.1664951524670966	4.714848313088854	SGCA;ITGA2;CACNA2D3;CACNA2D4
Catalytic cycle of mammalian Flavin-containing MonoOxygenases (FMOs) WP688	1/5	0.11868930417379521	1.0	0	0	8.016032064128257	17.084136989836733	FMO5
Secretion of Hydrochloric Acid in Parietal Cells WP2597	1/5	0.11868930417379521	1.0	0	0	8.016032064128257	17.084136989836733	HRH2
Cytokines and Inflammatory Response WP530	2/26	0.13655737173852805	1.0	0	0	3.083089255433945	6.138462916245079	IL11;IL2
Arylamine metabolism WP694	1/6	0.14068347176921273	1.0	0	0	6.68002672010688	13.101154263168134	SULT1A1
Benzene metabolism WP3891	1/6	0.14068347176921273	1.0	0	0	6.68002672010688	13.101154263168134	DHDH
Thyroxine (Thyroid Hormone) Production WP1981	1/6	0.14068347176921273	1.0	0	0	6.68002672010688	13.101154263168134	TRH
Eicosanoid Synthesis WP167	2/27	0.1451644549749239	1.0	0	0	2.9689007644919467	5.72964597939032	ALOX5;TBXAS1
DNA IR-Double Strand Breaks (DSBs) and cellular response via ATM WP3959	3/55	0.1576985010678366	1.0	0	0	2.18619056294407	4.038047637132014	RASSF1;CHEK2;TP53BP1
Pentose Phosphate Metabolism WP134	1/7	0.1621298222363275	1.0	0	0	5.72573718866304	10.417165146564741	TKT
Cannabinoid receptor signaling WP3869	2/29	0.16269376292415	1.0	0	0	2.764148987630433	5.0193783437657435	CYP1A1;PRKACA
Lipid Metabolism Pathway WP3965	2/29	0.16269376292415	1.0	0	0	2.764148987630433	5.0193783437657435	AKT2;PRKACA
T-Cell Receptor and Co-stimulatory Signaling WP2583	2/29	0.16269376292415	1.0	0	0	2.764148987630433	5.0193783437657435	GSK3A;IL2
