X1,TB_status_limma_logFC,TB_status_limma_AveExpr,TB_status_limma_t,TB_status_limma_P.Value,TB_status_limma_padj,TB_status_limma_B
RPS10,63.5199062147959,63.3722153650335,28.1313536500883,1.81377204676981e-13,4.60117692824564e-9,15.0635591638495
CDKN2D,35.7777347159636,79.4278205614469,18.6782430161504,4.20586614233203e-11,5.33472061493394e-7,12.7865264824907
MIR6820,-28.3564257271031,18.9042838180687,-18.0769432230799,6.46417334556435e-11,5.46610498100922e-7,12.5589877506382
SNORA20,-34.9829706722903,25.1895869867787,-17.3555046480305,1.10203498864905e-10,6.9891058980123e-7,12.2665585884815
RPL13AP20,37.7665764957107,72.7603636989957,16.5970798695796,1.97469320882588e-10,1.0018803464299e-6,11.9341980953757
BLOC1S1,27.6363526768669,56.5244884820105,16.1740247064969,2.7632746936839e-10,1.16831254048955e-6,11.7367696017807
NACAP1,44.9136379665189,61.6249265059843,15.9384885703549,3.34330988286075e-10,1.21161550154874e-6,11.6228846450038
RPL36A,20.7900842639197,72.2071781203496,15.4095469298704,5.17746330597747e-10,1.64177361432545e-6,11.3562526703657
MPND,34.906372205296,61.6373093298144,15.0413282775817,7.07677322350857e-10,1.99470647926628e-6,11.1613031267969
RPS10P7,27.1300679306739,60.2336096034778,14.6113152506518,1.02834744184771e-9,2.60871179047926e-6,10.9233629325598
PLEK2,-48.2149085241054,35.7148495647521,-14.4238737641685,1.21400564171545e-9,2.79971773809432e-6,10.816029564216
MARVELD2,-32.5220382470669,21.6813588313779,-14.1180446995247,1.59818230122611e-9,3.378557384792e-6,10.6359978025415
C19orf10,33.2632276102202,74.8845242591401,13.8702856928832,2.00466520191909e-9,3.638035665262e-6,10.4855413880094
ATP8B2,20.1029397251082,67.9856798716635,13.868619874788,2.00774595213134e-9,3.638035665262e-6,10.4845154834685
NCF1B,53.0785910873117,54.0139824685715,13.5833236819525,2.61802591385318e-9,4.42760542550851e-6,10.3059283910912
CR1,29.2011654818122,52.8991575701572,13.3831328419881,3.16316782355703e-9,5.01520258424967e-6,10.1771146708066
