Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Osteoclast differentiation	14/127	3.5568038836152396E-6	0.001095495596153494	0	0	4.418285389676992	55.434672439661774	CSF1R;SPI1;NCF1;IL1R1;NCF4;LILRA1;LILRA2;LILRB3;SIRPB1;OSCAR;LILRA5;BTK;FCGR2B;MAP2K6
Hematopoietic cell lineage	11/97	3.004667225987695E-5	0.00462718752802105	0	0	4.545172819866537	47.327787564989926	CSF1R;IL11;CD4;KITLG;IL1R1;ITGA2;CD59;CD1D;CD36;CD1C;CD33
Histidine metabolism	4/23	0.002325613500263887	0.23876298602709242	0	0	6.970462664459354	42.26729217509403	ALDH2;MAOA;ALDH3B1;HNMT
beta-Alanine metabolism	4/31	0.007063385606929442	0.543880691733567	0	0	5.171633589760165	25.614226102266635	AOC3;ALDH2;ALDH3B1;DPYD
Phenylalanine metabolism	3/17	0.008089572477683991	0.49831766462533383	0	0	7.072969468348462	34.071762784976976	AOC3;MAOA;ALDH3B1
Cytokine-cytokine receptor interaction	14/294	0.016248953317589746	0.834112936969607	0	0	1.90857906288768	7.862824283817404	IL11;CSF1R;TSLP;IL1R1;TNFSF12;TNFRSF19;TNFRSF10C;IL36G;CD4;CCL7;IL36RN;LTBR;CCL16;CCL27
Drug metabolism	7/108	0.018590330085063337	0.8179745237427868	0	0	2.597788168930453	10.352481277169009	CDA;MAOA;ALDH3B1;DPYD;MGST2;TK2;MPO
Insulin resistance	7/108	0.018590330085063337	0.7157277082749385	0	0	2.597788168930453	10.352481277169009	PPP1R3C;SLC2A2;PYGL;CD36;SLC27A3;SLC27A2;CREB5
Tryptophan metabolism	4/42	0.0202878311040426	0.6942946644494579	0	0	3.81715812577536	14.878267108239372	TPH2;ALDH2;MAOA;CYP1A1
Chemokine signaling pathway	10/190	0.021255611616169002	0.6546728377780052	0	0	2.1094821221390148	8.123899045287718	GSK3A;NCF1;CCL7;GNG4;WAS;ARRB1;PRKACA;GNG12;CCL16;CCL27
Taurine and hypotaurine metabolism	2/11	0.029437318160463032	0.824244908492965	0	0	7.2873018764802335	25.691325081900818	GGT7;CSAD
Arginine and proline metabolism	4/49	0.033556365135316776	0.8612800384731306	0	0	3.2718498220931655	11.10638816468971	ALDH4A1;ALDH2;MAOA;P4HA2
Dopaminergic synapse	7/131	0.04612167593044894	1.0	0	0	2.1416879560648012	6.588843555926594	PPP2CB;GSK3A;MAOA;GNG4;PRKACA;GNG12;CREB5
Fructose and mannose metabolism	3/33	0.04846676224858994	1.0	0	0	3.6436509382401168	11.028883331885812	HK3;PFKFB4;FBP1
Chemical carcinogenesis	5/82	0.05418343944693712	1.0	0	0	2.443912214673249	7.124932700729416	SULT1A1;ALDH3B1;EPHX1;CYP1A1;MGST2
Tyrosine metabolism	3/36	0.060090063168788566	1.0	0	0	3.34001336005344	9.3918196038763	AOC3;MAOA;ALDH3B1
Serotonergic synapse	6/113	0.06382696631345484	1.0	0	0	2.128150105520776	5.855774221237715	TPH2;MAOA;GNG4;ALOX5;PRKACA;GNG12
MAPK signaling pathway	12/295	0.0673559169112279	1.0	0	0	1.6303794028735437	4.398379718315932	CSF1R;KITLG;DUSP10;IL1R1;CACNA2D3;ARRB1;HSPA2;PRKACA;GNG12;HSPA1B;PGF;MAP2K6
Phagosome	7/152	0.08679412975505439	1.0	0	0	1.8457968568716379	4.5115267440328415	COLEC11;NCF1;ITGA2;NCF4;CD36;FCGR2B;MPO
Lysosome	6/123	0.08780734725067911	1.0	0	0	1.9551297717385991	4.756068429877466	CTSO;LAMP3;ARSG;CTSV;NAGPA;SUMF1
Glycolysis / Gluconeogenesis	4/68	0.08987210021782867	1.0	0	0	2.357656489449487	5.680461459566916	HK3;ALDH2;ALDH3B1;FBP1
