Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell_Homo sapiens_R-HSA-198933	13/157	1.6103187786033625E-4	0.24637877312631445	0	0	3.3187393896072397	28.985565213179193	CD1D;LILRA1;CD1C;LILRA2;LILRB3;PVR;OSCAR;LILRA5;CD300LB;CD300LF;FCGR2B;SIGLEC7;CD33
Cross-presentation of particulate exogenous antigens (phagosomes)_Homo sapiens_R-HSA-1236973	3/8	7.873424749607618E-4	0.6023169933449828	0	0	15.030060120240481	107.41754367338736	NCF1;NCF4;CD36
Phase 1 - Functionalization of compounds_Homo sapiens_R-HSA-211945	8/92	0.0021147815111934062	1.0	0	0	3.485231332229677	21.46485588993794	AOC3;CYP27B1;ALDH2;MAOA;ALDH1A1;EPHX1;TBXAS1;CYP1A1
Glucose metabolism_Homo sapiens_R-HSA-70326	7/79	0.0035599018407233038	1.0	0	0	3.551406610689734	20.02290969346393	HK3;PPP2CB;PFKFB4;PPP1R3C;PYGL;PRKACA;FBP1
Trafficking and processing of endosomal TLR_Homo sapiens_R-HSA-1679131	3/13	0.003663762206263562	1.0	0	0	9.249267766301834	51.8815914997403	TLR8;TLR7;CTSV
Toll-Like Receptors Cascades_Homo sapiens_R-HSA-168898	9/140	0.008584880904085643	1.0	0	0	2.576581734898368	12.258738595930838	PPP2CB;BTK;S100A12;TLR8;TLR7;BPI;CTSV;CD36;MAP2K6
Biological oxidations_Homo sapiens_R-HSA-211859	11/199	0.011573030760196347	1.0	0	0	2.215486248879669	9.87902559775092	SULT1A1;AOC3;CYP27B1;GGT7;ALDH2;MAOA;EPHX1;TBXAS1;ALDH1A1;CYP1A1;MGST2
Neurotransmitter Clearance In The Synaptic Cleft_Homo sapiens_R-HSA-112311	2/8	0.015744862472324966	1.0	0	0	10.02004008016032	41.5956027971552	ALDH2;MAOA
Linoleic acid (LA) metabolism_Homo sapiens_R-HSA-2046105	2/8	0.015744862472324966	1.0	0	0	10.02004008016032	41.5956027971552	FADS2;FADS1
Degradation of the extracellular matrix_Homo sapiens_R-HSA-1474228	7/106	0.016942565190827433	1.0	0	0	2.646803040042349	10.793467392273751	MMP7;ADAM15;CAPN5;SPP1;TLL1;CTSV;MMP10
Pyrimidine salvage reactions_Homo sapiens_R-HSA-73614	2/9	0.019912211750142357	1.0	0	0	8.90670229347584	34.882405519263955	CDA;TK2
Pyrimidine metabolism_Homo sapiens_R-HSA-73848	3/24	0.02117313795562006	1.0	0	0	5.01002004008016	19.313737366186253	CDA;DPYD;TK2
Adaptive Immune System_Homo sapiens_R-HSA-1280218	28/762	0.027191670911054552	1.0	0	0	1.4727617965589972	5.309077363873292	GSK3A;NCF1;NCF4;WAS;CD1D;CTSV;LILRA1;CD1C;LILRA2;PVR;LILRA5;PPP2CB;CTSO;CD300LB;CD36;PRKACA;CD300LF;CD33;RAP1GAP2;NRG1;LILRB3;OSCAR;KITLG;CD4;BTK;OSBPL1A;FCGR2B;SIGLEC7
Highly calcium permeable postsynaptic nicotinic acetylcholine receptors_Homo sapiens_R-HSA-629594	2/11	0.029437318160463032	1.0	0	0	7.2873018764802335	25.691325081900818	CHRNA6;CHRNA9
MyD88 deficiency (TLR2/4)_Homo sapiens_R-HSA-5602498	2/11	0.029437318160463032	1.0	0	0	7.2873018764802335	25.691325081900818	BTK;CD36
IRAK4 deficiency (TLR2/4)_Homo sapiens_R-HSA-5603041	2/11	0.029437318160463032	1.0	0	0	7.2873018764802335	25.691325081900818	BTK;CD36
TRAF6 mediated IRF7 activation in TLR7/8 or 9 signaling_Homo sapiens_R-HSA-975110	2/11	0.029437318160463032	1.0	0	0	7.2873018764802335	25.691325081900818	TLR8;TLR7
Ethanol oxidation_Homo sapiens_R-HSA-71384	2/12	0.0347505757360525	1.0	0	0	6.68002672010688	22.44194481739897	ALDH2;ALDH1A1
TP53 Regulates Transcription of Death Receptors and Ligands_Homo sapiens_R-HSA-6803211	2/12	0.0347505757360525	1.0	0	0	6.68002672010688	22.44194481739897	TNFRSF10C;TP53BP2
Apoptotic execution  phase_Homo sapiens_R-HSA-75153	4/51	0.038088521547117615	1.0	0	0	3.1435419859326497	10.272599517372385	DFFB;H1F0;GSN;LMNB1
The activation of arylsulfatases_Homo sapiens_R-HSA-1663150	2/13	0.040402734490517254	1.0	0	0	6.16617851086789	19.78639007798208	ARSG;SUMF1
RHO GTPases Activate NADPH Oxidases_Homo sapiens_R-HSA-5668599	2/13	0.040402734490517254	1.0	0	0	6.16617851086789	19.78639007798208	NCF1;NCF4
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism_Homo sapiens_R-HSA-2046104	2/13	0.040402734490517254	1.0	0	0	6.16617851086789	19.78639007798208	FADS2;FADS1
alpha-linolenic acid (ALA) metabolism_Homo sapiens_R-HSA-2046106	2/13	0.040402734490517254	1.0	0	0	6.16617851086789	19.78639007798208	FADS2;FADS1
Activation of DNA fragmentation factor_Homo sapiens_R-HSA-211227	2/13	0.040402734490517254	1.0	0	0	6.16617851086789	19.78639007798208	DFFB;H1F0
Apoptosis induced DNA fragmentation_Homo sapiens_R-HSA-140342	2/13	0.040402734490517254	1.0	0	0	6.16617851086789	19.78639007798208	DFFB;H1F0
Thrombin signalling through proteinase activated receptors (PARs)_Homo sapiens_R-HSA-456926	3/32	0.04486378082167966	1.0	0	0	3.7575150300601203	11.663794362384895	GNG4;ARRB1;GNG12
Activation of Matrix Metalloproteinases_Homo sapiens_R-HSA-1592389	3/32	0.04486378082167966	1.0	0	0	3.7575150300601203	11.663794362384895	MMP7;CTSV;MMP10
Glycolysis_Homo sapiens_R-HSA-70171	3/32	0.04486378082167966	1.0	0	0	3.7575150300601203	11.663794362384895	HK3;PPP2CB;PFKFB4
Regulation of TP53 Activity through Association with Co-factors_Homo sapiens_R-HSA-6804759	2/14	0.046373648320711176	1.0	0	0	5.72573718866304	17.583875781291272	TP53BP2;ZNF385A
Synthesis of bile acids and bile salts via 24-hydroxycholesterol_Homo sapiens_R-HSA-193775	2/14	0.046373648320711176	1.0	0	0	5.72573718866304	17.583875781291272	AMACR;SLC27A2
Activation of Nicotinic Acetylcholine Receptors_Homo sapiens_R-HSA-629602	2/14	0.046373648320711176	1.0	0	0	5.72573718866304	17.583875781291272	CHRNA6;CHRNA9
Postsynaptic nicotinic acetylcholine receptors_Homo sapiens_R-HSA-622327	2/14	0.046373648320711176	1.0	0	0	5.72573718866304	17.583875781291272	CHRNA6;CHRNA9
Acetylcholine Binding And Downstream Events_Homo sapiens_R-HSA-181431	2/14	0.046373648320711176	1.0	0	0	5.72573718866304	17.583875781291272	CHRNA6;CHRNA9
Glucagon signaling in metabolic regulation_Homo sapiens_R-HSA-163359	3/33	0.04846676224858994	1.0	0	0	3.6436509382401168	11.028883331885812	GNG4;PRKACA;GNG12
Regulation of insulin secretion_Homo sapiens_R-HSA-422356	5/80	0.04966214494589626	1.0	0	0	2.50501002004008	7.521323414847437	GNG4;SLC2A2;PRKACA;GNG12;SLC25A6
Immune System_Homo sapiens_R-HSA-168256	49/1547	0.050067609059136785	1.0	0	0	1.2695073404728008	3.801388666965553	GSK3A;NCF1;NCF4;ARRB1;CTSV;PVR;SIRPB1;CTSO;DUSP10;CD36;PRKACA;CD33;ZBP1;IL11;IL1R1;NRG1;OSCAR;BTK;TLR8;BPI;TLR7;CSF1R;COLEC11;WAS;CD1D;LILRA1;CD1C;LILRA2;SAMHD1;LILRA5;PPP2CB;CD300LB;S100A12;CD59;CD300LF;MAP2K6;RAP1GAP2;TNFSF12;CARD9;IL36G;LILRB3;BST2;GZMM;KITLG;CD4;LTBR;OSBPL1A;FCGR2B;SIGLEC7
TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation_Homo sapiens_R-HSA-975138	5/83	0.05653065817293853	1.0	0	0	2.4144674891952578	6.936697890881102	PPP2CB;TLR8;S100A12;TLR7;MAP2K6
