"","TB_status_limma_logFC","TB_status_limma_AveExpr","TB_status_limma_t","TB_status_limma_P.Value","TB_status_limma_padj","TB_status_limma_B"
"BLOC1S1",29.1388553166579,64.3100365244387,21.32409333679,1.75075171356194e-16,3.95347251060081e-12,23.4817919643266
"MIR6820",-27.5450257172868,12.2884940586858,-20.7617093907625,3.11689728051152e-16,3.95347251060081e-12,23.1369859238455
"CEACAM4",51.5394283758527,40.9403405425301,18.4033510568851,4.124855681087e-15,2.1466431377008e-11,21.5032542047205
"KHDRBS3",-58.2570512758359,29.9222210813553,-18.2550857765214,4.89911344394621e-15,2.1466431377008e-11,21.3893433901571
"MARC1",49.4858035602702,53.5537959534098,18.2506026108748,4.92475685236598e-15,2.1466431377008e-11,21.3858766263825
"GEM",-76.2678562017967,37.4413487617855,-18.1923830981284,5.27075674964911e-15,2.1466431377008e-11,21.3407361676515
"RASD2",-44.9973692900655,20.0722402889182,-18.0926677481687,5.9234082166137e-15,2.1466431377008e-11,21.2629006014559
"MANSC4",-22.2251983210116,9.26049930042151,-17.7127533398962,9.28968072145283e-15,2.94575775677269e-11,20.9602065551535
"EFNB2",-57.8040400337469,30.6429107495145,-17.1878964622825,1.75420215559813e-14,4.94451114257925e-11,20.5254787116418
"SLC39A11",29.3614479489725,65.4756357448833,16.3963896352069,4.72596550052318e-14,1.19888292817272e-10,19.8314478733184
"FCRL4",-50.0932762821913,20.8721984509131,-15.7274921617658,1.12786049197307e-13,2.27238054023617e-10,19.2064011103068
"C11orf91",-35.5553167121909,15.8385881132287,-15.6181853146203,1.30397647103973e-13,2.27238054023617e-10,19.100724853094
"SNORA18",-46.3232509413141,21.7013898280116,-15.6073541959912,1.32292097909031e-13,2.27238054023617e-10,19.0901979632083
"SNORD76",-43.3253766526128,20.8557538899336,-15.5704427445444,1.389661142982e-13,2.27238054023617e-10,19.0542477029449
"SH2D5",-27.2743838958879,12.2194187260767,-15.5579466974085,1.41304126137972e-13,2.27238054023617e-10,19.0420505214553
"CYP1A1",-34.0941247117555,14.9327449985901,-15.535888831422,1.4553155013889e-13,2.27238054023617e-10,19.0204873701989
"CLEC12B",50.0479639387392,47.8299598905791,15.5020206278988,1.5228031056455e-13,2.27238054023617e-10,18.987296967397
"ALDH1A1",41.6970242122017,65.7393580449025,15.3015463307528,1.99486703827544e-13,2.81143261260953e-10,18.78878837031
"SNORA13",-33.6103860861014,15.8520062607952,-14.8822739419454,3.54286294005613e-13,4.67117991362586e-10,18.3620567739491
