Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Serotonin Transporter Activity WP1455	4/11	1.099040161946049E-4	0.05187469564385351	0	0	14.574603752960467	132.86067630738538	PPP2CB;TPH2;IL1R1;MAOA
Human Complement System WP2806	10/97	1.542121092334284E-4	0.036394057779089106	0	0	4.131975290787761	36.26709737214078	PRNP;ITGA2;FPR1;WAS;SPP1;F13A1;SERPING1;CD59;VSIG4;PRKACA
TYROBP Causal Network WP3945	7/61	7.858880770482562E-4	0.12364639078892564	0	0	4.599362659745721	32.879446236085506	LYL1;CD4;ADAP2;KCNE3;DPYD;RNASE6;SPP1
Vitamin D Receptor Pathway WP2877	12/182	0.0021158922164631173	0.24967528154264784	0	0	2.6426479332290955	16.274162488535893	LRRC25;CDKN2D;CYP27B1;COLEC11;STEAP4;DUSP10;ALOX5;CYP1A1;SPP1;KLF4;S100A8;PTHLH
Dopamine metabolism WP2436	3/13	0.003663762206263562	0.3458591522712803	0	0	9.249267766301834	51.8815914997403	PPP2CB;MAOA;PRKACA
Fatty Acid Omega Oxidation WP206	3/15	0.005616675024640031	0.44184510193834914	0	0	8.016032064128257	41.5392017858638	ALDH2;ALDH1A1;CYP1A1
Benzene metabolism WP3891	2/6	0.008718577527855507	0.5878812275925428	0	0	13.36005344021376	63.357370499766176	EPHX1;MPO
Hematopoietic Stem Cell Differentiation WP2849	5/55	0.011837257246385426	0.6983981775367402	0	0	3.6436509382401168	16.165069513023667	LYL1;KITLG;SPI1;LMO2;CBFA2T3
Glycogen Synthesis and Degradation WP500	4/40	0.01721887297349511	0.9030342270544103	0	0	4.008016032064129	16.27955603534299	HK3;PPP2CB;GSK3A;PYGL
Benzo(a)pyrene metabolism WP696	2/9	0.019912211750142357	0.9398563946067192	0	0	8.90670229347584	34.882405519263955	EPHX1;CYP1A1
Endochondral Ossification WP474	5/64	0.021653685918731746	0.9291399776037622	0	0	3.1312625250501003	12.000812840483258	SPP1;CTSV;PRKACA;PTHLH;CST5
Vitamin A and Carotenoid Metabolism WP716	4/43	0.021940344052406784	0.8629868660613336	0	0	3.728387006571282	14.240306259941201	SULT1A1;RBP7;ALDH1A1;CD36
Monoamine Transport WP727	3/32	0.04486378082167966	1.0	0	0	3.7575150300601203	11.663794362384895	TPH2;PPP2CB;IL1R1
Prion disease pathway WP3995	3/33	0.04846676224858994	1.0	0	0	3.6436509382401168	11.028883331885812	PRNP;SPI1;BCL11A
Type 2 papillary renal cell carcinoma WP4241	3/34	0.05220691871825585	1.0	0	0	3.536484734174231	10.44161352250808	ARNT2;EPAS1;TFEB
Melatonin metabolism and effects WP3298	3/37	0.06422834016420031	1.0	0	0	3.2497427287006446	8.921553583201426	SULT1A1;MAOA;CYP1A1
Regulation of Wnt/B-catenin Signaling by Small Molecule Compounds WP3664	2/17	0.06600916139257469	1.0	0	0	4.715312978898974	12.816040257505042	LRP1;FZD7
Estrogen metabolism WP697	2/18	0.07306905370565892	1.0	0	0	4.45335114673792	11.651526803744126	SULT1A1;CYP1A1
Simplified Depiction of MYD88 Distinct Input-Output Pathway WP3877	2/18	0.07306905370565892	1.0	0	0	4.45335114673792	11.651526803744126	TLR8;TLR7
Amino Acid metabolism WP3925	5/91	0.077374648832407	1.0	0	0	2.202206611024246	5.635658319942324	AOC3;MAOA;P4HA2;ALDH1A1;HNMT
Microglia Pathogen Phagocytosis Pathway WP3937	3/40	0.07739908621583053	1.0	0	0	3.006012024048096	7.691724362083672	NCF1;NCF4;SIGLEC7
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP3932	12/303	0.07861149361710479	1.0	0	0	1.5873330820055953	4.036964798527233	PPP2CB;CSF1R;KITLG;PFKFB4;EPAS1;GNG4;ITGA2;SPP1;SLC2A2;GNG12;PGF;CREB5
Imatinib and Chronic Myeloid Leukemia WP3640	2/20	0.08786114136940477	1.0	0	0	4.008016032064129	9.74748557011972	CSF1R;LYL1
MAPK Signaling Pathway WP382	10/246	0.089764698095239	1.0	0	0	1.6292748097821659	3.927470384580935	DUSP10;IL1R1;LRRK2;CACNA2D3;ARRB1;HSPA2;PRKACA;GNG12;HSPA1B;MAP2K6
Nicotine Activity on Dopaminergic Neurons WP1602	2/21	0.09556240546555268	1.0	0	0	3.81715812577536	8.962594845063215	CHRNA6;PRKACA
Tamoxifen metabolism WP691	2/21	0.09556240546555268	1.0	0	0	3.81715812577536	8.962594845063215	SULT1A1;CYP1A1
Hedgehog Signaling Pathway WP4249	3/44	0.09661832954836673	1.0	0	0	2.7327382036800874	6.386373134138706	FBXL17;ARRB1;PRKACA
Interleukin-11 Signaling Pathway WP2332	3/44	0.09661832954836673	1.0	0	0	2.7327382036800874	6.386373134138706	IL11;FES;ITGA2
Glycolysis and Gluconeogenesis WP534	3/45	0.1016992302730803	1.0	0	0	2.6720106880427523	6.107509805101435	HK3;SLC2A2;FBP1
PI3K/AKT/mTOR - VitD3 Signalling WP4141	2/22	0.10344757711016117	1.0	0	0	3.6436509382401168	8.266315525388785	HK3;PFKFB4
Regulation of Apoptosis by Parathyroid Hormone-related Protein WP3872	2/22	0.10344757711016117	1.0	0	0	3.6436509382401168	8.266315525388785	GSK3A;PTHLH
Tryptophan metabolism WP465	3/46	0.10688428785249275	1.0	0	0	2.6139234991722575	5.844755036032491	ALDH2;ALDH1A1;CYP1A1
Wnt Signaling Pathway and Pluripotency WP399	5/102	0.11184507170902207	1.0	0	0	1.964713741207906	4.303981794227358	PPP2CB;FZD2;MMP7;FZD7;LRRK2
Thymic Stromal LymphoPoietin (TSLP) Signaling Pathway WP2203	3/47	0.11217028588938205	1.0	0	0	2.5583081055728476	5.59690569039288	TSLP;FES;BTK
Chemokine signaling pathway WP3929	7/164	0.11695387683314273	1.0	0	0	1.7107385502712744	3.6712032501741234	NCF1;CCL7;GNG4;WAS;ARRB1;GNG12;CCL27
Differentiation Pathway WP2848	3/48	0.1175539758693608	1.0	0	0	2.50501002004008	5.362869944325314	CSF1R;IL11;KITLG
Secretion of Hydrochloric Acid in Parietal Cells WP2597	1/5	0.11868930417379521	1.0	0	0	8.016032064128257	17.084136989836733	HRH2
Sulindac Metabolic Pathway WP2542	1/5	0.11868930417379521	1.0	0	0	8.016032064128257	17.084136989836733	MSRA
Regulation of toll-like receptor signaling pathway WP1449	6/139	0.13494437915305824	1.0	0	0	1.7300788627614943	3.4651621373081496	BTK;SPP1;TLR8;TLR7;CTNNAL1;MAP2K6
Cytokines and Inflammatory Response WP530	2/26	0.13655737173852805	1.0	0	0	3.083089255433945	6.138462916245079	IL11;CD4
Copper homeostasis WP3286	3/52	0.13999992801020142	1.0	0	0	2.3123169415754585	4.546277255863601	PRNP;STEAP4;SLC31A1
Arylamine metabolism WP694	1/6	0.14068347176921273	1.0	0	0	6.68002672010688	13.101154263168134	SULT1A1
Thyroxine (Thyroid Hormone) Production WP1981	1/6	0.14068347176921273	1.0	0	0	6.68002672010688	13.101154263168134	TRH
let-7 inhibition of ES cell reprogramming WP3299	1/6	0.14068347176921273	1.0	0	0	6.68002672010688	13.101154263168134	KLF4
Eicosanoid Synthesis WP167	2/27	0.1451644549749239	1.0	0	0	2.9689007644919467	5.72964597939032	ALOX5;TBXAS1
Aflatoxin B1 metabolism WP699	1/7	0.1621298222363275	1.0	0	0	5.72573718866304	10.417165146564741	EPHX1
MicroRNA for Targeting Cancer Growth and Vascularization in Glioblastoma WP3593	1/7	0.1621298222363275	1.0	0	0	5.72573718866304	10.417165146564741	HEY1
Cannabinoid receptor signaling WP3869	2/29	0.16269376292415	1.0	0	0	2.764148987630433	5.0193783437657435	CYP1A1;PRKACA
Calcium Regulation in the Cardiac Cell WP536	6/149	0.16937081345091762	1.0	0	0	1.6139661874083737	2.865862955903672	GNG4;PKIA;ARRB1;CAMK1;PRKACA;GNG12
Matrix Metalloproteinases WP129	2/30	0.17159496050911424	1.0	0	0	2.6720106880427523	4.709735364120289	MMP7;MMP10
Ethanol effects on histone modifications WP3996	2/31	0.18057393039320113	1.0	0	0	2.5858167948800825	4.425922809233922	ALDH2;ALDH1A1
Toll-like Receptor Signaling WP3858	2/31	0.18057393039320113	1.0	0	0	2.5858167948800825	4.425922809233922	TLR8;TLR7
Kit receptor signaling pathway WP304	3/59	0.1822794030321869	1.0	0	0	2.03797425359193	3.469069503609821	KITLG;BTK;SH2B2
ApoE and miR-146 in inflammation and atherosclerosis WP3926	1/8	0.18304197291732785	1.0	0	0	5.01002004008016	8.507213387954755	SPI1
Effects of Nitric Oxide WP1995	1/8	0.18304197291732785	1.0	0	0	5.01002004008016	8.507213387954755	MB
Myometrial Relaxation and Contraction Pathways WP289	6/156	0.19543060612264207	1.0	0	0	1.5415446277169724	2.5166485562862424	GNG4;PKIA;ARRB1;PRKACA;GNG12;DGKZ
Fluoropyrimidine Activity WP1601	2/33	0.19872802219851757	1.0	0	0	2.4291006254934113	3.924984785802817	CDA;DPYD
Monoamine GPCRs WP58	2/33	0.19872802219851757	1.0	0	0	2.4291006254934113	3.924984785802817	HRH1;HRH2
Oxidative Stress WP408	2/33	0.19872802219851757	1.0	0	0	2.4291006254934113	3.924984785802817	MAOA;CYP1A1
Signal transduction through IL1R WP4496	2/33	0.19872802219851757	1.0	0	0	2.4291006254934113	3.924984785802817	IL1R1;MAP2K6
G Protein Signaling Pathways WP35	4/93	0.20268303301880494	1.0	0	0	1.7238778632533887	2.7515020301550948	GNG4;AKAP7;PRKACA;GNG12
Folate-Alcohol and Cancer Pathway Hypotheses WP1589	1/9	0.2034332036105457	1.0	0	0	4.45335114673792	7.091594592595487	ALDH1A1
Macrophage markers WP4146	1/9	0.2034332036105457	1.0	0	0	4.45335114673792	7.091594592595487	CD163
Methylation Pathways WP704	1/9	0.2034332036105457	1.0	0	0	4.45335114673792	7.091594592595487	HNMT
Pyrimidine metabolism and related diseases WP4225	1/9	0.2034332036105457	1.0	0	0	4.45335114673792	7.091594592595487	DPYD
Ebola Virus Pathway on Host WP4217	5/129	0.220438319428185	1.0	0	0	1.5534945860713676	2.349097192387143	BST2;GSN;ITGA2;TYRO3;ASGR1
Trans-sulfuration pathway WP2333	1/10	0.22331646466575467	1.0	0	0	4.008016032064129	6.008678915692337	CSAD
Vitamin D Metabolism WP1531	1/10	0.22331646466575467	1.0	0	0	4.008016032064129	6.008678915692337	CYP27B1
Wnt Signaling in Kidney Disease WP4150	2/36	0.22632085176125513	1.0	0	0	2.22667557336896	3.308398103918243	FZD2;FZD7
Association Between Physico-Chemical Features and Toxicity Associated Pathways WP3680	3/66	0.2274211998774077	1.0	0	0	1.8218254691200584	2.698035115244598	FZD2;FZD7;CAMK1
PPAR signaling pathway WP3942	3/67	0.234041265505709	1.0	0	0	1.7946340442078186	2.6062713442233294	FADS2;CD36;SLC27A2
miRNAs involvement in the immune response in sepsis WP4329	2/37	0.23558328242720192	1.0	0	0	2.1664951524670966	3.132082082352866	TLR8;TLR7
Methionine metabolism leading to Sulphur Amino Acids and related disorders WP4292	1/11	0.24270438526211566	1.0	0	0	3.6436509382401168	5.159085799816664	CSAD
Nucleotide GPCRs WP80	1/11	0.24270438526211566	1.0	0	0	3.6436509382401168	5.159085799816664	LTB4R
SRF and miRs in Smooth Muscle Differentiation and Proliferation WP1991	1/11	0.24270438526211566	1.0	0	0	3.6436509382401168	5.159085799816664	KLF4
Parkinsons Disease Pathway WP2371	2/38	0.2448659994548925	1.0	0	0	2.1094821221390148	2.968134498606979	LRRK2;SNCA
Parkin-Ubiquitin Proteasomal System pathway WP2359	3/70	0.25409344878000956	1.0	0	0	1.7177211565989121	2.353369317565394	HSPA2;HSPA1B;SNCA
Toll-like Receptor Signaling Pathway WP75	4/103	0.25599822083675244	1.0	0	0	1.5565110804132536	2.1208783148948935	SPP1;TLR8;TLR7;MAP2K6
MAPK  and NFkB Signalling Pathways Inhibited by Yersinia YopJ WP3849	1/12	0.26160928125317606	1.0	0	0	3.34001336005344	4.4786345398527265	MAP2K6
Ferroptosis WP4313	2/40	0.26346556444202246	1.0	0	0	2.0040080160320644	2.6730112320046	PRNP;SLC7A11
IL-5 Signaling Pathway WP127	2/40	0.26346556444202246	1.0	0	0	2.0040080160320644	2.6730112320046	GSK3A;BTK
Development of pulmonary dendritic cells and macrophage subsets WP3892	1/13	0.28004316287106085	1.0	0	0	3.083089255433945	3.924191566463159	SPI1
Estrogen Receptor Pathway WP2881	1/13	0.28004316287106085	1.0	0	0	3.083089255433945	3.924191566463159	CYP1A1
Kennedy pathway from Sphingolipids WP3933	1/13	0.28004316287106085	1.0	0	0	3.083089255433945	3.924191566463159	CHKB
Osteopontin Signaling WP1434	1/13	0.28004316287106085	1.0	0	0	3.083089255433945	3.924191566463159	SPP1
ncRNAs involved in STAT3 signaling in hepatocellular carcinoma WP4337	1/13	0.28004316287106085	1.0	0	0	3.083089255433945	3.924191566463159	IL11
Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation WP314	2/42	0.28206925448515735	1.0	0	0	1.90857906288768	2.4155027291038484	DFFB;LMNB1
Cysteine and methionine catabolism WP4504	1/14	0.29801774237092626	1.0	0	0	2.86286859433152	3.4657951791914905	CSAD
NRF2 pathway WP2884	5/146	0.3005873172648354	1.0	0	0	1.372608230158948	1.649898418692762	SLC39A11;MGST2;SLC2A2;NRG1;SLC7A11
Metapathway biotransformation Phase I and II WP702	6/183	0.30702842518690104	1.0	0	0	1.314103617070206	1.5517131909665904	SULT1A1;CYP27B1;EPHX1;CYP1A1;MGST2;HNMT
Biogenic Amine Synthesis WP550	1/15	0.31554444134617654	1.0	0	0	2.6720106880427523	3.0820460838194843	MAOA
Classical pathway of steroidogenesis, including diseases WP4523	1/15	0.31554444134617654	1.0	0	0	2.6720106880427523	3.0820460838194843	H6PD
GPCRs, Class C Metabotropic glutamate, pheromone WP501	1/15	0.31554444134617654	1.0	0	0	2.6720106880427523	3.0820460838194843	GPRC5A
Phytochemical activity on NRF2 transcriptional activation WP3	1/15	0.31554444134617654	1.0	0	0	2.6720106880427523	3.0820460838194843	SLC7A11
Role of Osx and miRNAs in tooth development WP3971	1/15	0.31554444134617654	1.0	0	0	2.6720106880427523	3.0820460838194843	KLF4
Aryl Hydrocarbon Receptor WP2586	2/46	0.31911152054298275	1.0	0	0	1.7426156661148384	1.990441131153559	CYP1A1;CD36
Regulation of Microtubule Cytoskeleton WP2038	2/46	0.31911152054298275	1.0	0	0	1.7426156661148384	1.990441131153559	PRKACA;MARK1
Cori Cycle WP1946	1/16	0.33263439792491434	1.0	0	0	2.50501002004008	2.757292826325945	SLC2A2
Deregulation of Rab and Rab Effector Genes in Bladder Cancer WP2291	1/16	0.33263439792491434	1.0	0	0	2.50501002004008	2.757292826325945	UNC13D
ID signaling pathway WP53	1/16	0.33263439792491434	1.0	0	0	2.50501002004008	2.757292826325945	ID3
Osteoclast Signaling WP12	1/16	0.33263439792491434	1.0	0	0	2.50501002004008	2.757292826325945	SPP1
Exercise-induced Circadian Regulation WP410	2/48	0.33747216444826783	1.0	0	0	1.67000668002672	1.814081910119734	PPP2CB;PPP1R3C
Spinal Cord Injury WP2431	4/118	0.3400191325681971	1.0	0	0	1.3586495023946197	1.4656477574752909	EFNB2;IL1R1;LILRB3;LTB4R
Structural Pathway of Interleukin 1 (IL-1) WP2637	2/49	0.3465972728961172	1.0	0	0	1.6359249110465828	1.7334125719038218	IL1R1;MAP2K6
Amplification and Expansion of Oncogenic Pathways as Metastatic Traits WP3678	1/17	0.3492984738086775	1.0	0	0	2.357656489449487	2.4798502804764877	EPAS1
Leptin Insulin Overlap WP3935	1/17	0.3492984738086775	1.0	0	0	2.357656489449487	2.4798502804764877	DGKZ
Platelet-mediated interactions with vascular and circulating cells WP4462	1/17	0.3492984738086775	1.0	0	0	2.357656489449487	2.4798502804764877	TLR7
Sulfation Biotransformation Reaction WP692	1/17	0.3492984738086775	1.0	0	0	2.357656489449487	2.4798502804764877	SULT1A1
