Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Vibrio cholerae infection	6/50	0.0014820217457412615	0.45646269768830855	0	0	4.8	31.26887077908564	KCNQ1;ADCY3;PLCG1;PRKACA;ATP6V1D;ATP6V0A1
Dilated cardiomyopathy (DCM)	7/91	0.007793448162696157	1.0	0	0	3.076923076923077	14.93683654587159	LMNA;CACNA2D3;ITGB8;ADCY3;ITGAV;PRKACA;SLC8A1
Chemokine signaling pathway	11/190	0.008476604918739727	0.8702647716572787	0	0	2.31578947368421	11.047346947308263	NCF1;CCL7;GNG4;WAS;ADCY3;ARRB1;CXCR6;PRKACA;RASGRP2;PLCB2;MAPK3
Adrenergic signaling in cardiomyocytes	9/145	0.010798033066635283	0.8314485461309168	0	0	2.482758620689655	11.242902500436786	CREB3;PPP2CB;KCNQ1;CACNA2D3;ADCY3;PRKACA;PLCB2;SLC8A1;MAPK3
Ribosome biogenesis in eukaryotes	7/101	0.013413164283940805	0.8262509198907535	0	0	2.7722772277227725	11.952724956502475	RBM28;UTP6;WDR3;CSNK2A2;RPP40;REXO2;RPP38
Apelin signaling pathway	8/137	0.021940705845488007	1.0	0	0	2.335766423357664	8.921253496118961	CDH1;GNG4;SPP1;ADCY3;PRKACA;PLCB2;SLC8A1;MAPK3
Cholinergic synapse	7/112	0.022431444848228562	0.9869835733220568	0	0	2.5	9.493228791607109	CREB3;GNG4;KCNQ1;ADCY3;PRKACA;PLCB2;MAPK3
Hepatocellular carcinoma	9/168	0.0256658294226503	0.9881344327720366	0	0	2.142857142857143	7.848417356197167	WNT10B;NQO1;SMARCD3;TXNRD1;ACTL6A;PLCG1;BAK1;MET;MAPK3
Taurine and hypotaurine metabolism	2/11	0.02954667996708659	1.0	0	0	7.2727272727272725	25.612973778194785	GGT7;CSAD
Adherens junction	5/72	0.034121963499969904	1.0	0	0	2.7777777777777777	9.38281669756106	CDH1;CSNK2A2;WAS;MET;MAPK3
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	5/72	0.034121963499969904	0.9554149779991573	0	0	2.7777777777777777	9.38281669756106	LMNA;CACNA2D3;ITGB8;ITGAV;SLC8A1
Melanoma	5/72	0.034121963499969904	0.8757970631658942	0	0	2.7777777777777777	9.38281669756106	CDH1;FGF18;BAK1;MET;MAPK3
Hematopoietic cell lineage	6/97	0.034816933065960357	0.8248934911012147	0	0	2.4742268041237114	8.307591162530308	CD4;CSF3R;CR1;CD1E;CD59;CD1D
Platelet activation	7/124	0.03629100572845635	0.7984021260260398	0	0	2.258064516129032	7.488160455296562	P2RX1;BTK;ADCY3;PRKACA;RASGRP2;PLCB2;MAPK3
Oocyte meiosis	7/125	0.03765326408972758	0.7731470226424063	0	0	2.2399999999999998	7.345711817659683	PPP2CB;CCNB1;CDC26;ADCY3;PRKACA;YWHAG;MAPK3
Thyroid hormone synthesis	5/74	0.037751290429200716	0.7267123407621138	0	0	2.7027027027027026	8.856042217071249	CREB3;ADCY3;PRKACA;PLCB2;ASGR2
Phosphatidylinositol signaling system	6/99	0.03790132072194009	0.6866827519033852	0	0	2.4242424242424243	7.93398623019715	DGKG;PPIP5K1;INPPL1;PLCG1;DGKZ;PLCB2
Ribosome	8/153	0.03870333178459044	0.6622570105363254	0	0	2.0915032679738563	6.801212214435727	MRPS11;MRPL17;MRPL14;MRPL13;MRPL35;MRPL32;MRPS5;MRPS18C
Melanogenesis	6/101	0.04115481492961408	0.6671412104379545	0	0	2.376237623762376	7.581182612623305	WNT10B;CREB3;ADCY3;PRKACA;PLCB2;MAPK3
Galactose metabolism	3/31	0.04160691113161275	0.6407464314268363	0	0	3.8709677419354835	12.307699325969082	HK3;GAA;GLA
RNA polymerase	3/31	0.04160691113161275	0.610234696596987	0	0	3.8709677419354835	12.307699325969082	POLR2J3;POLR3C;POLR2D
Relaxin signaling pathway	7/130	0.0449669377075316	0.6295371279054425	0	0	2.1538461538461537	6.680859827081968	CREB3;GNG4;ADCY3;ARRB1;PRKACA;PLCB2;MAPK3
Parathyroid hormone synthesis, secretion and action	6/106	0.0500409395743879	0.6701134516918031	0	0	2.2641509433962264	6.780936944361775	CREB3;ADCY3;ARRB1;PRKACA;PLCB2;MAPK3
Prion diseases	3/35	0.056354567885378765	0.7232169545290276	0	0	3.4285714285714284	9.860886785287258	PRNP;PRKACA;MAPK3
Hypertrophic cardiomyopathy (HCM)	5/85	0.0618191895456952	0.7616124152029649	0	0	2.352941176470588	6.5495092994558615	LMNA;CACNA2D3;ITGB8;ITGAV;SLC8A1
Primary immunodeficiency	3/37	0.06453588403923348	0.7645020109263043	0	0	3.2432432432432434	8.888217950878486	CD4;BTK;ADA
Thyroid cancer	3/37	0.06453588403923348	0.7361871216327375	0	0	3.2432432432432434	8.888217950878486	CDH1;BAK1;MAPK3
Glutamatergic synapse	6/114	0.06653353765237376	0.7318689141761113	0	0	2.1052631578947367	5.705366595473973	HOMER1;GNG4;ADCY3;PRKACA;PLCB2;MAPK3
Thyroid hormone signaling pathway	6/116	0.07109725651068904	0.7551018967342147	0	0	2.068965517241379	5.469737646755102	THRA;ITGAV;PLCG1;PRKACA;PLCB2;MAPK3
