Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Mitochondrial translation initiation_Homo sapiens_R-HSA-5368286	8/84	0.0011921825256332765	1.0	0	0	3.8095238095238093	25.645598462972284	MRPS11;MRPL17;MRPL14;MRPL35;MRPL13;MRPL32;MRPS5;MRPS18C
Mitochondrial translation termination_Homo sapiens_R-HSA-5419276	8/84	0.0011921825256332765	0.9120196321094565	0	0	3.8095238095238093	25.645598462972284	MRPS11;MRPL17;MRPL14;MRPL35;MRPL13;MRPL32;MRPS5;MRPS18C
Mitochondrial translation elongation_Homo sapiens_R-HSA-5389840	8/84	0.0011921825256332765	0.6080130880729709	0	0	3.8095238095238093	25.645598462972284	MRPS11;MRPL17;MRPL14;MRPL35;MRPL13;MRPL32;MRPS5;MRPS18C
Organelle biogenesis and maintenance_Homo sapiens_R-HSA-1852241	18/326	0.001518488515430963	0.5808218571523434	0	0	2.2085889570552144	14.33383031398126	ARF4;MKKS;SMARCD3;MRPS11;MRPL17;MRPL14;NR1D1;MRPL13;MRPL35;MRPL32;MRPS5;MRPS18C;IFT43;ARL13B;PRKACA;IFT46;PPARGC1B;YWHAG
Mitochondrial translation_Homo sapiens_R-HSA-5368287	8/90	0.0018618353339835876	0.5697216121989779	0	0	3.5555555555555554	22.350906805556605	MRPS11;MRPL17;MRPL14;MRPL35;MRPL13;MRPL32;MRPS5;MRPS18C
PPARA activates gene expression_Homo sapiens_R-HSA-1989781	9/113	0.0021300751655428107	0.5431691672134168	0	0	3.1858407079646014	19.598011362147215	MED11;SMARCD3;TXNRD1;MED31;MED20;MED8;NR1D1;PPARGC1B;MED7
Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)_Homo sapiens_R-HSA-400206	9/116	0.0025478321504701193	0.5568833128884689	0	0	3.103448275862069	18.535383367615246	MED11;SMARCD3;TXNRD1;MED31;MED20;MED8;NR1D1;PPARGC1B;MED7
Synthesis of IP3 and IP4 in the cytosol_Homo sapiens_R-HSA-1855204	4/25	0.0032171757921806987	0.6152848702545586	0	0	6.3999999999999995	36.731208879756906	INPPL1;PLD4;PLCG1;PLCB2
Fatty acid, triacylglycerol, and ketone body metabolism_Homo sapiens_R-HSA-535734	13/217	0.0033142360158518688	0.5634201226948177	0	0	2.3963133640552994	13.681818595581827	SMARCD3;TXNRD1;MED8;ACOT13;NR1D1;MED7;MED11;HMGCL;MED20;MED31;ACAD10;PPARGC1B;PPARD
Transcriptional regulation of white adipocyte differentiation_Homo sapiens_R-HSA-381340	7/79	0.003599159183618213	0.5506713550935866	0	0	3.5443037974683542	19.94399247915885	MED11;WNT10B;SMARCD3;MED20;MED31;MED8;MED7
