Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Phytochemical activity on NRF2 transcriptional activation WP3	4/15	4.230841235854126E-4	0.19969570633231473	0	0	10.666666666666666	82.85802159964132	NQO1;AIMP2;SLC7A11;GCLM
NRF2-ARE regulation WP4357	4/23	0.0023425796244436227	0.5528487913686949	0	0	6.956521739130435	42.13219167446808	NQO1;AIMP2;SLC7A11;GCLM
Human Complement System WP2806	8/97	0.002984595079747217	0.46957629254689554	0	0	3.2989690721649483	19.181166822317746	PRNP;LAMA5;CR1;C1QBP;WAS;SPP1;CD59;PRKACA
Dopamine metabolism WP2436	3/13	0.003684485563252584	0.4347692964638049	0	0	9.23076923076923	51.72576337848703	NQO1;PPP2CB;PRKACA
MFAP5-mediated ovarian cancer cell motility and invasiveness WP3301	3/13	0.003684485563252584	0.3478154371710439	0	0	9.23076923076923	51.72576337848703	ITGAV;PLCG1;MAPK3
Osteopontin Signaling WP1434	3/13	0.003684485563252584	0.2898461976425366	0	0	9.23076923076923	51.72576337848703	SPP1;ITGAV;MAPK3
Myometrial Relaxation and Contraction Pathways WP289	10/156	0.005950114500251026	0.4012077205883549	0	0	2.564102564102564	13.139345681718174	CREB3;GNG4;PKIA;ADCY3;ARRB1;PLCG1;PRKACA;DGKZ;SLC8A1;YWHAG
Osteoclast Signaling WP12	3/16	0.006823799195615574	0.40260415254131887	0	0	7.5	37.40504171568808	AIMP2;GPR68;SPP1
Chemokine signaling pathway WP3929	10/164	0.008359541630999804	0.4384115166479898	0	0	2.4390243902439024	11.669150444430382	NCF1;CCL7;GNG4;WAS;ADCY3;ARRB1;CXCR6;RASGRP2;PLCB2;MAPK3
Benzene metabolism WP3891	2/6	0.0087524127649488	0.41311388250558334	0	0	13.333333333333332	63.17901162743442	NQO1;EPHX1
Primary Focal Segmental Glomerulosclerosis FSGS WP2572	6/72	0.00920869205168462	0.3951366043995582	0	0	3.333333333333333	15.625358175773448	LAMA5;CR1;PCNA;CTSL;ITGAV;PLCG1
Estrogen metabolism WP697	3/18	0.009582224106397506	0.37690081485163524	0	0	6.666666666666666	30.985637016835305	SULT1A1;NQO1;CYP1B1
DNA IR-Double Strand Breaks (DSBs) and cellular response via ATM WP3959	5/55	0.011932232343427853	0.43323182046907277	0	0	3.6363636363636362	16.103679782632323	PCNA;ACTL6A;RNF8;BAK1;TP53BP1
Benzo(a)pyrene metabolism WP696	2/9	0.019987498286726836	0.6738642279525048	0	0	8.888888888888888	34.779095880349324	EPHX1;CYP1B1
Tgif disruption of Shh signaling WP3674	2/9	0.019987498286726836	0.6289399460890045	0	0	8.888888888888888	34.779095880349324	TGIF1;TGIF2
Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling WP3612	3/24	0.021284306818544364	0.6278870511470587	0	0	5.0	19.248926234484543	NQO1;EPHX1;GCLM
Signal Transduction of S1P Receptor WP26	3/25	0.02374801151107834	0.6593565548958221	0	0	4.8	17.95323109370892	S1PR1;PLCB2;MAPK3
Trans-sulfuration pathway WP2333	2/10	0.02457569018526242	0.6444292093024369	0	0	8.0	29.64798022792225	GCLM;CSAD
Arrhythmogenic Right Ventricular Cardiomyopathy WP2118	5/74	0.037751290429200716	0.9378215306622494	0	0	2.7027027027027026	8.856042217071249	LMNA;CACNA2D3;ITGB8;ITGAV;SLC8A1
Tumor suppressor activity of SMARCB1 WP4204	3/31	0.04160691113161275	0.981923102706061	0	0	3.8709677419354835	12.307699325969082	GLI4;SMARCD3;ACTL6A
Genes related to primary cilium development (based on CRISPR) WP4536	6/103	0.0445794522848911	1.0	0	0	2.3300970873786406	7.2477256012827525	MKKS;IFT43;ARL13B;CEP19;TULP3;IFT46
TGF-beta Receptor Signaling WP560	4/54	0.04578984055205085	0.9824002154803636	0	0	2.962962962962963	9.136868250298553	TGIF1;SPP1;SKIL;MAPK3
H19 action Rb-E2F1 signaling and CDK-Beta-catenin activity WP3969	2/14	0.04654140207685347	0.9551105121858626	0	0	5.7142857142857135	17.52807425877975	CDH1;TULP3
Resistin as a regulator of inflammation WP4481	3/33	0.048705626415457094	0.9578773195039895	0	0	3.6363636363636362	10.988948085170936	PLCG1;PLCB2;MAPK3
GPR40 Pathway WP3958	2/15	0.05283270093282616	0.9974813936117579	0	0	5.333333333333333	15.683333035361262	PLCG1;PLCB2
Deregulation of Rab and Rab Effector Genes in Bladder Cancer WP2291	2/16	0.05940541077305161	1.0	0	0	5.0	14.116849831533036	SYTL1;UNC13D
TGF-B Signaling in Thyroid Cells for Epithelial-Mesenchymal Transition WP3859	2/18	0.07332402120449992	1.0	0	0	4.444444444444444	11.612742279715478	CDH1;MAPK3
Endochondral Ossification WP474	4/64	0.07604536088191723	1.0	0	0	2.5	6.441063157581755	THRA;FGF18;SPP1;PRKACA
G1 to S cell cycle control WP45	4/64	0.07604536088191723	1.0	0	0	2.5	6.441063157581755	CREB3;CCNB1;PCNA;RPA3
Ferroptosis WP4313	3/40	0.07776165816733924	1.0	0	0	2.9999999999999996	7.6623203846665575	PRNP;SLC7A11;GCLM
Oxidative Damage WP3941	3/40	0.07776165816733924	1.0	0	0	2.9999999999999996	7.6623203846665575	PCNA;TRAF3;BAK1
Focal Adhesion-PI3K-Akt-mTOR-signaling pathway WP3932	12/303	0.07950960377833823	1.0	0	0	1.584158415841584	4.010894989900366	PPP2CB;CREB3;LAMA5;CSF3R;GNG4;FGF18;SPP1;ITGB8;ITGAV;PELO;MET;MAPK3
Calcium Regulation in the Cardiac Cell WP536	7/149	0.0806876891210328	1.0	0	0	1.8791946308724832	4.730250970618586	GNG4;PKIA;ADCY3;ARRB1;PRKACA;SLC8A1;YWHAG
TNF related weak inducer of apoptosis (TWEAK) Signaling Pathway WP2036	3/42	0.08718222910547488	1.0	0	0	2.8571428571428568	6.970727895708977	TRAF3;TNFSF12;MAPK3
MAPK Signaling Pathway WP382	10/246	0.09066059734258862	1.0	0	0	1.6260162601626016	3.903467389706168	MAP4K2;DUSP10;LRRK2;FGF18;CACNA2D3;ARRB1;PRKACA;RASGRP2;MAPK8IP3;MAPK3
Tamoxifen metabolism WP691	2/21	0.09588684119947874	1.0	0	0	3.8095238095238093	8.931758172484527	SULT1A1;CYP1B1
Aryl Hydrocarbon Receptor Pathway WP2873	3/46	0.10736313441562158	1.0	0	0	2.6086956521739126	5.821404549935052	NQO1;SERPINB2;CYP1B1
Wnt Signaling Pathway and Pluripotency WP399	5/102	0.11254203614215841	1.0	0	0	1.9607843137254901	4.283193083396457	WNT10B;PPP2CB;MMP7;LRRK2;PPARD
Mechanoregulation and pathology of YAP/TAZ via Hippo and non-Hippo mechanisms WP4534	3/47	0.11266904115423244	1.0	0	0	2.553191489361702	5.57438450312141	MAP4K2;CDH1;ITGB8
Catalytic cycle of mammalian Flavin-containing MonoOxygenases (FMOs) WP688	1/5	0.11891526936765551	1.0	0	0	8.0	17.03475249279432	FMO5
Sulindac Metabolic Pathway WP2542	1/5	0.11891526936765551	1.0	0	0	8.0	17.03475249279432	CYP1B1
