Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Malaria	7/49	2.0253908941845664E-4	0.06238203954088464	0	0	5.7142857142857135	48.5975866050352	CR1;LRP1;GYPC;ITGB2;IL18;CD36;MET
Legionellosis	5/55	0.011932232343427853	1.0	0	0	3.6363636363636362	16.103679782632323	CR1;ITGB2;HSPA6;IL18;HSPA2
Osteoclast differentiation	8/127	0.014553735850747313	1.0	0	0	2.5196850393700787	10.658034793877624	SPI1;NCF1;BTK;LILRA1;LILRA2;SIRPB1;MAP2K6;LILRA5
Ferroptosis	4/40	0.017333054887491272	1.0	0	0	4.0	16.220559653524184	PRNP;SLC7A11;GCLM;SLC39A14
Vasopressin-regulated water reabsorption	4/44	0.02382609847412197	1.0	0	0	3.6363636363636362	13.58899536203803	ADCY3;AVP;PRKACA;CREB5
Ovarian steroidogenesis	4/49	0.0337674247955063	1.0	0	0	3.265306122448979	11.063701892761872	ALOX5;CYP1A1;ADCY3;PRKACA
Hematopoietic cell lineage	6/97	0.034816933065960357	1.0	0	0	2.4742268041237114	8.307591162530308	CD4;CR1;CD1E;CD1D;CD36;CD33
Cholesterol metabolism	4/50	0.036004517553649654	1.0	0	0	3.1999999999999997	10.637154754552185	LRP1;SORT1;VDAC1;CD36
Thyroid hormone synthesis	5/74	0.037751290429200716	1.0	0	0	2.7027027027027026	8.856042217071249	ADCY3;PRKACA;ASGR1;ASGR2;CREB5
Nicotinate and nicotinamide metabolism	3/30	0.038268755933891604	1.0	0	0	4.0	13.052485950718438	BST1;PNP;NADSYN1
Gastric acid secretion	5/75	0.03965117281127439	1.0	0	0	2.6666666666666665	8.607026005972685	HRH2;KCNQ1;ADCY3;CALM3;PRKACA
Longevity regulating pathway	6/102	0.04284562636137552	1.0	0	0	2.352941176470588	7.41212166524008	HSPA6;ADCY3;HSPA2;PRKACA;MTOR;CREB5
Primary immunodeficiency	3/37	0.06453588403923348	1.0	0	0	3.2432432432432434	8.888217950878486	CD4;BTK;ADA
Adrenergic signaling in cardiomyocytes	7/145	0.07210684548524798	1.0	0	0	1.9310344827586206	5.0778604314948605	PPP2CB;KCNQ1;CACNA2D3;ADCY3;CALM3;PRKACA;CREB5
Salivary secretion	5/90	0.07506739964971518	1.0	0	0	2.222222222222222	5.754153126676802	BST1;ADCY3;CALM3;PRKACA;CST5
Dilated cardiomyopathy (DCM)	5/91	0.07788799770256499	1.0	0	0	2.1978021978021975	5.609853650799394	LMNA;CACNA2D3;ADCY3;ITGAV;PRKACA
Fc gamma R-mediated phagocytosis	5/91	0.07788799770256499	1.0	0	0	2.1978021978021975	5.609853650799394	MARCKSL1;GSN;NCF1;ARPC1B;WAS
Tryptophan metabolism	3/42	0.08718222910547488	1.0	0	0	2.8571428571428568	6.970727895708977	ALDH2;CYP1A1;KMO
NF-kappa B signaling pathway	5/95	0.08973008930567587	1.0	0	0	2.1052631578947367	5.075682362950664	TNFSF14;TRAF3;BTK;LY96;LTBR
Amphetamine addiction	4/68	0.09037481756509516	1.0	0	0	2.352941176470588	5.655975569761716	CALM3;PRKACA;SLC6A3;CREB5
Human T-cell leukemia virus 1 infection	9/219	0.09967581281545188	1.0	0	0	1.643835616438356	3.7904091469985963	CD4;SPI1;ITGB2;ADCY3;VDAC1;LTBR;PRKACA;CREB5;SLC25A6
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	4/72	0.10589336254947611	1.0	0	0	2.222222222222222	4.989606010945918	LMNA;CACNA2D3;ITGAV;DSC2
Leishmaniasis	4/74	0.11407613801901988	1.0	0	0	2.1621621621621623	4.693814434937615	MARCKSL1;CR1;NCF1;ITGB2
Cocaine addiction	3/49	0.12357090514220292	1.0	0	0	2.4489795918367343	5.120669772142008	PRKACA;SLC6A3;CREB5
Vibrio cholerae infection	3/50	0.12916025190606503	1.0	0	0	2.4	4.912083318606716	KCNQ1;ADCY3;PRKACA
Estrogen signaling pathway	6/137	0.12936659917835788	1.0	0	0	1.7518248175182483	3.582665782699951	HSPA6;ADCY3;CALM3;HSPA2;PRKACA;CREB5
Insulin resistance	5/108	0.1340886770047024	1.0	0	0	1.8518518518518516	3.720840609651409	CD36;SLC27A2;PPARGC1B;MTOR;CREB5
Fluid shear stress and atherosclerosis	6/139	0.13585099063149347	1.0	0	0	1.7266187050359711	3.4466704766132605	ACVR1;NQO1;NCF1;CALM3;ITGAV;MAP2K6
Influenza A	7/171	0.1377679619508198	1.0	0	0	1.6374269005847952	3.245682130792531	HSPA6;IL18;VDAC1;FASLG;HSPA2;MAP2K6;SLC25A6
Biosynthesis of unsaturated fatty acids	2/27	0.1456305058632748	1.0	0	0	2.962962962962963	5.708689324070283	FADS2;FADS1
Toxoplasmosis	5/113	0.15333823216929846	1.0	0	0	1.7699115044247786	3.3187772207916013	ALOX5;HSPA6;LY96;HSPA2;MAP2K6
Pathogenic Escherichia coli infection	3/55	0.15835797713897543	1.0	0	0	2.1818181818181817	4.020866466848246	ARPC1B;WAS;LY96
Thyroid hormone signaling pathway	5/116	0.16540921419064641	1.0	0	0	1.7241379310344829	3.1022979127853656	THRA;SLC16A10;ITGAV;PRKACA;MTOR
Pentose phosphate pathway	2/30	0.17213040735200277	1.0	0	0	2.6666666666666665	4.692007752438898	TKT;FBP1
Galactose metabolism	2/31	0.18113203111493761	1.0	0	0	2.5806451612903225	4.40910725152166	GAA;GLA
RNA polymerase	2/31	0.18113203111493761	1.0	0	0	2.5806451612903225	4.40910725152166	POLR1A;POLR2D
AMPK signaling pathway	5/120	0.18206485655756022	1.0	0	0	1.6666666666666665	2.838987167787887	PPP2CB;CD36;FBP1;MTOR;CREB5
TGF-beta signaling pathway	4/90	0.18828953531711135	1.0	0	0	1.7777777777777777	2.968487856688808	ACVR1;TGIF1;PPP2CB;TGIF2
Human cytomegalovirus infection	8/225	0.20294459162437736	1.0	0	0	1.422222222222222	2.268191694023834	ADCY3;CALM3;FASLG;ITGAV;PRKACA;MTOR;MAP2K6;CREB5
GnRH signaling pathway	4/93	0.2036425912242253	1.0	0	0	1.7204301075268817	2.737873248162342	ADCY3;CALM3;PRKACA;MAP2K6
MAPK signaling pathway	10/295	0.2057791446090391	1.0	0	0	1.3559322033898304	2.143663456089143	DUSP10;HSPA6;CACNA2D3;FASLG;ARRB1;HSPA2;PRKACA;RASGRP2;MET;MAP2K6
Hippo signaling pathway	6/160	0.21221988601068234	1.0	0	0	1.4999999999999998	2.3251985154973505	MOB1A;PPP2CB;RASSF1;FZD7;ITGB2;NKD1
Prion diseases	2/35	0.21773131350006625	1.0	0	0	2.2857142857142856	3.484556533108	PRNP;PRKACA
Amoebiasis	4/96	0.21934791524686295	1.0	0	0	1.6666666666666665	2.5284935927439762	ARG2;ITGB2;CD1D;PRKACA
Cortisol synthesis and secretion	3/65	0.2216910070831208	1.0	0	0	1.8461538461538463	2.7811767260910543	ADCY3;PRKACA;CREB5
