Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Toll Like Receptor 4 (TLR4) Cascade_Homo sapiens_R-HSA-166016	11/122	2.4685136365617275E-4	0.3776825863939443	0	0	3.6065573770491803	29.958677330980787	SIGIRR;PPP2CB;TRAF3;TNIP2;ITGB2;BTK;LY86;LY96;BPI;CD36;MAP2K6
Cross-presentation of particulate exogenous antigens (phagosomes)_Homo sapiens_R-HSA-1236973	3/8	7.919445047989284E-4	0.6058375461711802	0	0	15.0	107.11528857454749	NCF1;ITGAV;CD36
Toll-Like Receptors Cascades_Homo sapiens_R-HSA-168898	11/140	7.987642123001501E-4	0.40736974827307654	0	0	3.142857142857143	22.4162549576548	SIGIRR;PPP2CB;TRAF3;TNIP2;ITGB2;BTK;LY86;LY96;BPI;CD36;MAP2K6
MyD88 deficiency (TLR2/4)_Homo sapiens_R-HSA-5602498	3/11	0.002206288138266319	0.8439052128868669	0	0	10.909090909090908	66.72484091962643	BTK;LY96;CD36
IRAK4 deficiency (TLR2/4)_Homo sapiens_R-HSA-5603041	3/11	0.002206288138266319	0.6751241703094936	0	0	10.909090909090908	66.72484091962643	BTK;LY96;CD36
Diseases associated with the TLR signaling cascade_Homo sapiens_R-HSA-5602358	4/24	0.002756201764014986	0.7028314498238215	0	0	6.666666666666666	39.29267813004258	TRAF3;BTK;LY96;CD36
Diseases of Immune System_Homo sapiens_R-HSA-5260271	4/24	0.002756201764014986	0.602426956991847	0	0	6.666666666666666	39.29267813004258	TRAF3;BTK;LY96;CD36
Alpha-oxidation of phytanate_Homo sapiens_R-HSA-389599	2/5	0.0059328116851476344	1.0	0	0	16.0	82.03611251921258	HACL1;SLC27A2
Amino acid transport across the plasma membrane_Homo sapiens_R-HSA-352230	4/31	0.007112686652484723	1.0	0	0	5.161290322580645	25.527097997387994	SLC1A4;SLC16A10;SLC7A11;SLC7A1
Activated TLR4 signalling_Homo sapiens_R-HSA-166054	8/112	0.007113721677586152	1.0	0	0	2.8571428571428568	14.130656369762441	SIGIRR;PPP2CB;TRAF3;TNIP2;BTK;LY96;CD36;MAP2K6
SLC-mediated transmembrane transport_Homo sapiens_R-HSA-425407	14/268	0.007810205000786406	1.0	0	0	2.08955223880597	10.139184617559383	SLC35A2;SLC24A4;SLC16A1;SLC41A2;SLC16A10;SLC1A4;SLC7A11;SLC5A3;SLC39A14;SLC7A1;SLC6A3;SLCO4A1;SLC9A9;AVP
TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway_Homo sapiens_R-HSA-5676594	3/17	0.00813412351983557	1.0	0	0	7.0588235294117645	33.96485143053246	TNFSF14;TRAF3;LTBR
MyD88:Mal cascade initiated on plasma membrane_Homo sapiens_R-HSA-166058	7/92	0.008258929301405017	0.9720124485499751	0	0	3.0434782608695654	14.597922726369267	SIGIRR;PPP2CB;TNIP2;BTK;LY96;CD36;MAP2K6
Toll Like Receptor TLR1:TLR2 Cascade_Homo sapiens_R-HSA-168179	7/92	0.008258929301405017	0.9025829879392626	0	0	3.0434782608695654	14.597922726369267	SIGIRR;PPP2CB;TNIP2;BTK;LY96;CD36;MAP2K6
Toll Like Receptor TLR6:TLR2 Cascade_Homo sapiens_R-HSA-168188	7/92	0.008258929301405017	0.8424107887433118	0	0	3.0434782608695654	14.597922726369267	SIGIRR;PPP2CB;TNIP2;BTK;LY96;CD36;MAP2K6
Toll Like Receptor 2 (TLR2) Cascade_Homo sapiens_R-HSA-181438	7/92	0.008258929301405017	0.7897601144468548	0	0	3.0434782608695654	14.597922726369267	SIGIRR;PPP2CB;TNIP2;BTK;LY96;CD36;MAP2K6
Synthesis of wybutosine at G37 of tRNA(Phe)_Homo sapiens_R-HSA-6782861	2/6	0.0087524127649488	0.787717148845392	0	0	13.333333333333332	63.17901162743442	TRMT5;LCMT2
CREB phosphorylation through the activation of Adenylate Cyclase_Homo sapiens_R-HSA-442720	2/7	0.012051662882171474	1.0	0	0	11.428571428571427	50.49774434338215	ADCY3;PRKACA
Neurotransmitter Clearance In The Synaptic Cleft_Homo sapiens_R-HSA-112311	2/8	0.01580491452517871	1.0	0	0	10.0	41.47434341416576	ALDH2;SLC6A3
Linoleic acid (LA) metabolism_Homo sapiens_R-HSA-2046105	2/8	0.01580491452517871	1.0	0	0	10.0	41.47434341416576	FADS2;FADS1
Elastic fibre formation_Homo sapiens_R-HSA-1566948	4/41	0.01883771080535323	1.0	0	0	3.902439024390244	15.500076192637533	FBN2;MFAP1;MFAP3;ITGAV
Intraflagellar transport_Homo sapiens_R-HSA-5620924	4/41	0.01883771080535323	1.0	0	0	3.902439024390244	15.500076192637533	WDR19;KIFAP3;IFT46;WDR35
Downregulation of SMAD2/3:SMAD4 transcriptional activity_Homo sapiens_R-HSA-2173795	3/23	0.01896828932905573	1.0	0	0	5.217391304347825	20.686887009392155	TGIF1;TGIF2;SKIL
PPARA activates gene expression_Homo sapiens_R-HSA-1989781	7/113	0.023417918907043294	1.0	0	0	2.47787610619469	9.30257574897766	CDK8;TXNRD1;MED20;CYP1A1;CD36;FADS1;PPARGC1B
Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer_Homo sapiens_R-HSA-2173793	4/44	0.02382609847412197	1.0	0	0	3.6363636363636362	13.58899536203803	TGIF1;CDK8;TGIF2;SKIL
Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha)_Homo sapiens_R-HSA-400206	7/116	0.02655573707700826	1.0	0	0	2.413793103448276	8.75847113176563	CDK8;TXNRD1;MED20;CYP1A1;CD36;FADS1;PPARGC1B
Transport of organic anions_Homo sapiens_R-HSA-879518	2/11	0.02954667996708659	1.0	0	0	7.2727272727272725	25.612973778194785	SLCO4A1;AVP
Amino acid and oligopeptide SLC transporters_Homo sapiens_R-HSA-425374	4/49	0.0337674247955063	1.0	0	0	3.265306122448979	11.063701892761872	SLC1A4;SLC16A10;SLC7A11;SLC7A1
Ethanol oxidation_Homo sapiens_R-HSA-71384	2/12	0.03487854042134841	1.0	0	0	6.666666666666666	22.372556843567576	ALDH2;ALDH1A1
Signaling by TGF-beta Receptor Complex_Homo sapiens_R-HSA-170834	5/73	0.03590832173141458	1.0	0	0	2.73972602739726	9.114482759579785	TGIF1;CDK8;TGIF2;PMEPA1;SKIL
Transport of inorganic cations/anions and amino acids/oligopeptides_Homo sapiens_R-HSA-425393	6/99	0.03790132072194009	1.0	0	0	2.4242424242424243	7.93398623019715	SLC24A4;SLC9A9;SLC1A4;SLC16A10;SLC7A11;SLC7A1
Molecules associated with elastic fibres_Homo sapiens_R-HSA-2129379	3/30	0.038268755933891604	1.0	0	0	4.0	13.052485950718438	MFAP1;MFAP3;ITGAV
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism_Homo sapiens_R-HSA-2046104	2/13	0.040550197611673826	1.0	0	0	6.153846153846154	19.724397693220933	FADS2;FADS1
alpha-linolenic acid (ALA) metabolism_Homo sapiens_R-HSA-2046106	2/13	0.040550197611673826	1.0	0	0	6.153846153846154	19.724397693220933	FADS2;FADS1
Purine salvage_Homo sapiens_R-HSA-74217	2/13	0.040550197611673826	1.0	0	0	6.153846153846154	19.724397693220933	PNP;ADA
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell_Homo sapiens_R-HSA-198933	8/157	0.043949368458723555	1.0	0	0	2.038216560509554	6.3688499862298995	SIGLEC10;ITGB2;CD1D;LILRA1;LILRA2;HCST;CD33;LILRA5
SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription_Homo sapiens_R-HSA-2173796	3/32	0.045086472796717056	1.0	0	0	3.75	11.62189880794663	TGIF1;CDK8;TGIF2
