"","TB_status_limma_logFC","TB_status_limma_AveExpr","TB_status_limma_t","TB_status_limma_P.Value","TB_status_limma_padj","TB_status_limma_B"
"SNORA18",-43.3081081857333,22.3115518872596,-28.3591311462067,2.04010612178607e-17,5.17534120974691e-13,24.4901547683787
"CDKN2D",32.3042399662018,83.8950006163765,24.3491065364714,3.77221173798137e-16,4.51459552558631e-12,22.9623210935422
"ATP5L2",36.0076000304334,62.332068451542,23.5151682509184,7.32265833646962e-16,4.51459552558631e-12,22.583454952927
"RPS10",57.4802718603217,71.5981356611253,23.3097497153543,8.65155790073609e-16,4.51459552558631e-12,22.4863826446696
"NACAP1",47.0992659072962,67.5011256560144,23.275289125936,8.8982094086769e-16,4.51459552558631e-12,22.4699480050543
"FKBP2",29.0929132878688,79.982148919432,20.6703394259209,8.40435251458641e-15,3.55336024316714e-11,21.0910663392816
"RPL13AP20",34.2326680633037,76.722814715283,19.2551576325712,3.1821505123079e-14,1.15321134566038e-10,20.213336626922
"C10orf54",31.3618906416382,84.3343072435632,18.959062109436,4.25169549387112e-14,1.34821264110653e-10,20.0165659317486
"WAS",45.0774894564025,77.6083087570425,18.5104713587437,6.64704829528019e-14,1.68103187413712e-10,19.709175084527
"LOC644936",40.6816658354618,62.4830154973226,18.4556361710539,7.02490222797981e-14,1.68103187413712e-10,19.6708128473576
"LOC441081",-43.2700010763486,24.4051771278227,-18.4190817909115,7.28924259520197e-14,1.68103187413712e-10,19.6451427494757
"SECTM1",28.0804075960884,73.6246890013869,17.2829112854252,2.3769567659628e-13,5.02488660324535e-10,18.8069836756212
"GZMM",47.5095069768969,67.1817182741163,17.1925365658753,2.61895268093018e-13,5.11058396998745e-10,18.7368181640374
"AIF1",51.1427219092112,39.4031395689768,17.1001518433618,2.89316106976258e-13,5.2424078584098e-10,18.6645359388797
"C19orf10",22.4757207394938,79.4746325806586,17.0020074997203,3.21765497179369e-13,5.28427581771927e-10,18.5871255642336
"PDIA3P1",19.7553272059317,70.7922285945316,16.9696341060604,3.33287658008154e-13,5.28427581771927e-10,18.5614498177643
"SPINK1",-71.6638475402965,38.5374221178616,-16.87158559181,3.70897016686947e-13,5.53465618783204e-10,18.4832545997269
"MIR3064",-42.4457418451052,54.316179092507,-16.7492181946097,4.24167695551582e-13,5.9779367226403e-10,18.3847463706335
