Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Dopamine metabolism WP2436	3/13	0.003684485563252584	1.0	0	0	9.23076923076923	51.72576337848703	NQO1;PPP2CB;PRKACA
NRF2 pathway WP2884	10/146	0.003740782851162667	0.8828247528743894	0	0	2.73972602739726	15.310850331416612	NQO1;SLC6A8;MAFG;TXNRD1;SLC39A11;SLC7A11;GCLM;SLC5A3;SLC39A14;SLC6A3
Fatty Acid Omega Oxidation WP206	3/15	0.005648024777015824	0.8886225649171563	0	0	8.0	41.41159513548328	ALDH2;ALDH1A1;CYP1A1
Phytochemical activity on NRF2 transcriptional activation WP3	3/15	0.005648024777015824	0.6664669236878672	0	0	8.0	41.41159513548328	NQO1;SLC7A11;GCLM
Human Complement System WP2806	7/97	0.010898290499560565	1.0	0	0	2.8865979381443294	13.044967158205083	FCN2;PRNP;FKBP2;CR1;ITGB2;WAS;PRKACA
NAD Biosynthesis II (from tryptophan) WP2485	2/8	0.01580491452517871	1.0	0	0	10.0	41.47434341416576	KMO;NADSYN1
Ferroptosis WP4313	4/40	0.017333054887491272	1.0	0	0	4.0	16.220559653524184	PRNP;SLC7A11;GCLM;SLC39A14
TYROBP Causal Network WP3945	5/61	0.01808225984730525	1.0	0	0	3.2786885245901636	13.156799804178378	CD4;BIN2;ITGB2;IL18;RNASE6
NRF2-ARE regulation WP4357	3/23	0.01896828932905573	0.9947813959238115	0	0	5.217391304347825	20.686887009392155	NQO1;SLC7A11;GCLM
Tgif disruption of Shh signaling WP3674	2/9	0.019987498286726836	0.9434099191335067	0	0	8.888888888888888	34.779095880349324	TGIF1;TGIF2
Intraflagellar transport proteins binding to dynein WP4532	3/27	0.029117852235481113	1.0	0	0	4.444444444444444	15.717350284548534	WDR19;IFT46;WDR35
Trans-sulfuration and one carbon metabolism WP2525	3/31	0.04160691113161275	1.0	0	0	3.8709677419354835	12.307699325969082	MAT2A;MTHFD1L;GCLM
Genes related to primary cilium development (based on CRISPR) WP4536	6/103	0.0445794522848911	1.0	0	0	2.3300970873786406	7.2477256012827525	WDR19;TULP3;KIFAP3;IFT46;WDR35;LZTFL1
