Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Hematopoietic cell lineage	11/97	3.004667225987695E-5	0.0092543750560421	0	0	4.545172819866537	47.327787564989926	IL11;ITGAM;CR1;ITGA2;ITGA1;CD1E;CD1D;CD36;CD1C;CD1A;HLA-DPA1
Malaria	7/49	2.0007343213740842E-4	0.030811308549160896	0	0	5.72573718866304	48.76510791935979	CR1;KLRK1;LRP1;GYPC;ITGB2;CD36;MET
Phagosome	11/152	0.0015377362037938126	0.15787425025616478	0	0	2.9005379179411457	18.788071763947407	ITGAM;FCGR3B;NCF1;ITGA2;NCF4;ITGB2;ITGAV;CD36;FCGR2B;ATP6V0A1;HLA-DPA1
Leishmaniasis	7/74	0.0024574693129800662	0.1892251370994651	0	0	3.7913665168174187	22.78089278652752	ITGAM;FCGR3B;CR1;NCF1;ITGB2;NCF4;HLA-DPA1
Osteoclast differentiation	9/127	0.004602528663760525	0.2835157656876483	0	0	2.840326321935209	15.28422033139656	SPI1;FCGR3B;NCF1;CTSK;NCF4;BTK;FCGR2B;MAP2K6;LILRA5
ECM-receptor interaction	6/82	0.0166356134471937	0.8539614902892766	0	0	2.9326946576078985	12.012931697425794	LAMB2;ITGA2;ITGA1;SPP1;ITGAV;CD36
Dilated cardiomyopathy (DCM)	6/91	0.02632803026304029	1.0	0	0	2.6426479332290955	9.611630605068365	ITGA2;ITGA1;CACNA2D3;ITGAV;CACNA2D4;PRKACA
Staphylococcus aureus infection	5/68	0.027329937014096112	1.0	0	0	2.947070611811859	10.608783990593563	ITGAM;FCGR3B;ITGB2;FCGR2B;HLA-DPA1
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	5/72	0.033872830469891285	1.0	0	0	2.7833444667112004	9.42201638555587	ITGA2;ITGA1;CACNA2D3;ITGAV;CACNA2D4
Tuberculosis	9/179	0.03601063422985568	1.0	0	0	2.0152035915406232	6.698417818845662	ITGAM;FCGR3B;CR1;IRAK2;ITGB2;CARD9;FCGR2B;ATP6V0A1;HLA-DPA1
