Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cross-presentation of particulate exogenous antigens (phagosomes)_Homo sapiens_R-HSA-1236973	4/8	2.4748366871791384E-5	0.03786500131384082	0	0	20.04008016032064	212.56014140490592	NCF1;NCF4;ITGAV;CD36
Laminin interactions_Homo sapiens_R-HSA-3000157	4/23	0.002325613500263887	1.0	0	0	6.970462664459354	42.26729217509403	LAMB2;ITGA2;ITGA1;ITGAV
Integrin cell surface interactions_Homo sapiens_R-HSA-216083	6/67	0.006463825459082856	1.0	0	0	3.589268088415637	18.09541695974477	ITGAM;ITGA2;ITGB2;ITGA1;SPP1;ITGAV
Rap1 signalling_Homo sapiens_R-HSA-392517	3/16	0.006786174399265903	1.0	0	0	7.515030060120241	37.52155245306602	RAP1GAP2;RASGRP2;PRKACA
CRMPs in Sema3A signaling_Homo sapiens_R-HSA-399956	3/16	0.006786174399265903	1.0	0	0	7.515030060120241	37.52155245306602	FES;DPYSL3;PLXNA1
Toll-Like Receptors Cascades_Homo sapiens_R-HSA-168898	9/140	0.008584880904085643	1.0	0	0	2.576581734898368	12.258738595930838	SIGIRR;ITGAM;IRAK2;CTSK;ITGB2;BTK;LY86;CD36;MAP2K6
Synthesis of Lipoxins (LX)_Homo sapiens_R-HSA-2142700	2/6	0.008718577527855507	1.0	0	0	13.36005344021376	63.357370499766176	ALOX5;PTGR1
Toll Like Receptor 4 (TLR4) Cascade_Homo sapiens_R-HSA-166016	8/122	0.011502750278163493	1.0	0	0	2.628207234140412	11.735389776491814	SIGIRR;ITGAM;IRAK2;ITGB2;BTK;LY86;CD36;MAP2K6
Synthesis of Leukotrienes (LT) and Eoxins (EX)_Homo sapiens_R-HSA-2142691	3/21	0.014699202274004773	1.0	0	0	5.72573718866304	24.16239366587153	ALOX5;DPEP2;PTGR1
Linoleic acid (LA) metabolism_Homo sapiens_R-HSA-2046105	2/8	0.015744862472324966	1.0	0	0	10.02004008016032	41.5956027971552	FADS2;FADS1
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell_Homo sapiens_R-HSA-198933	9/157	0.017193270553363695	1.0	0	0	2.297588808189628	9.33564835851449	KLRK1;SIGLEC10;ITGB2;CD1D;CD1C;FCGR2B;HCST;CD1A;LILRA5
CHL1 interactions_Homo sapiens_R-HSA-447041	2/9	0.019912211750142357	1.0	0	0	8.90670229347584	34.882405519263955	ITGA2;ITGA1
NRAGE signals death through JNK_Homo sapiens_R-HSA-193648	4/45	0.025485768979677016	1.0	0	0	3.5626809173903364	13.07373880856926	FGD4;NGFR;ARHGEF18;FGD2
