Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Benzene metabolism WP3891	2/6	0.008718577527855507	1.0	0	0	13.36005344021376	63.357370499766176	NQO1;DHDH
Estrogen metabolism WP697	3/18	0.009530092468954818	1.0	0	0	6.68002672010688	31.084174071007013	SULT1A1;NQO1;CYP1A1
Hippo-Merlin Signaling Dysregulation WP4541	8/120	0.010474959804148682	1.0	0	0	2.6720106880427523	12.18107588642371	NGFR;ITGAM;ITGA2;ITGB2;ITGA1;ITGAV;PRKACA;MET
Human Complement System WP2806	7/97	0.010787498561677449	1.0	0	0	2.8923827035514327	13.100663798249917	FKBP2;CR1;ITGA2;ITGB2;WAS;SPP1;PRKACA
Integrin-mediated Cell Adhesion WP185	7/101	0.013278988006625657	1.0	0	0	2.777832893509792	12.004605803728378	ITGAM;ITGA2;ITGB2;ITGA1;CAPN3;ITGAV;MAP2K6
NAD Biosynthesis II (from tryptophan) WP2485	2/8	0.015744862472324966	1.0	0	0	10.02004008016032	41.5956027971552	AFMID;NADSYN1
Microglia Pathogen Phagocytosis Pathway WP3937	4/40	0.01721887297349511	1.0	0	0	4.008016032064129	16.27955603534299	ITGAM;NCF1;ITGB2;NCF4
TYROBP Causal Network WP3945	5/61	0.017942576223113686	1.0	0	0	3.2852590426755146	13.208642959627593	ITGAM;BIN2;ITGB2;RNASE6;SPP1
Thiamine metabolic pathways WP4297	2/9	0.019912211750142357	1.0	0	0	8.90670229347584	34.882405519263955	TPK1;TKT
Aryl Hydrocarbon Receptor WP2586	4/46	0.027380120670636623	1.0	0	0	3.485231332229677	12.539646429822215	NQO1;CYP1A1;AHRR;CD36
Arrhythmogenic Right Ventricular Cardiomyopathy WP2118	5/74	0.03747853104420887	1.0	0	0	2.7081189405838706	8.89342743713746	ITGA2;ITGA1;CACNA2D3;ITGAV;CACNA2D4
Dopamine metabolism WP2436	2/13	0.040402734490517254	1.0	0	0	6.16617851086789	19.78639007798208	NQO1;PRKACA
Osteopontin Signaling WP1434	2/13	0.040402734490517254	1.0	0	0	6.16617851086789	19.78639007798208	SPP1;ITGAV
Ebola Virus Pathway on Host WP4217	7/129	0.04305042893182533	1.0	0	0	2.1748924204999147	6.8408698302322435	GSN;ITGA2;CLTCL1;ITGA1;ITGAV;ASGR1;HLA-DPA1
H19 action Rb-E2F1 signaling and CDK-Beta-catenin activity WP3969	2/14	0.046373648320711176	1.0	0	0	5.72573718866304	17.583875781291272	CDK8;TULP3
Fatty Acid Omega Oxidation WP206	2/15	0.05264396193280757	1.0	0	0	5.344021376085505	15.733887669292315	ALDH2;CYP1A1
Phytochemical activity on NRF2 transcriptional activation WP3	2/15	0.05264396193280757	1.0	0	0	5.344021376085505	15.733887669292315	NQO1;SLC7A11
Osteoclast Signaling WP12	2/16	0.059195084025969825	1.0	0	0	5.01002004008016	14.162909722655604	CTSK;SPP1
Tryptophan catabolism leading to NAD+ production WP4210	2/16	0.059195084025969825	1.0	0	0	5.01002004008016	14.162909722655604	AFMID;NADSYN1
Fibrin Complement Receptor 3 Signaling Pathway WP4136	3/37	0.06422834016420031	1.0	0	0	3.2497427287006446	8.921553583201426	ITGAM;IRAK2;ITGB2
Tamoxifen metabolism WP691	2/21	0.09556240546555268	1.0	0	0	3.81715812577536	8.962594845063215	SULT1A1;CYP1A1
Hedgehog Signaling Pathway WP4249	3/44	0.09661832954836673	1.0	0	0	2.7327382036800874	6.386373134138706	FBXL17;ARRB1;PRKACA
Interleukin-11 Signaling Pathway WP2332	3/44	0.09661832954836673	1.0	0	0	2.7327382036800874	6.386373134138706	IL11;FES;ITGA2
NAD+ biosynthetic pathways WP3645	2/22	0.10344757711016117	1.0	0	0	3.6436509382401168	8.266315525388785	BST1;NADSYN1
miRNA targets in ECM and membrane receptors WP2911	2/22	0.10344757711016117	1.0	0	0	3.6436509382401168	8.266315525388785	LAMB2;ITGA1
Aryl Hydrocarbon Receptor Pathway WP2873	3/46	0.10688428785249275	1.0	0	0	2.6139234991722575	5.844755036032491	NQO1;CYP1A1;AHRR
Tryptophan metabolism WP465	3/46	0.10688428785249275	1.0	0	0	2.6139234991722575	5.844755036032491	ALDH2;AFMID;CYP1A1
NRF2-ARE regulation WP4357	2/23	0.11150273046053624	1.0	0	0	3.485231332229677	7.6455735817600345	NQO1;SLC7A11
Chemokine signaling pathway WP3929	7/164	0.11695387683314273	1.0	0	0	1.7107385502712744	3.6712032501741234	CCL22;NCF1;CCL7;WAS;ARRB1;RASGRP2;CCR4
Catalytic cycle of mammalian Flavin-containing MonoOxygenases (FMOs) WP688	1/5	0.11868930417379521	1.0	0	0	8.016032064128257	17.084136989836733	FMO5
Secretion of Hydrochloric Acid in Parietal Cells WP2597	1/5	0.11868930417379521	1.0	0	0	8.016032064128257	17.084136989836733	HRH2
Arylamine metabolism WP694	1/6	0.14068347176921273	1.0	0	0	6.68002672010688	13.101154263168134	SULT1A1
exRNA mechanism of action and biogenesis WP2805	1/6	0.14068347176921273	1.0	0	0	6.68002672010688	13.101154263168134	XPO5
miRNA Biogenesis WP2338	1/6	0.14068347176921273	1.0	0	0	6.68002672010688	13.101154263168134	XPO5
Canonical  and Non-canonical Notch signaling WP3845	2/27	0.1451644549749239	1.0	0	0	2.9689007644919467	5.72964597939032	HEY1;DLK2
DNA IR-Double Strand Breaks (DSBs) and cellular response via ATM WP3959	3/55	0.1576985010678366	1.0	0	0	2.18619056294407	4.038047637132014	RASSF1;CHEK2;TP53BP1
Hematopoietic Stem Cell Differentiation WP2849	3/55	0.1576985010678366	1.0	0	0	2.18619056294407	4.038047637132014	NFE2;SPI1;CBFA2T3
RANKL/RANK (Receptor activator of NFKB (ligand)) Signaling Pathway WP2018	3/55	0.1576985010678366	1.0	0	0	2.18619056294407	4.038047637132014	SPI1;CTSK;MAP2K6
Disorders of the Krebs cycle WP4236	1/7	0.1621298222363275	1.0	0	0	5.72573718866304	10.417165146564741	SUCLG2
MicroRNA for Targeting Cancer Growth and Vascularization in Glioblastoma WP3593	1/7	0.1621298222363275	1.0	0	0	5.72573718866304	10.417165146564741	HEY1
Pentose Phosphate Metabolism WP134	1/7	0.1621298222363275	1.0	0	0	5.72573718866304	10.417165146564741	TKT
Cannabinoid receptor signaling WP3869	2/29	0.16269376292415	1.0	0	0	2.764148987630433	5.0193783437657435	CYP1A1;PRKACA
Vitamin D Receptor Pathway WP2877	7/182	0.17092659828080414	1.0	0	0	1.5415446277169724	2.7231710566570255	CDKN2D;STEAP4;ITGAM;ALOX5;CYP1A1;SPP1;S100A8
ApoE and miR-146 in inflammation and atherosclerosis WP3926	1/8	0.18304197291732785	1.0	0	0	5.01002004008016	8.507213387954755	SPI1
Phase I biotransformations, non P450 WP136	1/8	0.18304197291732785	1.0	0	0	5.01002004008016	8.507213387954755	PON2
Oxidative Stress WP408	2/33	0.19872802219851757	1.0	0	0	2.4291006254934113	3.924984785802817	NQO1;CYP1A1
Signal transduction through IL1R WP4496	2/33	0.19872802219851757	1.0	0	0	2.4291006254934113	3.924984785802817	IRAK2;MAP2K6
Benzo(a)pyrene metabolism WP696	1/9	0.2034332036105457	1.0	0	0	4.45335114673792	7.091594592595487	CYP1A1
LncRNA involvement in canonical Wnt signaling and colorectal cancer WP4258	4/94	0.2078634121569063	1.0	0	0	1.705538737048565	2.6791866069280528	CDK8;FZD2;CSNK2A2;NKD1
Signaling of Hepatocyte Growth Factor Receptor WP313	2/34	0.20788559348521826	1.0	0	0	2.357656489449487	3.703329911410121	ITGA1;MET
Type 2 papillary renal cell carcinoma WP4241	2/34	0.20788559348521826	1.0	0	0	2.357656489449487	3.703329911410121	ARNT2;CTSK
Endochondral Ossification WP474	3/64	0.2142944279585239	1.0	0	0	1.8787575150300602	2.8940463012915596	SPP1;PRKACA;CST5
B Cell Receptor Signaling Pathway WP23	4/97	0.22362462152626242	1.0	0	0	1.6527901163151044	2.475526607198604	PTPN18;GSK3A;BTK;MAP2K6
PPAR signaling pathway WP3942	3/67	0.234041265505709	1.0	0	0	1.7946340442078186	2.6062713442233294	FADS2;CD36;SLC27A2
Melatonin metabolism and effects WP3298	2/37	0.23558328242720192	1.0	0	0	2.1664951524670966	3.132082082352866	SULT1A1;CYP1A1
Serotonin Transporter Activity WP1455	1/11	0.24270438526211566	1.0	0	0	3.6436509382401168	5.159085799816664	STX1A
Sterol Regulatory Element-Binding Proteins (SREBP) signalling WP1982	3/69	0.24738022597343726	1.0	0	0	1.7426156661148384	2.4341356618782064	CDK8;GSK3A;PRKACA
Genes related to primary cilium development (based on CRISPR) WP4536	4/103	0.25599822083675244	1.0	0	0	1.5565110804132536	2.1208783148948935	BBS12;INPP5E;WDR19;TULP3
MAPK  and NFkB Signalling Pathways Inhibited by Yersinia YopJ WP3849	1/12	0.26160928125317606	1.0	0	0	3.34001336005344	4.4786345398527265	MAP2K6
ATM Signaling Pathway WP2516	2/40	0.26346556444202246	1.0	0	0	2.0040080160320644	2.6730112320046	CHEK2;TP53BP1
Bladder Cancer WP2828	2/40	0.26346556444202246	1.0	0	0	2.0040080160320644	2.6730112320046	RASSF1;UPK3A
IL-5 Signaling Pathway WP127	2/40	0.26346556444202246	1.0	0	0	2.0040080160320644	2.6730112320046	GSK3A;BTK
