Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Osteoclast differentiation	14/127	3.5568038836152396E-6	0.001095495596153494	0	0	4.418285389676992	55.434672439661774	SPI1;NCF1;IL1R1;NCF4;LILRA1;LILRA2;SIRPB1;OSCAR;LILRA5;CTSK;BTK;FCGR2C;MAP2K6;MAPK3
Hematopoietic cell lineage	11/97	3.004667225987695E-5	0.00462718752802105	0	0	4.545172819866537	47.327787564989926	IL11;CD4;CSF2;CR1;IL1R1;ITGA2;CD59;CD1D;CD36;CD1C;CD33
Cytokine-cytokine receptor interaction	17/294	0.0012154370043624004	0.12478486578120644	0	0	2.317560290649326	15.556974775706271	IL10;IL11;CCL22;CSF2;IL1R1;TNFSF12;TNFSF13;TNFRSF10C;IL36G;IL19;CXCL13;CD4;CCL7;CCL2;IL36RN;LTBR;CCR4
Malaria	6/49	0.0013182871167178199	0.10150810798727213	0	0	4.907774733139749	32.54552545366494	IL10;CR1;LRP1;CCL2;CD36;MET
Histidine metabolism	4/23	0.002325613500263887	0.14325779161625546	0	0	6.970462664459354	42.26729217509403	ALDH3A2;ALDH2;ALDH3B1;HNMT
Chemokine signaling pathway	12/190	0.0030161016249716736	0.15482655008187926	0	0	2.5313785465668177	14.691589834291864	GSK3A;CCL22;NCF1;CCL7;GNG4;WAS;CCL2;ARRB1;CXCL13;GNG12;CCR4;MAPK3
Complement and coagulation cascades	7/79	0.0035599018407233038	0.15663568099182537	0	0	3.551406610689734	20.02290969346393	CR1;SERPINB2;F13A1;SERPING1;CD59;VSIG4;TFPI
beta-Alanine metabolism	4/31	0.007063385606929442	0.2719403458667835	0	0	5.171633589760165	25.614226102266635	ALDH3A2;ALDH2;ALDH3B1;DPYD
Leishmaniasis	6/74	0.010379500416805765	0.3552095698195751	0	0	3.2497427287006446	14.844573033000467	IL10;CR1;NCF1;NCF4;FCGR2C;MAPK3
Legionellosis	5/55	0.011837257246385426	0.36458752318867116	0	0	3.6436509382401168	16.165069513023667	CR1;NLRC4;HSPA2;TLR5;HSPA1B
Tryptophan metabolism	4/42	0.0202878311040426	0.5680592709131929	0	0	3.81715812577536	14.878267108239372	ALDH3A2;TPH2;ALDH2;CYP1A1
Acute myeloid leukemia	5/66	0.02438564423362074	0.6258982019962657	0	0	3.036375781866764	11.276372960801945	CCNA1;CSF2;SPI1;MPO;MAPK3
Rheumatoid arthritis	6/91	0.02632803026304029	0.6237717939243392	0	0	2.6426479332290955	9.611630605068365	IL11;CSF2;CTSL;CTSK;TNFSF13;CCL2
