Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Toll-Like Receptors Cascades_Homo sapiens_R-HSA-168898	12/140	2.0674504410133748E-4	0.31631991747504634	0	0	3.4354423131978242	29.14637570513737	PPP2CB;CTSL;CTSK;BTK;S100A12;TLR8;BPI;CTSV;CD36;TLR5;MAP2K6;MAPK3
Trafficking and processing of endosomal TLR_Homo sapiens_R-HSA-1679131	4/13	2.2884482807533234E-4	0.17506629347762923	0	0	12.33235702173578	103.37556825339448	CTSL;CTSK;TLR8;CTSV
Cross-presentation of particulate exogenous antigens (phagosomes)_Homo sapiens_R-HSA-1236973	3/8	7.873424749607618E-4	0.4015446622299885	0	0	15.030060120240481	107.41754367338736	NCF1;NCF4;CD36
Collagen degradation_Homo sapiens_R-HSA-1442490	5/39	0.00270952766680978	1.0	0	0	5.138482092389908	30.373469770162796	MMP7;CTSL;CTSK;MMP19;MMP9
Synthesis of bile acids and bile salts via 24-hydroxycholesterol_Homo sapiens_R-HSA-193775	3/14	0.004577314156467726	1.0	0	0	8.58860578299456	46.26375220376285	AMACR;AKR1C1;SLC27A2
Degradation of the extracellular matrix_Homo sapiens_R-HSA-1474228	8/106	0.0050714625544723575	1.0	0	0	3.0249177600483987	15.984046676588369	MMP7;ADAM15;CTSL;CTSK;SPP1;MMP19;CTSV;MMP9
Alpha-oxidation of phytanate_Homo sapiens_R-HSA-389599	2/5	0.005909678735763783	1.0	0	0	16.032064128256515	82.26314723001988	ALDH3A2;SLC27A2
Thrombin signalling through proteinase activated receptors (PARs)_Homo sapiens_R-HSA-456926	4/32	0.007916250834193813	1.0	0	0	5.01002004008016	24.24267317012146	GNG4;ARRB1;GNG12;MAPK3
Activation of Matrix Metalloproteinases_Homo sapiens_R-HSA-1592389	4/32	0.007916250834193813	1.0	0	0	5.01002004008016	24.24267317012146	MMP7;CTSK;CTSV;MMP9
GPCR ligand binding_Homo sapiens_R-HSA-500792	20/447	0.008980009737335454	1.0	0	0	1.793295763787082	8.45136234407575	P2RY13;NMB;FZD2;CCL22;FZD7;WNT5A;GPBAR1;TRH;CXCL13;GNG12;LTB4R;HRH1;CCL7;HRH2;GNG4;CCL2;NMUR1;AVP;CCR4;PTGDR
