"","TB_status_limma_logFC","TB_status_limma_AveExpr","TB_status_limma_t","TB_status_limma_P.Value","TB_status_limma_padj","TB_status_limma_B"
"FCRL4",-54.8714038866133,22.8630849527555,-32.0678289156947,2.43183598441597e-20,6.16908152526644e-16,29.981566096273
"SPINK1",-76.0756279723026,31.6981783217927,-30.3319328427594,8.31981913216063e-20,9.54749704961776e-16,29.3740073305203
"SNORD55",-34.8759686333266,15.2176016328962,-29.9151133621079,1.12907959432566e-19,9.54749704961776e-16,29.2177935829903
"CEACAM4",51.8388868655916,40.8155661718055,20.4730536395631,4.40883774481727e-16,2.79608489776311e-12,24.1869669618613
"RASD2",-49.3613971839727,21.8905852447128,-20.0867453544367,6.63593836488286e-16,3.36680968880697e-12,23.9000266078944
"UBE2QL1",-43.8722189329261,18.7920276302938,-19.2521474654365,1.64533012389596e-15,6.95645576383214e-12,23.2509475986827
"ALDH1A1",46.7053519079821,63.6525548383274,18.6238246508227,3.33667487918382e-15,1.20921097621621e-11,22.7344744207295
"GEM",-81.9702710302657,39.8173549403143,-18.2496953348529,5.13485289041459e-15,1.62826185155047e-11,22.4149455588699
"SNORA13",-31.5585651389754,14.9970808661594,-17.6385701659966,1.05609748908164e-14,2.97195495850275e-11,21.8727680926871
"EFNB2",-54.3948903637538,29.2224317203507,-17.5521431074963,1.17153695935933e-14,2.97195495850275e-11,21.7939974733001
"SLC39A11",33.888288865167,63.5894520298023,17.1812029043242,1.83793530175785e-14,3.73712216030152e-11,21.4498271236053
"KHDRBS3",-55.7900324303056,28.8942965623843,-17.1785196839747,1.84398839019523e-14,3.73712216030152e-11,21.4473010350691
"GSG1",-25.8666607487137,10.777775311964,-17.1476611503329,1.91511305912645e-14,3.73712216030152e-11,21.4182114358375
"BLOC1S1",29.162434637561,64.3002118073958,16.5936298625243,3.81688049726884e-14,6.81296935325335e-11,20.8837683350301
"CARD9",50.0215863375754,51.2893458950344,16.5509396454902,4.02848235173448e-14,6.81296935325335e-11,20.8416117778411
"CCL7",-85.3638020641076,36.66784360282,-16.3898140106949,4.94369476111091e-14,7.83822804374134e-11,20.6812125383217
"MARC1",52.7827534863578,52.1800668175399,16.0342438285436,7.81481226151408e-14,1.16615386735347e-10,20.3199134229026
"PLBD1",62.403994842568,86.7347187823874,15.9207320758363,9.06131209461477e-14,1.27704091786771e-10,20.2024055104939
"FAM83F",-35.4574989963712,16.1292468327397,-15.6836496323558,1.23790428951043e-13,1.57292354651849e-10,19.9535177865854
"ODF3L1",-28.3630422087035,11.8179342536265,-15.682320751213,1.24008478911896e-13,1.57292354651849e-10,19.9521094051418
"KIAA1644",-36.2794027307439,15.1164178044766,-15.4420561261769,1.70820799904049e-13,2.06351526284091e-10,19.6949917028172
"CLEC12B",50.5826197603151,47.6071866315892,14.9621830593798,3.2796111696329e-13,3.78168982505669e-10,19.1663587247896
"C1orf233",30.1949504438069,48.4354765993618,14.4738685579309,6.48461560764205e-13,7.13463936275121e-10,18.6069669398625
"SNORA18",-42.5967161439891,20.1486669957929,-14.4381790281412,6.82089034409528e-13,7.13463936275121e-10,18.5652065809512
"DIAPH2",33.5172897749142,76.0352672835078,14.3893441927669,7.31066239138773e-13,7.13463936275121e-10,18.5078680388925
"FGD4",40.223559405773,63.985851821785,14.3449016047186,7.78817990572e-13,7.13463936275121e-10,18.4554880793472
"CREB5",53.3298158255968,71.1218124952703,14.3432100083989,7.80698361266954e-13,7.13463936275121e-10,18.4534906188593
"SLC9A9",23.1625545274715,69.2365146138075,14.3371372515861,7.87487788383135e-13,7.13463936275121e-10,18.4463175549046
"LOC100996266",-17.1917060671118,7.16321086129659,-14.1669280872118,1.00501888011282e-12,8.60230542134992e-10,18.243817184144
"EML1",-43.3902109049805,21.1735673455502,-14.1584940160186,1.01730196562795e-12,8.60230542134992e-10,18.2337097363688
"SNORD76",-41.4765911271314,20.0854265876497,-14.1198278403113,1.07564447974936e-12,8.80224166525215e-10,18.1872827154912
"LARP6",-22.4193681724673,9.34140340519472,-14.070592370071,1.15500858741973e-12,9.15633057676992e-10,18.1279523409267
"CYP1A1",-36.666364391484,16.0045115318103,-14.0396539186531,1.2079722661412e-12,9.28601225680904e-10,18.0905481472684
"DLX2",-22.5743476589939,9.40597819124745,-13.9703684047545,1.33594489874697e-12,9.96772064453326e-10,18.0064387616421
"MARVELD1",45.0207373948227,51.9888262635036,13.9103404196967,1.45820233035675e-12,1.05690504904257e-09,17.9331810174112
"SLC7A11",-82.1537271324921,65.8630057270261,-13.7804967021638,1.76411984309946e-12,1.21602502611945e-09,17.7734828821023
"SLC24A4",41.0600802202846,64.3330095531624,13.7703350233249,1.79071824991888e-12,1.21602502611945e-09,17.7609128967099
"IL21-AS1",-41.1900995373605,18.2196561887558,-13.7587524274656,1.82154489879135e-12,1.21602502611945e-09,17.7465724544154
"RPS10",56.1276063261879,74.2305255198044,13.7354688519562,1.88519348195593e-12,1.22624585257072e-09,17.7177037332398
"MIR221",-35.4569069767109,16.8698767368381,-13.7179961542143,1.93447268639575e-12,1.22684257771218e-09,17.6960035163541
"MAP2K6",34.5027321273106,61.2461529478923,13.6254475541906,2.21876567932992e-12,1.34540444770355e-09,17.5805421940544
"SPIDR",26.8245653556029,79.4526162704687,13.6228058259928,2.22749080745621e-12,1.34540444770355e-09,17.5772335379806
"IL36RN",-45.0206264451008,18.7585943521253,-13.4862465754472,2.73076486355865e-12,1.61102425718037e-09,17.4052163158032
"SCIMP",38.8193347344333,61.3948478968293,13.4277377204003,2.98129659727459e-12,1.71885300181050e-09,17.3309220195878
"CDH23",50.7991683817815,67.4071227005286,13.3949125638724,3.13219945118186e-12,1.76572523727959e-09,17.2890837751488
"MIR3648",-32.9721603524451,16.0282068807997,-13.3449067790879,3.37751314167689e-12,1.83388936199751e-09,17.2251296078307
"CD1D",57.1596859921327,60.2566370742822,13.34096159006,3.39769788764912e-12,1.83388936199751e-09,17.2200727406015
"INO80B",40.4572848964224,34.4217503401092,13.3264581808915,3.47298528324754e-12,1.83547272219632e-09,17.2014684090397
"ASGR1",66.2510137126207,61.6660293007914,13.0441107476177,5.34113253499302e-12,2.71231671521773e-09,16.8348143354644
"TRAPPC9",20.9452692700355,56.8302204951166,13.0435253587876,5.34594117632003e-12,2.71231671521773e-09,16.8340452370919
"P2RY13",54.7337545344016,62.4699901518038,13.0267933348662,5.48530365613314e-12,2.72845457154481e-09,16.8120465439518
"CACNA2D3",52.9861882951691,45.4759591694424,12.9829273448263,5.86887408127821e-12,2.86310764795895e-09,16.754228325064
"MNDA",53.1650395300788,88.2177963890099,12.9138792959244,6.53004334124439e-12,3.12554980152241e-09,16.6627923748924
"GPRC5A",-57.6693385299263,29.7837422712189,-12.828894702401,7.45145572921402e-12,3.50052831367965e-09,16.5495328049991
"NCS1",-72.8631996552686,46.1133533760065,-12.7446523414456,8.49874195359584e-12,3.91992883416035e-09,16.4364727007563
"FBXL17",22.5588516757932,71.7458512610753,12.6661864192884,9.61198155784884e-12,4.3383843614584e-09,16.3304524443772
"LOC644936",42.487275050524,65.9578152677436,12.6501465106128,9.8576177990469e-12,4.3383843614584e-09,16.3086948406684
"DPYSL3",-55.8402591376641,29.8453577220142,-12.6438776994378,9.95538223734619e-12,4.3383843614584e-09,16.3001835338465
"BRSK1",44.8356103661871,32.8804563696854,12.6291612660116,1.01888669420599e-11,4.3383843614584e-09,16.2801852946151
"LOC102477328",-32.3517731786555,13.4799054911064,-12.6226954291205,1.02932422501137e-11,4.3383843614584e-09,16.2713911095616
"SH2D5",-24.1919890674709,10.9350875475696,-12.6141983774723,1.04320973686914e-11,4.3383843614584e-09,16.259827091574
"ZNF428",29.8145950527409,56.7483894388832,12.6027322986215,1.0622560898717e-11,4.34634072384924e-09,16.244209458798
"C11orf91",-30.4574985011441,13.7144971919592,-12.5218587321714,1.20727523281361e-11,4.86129493746278e-09,16.133630557472
"SLC46A2",57.7697617069753,52.5977880640118,12.4376570910465,1.38025989431741e-11,5.47100515610064e-09,16.0177091988249
"SLC22A18",36.9715272118862,59.6197185147858,12.3992014865151,1.46764075949772e-11,5.71073397694392e-09,15.9644965179828
"MSRA",21.0604277843275,68.4238609232098,12.3863422243055,1.49812563637783e-11,5.71073397694392e-09,15.9466646169666
