Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Human Complement System WP2806	9/97	7.132511399317303E-4	0.3366545380477767	0	0	3.718777761708985	26.94506238326173	PRNP;CR1;ITGA2;WAS;SPP1;F13A1;SERPING1;CD59;VSIG4
Serotonin Transporter Activity WP1455	3/11	0.002193714906129018	0.5177167178464482	0	0	10.93095281472035	66.92102971125014	PPP2CB;TPH2;IL1R1
Osteopontin Signaling WP1434	3/13	0.003663762206263562	0.5764319204521338	0	0	9.249267766301834	51.8815914997403	SPP1;MMP9;MAPK3
Cytokines and Inflammatory Response WP530	4/26	0.003701439888212337	0.43676990680905575	0	0	6.16617851086789	34.52463928508319	IL10;IL11;CD4;CSF2
Fatty Acid Omega Oxidation WP206	3/15	0.005616675024640031	0.5302141223260189	0	0	8.016032064128257	41.5392017858638	ALDH2;ALDH1A1;CYP1A1
Chemokine signaling pathway WP3929	10/164	0.00824915910023044	0.6489338492181279	0	0	2.443912214673249	11.72502080032083	CCL22;NCF1;CCL7;GNG4;WAS;ARRB1;CXCL13;GNG12;CCR4;MAPK3
Spinal Cord Injury WP2431	8/118	0.009516833442234777	0.641706483533545	0	0	2.7172990047892394	12.648192947586551	EFNB2;IL1R1;TNFSF13;CCL2;MMP9;FCGR2C;LTB4R;MAPK3
Wnt Signaling Pathway and Pluripotency WP399	7/102	0.013961365514387793	0.8237205653488797	0	0	2.750599237691069	11.749078388739441	PPP2CB;FZD2;MMP7;FZD7;LRRK2;WNT5A;NKD2
TYROBP Causal Network WP3945	5/61	0.017942576223113686	0.9409884419232954	0	0	3.2852590426755146	13.208642959627593	CD4;KCNE3;DPYD;RNASE6;SPP1
Viral Acute Myocarditis WP4298	6/84	0.018533274840186447	0.8747705724568003	0	0	2.86286859433152	11.417656806480785	IL10;DFFB;CD4;TLR5;MMP9;MAPK3
Benzo(a)pyrene metabolism WP696	2/9	0.019912211750142357	0.8544149041879265	0	0	8.90670229347584	34.882405519263955	AKR1C1;CYP1A1
TNF related weak inducer of apoptosis (TWEAK) Signaling Pathway WP2036	4/42	0.0202878311040426	0.7979880234256757	0	0	3.81715812577536	14.878267108239372	TNFSF12;CCL2;MMP9;MAPK3
Lung fibrosis WP3624	5/63	0.020365764834761314	0.7394339232313338	0	0	3.1809651048128	12.386359965174886	CSF2;FAM13A;SPP1;CCL2;MMP9
IL1 and megakaryocytes in obesity WP2865	3/24	0.02117313795562006	0.713837222503762	0	0	5.01002004008016	19.313737366186253	IL1R1;CCL2;MMP9
Vitamin A and Carotenoid Metabolism WP716	4/43	0.021940344052406784	0.6903894928490668	0	0	3.728387006571282	14.240306259941201	SULT1A1;RBP7;ALDH1A1;CD36
Tryptophan metabolism WP465	4/46	0.027380120670636623	0.8077135597837803	0	0	3.485231332229677	12.539646429822215	ALDH3A2;ALDH2;ALDH1A1;CYP1A1
Selective expression of chemokine receptors during T-cell polarization WP4494	3/29	0.034896686429043866	0.9688962349711002	0	0	4.14622348144565	13.912086513749546	CD4;CSF2;CCR4
Matrix Metalloproteinases WP129	3/30	0.03807704815856621	0.9984648183801806	0	0	4.008016032064129	13.098771899430595	MMP7;MMP19;MMP9
Development of pulmonary dendritic cells and macrophage subsets WP3892	2/13	0.040402734490517254	1.0	0	0	6.16617851086789	19.78639007798208	SPI1;CSF2
Monoamine Transport WP727	3/32	0.04486378082167966	1.0	0	0	3.7575150300601203	11.663794362384895	TPH2;PPP2CB;IL1R1
MAPK Signaling Pathway WP382	11/246	0.045327883298084744	1.0	0	0	1.7922022907603825	5.544774429440758	DUSP10;IL1R1;LRRK2;CACNA2D3;RRAS2;ARRB1;HSPA2;GNG12;HSPA1B;MAP2K6;MAPK3
Hematopoietic Stem Cell Differentiation WP2849	4/55	0.04815323704518734	1.0	0	0	2.9149207505920933	8.842024163658012	NFE2;CSF2;SPI1;LMO2
IL-1 signaling pathway WP195	4/55	0.04815323704518734	0.9881881689273229	0	0	2.9149207505920933	8.842024163658012	IL1R1;CCL2;MAPK3;MAP2K6
RANKL/RANK (Receptor activator of NFKB (ligand)) Signaling Pathway WP2018	4/55	0.04815323704518734	0.9470136618886844	0	0	2.9149207505920933	8.842024163658012	SPI1;CTSK;MAPK3;MAP2K6
Prion disease pathway WP3995	3/33	0.04846676224858994	0.9150524712533781	0	0	3.6436509382401168	11.028883331885812	PRNP;SPI1;MAPK3
Type 2 papillary renal cell carcinoma WP4241	3/34	0.05220691871825585	0.9477563705775677	0	0	3.536484734174231	10.44161352250808	ARNT2;EPAS1;CTSK
Role of Osx and miRNAs in tooth development WP3971	2/15	0.05264396193280757	0.9202944456401916	0	0	5.344021376085505	15.733887669292315	HNF1A;KLF4
Nuclear Receptors Meta-Pathway WP2882	13/319	0.05794375042186246	0.9767660785399671	0	0	1.6333607654179831	4.652272981231376	IL11;SERPINB2;SLC39A11;MGST2;NRG1;SLC7A11;PTGR1;SLC39A14;SULT1A1;FGD4;MAFG;CYP1A1;CCL2
MicroRNAs in cardiomyocyte hypertrophy WP1544	5/84	0.058935557970097745	0.9592270124788322	0	0	2.3857238286096	6.754725331133143	FZD2;WNT5A;NRG1;MAPK3;MAP2K6
Osteoclast Signaling WP12	2/16	0.059195084025969825	0.9313359886752586	0	0	5.01002004008016	14.162909722655604	CTSK;SPP1
Regulation of toll-like receptor signaling pathway WP1449	7/139	0.059787478106507704	0.9103125698797302	0	0	2.01842533988841	5.685821500021543	BTK;SPP1;TLR8;TLR5;CTNNAL1;MAP2K6;MAPK3
Wnt Signaling in Kidney Disease WP4150	3/36	0.060090063168788566	0.8863284317396314	0	0	3.34001336005344	9.3918196038763	FZD2;FZD7;WNT5A
ncRNAs involved in Wnt signaling in hepatocellular carcinoma WP4336	5/86	0.06391808525299726	0.9142223102852942	0	0	2.330241879107051	6.40852153921544	FZD2;FZD7;WNT5A;KLF4;NKD2
Regulation of Wnt/B-catenin Signaling by Small Molecule Compounds WP3664	2/17	0.06600916139257469	0.9163624758028016	0	0	4.715312978898974	12.816040257505042	LRP1;FZD7
T-Cell antigen Receptor (TCR) pathway during Staphylococcus aureus infection WP3863	4/62	0.06894563276553183	0.9297811047237435	0	0	2.5858167948800825	6.9156041525630165	IL10;CD4;CSF2;MAPK3
4-hydroxytamoxifen, Dexamethasone, and Retinoic Acids Regulation of p27 Expression WP3879	2/18	0.07306905370565892	0.9580164819186392	0	0	4.45335114673792	11.651526803744126	MAPK3;MAP2K6
Estrogen metabolism WP697	2/18	0.07306905370565892	0.9321241445694868	0	0	4.45335114673792	11.651526803744126	SULT1A1;CYP1A1
Inhibition of exosome biogenesis and secretion by Manumycin A in CRPC cells WP4301	2/18	0.07306905370565892	0.9075945618176582	0	0	4.45335114673792	11.651526803744126	RRAS2;MAPK3
Simplified Depiction of MYD88 Distinct Input-Output Pathway WP3877	2/18	0.07306905370565892	0.8843229063864362	0	0	4.45335114673792	11.651526803744126	TLR8;TLR5
NRF2 pathway WP2884	7/146	0.07358799502840058	0.8683383413351269	0	0	1.9216515222225272	5.014114157918484	MAFG;SLC39A11;MGST2;NRG1;SLC7A11;PTGR1;SLC39A14
Endochondral Ossification WP474	4/64	0.07561155525750367	0.8704549775985789	0	0	2.50501002004008	6.468302004396629	SPP1;CTSV;MMP9;CST5
