"","TB_status_limma_logFC","TB_status_limma_AveExpr","TB_status_limma_t","TB_status_limma_P.Value","TB_status_limma_padj","TB_status_limma_B"
"SHISA8",-31.5437358584548,25.3734329457893,-9.96454502531193,1.34023716787651e-11,3.39991364746913e-07,14.5880312008335
"DNTTIP1",16.6726527576981,71.9951608074639,9.06303222664923,1.41721127323152e-10,1.17882071950505e-06,12.722170402675
"DIRAS1",-31.444163628331,21.6541478341304,-9.00300233190795,1.66444582466726e-10,1.17882071950505e-06,12.5930247481551
"LOC100505812",17.9997085920597,64.9869816484872,8.96188330686436,1.85875231710036e-10,1.17882071950505e-06,12.5042106674738
"SNAPIN",17.3769696053741,67.5008096813806,8.82395664715011,2.69623095988772e-10,1.36795973980863e-06,12.2042103875016
"TNFAIP8L2",27.7020539201536,69.4420152311282,8.34292668757431,1.00536911828268e-09,3.79726431298744e-06,11.132946335002
"KIAA0125",-18.7912151820592,68.1457927526791,-8.28330061984719,1.18589654305025e-09,3.79726431298744e-06,10.9974818421802
"ADORA2A",-31.1457313168404,21.0998424225448,-8.27979071848607,1.19749741816066e-09,3.79726431298744e-06,10.9894895112443
"TNFSF10",28.2481920197581,88.0042323680497,8.11344219884157,1.9027927960932e-09,4.98676271721073e-06,10.6083959229129
"VPS45",15.4907346676734,78.624195415492,8.01132164549666,2.53262526715101e-09,4.98676271721073e-06,10.3722263226601
"CYP27B1",-29.1561144973541,24.1260991835144,-8.00809973083722,2.55562748572942e-09,4.98676271721073e-06,10.3647479258394
"LPAR6",19.7321992687524,79.157683026996,8.00516335040312,2.57677585230854e-09,4.98676271721073e-06,10.3579308386662
"SCN3A",-33.6761554817793,34.1300662344115,-7.99208048190566,2.67318142906015e-09,4.98676271721073e-06,10.3275409788476
"FAM198B",26.6087008285224,82.1469279440083,7.97490555560668,2.80532321473352e-09,4.98676271721073e-06,10.2876043410823
"CYP1B1",32.0437450098594,79.3632211952969,7.95718099087167,2.94865345152006e-09,4.98676271721073e-06,10.2463403945557
"MED8",11.6047540360985,69.4752486758504,7.76869064170601,5.02041892811049e-09,7.055865700923e-06,9.80445547384616
"KCNE3",23.8350763293979,72.1162471485841,7.76064924829611,5.13616734871766e-09,7.055865700923e-06,9.78548015332698
"FTSJ2",15.8271820754737,69.1361386441045,7.75360326126221,5.23981082470344e-09,7.055865700923e-06,9.76884546122663
"GIMAP4",26.0466198749352,90.1472972800596,7.75059747671733,5.28466762525769e-09,7.055865700923e-06,9.76174684150575
"BAG6",-25.398295912949,32.5213854264443,-7.70521178778277,6.01133022930636e-09,7.62477126285219e-06,9.6543920072569
"IGSF6",21.8942967370503,77.3727802821709,7.62259696658443,7.60461064236593e-09,9.18636965597804e-06,9.45816451460801
"DCAF12",14.5679411832134,72.4107044123333,7.56532626537745,8.9547062074834e-09,9.35673513686015e-06,9.32152592732291
"GIMAP2",17.3654977990736,81.8349757479777,7.55910652487527,9.11525192368913e-09,9.35673513686015e-06,9.30665687376921
"TLR8",22.14886476435,79.2658871677318,7.55846209231781,9.13205208118400e-09,9.35673513686015e-06,9.30511594641
"FADD",19.4967739769598,68.0337836098759,7.5550699815288,9.22100198760264e-09,9.35673513686015e-06,9.29700391281628
"FRAT2",16.1140994869042,73.7854295119975,7.49450802368629,1.09654991457289e-08,1.06989531664943e-05,9.15188396988736
"SMIM7",16.6658592084057,75.692614362855,7.47529630843729,1.1586045748668e-08,1.08857336500819e-05,9.10573440856514
"COPB2",10.8905197016706,79.5023206099906,7.41226170067728,1.38833360469753e-08,1.23034620667496e-05,8.95393312595891
"NPL",23.8090524026773,77.923455836433,7.39769733973334,1.44767410082444e-08,1.23034620667496e-05,8.91877611808697
"MSRB1",26.7580756935893,79.7736725621932,7.39594186718058,1.45499787922772e-08,1.23034620667496e-05,8.91453648328962
"TNRC18P1",-25.7506405635511,17.8745275640175,-7.35969850031657,1.61487924907993e-08,1.32149215453741e-05,8.82690526408383
"ETV1",-20.3081496787812,13.8726057704427,-7.34288092285052,1.69499998377754e-08,1.33711018580917e-05,8.78617824221489
"PXMP4",16.348708006573,62.9929637244203,7.33390814971615,1.73938174596747e-08,1.33711018580917e-05,8.76443226748312
"S100A12",32.4828429629776,93.2743389397375,7.29726389486382,1.93319181244447e-08,1.42538758518004e-05,8.6755031976627
"POLD3",15.455146109103,69.1848430604162,7.29132615964041,1.96659435041396e-08,1.42538758518004e-05,8.66107531547053
"CPQ",13.308863236257,73.2886213515999,7.25979443323565,2.15401680543285e-08,1.48483593732272e-05,8.58437363524103
"CALML6",-26.3039946673799,18.3009430797613,-7.25792529089919,2.16567840117237e-08,1.48483593732272e-05,8.57982248121533
"MATN1",-28.7703375303147,26.7927357882168,-7.22698469240991,2.36827166565713e-08,1.57481546202839e-05,8.50441404273585
"EFNB2",-19.0425556976101,17.9834274873527,-7.21152870918091,2.47655362774151e-08,1.57481546202839e-05,8.4666943895692
"RNF170",16.6403281665273,72.8731319023674,7.21060899154525,2.48315273104446e-08,1.57481546202839e-05,8.46444880587682
"TNFRSF13C",-37.9412075246886,37.0853343197766,-7.18889322151032,2.64424339464771e-08,1.61573720828663e-05,8.41139329956988
"RNF149",16.8298470348181,93.0867584750781,7.18489167755258,2.67506160312355e-08,1.61573720828663e-05,8.4016096568722
"SPIDR",13.8661242975182,82.309843923459,7.1758210942559,2.74627169348263e-08,1.62017256558761e-05,8.37942415969541
"MGST1",27.9608891104667,72.9418374883252,7.13573427429433,3.08467453794658e-08,1.7784550836052e-05,8.28124087500015
"TARS",8.58294263954178,70.733935758623,7.10881990089306,3.33526061682296e-08,1.84429738953567e-05,8.21519678118855
"CCR2",33.3794063090156,74.1503501720893,7.10488910339955,3.37354337196638e-08,1.84429738953567e-05,8.20554289577997
"CPSF3",11.5857368341882,72.1369800903863,7.09853775051051,3.43634177842972e-08,1.84429738953567e-05,8.18993978660169
"ITPRIPL2",17.9854219633709,73.4859978239753,7.09323441479575,3.48968285626428e-08,1.84429738953567e-05,8.17690710775628
"DMD",-28.9747421159223,30.3357071404069,-7.04531057051587,4.01133422239589e-08,2.07672503170896e-05,8.05896469883709
"ARHGAP39",-24.3044075213203,29.5351199011848,-7.03819564182094,4.09523863452633e-08,2.07776027361328e-05,8.04142833563374
"RAB10",19.4294103874766,88.0056707512959,7.02270447317656,4.28411120205542e-08,2.13096731321063e-05,8.00322350338542
"CRISPLD2",19.2057686510668,70.8393523209143,7.01188827821492,4.42118362761126e-08,2.15685742817774e-05,7.97652936253947
"CHN2",13.4877225275118,70.7926572315985,6.99745688444827,4.61100142793888e-08,2.20701668347082e-05,7.94088890589029
"TNFSF13B",26.6452408090629,87.7378187766612,6.98563070576161,4.77267988480184e-08,2.24209895032691e-05,7.91166196574268
"CREG1",17.8708147553633,84.1884267055572,6.96757154571351,5.03069867647195e-08,2.28461572952791e-05,7.86699560668307
"CXorf38",9.90867256250796,78.0215069776517,6.96671357463858,5.04330183118745e-08,2.28461572952791e-05,7.864872496058
"OXT",-19.3049215583932,14.7369044012115,-6.95777091130083,5.17657977763295e-08,2.30385045261391e-05,7.84273752816345
"CCDC88A",17.7435035401715,91.5493571957197,6.9070612349505,6.00256258119574e-08,2.56292797837276e-05,7.71702465197676
"PTK7",-31.8696381400271,32.8615739704076,-6.89733859020038,6.17554146910767e-08,2.56292797837276e-05,7.69288378484189
"NRG1",26.8766684146506,59.0553110608079,6.89657893667832,6.18926698623872e-08,2.56292797837276e-05,7.69099709303457
"FGL2",24.4441209399704,99.68207779018,6.89578695247384,6.20360947109493e-08,2.56292797837276e-05,7.68903002574725
"CHAD",-27.0998920308252,26.5198142084733,-6.8883542200327,6.33985994361635e-08,2.56292797837276e-05,7.67056530560026
"MRS2",10.0131886366836,70.9166345770939,6.88700648279349,6.3648873635085e-08,2.56292797837276e-05,7.6672164451517
"PANK2",12.2069860230104,76.8784129391452,6.87491064164422,6.59402202416181e-08,2.60514071497283e-05,7.63715035757989
"ME2",11.247550045631,80.2388968111128,6.86254661079773,6.83685331495743e-08,2.60514071497283e-05,7.60639851637892
