Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ubiquitin mediated proteolysis	10/137	0.0023618459358254384	0.727448548234235	0	0	2.91970802919708	17.659304494854837	UBE2W;HERC3;CUL5;UBA6;CDC27;UBE4A;ANAPC4;BIRC6;UBE3B;PIAS1
Vasopressin-regulated water reabsorption	4/44	0.02382609847412197	1.0	0	0	3.6363636363636362	13.58899536203803	NSF;DCTN2;DYNC1I1;CREB5
Maturity onset diabetes of the young	3/26	0.026359322007969647	1.0	0	0	4.615384615384615	16.781230569993895	NEUROD1;NR5A2;HNF4G
Valine, leucine and isoleucine degradation	4/48	0.03161375502500175	1.0	0	0	3.333333333333333	11.513876558324146	IVD;DBT;HMGCLL1;DLD
Glycerophospholipid metabolism	6/97	0.034816933065960357	1.0	0	0	2.4742268041237114	8.307591162530308	PGS1;GNPAT;DGKE;CEPT1;LPIN1;CRLS1
Thyroid hormone synthesis	5/74	0.037751290429200716	1.0	0	0	2.7027027027027026	8.856042217071249	PRKCG;ATF2;LRP2;TSHB;CREB5
Non-homologous end-joining	2/13	0.040550197611673826	1.0	0	0	6.153846153846154	19.724397693220933	DCLRE1C;PRKDC
Base excision repair	3/33	0.048705626415457094	1.0	0	0	3.6363636363636362	10.988948085170936	POLB;PARP4;NEIL1
Hepatitis B	8/163	0.05266210557697415	1.0	0	0	1.9631901840490797	5.7793553695065105	PRKCG;ATF2;CASP8;CASP10;DDX58;MAP3K7;TLR3;CREB5
Peroxisome	5/83	0.05692265803393813	1.0	0	0	2.4096385542168672	6.906173034062129	GNPAT;IDH1;FAR1;PEX1;HMGCLL1
TNF signaling pathway	6/110	0.05793503383445977	1.0	0	0	2.1818181818181817	6.21476291460226	ATF2;CASP8;CASP10;MAP3K7;SELE;CREB5
Lysine degradation	4/59	0.059897577419752636	1.0	0	0	2.711864406779661	7.634221609280811	SETDB1;ASH1L;DLD;EZH1
Nitrogen metabolism	2/17	0.0662415915707929	1.0	0	0	4.705882352941176	12.773867020503221	CA12;CPS1
Central carbon metabolism in cancer	4/65	0.079512678248973	1.0	0	0	2.4615384615384617	6.232218572816643	PDGFRA;IDH1;GLS;PDK1
Lysosome	6/123	0.08844919769648449	1.0	0	0	1.951219512195122	4.732345227548523	HGSNAT;AP3M1;MANBA;GNPTAB;SLC11A2;CLTC
Amphetamine addiction	4/68	0.09037481756509516	1.0	0	0	2.352941176470588	5.655975569761716	PRKCG;ATF2;GRIA2;CREB5
Arginine biosynthesis	2/21	0.09588684119947874	1.0	0	0	3.8095238095238093	8.931758172484527	CPS1;GLS
RIG-I-like receptor signaling pathway	4/70	0.09798976602376523	1.0	0	0	2.2857142857142856	5.309467963642306	CASP8;CASP10;DDX58;MAP3K7
Basal transcription factors	3/45	0.10215828081331627	1.0	0	0	2.6666666666666665	6.0832850553957645	TBP;TAF11;TAF2
Phosphatidylinositol signaling system	5/99	0.10244796021859995	1.0	0	0	2.02020202020202	4.602828918210063	PRKCG;DGKE;PIKFYVE;PPIP5K2;INPP5J
Other types of O-glycan biosynthesis	2/22	0.10379556080326813	1.0	0	0	3.6363636363636362	8.237571185428129	RFNG;OGT
Arrhythmogenic right ventricular cardiomyopathy (ARVC)	4/72	0.10589336254947611	1.0	0	0	2.222222222222222	4.989606010945918	CACNB2;CACNA2D1;DMD;CTNNA3
Dopaminergic synapse	6/131	0.1108487014616299	1.0	0	0	1.83206106870229	4.029781479137479	PRKCG;ATF2;GRIA2;SCN1A;CREB5;ARNTL
Renin-angiotensin system	2/23	0.11187435504137663	1.0	0	0	3.4782608695652173	7.618709103989623	ENPEP;PREP
Endocrine and other factor-regulated calcium reabsorption	3/48	0.11807273003133849	1.0	0	0	2.5	5.341136220470389	PRKCG;KL;CLTC
D-Glutamine and D-glutamate metabolism	1/5	0.11891526936765551	1.0	0	0	8.0	17.03475249279432	GLS
Vitamin digestion and absorption	2/24	0.12010982001247623	1.0	0	0	3.333333333333333	7.064495959797489	APOB;PNLIP
Cocaine addiction	3/49	0.12357090514220292	1.0	0	0	2.4489795918367343	5.120669772142008	ATF2;GRIA2;CREB5
Cholesterol metabolism	3/50	0.12916025190606503	1.0	0	0	2.4	4.912083318606716	SOAT1;LRP2;APOB
