Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Phase 0 - rapid depolarisation_Homo sapiens_R-HSA-5576892	6/44	7.468154346855457E-4	1.0	0	0	5.454545454545454	39.271049884075076	CACNB2;CACNA2D1;SCN7A;SCN3A;FGF12;SCN1A
NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10_Homo sapiens_R-HSA-933543	3/12	0.0028874338160908373	1.0	0	0	10.0	58.47387124231253	CASP8;DDX58;CASP10
COPI-mediated anterograde transport_Homo sapiens_R-HSA-6807878	7/78	0.003350695028406084	1.0	0	0	3.5897435897435894	20.456467889481193	NSF;SPTA1;COPB2;DCTN2;COG3;USO1;DYNC1I1
Interaction between L1 and Ankyrins_Homo sapiens_R-HSA-445095	4/29	0.005583621105065782	1.0	0	0	5.517241379310344	28.622994590353443	SPTA1;SCN7A;SCN3A;SCN1A
Negative regulation of TCF-dependent signaling by DVL-interacting proteins_Homo sapiens_R-HSA-5368598	2/5	0.0059328116851476344	1.0	0	0	16.0	82.03611251921258	DVL3;CXXC4
FasL/ CD95L signaling_Homo sapiens_R-HSA-75157	2/5	0.0059328116851476344	1.0	0	0	16.0	82.03611251921258	CASP8;CASP10
Trafficking of GluR2-containing AMPA receptors_Homo sapiens_R-HSA-416993	3/17	0.00813412351983557	1.0	0	0	7.0588235294117645	33.96485143053246	NSF;PRKCG;GRIA2
Nuclear Receptor transcription pathway_Homo sapiens_R-HSA-383280	5/51	0.008736127099488568	1.0	0	0	3.9215686274509802	18.589365926083495	AR;NR5A2;HNF4G;ESRRG;NR2C1
Transport of the SLBP independent Mature mRNA_Homo sapiens_R-HSA-159227	4/33	0.008894984595890918	1.0	0	0	4.848484848484849	22.89584334369705	NUP107;NCBP1;NUP85;NUP160
Signaling by cytosolic FGFR1 fusion mutants_Homo sapiens_R-HSA-1839117	3/18	0.009582224106397506	1.0	0	0	6.666666666666666	30.985637016835305	CPSF6;ZMYM2;CNTRL
Membrane Trafficking_Homo sapiens_R-HSA-199991	19/420	0.009795927860542676	1.0	0	0	1.8095238095238093	8.370474435980038	NSF;COPB2;DCTN2;RALGAPA2;CLTC;USO1;COG3;PRKAG2;MYO5A;CLINT1;SPTA1;GJD4;SCFD1;NECAP1;VPS53;VPS45;VPS36;DYNC1I1;EXOC1
Transport of the SLBP Dependant Mature mRNA_Homo sapiens_R-HSA-159230	4/34	0.009885910454645437	1.0	0	0	4.705882352941176	21.72538692674213	NUP107;NCBP1;NUP85;NUP160
L1CAM interactions_Homo sapiens_R-HSA-373760	7/96	0.010327198090623376	1.0	0	0	2.9166666666666665	13.337841628591416	SPTA1;RPS6KA6;CHL1;LAMA1;SCN7A;SCN3A;SCN1A
Axon guidance_Homo sapiens_R-HSA-422475	22/515	0.010766824495401983	1.0	0	0	1.7087378640776698	7.742779411828746	EPHA5;FGB;KL;PDGFRA;LAMA1;CLTC;UNC5C;GFRA1;APBB1IP;EFNB2;SPTA1;CACNB2;PSMA3;RPS6KA6;KITLG;PSMD5;CHL1;SCN7A;SLIT3;SCN3A;MARK3;SCN1A
APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway_Homo sapiens_R-HSA-5649702	2/7	0.012051662882171474	1.0	0	0	11.428571428571427	50.49774434338215	POLB;NEIL1
TRAIL  signaling_Homo sapiens_R-HSA-75158	2/7	0.012051662882171474	1.0	0	0	11.428571428571427	50.49774434338215	CASP8;CASP10
IL-6-type cytokine receptor ligand interactions_Homo sapiens_R-HSA-6788467	3/20	0.012902143644594305	1.0	0	0	5.999999999999999	26.10217084452193	IL11RA;EBI3;LIFR
Transport of Mature mRNA Derived from an Intronless Transcript_Homo sapiens_R-HSA-159231	4/37	0.013278626831915668	1.0	0	0	4.324324324324325	18.687998017259645	NUP107;NCBP1;NUP85;NUP160
