Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Glycerophospholipid Biosynthetic Pathway WP2533	5/21	1.397996263776751E-4	0.06598542365026264	0	0	9.523809523809522	84.52667048301859	PGS1;GNPAT;CEPT1;LPIN1;CRLS1
exRNA mechanism of action and biogenesis WP2805	2/6	0.0087524127649488	1.0	0	0	13.333333333333332	63.17901162743442	DGCR8;DICER1
miRNA Biogenesis WP2338	2/6	0.0087524127649488	1.0	0	0	13.333333333333332	63.17901162743442	DGCR8;DICER1
Pathways Regulating Hippo Signaling WP4540	7/98	0.011491958723392615	1.0	0	0	2.8571428571428568	12.760307798972494	PRKCG;PDGFRA;PRKD3;CDH20;CDH11;PRKAG2;CDH7
DNA IR-Double Strand Breaks (DSBs) and cellular response via ATM WP3959	5/55	0.011932232343427853	1.0	0	0	3.6363636363636362	16.103679782632323	YAP1;ATF2;DCLRE1C;PRKDC;ATR
Cytosine methylation WP3585	2/9	0.019987498286726836	1.0	0	0	8.888888888888888	34.779095880349324	IDH1;TET2
Fas Ligand (FasL) pathway and Stress induction of Heat Shock Proteins (HSP) regulation WP314	4/42	0.020420811588340845	1.0	0	0	3.8095238095238093	14.82362179908072	CASP8;PRKDC;CASP10;MAP3K7
ATM Signaling Network in Development and Disease  WP3878	4/45	0.02564991223851159	1.0	0	0	3.5555555555555554	13.024764902655056	ATF2;DCLRE1C;PRKDC;ATR
Iron metabolism in placenta WP2007	2/12	0.03487854042134841	1.0	0	0	6.666666666666666	22.372556843567576	HEPHL1;SLC11A2
Thermogenesis WP4321	6/108	0.053900162558164676	1.0	0	0	2.222222222222222	6.4902706336673575	ATF2;RPS6KA6;KDM3B;PRKAG2;PRKG1;CREB5
Complement and Coagulation Cascades WP558	4/58	0.05691072142191488	1.0	0	0	2.758620689655172	7.9069559445711395	FGB;C6;C7;CLTC
TCA Cycle and Deficiency of Pyruvate Dehydrogenase complex (PDHc) WP2453	2/16	0.05940541077305161	1.0	0	0	5.0	14.116849831533036	IDH1;DLD
RIG-I-like Receptor Signaling WP3865	4/60	0.06296617067027598	1.0	0	0	2.6666666666666665	7.373753787467152	CASP8;CASP10;DDX58;MAP3K7
Cells and Molecules involved in local acute inflammatory response  WP4493	2/17	0.0662415915707929	1.0	0	0	4.705882352941176	12.773867020503221	C6;C7
Amino Acid metabolism WP3925	5/91	0.07788799770256499	1.0	0	0	2.1978021978021975	5.609853650799394	CPS1;RARS;IDH1;DLD;GLS
Hereditary leiomyomatosis and renal cell carcinoma pathway WP4206	2/20	0.08816218183787267	1.0	0	0	4.0	9.714308741076266	SLC11A2;PDK1
Human Complement System WP2806	5/97	0.09598139817691856	1.0	0	0	2.0618556701030926	4.832166753155399	FGB;C6;C7;LRP2;SELE
miRNA Regulation of DNA Damage Response WP1530	4/71	0.10190606046315834	1.0	0	0	2.2535211267605635	5.14637490908864	CDC20B;CASP8;PRKDC;ATR
Complement Activation WP545	2/22	0.10379556080326813	1.0	0	0	3.6363636363636362	8.237571185428129	C6;C7
NAD+ biosynthetic pathways WP3645	2/22	0.10379556080326813	1.0	0	0	3.6363636363636362	8.237571185428129	PARP4;TNKS2
The human immune response to tuberculosis WP4197	2/23	0.11187435504137663	1.0	0	0	3.4782608695652173	7.618709103989623	IFNGR1;PIAS1
Arrhythmogenic Right Ventricular Cardiomyopathy WP2118	4/74	0.11407613801901988	1.0	0	0	2.1621621621621623	4.693814434937615	CACNB2;CACNA2D1;DMD;CTNNA3
Synaptic Vesicle Pathway WP2267	3/51	0.13483744322316818	1.0	0	0	2.352941176470588	4.714553765545066	NSF;UNC13C;CLTC
DNA IR-damage and cellular response via ATR WP4016	4/80	0.14019643720239597	1.0	0	0	2.0	3.9294214339112856	POLB;PRKDC;CLK2;ATR
Wnt Signaling Pathway WP363	3/52	0.14059914501552925	1.0	0	0	2.3076923076923075	4.527328570603137	PRKCG;DVL3;MAP3K7
Intraflagellar transport proteins binding to dynein WP4532	2/27	0.1456305058632748	1.0	0	0	2.962962962962963	5.708689324070283	WDR60;DYNC1I1
DDX1 as a regulatory component of the Drosha microprocessor WP2942	1/7	0.16243058031155067	1.0	0	0	5.7142857142857135	10.385740380401181	DGCR8
MicroRNA for Targeting Cancer Growth and Vascularization in Glioblastoma WP3593	1/7	0.16243058031155067	1.0	0	0	5.7142857142857135	10.385740380401181	HEY1
Non-homologous end joining WP438	1/7	0.16243058031155067	1.0	0	0	5.7142857142857135	10.385740380401181	PRKDC
Statin Pathway WP430	2/29	0.16320629383915272	1.0	0	0	2.758620689655172	5.000662819323756	SOAT1;APOB
miRs in Muscle Cell Differentiation WP2012	2/29	0.16320629383915272	1.0	0	0	2.758620689655172	5.000662819323756	PRKCG;PRKD3
PI3K-AKT-mTOR signaling pathway and therapeutic opportunities WP3844	2/30	0.17213040735200277	1.0	0	0	2.6666666666666665	4.692007752438898	RICTOR;PDK1
Ciliary landscape WP4352	8/216	0.17482764193002934	1.0	0	0	1.4814814814814814	2.5836365831874217	YAP1;MKLN1;DGKE;RBM14;WDR60;DVL3;ARMC8;EXOC1
Toll-like Receptor Signaling WP3858	2/31	0.18113203111493761	1.0	0	0	2.5806451612903225	4.40910725152166	TLR8;TLR3
