X1,TB_status_limma_logFC,TB_status_limma_AveExpr,TB_status_limma_t,TB_status_limma_P.Value,TB_status_limma_padj,TB_status_limma_B
LINC00971,-27.0202757228405,13.2442102356348,-8.5187636505787,1.16123758868226e-8,2.94582751496916e-4,9.55911709392887
FAXC,-25.1754138956161,11.0771821140711,-7.65629546908772,7.57826602661138e-8,5.61882399827718e-4,7.91762332091096
DPP10,-27.0166109987892,14.6410499074007,-7.44795517281004,1.21004628218881e-7,5.61882399827718e-4,7.50310095474745
C3orf30,-25.2352008424402,11.1034883706737,-7.4127778505103,1.31027437546956e-7,5.61882399827718e-4,7.43242633468249
LRP2,-33.9854619321711,22.6088802700509,-7.38290079223784,1.40207316166259e-7,5.61882399827718e-4,7.37224589838848
USP33,11.155979594365,88.8204058442095,7.36934361915669,1.44587909199346e-7,5.61882399827718e-4,7.34489135077881
APOB,-32.992480661632,21.4325547452783,-7.27902559698727,1.77587216477314e-7,5.61882399827718e-4,7.16191230156729
TNFRSF19,-24.7552829412134,13.687479624619,-7.22528341110431,2.0079612853625e-7,5.61882399827718e-4,7.05242301299483
PDK1,12.1873569867697,74.6054172022897,7.1841033326059,2.20668456801204e-7,5.61882399827718e-4,6.96821963990558
NEUROD1,-23.9343103436498,11.5549693676884,-7.18173797461463,2.21869346349205e-7,5.61882399827718e-4,6.96337498376294
SLCO1B1,-23.0494118846444,10.1417412292435,-7.12651418645572,2.51893098038132e-7,5.61882399827718e-4,6.85001887543349
ETV1,-29.8396990774022,14.817183557231,-7.10319701791277,2.65791106824843e-7,5.61882399827718e-4,6.80201378166018
CPS1,-29.1090961512041,21.0677779687229,-6.77010130410588,5.76787004757454e-7,0.00111719707362486,6.10712127416336
GYPA,-24.415169553507,15.2643746075913,-6.74171248554032,6.16554676393413e-7,0.00111719707362486,6.04712136601168
LOC643711,-21.1062691582925,11.1325695788723,-6.68482207154138,7.04901585361984e-7,0.00119212956116419,5.92652333434395
THSD7A,-29.4550835075752,17.1652505188533,-6.58108824812015,9.00766681274078e-7,0.00135593490421296,5.70540197661814
COL8A1,-22.5221617042613,10.4216875581162,-6.57740698328237,9.08660255897992e-7,0.00135593490421296,5.69752615451049
CASP8,9.17232584590118,84.7952110367824,6.51211842503656,1.06101493974636e-6,0.00140824670306187,5.55752164933539
LUZP2,-25.5450597108274,14.920783583076,-6.49549242601465,1.10382426986823e-6,0.00140824670306187,5.52177149424332
KITLG,-21.6471956002157,10.713445593186,-6.48382411356353,1.13491784613472e-6,0.00140824670306187,5.49665816423567
SENP6,9.15033124758392,90.5238127236312,6.45964407956156,1.20223007987678e-6,0.00140824670306187,5.44455486504548
SPANXA2-OT1,-25.5768736135561,12.9997591933475,-6.45305151769342,1.2212798591675e-6,0.00140824670306187,5.43033484243934
SNAP91,-26.7280579587496,19.4035579116528,-6.39213237918182,1.41257123997342e-6,0.00149681610938279,5.29864500654026
TCERG1L,-23.0252386468498,11.9244635256171,-6.39108985454281,1.41609849515874e-6,0.00149681610938279,5.29638685731534
CNTN4,-24.9364839240087,11.6408301167016,-6.35154443577156,1.5567474640388e-6,0.00152253943536119,5.21061880597445
LINC00032,-24.3743242137531,13.5550549533756,-6.35054774402326,1.56047088140141e-6,0.00152253943536119,5.2084543435606
