"","TB_status_limma_logFC","TB_status_limma_AveExpr","TB_status_limma_t","TB_status_limma_P.Value","TB_status_limma_padj","TB_status_limma_B"
"NPC1L1",-2.04447044494337,0.680875681000135,-5.82310743534337,1.80352347123927e-05,0.318155223013814,-0.42299936603261
"RXFP4",-1.70994954769313,0.521415294505711,-5.61939782026128,2.73690620624168e-05,0.318155223013814,-0.569040056612922
"LOC284865",-2.03522539834678,0.915723352207273,-5.46562308138407,3.76247898549922e-05,0.318155223013814,-0.683314106711054
"C6",-1.3929570475489,0.437996215520387,-5.2125127025123,6.39169005637229e-05,0.349578030232015,-0.879063504253056
"KLRF2",-1.95475839338256,0.627621710716094,-5.17692381072227,6.8901377765692e-05,0.349578030232015,-0.907355453673594
"GLRA3",-2.38548133416978,0.925610031651461,-4.59889937954574,0.000237502789138486,0.668855007757035,-1.39329523424799
"KITLG",-1.8495111126325,0.652565457470431,-4.51543603778647,0.000284661480576605,0.668855007757035,-1.46750679531393
"SLC32A1",-2.91706723530781,1.54799302270698,-4.45245199533576,0.000326462545363388,0.668855007757035,-1.52416329668875
"CTNNA3",-2.59938569625678,1.26761493896759,-4.42435607363123,0.000347068421065759,0.668855007757035,-1.54961594454462
"LINC00636",-1.59545598469998,0.419856838078943,-4.38929018926964,0.000374647104530931,0.668855007757035,-1.58153652405717
"RANBP3L",-1.59545598469998,0.419856838078943,-4.38929018926963,0.00037464710453094,0.668855007757035,-1.58153652405719
"FAXC",-0.6,0.157894736842105,-4.37682396320518,0.000384978030225895,0.668855007757035,-1.59292543353785
"DUSP13",-0.6,0.157894736842105,-4.37682396320518,0.000384978030225898,0.668855007757035,-1.59292543353786
"FBXO16",-1.65009186536784,0.791377558555447,-4.35761236701821,0.000401466950411099,0.668855007757035,-1.61051851751886
"TOB2P1",-2.58830458607799,2.13397921458747,-4.35179727154475,0.000406597577599376,0.668855007757035,-1.61585365676192
"FAM187B",-1.11699250014423,0.293945394774798,-4.33493075434418,0.000421857463107559,0.668855007757035,-1.63135411906904
"BCAR4",-1.20703491312718,0.389069338040987,-4.26860757296346,0.000487699944862811,0.727763070663516,-1.69267804546174
"LOC101928988",2.30732325929753,1.90013292790344,4.14010820401365,0.000646337902550342,0.778196607213417,-1.8131432674556
"NKX6-2",-0.716992500144232,0.188682236880061,-4.12042065926512,0.00067487879843484,0.778196607213417,-1.83178748734259
"CSRP3",-0.716992500144232,0.188682236880061,-4.12042065926512,0.000674878798434843,0.778196607213417,-1.8317874873426
"LOC101929406",-0.716992500144232,0.188682236880061,-4.12042065926512,0.000674878798434843,0.778196607213417,-1.8317874873426
"LOC102724933",-0.716992500144231,0.188682236880061,-4.12042065926512,0.000674878798434846,0.778196607213417,-1.8317874873426
"MIR3153",-0.916992500144232,0.241313815827429,-4.0433201777825,0.000799421576995975,0.790990438867493,-1.90526732788978
"TMEM35",-1.87142053210466,0.563907658824533,-4.04265900130962,0.000800584094575937,0.790990438867493,-1.9059006137916
"LOC100129138",-1.96653383316016,0.815360689280509,-4.0315671971186,0.00082034189280955,0.790990438867493,-1.91653242477833
"HHLA1",-1.49837061926594,0.394308057701562,-4.00960288493922,0.000860926043632786,0.790990438867493,-1.93762957003914
"OVCH2",-1.19545598469999,0.314593680184206,-3.99796454160894,0.000883242746423128,0.790990438867493,-1.94883179586352
"PRTG",-2.82909261098673,2.25547171224437,-3.97814620367188,0.000922591084240627,0.790990438867493,-1.96794440161496
"LINC00930",-1.65734266652637,0.507571378409196,-3.94000193849139,0.00100335048210373,0.790990438867493,-2.00485958995784
"ANKRD20A4",-1.7685058975387,0.536824860254545,-3.93018712237369,0.00102525480702119,0.790990438867493,-2.01438531855046
"EFCAB1",-2.24934482166552,0.776573026429656,-3.91631519634332,0.00105703458489854,0.790990438867493,-2.02786738968396
"RNY5",-0.981378119121704,0.258257399768869,-3.89394041555477,0.00111038969927261,0.790990438867493,-2.04965915212509
"COL22A1",-2.02256102547121,0.769533479646034,-3.88147767930118,0.00114127102055991,0.790990438867493,-2.06182141616702
"SLCO1B7",-1.1813781191217,0.310888978716238,-3.84094418097727,0.00124778662626789,0.790990438867493,-2.10149577236631
"LOC100505782",-1.65734266652638,0.507571378409196,-3.83346775079091,0.00126849478014774,0.790990438867493,-2.10883319827586
"TPH2",-0.800000000000001,0.210526315789474,-3.83255997150245,0.00127103245243308,0.790990438867493,-2.10972450785063
"HSPB3",-0.800000000000001,0.210526315789474,-3.83255997150245,0.00127103245243309,0.790990438867493,-2.10972450785063
"SNORD26",-1.84635915096764,1.52522304319555,-3.82571927923877,0.00129031958423127,0.790990438867493,-2.11644392155224
"SRPX2",-1.43398500028846,0.377364473760122,-3.82066630501356,0.00130475417079505,0.790990438867493,-2.12141051174595
"OR5F1",-1.19673794049876,0.499571215596299,-3.79808716718534,0.00137125490606854,0.790990438867493,-2.14363658429559
"USH2A",-2.70404335471938,1.86577394535604,-3.79172144474904,0.0013906088299397,0.790990438867493,-2.14991241246837
"SLC16A12",-1.7606000699736,0.820458665030645,-3.7751703602054,0.0014422177056995,0.790990438867493,-2.16624939261634
"LRRTM4",-2.38896178776469,1.29955397058769,-3.77082068335267,0.00145609556437464,0.790990438867493,-2.17054747189306
"NDST3",-1.03398500028846,0.272101315865385,-3.76813932424806,0.00146471699444996,0.790990438867493,-2.17319798594506
"IFNB1",-2.23285568766023,0.587593602015851,-3.765760257045,0.00147240916488103,0.790990438867493,-2.17555029844961
"GDPGP1",-2.31693310947764,1.69586914033592,-3.75668145021786,0.00150213621469424,0.790990438867493,-2.18453228176293
"LRRC72",-1.32294196882304,0.348142623374485,-3.75262555664636,0.00151560964348062,0.790990438867493,-2.18854761034087
"SCN4B",-1.33560634169861,0.494332495935724,-3.74979007032893,0.00152510059695816,0.790990438867493,-2.19135571995489
"MYCNOS",-1.77087329778585,0.793516610371096,-3.74897157673458,0.00152785128920322,0.790990438867493,-2.19216646100514
"ELAVL2",-2.02087397265756,1.16801541128794,-3.69399085103985,0.00172442893679422,0.847104891824211,-2.24677774984917
"CD5L",-2.27101460359938,0.937270243582942,-3.68341457249559,0.001765042451049,0.847104891824211,-2.2573164898946
"CHL1",-2.83037094503473,1.59660678090579,-3.68245567337079,0.00176877150597646,0.847104891824211,-2.25827250951546
"CHSY3",-1.10994954769313,0.363520557663606,-3.68218879691943,0.00176981075633409,0.847104891824211,-2.25853859999303
"RFPL4B",-1.07846348455575,0.283806180146251,-3.66491937640059,0.00183837043823059,0.857399610000535,-2.27577136568619
"NKAIN4",-1.5743351666706,0.485727299499783,-3.65471687732139,0.00188011167456368,0.857399610000535,-2.28596523709821
"TMEM174",-1.49837061926594,0.394308057701562,-3.65168082048992,0.00189271437086211,0.857399610000535,-2.28900057567062
"SPTA1",-2.60613685201078,1.73498622373791,-3.64248627183547,0.00193139665473785,0.859573163813854,-2.29819808333704
"CECR2",-2.51861371582682,1.40960217027693,-3.62690361339296,0.00199876042676499,0.874216457003006,-2.31380321436447
"KRT23",-2.69369164774313,2.54586605541367,-3.61833332793081,0.00203680150923924,0.875087876352224,-2.32239510899777
"FCRL4",-1.35627194270493,0.356913669132877,-3.59798923472638,0.00213001297776356,0.875087876352224,-2.34281635936022
"NEUROD1",-1.86602168101455,0.633915479966234,-3.59784848093692,0.00213067243784858,0.875087876352224,-2.3429577723662
"FGF12",-2.0682014897639,0.974432679439902,-3.59613096112095,0.00213873574321341,0.875087876352224,-2.34468347377124
"ARHGAP36",-1.11448552366923,0.507571378409196,-3.56088756998702,0.00231105876926689,0.902216086988028,-2.38015011530741
"LINC01080",-0.879548929004123,0.30288881590334,-3.55320505391647,0.00235041673385097,0.902216086988028,-2.38789506389005
"MAP2",-2.68021289990268,2.0663260070814,-3.55256640050496,0.00235371841156044,0.902216086988028,-2.38853912526308
"GRIK2",-1.52152847612033,0.543259373415124,-3.54246353339294,0.00240656468011182,0.902216086988028,-2.39873195589573
"TMEM108",-1.65009990469176,0.648522531309861,-3.5404605111274,0.00241718124637878,0.902216086988028,-2.40075379568515
"LOC101928168",-1.55984964300137,0.767629605301113,-3.540225768056,0.00241842848924574,0.902216086988028,-2.4009907652065
"MSTO2P",-1.58862426422622,1.10269919552458,-3.51817714792784,0.00253847116323378,0.92706090608535,-2.42326807113206
"WDR93",-1.7026987465346,0.805221474651962,-3.50838513902569,0.00259366181287425,0.92706090608535,-2.43317387834567
"ARL14",-1.15097750043269,0.30288881590334,-3.50821002147828,0.00259465958420293,0.92706090608535,-2.43335109853287
"HS3ST1",-2.93320403331551,3.2912416110085,-3.44712580375284,0.00296696487903475,1,-2.49530860610555
"RAB38",-2.45080299706564,3.03025353712213,-3.43540307622723,0.00304424243504247,1,-2.5072296626281
"MIR6516",-1.31264499619463,0.458644500929796,-3.43061733808699,0.00307636011772857,1,-2.51209909598066
"MIR6719",-1.85204027016702,0.713802232853741,-3.42124881163753,0.00314020698773373,1,-2.52163597661986
"LOC101926955",-1.26816651192734,0.44693963664893,-3.41999598121941,0.00314884383240881,1,-2.52291176951617
"RP1L1",-1.26816651192734,0.44693963664893,-3.41999598121941,0.00314884383240882,1,-2.52291176951617
"SMIM9",-1.75309890994868,0.604198961264689,-3.41412839619421,0.00318960786084396,1,-2.5288882943088
"FAM71F1",-1.43852097626456,0.521415294505711,-3.4135389568013,0.00319373161996904,1,-2.52948880403353
"LOC100128233",-2.16439537398545,1.46502395968818,-3.37818047396395,0.00345098459967927,1,-2.56555257503763
"ZNF663P",-1.05734266652637,0.349676641567091,-3.3706003092667,0.00350874375857927,1,-2.5732942091043
"LINC01152",-1.74661865912606,0.900345417918152,-3.36813956218356,0.00352769853120797,1,-2.57580813074249
"PART1",-2.34577349310715,1.51275504366757,-3.36474356305392,0.0035540235274114,1,-2.57927811810409
"DGKK",-2.58976917846619,2.6260910992876,-3.35143583807179,0.00365906352773352,1,-2.59288243611206
