Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Phosphatidylinositol signaling system	10/99	1.857308053987551E-4	0.057205088062816566	0	0	4.04040404040404	34.71196854698515	INPP5B;DGKD;DGKQ;INPPL1;PI4KA;ITPR3;PLCG1;PIP5K1C;DGKZ;MTMR7
Inositol phosphate metabolism	7/74	0.0024850933195517504	0.38270437121096956	0	0	3.7837837837837838	22.693035388645278	INPP5B;ISYNA1;INPPL1;PI4KA;PLCG1;PIP5K1C;MTMR7
Lysine degradation	6/59	0.0034806507103060597	0.35734680625808884	0	0	4.067796610169491	23.025909221512975	KMT2D;NSD1;DOT1L;KMT2B;SETD1A;EZH1
Choline metabolism in cancer	7/99	0.012108679485786067	0.9323683204055271	0	0	2.828282828282828	12.483567432142767	JUN;DGKD;DGKQ;TSC2;PLCG1;PIP5K1C;DGKZ
Phospholipase D signaling pathway	9/148	0.012233392751043364	0.7535769934642712	0	0	2.4324324324324325	10.711425297327569	DGKD;DGKQ;TSC2;LPAR2;PTK2B;PLCG1;PIP5K1C;DGKZ;DNM2
NF-kappa B signaling pathway	6/95	0.03189928686364637	1.0	0	0	2.526315789473684	8.703591473211311	ZAP70;LY96;TRAF1;PLCG1;TAB1;NFKB2
Pertussis	5/76	0.041608232853202386	1.0	0	0	2.631578947368421	8.366992700448678	JUN;IRF3;LY96;NOD1;CXCL5
Vascular smooth muscle contraction	7/132	0.04813072733699313	1.0	0	0	2.121212121212121	6.435406480905419	ADORA2A;ARAF;ITPR3;ARHGEF1;PLA2G6;PPP1R12B;PPP1R12C
Base excision repair	3/33	0.048705626415457094	1.0	0	0	3.6363636363636362	10.988948085170936	LIG1;NEIL1;POLE
Viral carcinogenesis	9/201	0.066260152303443	1.0	0	0	1.7910447761194028	4.861193880967323	VAC14;JUN;KAT2A;IRF3;TRAF1;CCR5;HDAC6;NFKB2;HDAC7
Fc gamma R-mediated phagocytosis	5/91	0.07788799770256499	1.0	0	0	2.1978021978021975	5.609853650799394	INPPL1;PLCG1;PIP5K1C;PLA2G6;DNM2
mRNA surveillance pathway	5/91	0.07788799770256499	1.0	0	0	2.1978021978021975	5.609853650799394	NXF1;CPSF1;SYMPK;PABPC1L;SMG5
NOD-like receptor signaling pathway	8/178	0.07902901775874262	1.0	0	0	1.797752808988764	4.562589088640652	JUN;IRF3;ITPR3;NOD1;NLRP1;TP53BP1;TAB1;TYK2
Mitophagy	4/65	0.079512678248973	1.0	0	0	2.4615384615384617	6.232218572816643	JUN;ATG9A;MITF;TBC1D17
Epithelial cell signaling in Helicobacter pylori infection	4/68	0.09037481756509516	1.0	0	0	2.352941176470588	5.655975569761716	JUN;NOD1;PLCG1;GIT1
Glycerophospholipid metabolism	5/97	0.09598139817691856	1.0	0	0	2.0618556701030926	4.832166753155399	DGKD;PNPLA7;DGKQ;PLA2G6;DGKZ
ABC transporters	3/45	0.10215828081331627	1.0	0	0	2.6666666666666665	6.0832850553957645	ABCC4;ABCA7;ABCC10
Other types of O-glycan biosynthesis	2/22	0.10379556080326813	1.0	0	0	3.6363636363636362	8.237571185428129	POMT1;OGT
Caffeine metabolism	1/5	0.11891526936765551	1.0	0	0	8.0	17.03475249279432	NAT1
Vitamin digestion and absorption	2/24	0.12010982001247623	1.0	0	0	3.333333333333333	7.064495959797489	SLC5A6;CUBN
Insulin signaling pathway	6/137	0.12936659917835788	1.0	0	0	1.7518248175182483	3.582665782699951	SREBF1;PRKAR2A;FASN;INPPL1;ARAF;TSC2
Toxoplasmosis	5/113	0.15333823216929846	1.0	0	0	1.7699115044247786	3.3187772207916013	CIITA;LY96;TAB1;TYK2;CCR5
Endocytosis	9/244	0.1594122318570173	1.0	0	0	1.4754098360655736	2.709238689886022	PSD;ACAP3;HGS;GBF1;PIP5K1C;FOLR3;CCR5;GIT1;DNM2
Thyroid hormone signaling pathway	5/116	0.16540921419064641	1.0	0	0	1.7241379310344829	3.1022979127853656	MED12;NCOA2;KAT2A;TSC2;PLCG1
Non-alcoholic fatty liver disease (NAFLD)	6/149	0.17044793665898042	1.0	0	0	1.610738255033557	2.8499200843945487	ERN1;SREBF1;JUN;COX7B;NDUFB6;NDUFC2
Glyoxylate and dicarboxylate metabolism	2/30	0.17213040735200277	1.0	0	0	2.6666666666666665	4.692007752438898	AMT;ACO2
Riboflavin metabolism	1/8	0.18337711757031785	1.0	0	0	5.0	8.481052474133024	RFK
Kaposi sarcoma-associated herpesvirus infection	7/186	0.18545131938668047	1.0	0	0	1.5053763440860215	2.5365032309468134	CCR1;JUN;IRF3;ITPR3;PLCG1;TYK2;CCR5
Glycerolipid metabolism	3/61	0.19571013951815233	1.0	0	0	1.9672131147540983	3.2087618250165857	DGKD;DGKQ;DGKZ
Th1 and Th2 cell differentiation	4/92	0.19848367636943562	1.0	0	0	1.7391304347826086	2.8122581167844345	ZAP70;JUN;TYK2;PLCG1
SNARE interactions in vesicular transport	2/34	0.20850978329059616	1.0	0	0	2.352941176470588	3.6888689802047985	VAMP1;VTI1B
Osteoclast differentiation	5/127	0.21259452708646814	1.0	0	0	1.574803149606299	2.4383756790214215	JUN;MITF;TAB1;TYK2;NFKB2
Hepatitis B	6/163	0.22418907225623871	1.0	0	0	1.4723926380368098	2.201617929693538	JUN;IRF3;ARAF;PTK2B;TAB1;TYK2
DNA replication	2/36	0.22698728149273847	1.0	0	0	2.222222222222222	3.2952473149705526	LIG1;POLE
Primary immunodeficiency	2/37	0.2362702199007159	1.0	0	0	2.1621621621621623	3.1195224419228023	ZAP70;CIITA
Taurine and hypotaurine metabolism	1/11	0.2431315551769016	1.0	0	0	3.6363636363636362	5.142373101111616	CSAD
Ubiquitin mediated proteolysis	5/137	0.2587049099112584	1.0	0	0	1.45985401459854	1.97382074569392	UBA7;UBE2NL;SYVN1;UBE2O;ANAPC2
B cell receptor signaling pathway	3/71	0.26179144524840503	1.0	0	0	1.6901408450704225	2.2651387651401085	JUN;INPPL1;CD22
C-type lectin receptor signaling pathway	4/104	0.26263115463910613	1.0	0	0	1.5384615384615385	2.056930284626031	JUN;ITPR3;CLEC1B;NFKB2
Toll-like receptor signaling pathway	4/104	0.26263115463910613	1.0	0	0	1.5384615384615385	2.056930284626031	JUN;IRF3;LY96;TAB1
Glycine, serine and threonine metabolism	2/40	0.2642113633345378	1.0	0	0	2.0	2.662011754937148	AMT;PGAM4
