Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Lysosome	6/123	0.005168130013116955	1.0	0	0	3.7961469108854513	19.98764109511779	HGSNAT;GNPTAB;AP1G2;AP1G1;SLC11A2;AP4B1
Autophagy	6/128	0.006257587115608178	0.9636684158036594	0	0	3.6478599221789882	18.509097566746448	RPS6KB1;ATG16L1;ATG9A;PIK3CD;ULK1;ATG2B
B cell receptor signaling pathway	4/71	0.013213668148173185	1.0	0	0	4.384282347783198	18.968613007481835	INPP5D;PIK3CD;CARD11;CD22
mTOR signaling pathway	6/152	0.013900353023527075	1.0	0	0	3.071882039729674	13.13487930101971	WDR59;RPS6KB1;DVL3;PIK3CD;ULK1;DEPDC5
Insulin signaling pathway	5/137	0.03210037288770795	1.0	0	0	2.8401829077792606	9.767069875526532	RPS6KB1;PRKAR2A;FASN;PIK3CD;PHKA2
Glycerophospholipid metabolism	4/97	0.03649563901538802	1.0	0	0	3.209113883428938	10.623972095350295	PTDSS2;PNPLA7;DGKA;TAZ
Phosphatidylinositol signaling system	4/99	0.03888429232153346	1.0	0	0	3.1442832999253234	10.210006386879058	DGKA;INPP5D;PIK3CD;MTMR7
Mitophagy	3/65	0.05119326301156632	1.0	0	0	3.5917390002993117	10.675177506374137	RHOT2;ATG9A;ULK1
Glyoxylate and dicarboxylate metabolism	2/30	0.05653107059255383	1.0	0	0	5.188067444876784	14.90513551226628	AMT;ACSS1
Fc epsilon RI signaling pathway	3/68	0.057140837983996336	1.0	0	0	3.433279926756695	9.82685814889164	INPP5D;PIK3CD;MAP2K7
Base excision repair	2/33	0.06693495819202616	1.0	0	0	4.716424949887985	12.753372971819557	LIG3;NEIL1
AMPK signaling pathway	4/120	0.06921345150209444	1.0	0	0	2.594033722438392	6.927522825889965	RPS6KB1;FASN;PIK3CD;ULK1
