gene,logFC,AveExpr,t,P.Value,padj,B
CELF6,-1.7827909104363568,3.135575262545333,-10.084785036365918,1.2588067800947684e-11,1.5966705198722042e-7,16.373552067777794
NEIL1,-2.025901272631764,4.786857941421695,-9.626535693806437,4.0126984338294606e-11,2.5448533467346437e-7,15.279655666059446
PSD,-2.394859764760601,1.9423018075979412,-9.350930556020502,8.165751069610224e-11,2.589359664173402e-7,14.606981151366154
MTA1,-1.3826351811615378,6.29777486813046,-8.985550475100297,2.1267216120690814e-10,4.878942656243734e-7,13.698193806363433
MASP2,-1.367238564109725,4.050003160147081,-8.954643876565168,2.30791989415503e-10,4.878942656243734e-7,13.620439457281888
ENTHD2,-1.6298439644387985,6.29010953828918,-8.888316739668616,2.7517459915483654e-10,4.986163736685638e-7,13.453113351637155
GOLGA8A,-1.93044647592241,6.959418006855294,-8.651300345844914,5.183039516853002e-10,8.217709153970435e-7,12.850073518168037
HNRNPH1,-1.322006888613782,9.784628731117124,-8.418279812681469,9.726451602978778e-10,1.3157834021604425e-6,12.24951521143412
C1QTNF6,-2.0724989819478603,3.3740395148441293,-8.37350808673642,1.098546948600403e-9,1.3157834021604425e-6,12.133266043177644
GGT7,-1.104228935475379,5.0370736288335625,-8.359550838508664,1.1410925121227428e-9,1.3157834021604425e-6,12.096970097623858
WDR59,-1.2437331471164763,5.574928818495594,-8.003889563708428,3.0293420281282594e-9,2.515737916530071e-6,11.16321010547838
HIP1R,-2.6816517368301627,5.387810071759411,-7.98710066831149,3.173431619716267e-9,2.515737916530071e-6,11.118717857675625
SIPA1L3,-1.5163731875161655,4.61350155128201,-7.917667519874358,3.847201527237328e-9,2.7445255853318854e-6,10.9343249378295
IL11RA,-1.9794372496652737,5.742882540003973,-7.889035353853588,4.165793843823994e-9,2.7445255853318854e-6,10.858105884514638
NPIPB5,-2.453193954856569,4.915712840792975,-7.866601054741167,4.434048037867197e-9,2.7445255853318854e-6,10.79831230062195
STRIP1,-0.8584594235433535,5.914363931470512,-7.855504476902281,4.573150749234789e-9,2.7445255853318854e-6,10.768713146097026
SUGP2,-1.0653408196629846,7.727368400093447,-7.82922477937537,4.920521032527314e-9,2.7445255853318854e-6,10.698551952269918
MAP3K4,-1.0090529655666465,5.286092016514019,-7.810252861895822,5.187842402827828e-9,2.7445255853318854e-6,10.647846631665091
ZMIZ2,-1.791527893072165,7.040691669181297,-7.8027763240895665,5.297196986993529e-9,2.7445255853318854e-6,10.627851977228142
IFT172,-1.4691519728607403,3.9802408968071146,-7.788526986234897,5.5121356032483e-9,2.7445255853318854e-6,10.589725207286802
SNORA70,-1.2591220275031816,4.629319201893671,-7.7488163889089625,6.159037485758205e-9,2.7445255853318854e-6,10.483337769264994
ZBTB40,-1.4544715622777868,6.629171968627724,-7.739850544732255,6.315456428802965e-9,2.7445255853318854e-6,10.45929041170414
SNRNP70,-1.544161742759004,7.92734753551013,-7.731145579493246,6.471181033542311e-9,2.7445255853318854e-6,10.435933195126173
EML2,-0.9492422290772194,5.3965390860512565,-7.714765342844704,6.774855386157886e-9,2.7445255853318854e-6,10.391956153449128
SLC5A6,-1.4155016968685126,4.9696887314036395,-7.7069880115422205,6.924063286866945e-9,2.7445255853318854e-6,10.371064239263456
NLRP1,-2.0048251566066746,8.432104519437706,-7.670745935824986,7.664580040490568e-9,2.793724278732349e-6,10.273610371421901
SPG7,-1.1130734545940046,6.941860489380386,-7.667423378514535,7.736366855257e-9,2.793724278732349e-6,10.26466803896413
MED23,-0.9700978739803052,5.8811908545584775,-7.661674295698284,7.86219595317056e-9,2.793724278732349e-6,10.249191761612023
PRMT7,-1.2045969844173259,4.949039996201495,-7.644727983598415,8.245309253642636e-9,2.8265811506271137e-6,10.203549536063688
ZFYVE27,-1.2094673129073876,5.530924208508842,-7.593897681006111,9.511954511484235e-9,3.1749902900964743e-6,10.066436756829587
DCAF8,-1.20869859194627,6.723214348315731,-7.57310244876036,1.0085477763572353e-8,3.2090196937308877e-6,10.01025251874062
GLUD1P3,-1.7730627521252624,3.2947679154713545,-7.571043094795018,1.014414905562547e-8,3.2090196937308877e-6,10.004685763487844
VAMP1,-1.871274352256741,5.6536849869528805,-7.480430403596807,1.3099671930460916e-8,3.956100922999196e-6,9.759246225432507
CD22,-2.0147726411217057,5.628484989659231,-7.439745175457463,1.4697595356449045e-8,4.335448825609295e-6,9.648729467582458
RBM19,-1.0367017290299432,5.5840845813682485,-7.4175515088726005,1.5651144372926116e-8,4.403535353725988e-6,9.588361976726612
GSDMB,-1.710472258714072,5.10673808703973,-7.410436370595433,1.5969932692478354e-8,4.403535353725988e-6,9.568996552772978
TOM1L2,-1.5583656116057674,5.223226005111203,-7.397896419788847,1.654788156990906e-8,4.417451243189653e-6,9.53485215205358
GUSBP11,-1.6134693356823562,5.610965968844519,-7.394312120599736,1.6716939425504838e-8,4.417451243189653e-6,9.525089333929694
LINC00565,-1.9358825140007043,2.8821267269033064,-7.350637820455268,1.8923125593082716e-8,4.615787019666561e-6,9.406012902339286
SAP25,-2.278093046417895,5.488196067968515,-7.318067275047846,2.0758620372935645e-8,4.967968694534259e-6,9.317070146695212
LMBR1L,-1.380747185173452,5.930556402489817,-7.274645214488274,2.348951517565577e-8,5.255738263624049e-6,9.198310173980515
SNORA67,-1.5773802764692275,4.226147547393385,-7.272722820278399,2.3618502130760865e-8,5.255738263624049e-6,9.193047571272077
RALGPS1,-1.1846281619519123,3.851923492506289,-7.261336142165613,2.4397358967662077e-8,5.312446068890257e-6,9.161867912543949
MTMR7,-1.4876104146364562,1.7440410254850325,-7.248207797394546,2.532769577513464e-8,5.354274886863463e-6,9.12590146135068
SLC17A9,-2.1782970321581585,4.36357560569266,-7.233670824767862,2.639984345402552e-8,5.400897005981608e-6,9.086053955768952
SEPT7P2,-1.1734514279146948,3.7105896011252266,-7.212605044260144,2.8035625513712363e-8,5.644505936760756e-6,9.028269485535382
SETD4,-1.0069392227920868,4.445378362859342,-7.200065454494431,2.905768847207677e-8,5.719954628223884e-6,8.993850001320332
FLYWCH1,-1.9259268951748296,5.52640762065538,-7.197011275901064,2.931228719919209e-8,5.719954628223884e-6,8.98546412959413
RBM5,-1.0469411889604323,7.298877549360775,-7.104339199378815,3.821197693781742e-8,6.639461855880496e-6,8.73054269358846
PAN2,-2.0479487789374167,5.833798134037465,-7.043405832264823,4.55104859319413e-8,7.400705173855685e-6,8.562440116393903
TARDBP,-1.0458396503999083,6.718411008514645,-7.020244533728228,4.864148885624182e-8,7.778853748240336e-6,8.498443713267726
RNF216,-0.8902131969854934,6.936171560160572,-7.017246003133497,4.9062464511134245e-8,7.778853748240336e-6,8.49015460243149
HPS4,-1.128796398233351,5.166907226606099,-6.9869067092933195,5.353488668526097e-8,7.953980533311443e-6,8.406234454639675
STARD9,-1.4952432749430582,4.341884554222327,-6.980618677305889,5.451224097114154e-8,7.953980533311443e-6,8.388829984843806
PIGL,-1.4881600616392265,2.9749932614868246,-6.973670568123027,5.5613194221227475e-8,7.953980533311443e-6,8.36959397080378
RASGRP2,-1.2581204983321836,8.660951804439268,-6.9731535100375135,5.5696017397760015e-8,7.953980533311443e-6,8.36816229261592
SCAF4,-0.9554736713919728,5.663408451485246,-6.97180115333858,5.591323025540881e-8,7.953980533311443e-6,8.364417638224314
NAA40,-1.2941755160569428,4.960882597489834,-6.969832537746076,5.623095750181812e-8,7.953980533311443e-6,8.358966251547574
DIS3L2,-1.272337736618516,4.962387134974975,-6.9687359997838305,5.640872573034774e-8,7.953980533311443e-6,8.355929611361418
ADAT2,-1.1697534109516576,4.848927795184244,-6.958747123826047,5.805449756252631e-8,8.0039483378596055e-006,8.3282620142467
C16orf58,-1.4289620035883035,5.536721774028849,-6.945991939233517,6.022684701350095e-8,8.04123502651838e-6,8.292918020861896
SNORA64,-2.033367237982061,1.51033901398421,-6.937336843018998,6.174754213847955e-8,8.074286850355409e-6,8.268926169197188
NOL4L,-1.1415845394726754,6.495446289254998,-6.931349762004367,6.282213015229884e-8,8.13097855971182e-6,8.252325791370376
