Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PI Metabolism_Homo sapiens_R-HSA-1483255	5/60	0.001034457614323585	1.0	0	0	6.485084306095978	44.57767855872712	VAC14;PNPLA7;INPP5D;PIK3CD;MTMR7
Phospholipid metabolism_Homo sapiens_R-HSA-1483257	8/161	0.0011558031224911329	0.8841893887057166	0	0	3.8668825676100247	26.151571481740856	PTDSS2;VAC14;PNPLA7;INPP5D;PIK3CD;DDHD1;TAZ;MTMR7
APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway_Homo sapiens_R-HSA-5649702	2/7	0.0033101475828689964	1.0	0	0	22.234574763757642	126.97637584475041	LIG3;NEIL1
Synthesis of PIPs at the late endosome membrane_Homo sapiens_R-HSA-1660517	2/10	0.0069149465482691895	1.0	0	0	15.56420233463035	77.41743258706583	VAC14;MTMR7
Vitamin B5 (pantothenate) metabolism_Homo sapiens_R-HSA-199220	2/12	0.009971754406345028	1.0	0	0	12.970168612191957	59.76652064784583	SLC5A6;FASN
Lysosome Vesicle Biogenesis_Homo sapiens_R-HSA-432720	3/35	0.010135428076531965	1.0	0	0	6.670372429127293	30.62847090065034	AP1G2;AP1G1;AP4B1
trans-Golgi Network Vesicle Budding_Homo sapiens_R-HSA-199992	4/70	0.012593180397687111	1.0	0	0	4.446914952751529	19.453473484495007	AP1G2;AP1G1;HIP1R;AP4B1
Clathrin derived vesicle budding_Homo sapiens_R-HSA-421837	4/70	0.012593180397687111	1.0	0	0	4.446914952751529	19.453473484495007	AP1G2;AP1G1;HIP1R;AP4B1
Activation of gene expression by SREBF (SREBP)_Homo sapiens_R-HSA-2426168	3/42	0.016650099156212683	1.0	0	0	5.558643690939411	22.76453089074668	NCOA2;FASN;LSS
Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters_Homo sapiens_R-HSA-164938	2/21	0.02941516404809742	1.0	0	0	7.411524921252547	26.134852352487894	AP1G1;AP2A2
mRNA Splicing - Major Pathway_Homo sapiens_R-HSA-72163	5/134	0.029573617716554496	1.0	0	0	2.9037690922817814	10.22380105827826	SNRNP70;HNRNPH1;DHX38;CASC3;RBM5
Golgi Associated Vesicle Biogenesis_Homo sapiens_R-HSA-432722	3/54	0.032175581301359966	1.0	0	0	4.323389537397319	14.857533328140146	AP1G1;HIP1R;AP4B1
Regulation of cholesterol biosynthesis by SREBP (SREBF)_Homo sapiens_R-HSA-1655829	3/55	0.03371822810916073	1.0	0	0	4.244782454899186	14.388609951497902	NCOA2;FASN;LSS
Anchoring of the basal body to the plasma membrane_Homo sapiens_R-HSA-5620912	4/97	0.03649563901538802	1.0	0	0	3.209113883428938	10.623972095350295	FGFR1OP;NPHP4;HAUS5;SFI1
mRNA Splicing_Homo sapiens_R-HSA-72172	5/144	0.03850841079780691	1.0	0	0	2.702118460873325	8.80047178790291	SNRNP70;HNRNPH1;DHX38;CASC3;RBM5
Processing of Capped Intron-Containing Pre-mRNA_Homo sapiens_R-HSA-72203	6/193	0.03884786784761211	1.0	0	0	2.4193060623777747	7.858153066265309	POM121;HNRNPH1;SNRNP70;DHX38;CASC3;RBM5
Uptake and actions of bacterial toxins_Homo sapiens_R-HSA-5339562	2/27	0.046764932536832615	1.0	0	0	5.764519383196426	17.654541932244996	VAMP1;MAP2K7
EGFR downregulation_Homo sapiens_R-HSA-182971	2/27	0.046764932536832615	1.0	0	0	5.764519383196426	17.654541932244996	ARHGEF7;AP2A2
Effects of PIP2 hydrolysis_Homo sapiens_R-HSA-114508	2/27	0.046764932536832615	1.0	0	0	5.764519383196426	17.654541932244996	DGKA;RASGRP2
The role of Nef in HIV-1 replication and disease pathogenesis_Homo sapiens_R-HSA-164952	2/28	0.04994544493241066	1.0	0	0	5.558643690939411	16.6582766569772	AP1G1;AP2A2
Macroautophagy_Homo sapiens_R-HSA-1632852	3/67	0.05512324909125454	1.0	0	0	3.484522910738138	10.098787530878067	ATG16L1;ATG9A;ULK1
Transport of Mature mRNA derived from an Intron-Containing Transcript_Homo sapiens_R-HSA-159236	3/68	0.057140837983996336	1.0	0	0	3.433279926756695	9.82685814889164	POM121;DHX38;CASC3
Loss of Nlp from mitotic centrosomes_Homo sapiens_R-HSA-380259	3/69	0.05919307616287333	1.0	0	0	3.3835222466587718	9.565050585824284	FGFR1OP;HAUS5;SFI1
Loss of proteins required for interphase microtubule organization?from the centrosome_Homo sapiens_R-HSA-380284	3/69	0.05919307616287333	1.0	0	0	3.3835222466587718	9.565050585824284	FGFR1OP;HAUS5;SFI1
Toxicity of botulinum toxin type D (BoNT/D)_Homo sapiens_R-HSA-5250955	1/5	0.06262569913560331	1.0	0	0	15.56420233463035	43.12186079062186	VAMP1
Toxicity of botulinum toxin type F (BoNT/F)_Homo sapiens_R-HSA-5250981	1/5	0.06262569913560331	1.0	0	0	15.56420233463035	43.12186079062186	VAMP1
Ficolins bind to repetitive carbohydrate structures on the target cell surface_Homo sapiens_R-HSA-2855086	1/5	0.06262569913560331	1.0	0	0	15.56420233463035	43.12186079062186	MASP2
Negative regulation of TCF-dependent signaling by DVL-interacting proteins_Homo sapiens_R-HSA-5368598	1/5	0.06262569913560331	1.0	0	0	15.56420233463035	43.12186079062186	DVL3
The fatty acid cycling model_Homo sapiens_R-HSA-167826	1/5	0.06262569913560331	1.0	0	0	15.56420233463035	43.12186079062186	UCP3
The proton buffering model_Homo sapiens_R-HSA-167827	1/5	0.06262569913560331	1.0	0	0	15.56420233463035	43.12186079062186	UCP3
Mitochondrial Uncoupling Proteins_Homo sapiens_R-HSA-166187	1/5	0.06262569913560331	1.0	0	0	15.56420233463035	43.12186079062186	UCP3
AURKA Activation by TPX2_Homo sapiens_R-HSA-8854518	3/72	0.06555441589801367	1.0	0	0	3.242542153047989	8.835521090065747	FGFR1OP;HAUS5;SFI1
Transport of Mature Transcript to Cytoplasm_Homo sapiens_R-HSA-72202	3/74	0.06996241225653818	1.0	0	0	3.154905878641287	8.391409661106334	POM121;DHX38;CASC3
Synthesis of PIPs at the plasma membrane_Homo sapiens_R-HSA-1660499	2/34	0.07053376863666602	1.0	0	0	4.577706569008926	12.13853832038362	INPP5D;PIK3CD
Chromatin organization_Homo sapiens_R-HSA-4839726	6/226	0.07215817017932688	1.0	0	0	2.066044557694294	5.431413714488984	NCOA2;PRMT7;MTA1;TRRAP;KANSL3;KDM7A
Chromatin modifying enzymes_Homo sapiens_R-HSA-3247509	6/226	0.07215817017932688	1.0	0	0	2.066044557694294	5.431413714488984	NCOA2;PRMT7;MTA1;TRRAP;KANSL3;KDM7A
Base Excision Repair_Homo sapiens_R-HSA-73884	2/35	0.0741942784389237	1.0	0	0	4.446914952751529	11.566729257451836	LIG3;NEIL1
Resolution of Abasic Sites (AP sites)_Homo sapiens_R-HSA-73933	2/35	0.0741942784389237	1.0	0	0	4.446914952751529	11.566729257451836	LIG3;NEIL1
