Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
IL-4 Signaling Pathway WP395	4/54	0.00509151624615854	1.0	0	0	5.764519383196426	30.437697682768682	IL4R;RPS6KB1;INPP5D;PIK3CD
mRNA Processing WP411	6/126	0.005803495950573932	1.0	0	0	3.7057624606262736	19.082063342270477	CELF1;SNRNP70;HNRNPH1;DHX38;SUGP2;RBM5
Angiopoietin Like Protein 8 Regulatory Pathway WP3915	6/132	0.0072425181765517575	1.0	0	0	3.537318712415989	17.431150755631702	MAP4K1;RPS6KB1;FASN;PIK3CD;MAP2K7;MAP3K4
Histone Modifications WP2369	4/67	0.01084464708457014	1.0	0	0	4.6460305476508506	21.019030963455382	SETD4;SETD5;SMYD5;EZH1
Sterol Regulatory Element-Binding Proteins (SREBP) signalling WP1982	4/69	0.011991648973585086	1.0	0	0	4.511362995545029	19.956216276212643	FASN;ACSS1;MED15;LSS
G13 Signaling Pathway WP524	3/39	0.013631804701681445	1.0	0	0	5.986231667165519	25.71295800933232	RPS6KB1;PIK3CD;MAP3K4
SREBF and miR33 in cholesterol and lipid homeostasis WP2011	2/16	0.01752904200666119	1.0	0	0	9.727626459143968	39.337511968240776	FASN;MED15
Cardiac Hypertrophic Response WP2795	3/55	0.03371822810916073	1.0	0	0	4.244782454899186	14.388609951497902	MAP4K1;MAP2K7;HDAC7
RANKL/RANK (Receptor activator of NFKB (ligand)) Signaling Pathway WP2018	3/55	0.03371822810916073	1.0	0	0	4.244782454899186	14.388609951497902	TRAF1;MAP2K7;NFKB2
Nanoparticle triggered autophagic cell death WP2509	2/23	0.03485060050753388	1.0	0	0	6.7670444933175435	22.714836140875807	ATG16L1;ULK1
EBV LMP1 signaling WP262	2/23	0.03485060050753388	1.0	0	0	6.7670444933175435	22.714836140875807	TRAF1;NFKB2
Hippo-Yap signaling pathway WP4537	2/23	0.03485060050753388	1.0	0	0	6.7670444933175435	22.714836140875807	MAP4K1;TAZ
B Cell Receptor Signaling Pathway WP23	4/97	0.03649563901538802	1.0	0	0	3.209113883428938	10.623972095350295	MAP4K1;INPP5D;CARD11;CD22
Glycosylation and related congenital defects. WP4521	2/25	0.040641031055341496	1.0	0	0	6.22568093385214	19.94071349775874	ALG13;MOGS
Lipid Metabolism Pathway WP3965	2/29	0.05320164205202596	1.0	0	0	5.366966322286327	15.744886716604247	PRKAR2A;FASN
DNA Damage Response (only ATM dependent) WP710	4/110	0.0535834613928731	1.0	0	0	2.8298549699327906	8.281612492739223	DVL3;PIK3CD;MAP3K4;NFKB2
Insulin Signaling WP481	5/160	0.05590828982259226	1.0	0	0	2.431906614785992	7.013722306549223	MAP4K1;RPS6KB1;PIK3CD;MAP2K7;MAP3K4
