Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Proteasome	12/45	1.5901168961513721E-13	4.897560040146226E-11	0	0	21.947873799725652	646.7994222397987	PSMD8;PSMB7;PSMA6;PSMB4;PSMA4;PSMD14;PSMD4;PSMB2;PSMB3;PSMA2;PSMB1;PSMA7
Oxidative phosphorylation	17/133	5.510119456878696E-13	8.485583963593192E-11	0	0	10.520127479191807	296.95184776857855	NDUFA9;COX7B;ATP6V0E1;NDUFB10;NDUFB6;NDUFA4;NDUFC2;UQCR11;UQCR10;COX7C;COX5A;COX7A2L;NDUFS8;PPA2;NDUFS7;UQCRFS1;ATP6V1E1
Parkinson disease	15/142	2.095569060029448E-10	2.1514509016302334E-8	0	0	8.69414014953921	193.7578315575679	NDUFA9;COX7B;NDUFB10;NDUFB6;NDUFA4;NDUFC2;UQCR11;UQCR10;COX7C;COX5A;COX7A2L;NDUFS8;NDUFS7;VDAC3;UQCRFS1
Alzheimer disease	16/171	3.202606110577016E-10	2.4660067051443023E-8	0	0	7.70100835078093	168.3585669735016	NDUFA9;APP;COX7B;NDUFB10;NDUFB6;NDUFA4;NDUFC2;UQCR11;UQCR10;COX7C;COX5A;COX7A2L;NDUFS8;NDUFS7;UQCRFS1;FADD
Huntington disease	16/193	1.9079344188764152E-9	1.1752876020278717E-7	0	0	6.82317320198725	136.99051757125125	NDUFA9;COX7B;NDUFB10;NDUFB6;NDUFA4;NDUFC2;UQCR11;UQCR10;COX7C;COX5A;COX7A2L;NDUFS8;NDUFS7;VDAC3;UQCRFS1;POLR2L
Non-alcoholic fatty liver disease (NAFLD)	14/149	3.986677435419633E-9	2.046494416848745E-7	0	0	7.733311238158368	149.56461869950485	NDUFA9;COX7B;NDUFB10;NDUFB6;NDUFA4;NDUFC2;UQCR11;UQCR10;COX7C;COX5A;COX7A2L;NDUFS8;NDUFS7;UQCRFS1
Thermogenesis	16/231	2.5040404722020183E-8	1.101777807768888E-6	0	0	5.7007464414871825	99.77888302609965	NDUFA9;COA3;COX7B;NDUFB10;NDUFB6;NDUFA4;NDUFC2;UQCR11;UQCR10;COX7C;COX5A;COX7A2L;NDUFS8;NDUFS7;NDUFAF3;UQCRFS1
Cardiac muscle contraction	7/78	4.548103500597565E-5	0.0017510198477300625	0	0	7.386303682599979	73.8498532485754	COX7B;COX7A2L;UQCRFS1;UQCR11;UQCR10;COX7C;COX5A
Retrograde endocannabinoid signaling	7/148	0.002248343971907171	0.07694332703860096	0	0	3.8927816705594487	23.73647504376139	NDUFA9;NDUFS8;NDUFB10;NDUFS7;NDUFB6;NDUFA4;NDUFC2
Endocytosis	8/244	0.010167379518612052	0.3131552891732512	0	0	2.6985090737367607	12.382299858085792	SNX3;CAPZA2;FOLR3;RAB8A;RAB11A;SNX6;ARF6;CHMP5
Necroptosis	6/162	0.014404370358549556	0.4033223700393876	0	0	3.0483158055174515	12.925540683812287	PYCARD;H2AFY;H2AFZ;VDAC3;FADD;CHMP5
Lysosome	5/123	0.017255664959136777	0.442895400617844	0	0	3.345712469470374	13.582303810730208	LAPTM4A;LAMP2;AP3S1;LIPA;CTSC
Chemical carcinogenesis	4/82	0.017775912282416657	0.42115238330648697	0	0	4.014854963364449	16.179508102798607	NAT1;GSTO1;MGST3;CYP1B1
NOD-like receptor signaling pathway	6/178	0.02183329159368664	0.4803324150611061	0	0	2.7743098904147594	10.609846960051078	PYCARD;CASP4;VDAC3;CYBA;TXN;FADD
Steroid biosynthesis	2/19	0.021942745154793882	0.4505577005117677	0	0	8.663634394628547	33.089180948317754	MSMO1;LIPA
Cholesterol metabolism	3/50	0.0228348184947476	0.4395702560238913	0	0	4.938271604938271	18.664043362625776	LRPAP1;VDAC3;LIPA
Fluid shear stress and atherosclerosis	5/139	0.02753400321908394	0.4988513524398737	0	0	2.9605944873730645	10.635442926927619	SUMO1;GSTO1;MGST3;CYBA;TXN
Glutathione metabolism	3/56	0.030638977574069283	0.524266949600741	0	0	4.409171075837743	15.368087758637659	GSTO1;MGST3;TXNDC12
Ribosome	5/153	0.03917914936982594	0.6351146318898099	0	0	2.689690416633046	8.713549523999346	MRPS11;MRPL36;MRPL15;MRPS18C;MRPL33
Collecting duct acid secretion	2/27	0.04228138175972534	0.6511332790997703	0	0	6.096631611034903	19.28613587774719	ATP6V0E1;ATP6V1E1
Leukocyte transendothelial migration	4/112	0.04783032899856709	0.701511491978984	0	0	2.9394473838918285	8.936200302220536	RAP1A;CYBA;MYL12A;MYL12B
RNA transport	5/165	0.05123227237243824	0.7172518132141353	0	0	2.4940765681506423	7.41086326407423	POP7;SUMO1;EIF3I;EIF3G;THOC7
Caffeine metabolism	1/5	0.059297134239487945	0.7940659715548821	0	0	16.460905349794242	46.50525597745519	NAT1
Metabolism of xenobiotics by cytochrome P450	3/74	0.06126055277137197	0.7861770938992736	0	0	3.3366700033366703	9.318048562738388	GSTO1;MGST3;CYP1B1
SNARE interactions in vesicular transport	2/34	0.0639692210405419	0.7881008032194761	0	0	4.841442749939482	13.310836274721416	STX8;VAMP5
Platelet activation	4/124	0.06473069758046572	0.7668098021070554	0	0	2.6549847338377806	7.268073090961287	RAP1A;MYL12A;PIK3CG;MYL12B
Ferroptosis	2/40	0.08488181164341788	0.9682814068952853	0	0	4.1152263374485605	10.150187001317232	SLC40A1;VDAC3
Tryptophan metabolism	2/42	0.09225493249486581	1.0	0	0	3.9192631785224377	9.340386159952464	ECHS1;CYP1B1
Riboflavin metabolism	1/8	0.09318081142653449	0.9896444799783664	0	0	10.2880658436214	24.41577638343014	RFK
Epstein-Barr virus infection	5/201	0.09897677758691793	1.0	0	0	2.047376287287841	4.735315247205259	PSMD8;PSMD4;PSMD14;FADD;B2M
Nucleotide excision repair	2/47	0.11144030706742436	1.0	0	0	3.5023202871902637	7.685023006965057	GTF2H5;RBX1
Phagosome	4/152	0.11443446135458775	1.0	0	0	2.1659085986571367	4.695154883651186	ATP6V0E1;LAMP2;CYBA;ATP6V1E1
Pancreatic secretion	3/98	0.11699394700747356	1.0	0	0	2.5195263290501386	5.405979038804584	RAP1A;RAB8A;RAB11A
Vibrio cholerae infection	2/50	0.12340563731892806	1.0	0	0	3.292181069958848	6.888159622244166	ATP6V0E1;ATP6V1E1
N-Glycan biosynthesis	2/50	0.12340563731892806	1.0	0	0	3.292181069958848	6.888159622244166	RPN1;MGAT2
Protein processing in endoplasmic reticulum	4/165	0.1418708769804661	1.0	0	0	1.995261254520514	3.896421902181085	RPN1;BAG1;P4HB;RBX1
Drug metabolism	3/108	0.1442835536718217	1.0	0	0	2.286236854138089	4.426096920132593	NAT1;GSTO1;MGST3
Tight junction	4/170	0.15305995174940626	1.0	0	0	1.936577099975793	3.634811121452716	RAP1A;MYL12A;RAB8A;MYL12B
Cytosolic DNA-sensing pathway	2/63	0.17818788136864805	1.0	0	0	2.6128421190149584	4.5069351937959	PYCARD;POLR2L
Primary bile acid biosynthesis	1/17	0.18771029480786294	1.0	0	0	4.841442749939482	8.099034082572752	SCP2
Kaposi sarcoma-associated herpesvirus infection	4/186	0.19092586313629556	1.0	0	0	1.7699898225585204	2.930873184485195	CCR1;ATG3;FADD;PIK3CG
Epithelial cell signaling in Helicobacter pylori infection	2/68	0.20014807733446627	1.0	0	0	2.420721374969741	3.894209149631493	ATP6V0E1;ATP6V1E1
Chemokine signaling pathway	4/190	0.2008254010944646	1.0	0	0	1.7327268789257093	2.7815800731046507	CCR1;RAP1A;PPBP;PIK3CG
Renal cell carcinoma	2/69	0.2045791802545119	1.0	0	0	2.3856384564919186	3.785531553478093	RAP1A;RBX1
Pantothenate and CoA biosynthesis	1/19	0.20734607082692968	1.0	0	0	4.331817197314273	6.8155340781526395	PPCS
Pertussis	2/76	0.2358495348721542	1.0	0	0	2.1659085986571367	3.1287876140090725	PYCARD;LY96
Synaptic vesicle cycle	2/78	0.24483970599454316	1.0	0	0	2.110372480742851	2.969613894283976	ATP6V0E1;ATP6V1E1
Protein export	1/23	0.24521068907444069	1.0	0	0	3.578457684737878	5.030014251498768	SRP14
Renin-angiotensin system	1/23	0.24521068907444069	1.0	0	0	3.578457684737878	5.030014251498768	PRCP
alpha-Linolenic acid metabolism	1/25	0.2634619328864539	1.0	0	0	3.292181069958848	4.39126383098337	PLA2G16
Peroxisome	2/83	0.2673601418781069	1.0	0	0	1.9832416084089446	2.61621038915567	PRDX5;SCP2
Biosynthesis of unsaturated fatty acids	1/27	0.2812736228674473	1.0	0	0	3.0483158055174515	3.8665670982261315	SCP2
Fatty acid elongation	1/27	0.2812736228674473	1.0	0	0	3.0483158055174515	3.8665670982261315	ECHS1
Butanoate metabolism	1/28	0.29001793987637814	1.0	0	0	2.9394473838918285	3.6384847039161863	ECHS1
Linoleic acid metabolism	1/29	0.29865630230317103	1.0	0	0	2.838087129274869	3.429720043670688	PLA2G16
Rheumatoid arthritis	2/91	0.3033492245688756	1.0	0	0	1.8088906977795869	2.157772497305639	ATP6V0E1;ATP6V1E1
Citrate cycle (TCA cycle)	1/30	0.30718998874750914	1.0	0	0	2.7434842249657065	3.2381038873859507	MDH2
Glyoxylate and dicarboxylate metabolism	1/30	0.30718998874750914	1.0	0	0	2.7434842249657065	3.2381038873859507	MDH2
Pentose phosphate pathway	1/30	0.30718998874750914	1.0	0	0	2.7434842249657065	3.2381038873859507	RBKS
beta-Alanine metabolism	1/31	0.31562026247931685	1.0	0	0	2.6549847338377806	3.0617695182043922	ECHS1
Circadian rhythm	1/31	0.31562026247931685	1.0	0	0	2.6549847338377806	3.0617695182043922	RBX1
RNA polymerase	1/31	0.31562026247931685	1.0	0	0	2.6549847338377806	3.0617695182043922	POLR2L
