Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Vif-mediated degradation of APOBEC3G_Homo sapiens_R-HSA-180585	15/53	4.983734001841266E-17	7.625113022817137E-14	0	0	23.293733985557886	874.3947628990206	PSMD10;PSMD14;PSMA7;RBX1;PSMD8;PSMA6;PSMB7;PSMB4;PSMA4;PSMD4;PSMB2;PSMA2;PSMB3;PSMB1;TCEB2
Regulation of ornithine decarboxylase (ODC)_Homo sapiens_R-HSA-350562	14/50	6.669491314957717E-16	5.102160855942653E-13	0	0	23.045267489711936	805.2896305137998	PSMD10;PSMD14;OAZ1;PSMA7;PSMD8;PSMA6;PSMB7;PSMB4;PSMA4;PSMD4;PSMB2;PSMA2;PSMB3;PSMB1
Degradation of DVL_Homo sapiens_R-HSA-4641258	14/56	3.8703878742017214E-15	1.973897815842878E-12	0	0	20.5761316872428	682.8276063168591	PSMD10;PSMD14;PSMA7;RBX1;PSMD8;PSMA6;PSMB7;PSMB4;PSMA4;PSMD4;PSMB2;PSMA2;PSMB3;PSMB1
Degradation of GLI1 by the proteasome_Homo sapiens_R-HSA-5610780	14/59	8.585782392940104E-15	3.28406176529959E-12	0	0	19.529887703145707	632.5470639292467	PSMD10;PSMD14;PSMA7;RBX1;PSMD8;PSMA6;PSMB7;PSMB4;PSMA4;PSMD4;PSMB2;PSMA2;PSMB3;PSMB1
GLI3 is processed to GLI3R by the proteasome_Homo sapiens_R-HSA-5610785	14/59	8.585782392940104E-15	2.6272494122396718E-12	0	0	19.529887703145707	632.5470639292467	PSMD10;PSMD14;PSMA7;RBX1;PSMD8;PSMA6;PSMB7;PSMB4;PSMA4;PSMD4;PSMB2;PSMA2;PSMB3;PSMB1
Degradation of GLI2 by the proteasome_Homo sapiens_R-HSA-5610783	14/59	8.585782392940104E-15	2.1893745101997264E-12	0	0	19.529887703145707	632.5470639292467	PSMD10;PSMD14;PSMA7;RBX1;PSMD8;PSMA6;PSMB7;PSMB4;PSMA4;PSMD4;PSMB2;PSMA2;PSMB3;PSMB1
Regulation of activated PAK-2p34 by proteasome mediated degradation_Homo sapiens_R-HSA-211733	13/49	1.6235786046225113E-14	3.5486789501034892E-12	0	0	21.835894851767872	693.323694396375	PSMD10;PSMD14;PSMA7;PSMD8;PSMA6;PSMB7;PSMB4;PSMA4;PSMD4;PSMB2;PSMA2;PSMB3;PSMB1
Cross-presentation of soluble exogenous antigens (endosomes)_Homo sapiens_R-HSA-1236978	13/49	1.6235786046225113E-14	3.105094081340553E-12	0	0	21.835894851767872	693.323694396375	PSMD10;PSMD14;PSMA7;PSMD8;PSMA6;PSMB7;PSMB4;PSMA4;PSMD4;PSMB2;PSMA2;PSMB3;PSMB1
CDK-mediated phosphorylation and removal of Cdc6_Homo sapiens_R-HSA-69017	13/50	2.170608285383181E-14	3.690034085151408E-12	0	0	21.39917695473251	673.2434405784498	PSMD10;PSMD14;PSMA7;PSMD8;PSMA6;PSMB7;PSMB4;PSMA4;PSMD4;PSMB2;PSMA2;PSMB3;PSMB1
Ubiquitin-dependent degradation of Cyclin D1_Homo sapiens_R-HSA-69229	13/50	2.170608285383181E-14	3.321030676636267E-12	0	0	21.39917695473251	673.2434405784498	PSMD10;PSMD14;PSMA7;PSMD8;PSMA6;PSMB7;PSMB4;PSMA4;PSMD4;PSMB2;PSMA2;PSMB3;PSMB1
Ubiquitin-dependent degradation of Cyclin D_Homo sapiens_R-HSA-75815	13/50	2.170608285383181E-14	3.019118796942061E-12	0	0	21.39917695473251	673.2434405784498	PSMD10;PSMD14;PSMA7;PSMD8;PSMA6;PSMB7;PSMB4;PSMA4;PSMD4;PSMB2;PSMA2;PSMB3;PSMB1
Regulation of Apoptosis_Homo sapiens_R-HSA-169911	13/50	2.170608285383181E-14	2.767525563863556E-12	0	0	21.39917695473251	673.2434405784498	PSMD10;PSMD14;PSMA7;PSMD8;PSMA6;PSMB7;PSMB4;PSMA4;PSMD4;PSMB2;PSMA2;PSMB3;PSMB1
Vpu mediated degradation of CD4_Homo sapiens_R-HSA-180534	13/51	2.882091896214908E-14	3.3920004624683147E-12	0	0	20.979585249737756	654.0946888430217	PSMD10;PSMD14;PSMA7;PSMD8;PSMA6;PSMB7;PSMB4;PSMA4;PSMD4;PSMB2;PSMA2;PSMB3;PSMB1
Autodegradation of the E3 ubiquitin ligase COP1_Homo sapiens_R-HSA-349425	13/51	2.882091896214908E-14	3.1497147151491495E-12	0	0	20.979585249737756	654.0946888430217	PSMD10;PSMD14;PSMA7;PSMD8;PSMA6;PSMB7;PSMB4;PSMA4;PSMD4;PSMB2;PSMA2;PSMB3;PSMB1
Hedgehog ligand biogenesis_Homo sapiens_R-HSA-5358346	14/64	2.9280758379931175E-14	2.9866373547529798E-12	0	0	18.00411522633745	561.0414625421643	PSMD10;PSMD14;PSMA7;PSMD8;PSMA6;PSMB7;PSMB4;PSMA4;PSMD4;PSMB2;PSMA2;PSMB3;PSMB1;P4HB
ER-Phagosome pathway_Homo sapiens_R-HSA-1236974	14/65	3.691983496651706E-14	3.530459218673194E-12	0	0	17.727128838239953	548.3005816706743	PSMD10;PSMD14;PSMA7;PSMD8;PSMA6;PSMB7;PSMB4;PSMA4;PSMD4;PSMB2;PSMA2;PSMB3;PSMB1;B2M
