Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Proteasome Degradation WP183	14/62	1.817854888105858E-14	8.58027507185965E-12	0	0	18.584893136864462	587.9987757921035	PSMD10;H2AFZ;RPN1;PSMA7;PSMD8;PSMA6;PSMB7;PSMB4;PSMA4;PSMD4;PSMB2;PSMA2;PSMB3;PSMB1
Electron Transport Chain (OXPHOS system in mitochondria) WP111	14/103	2.7690301113145573E-11	6.534911062702355E-9	0	0	11.18702305325822	271.95584694646755	NDUFA9;COX7B;NDUFB10;NDUFB6;NDUFA4;NDUFC2;UQCR11;UQCR10;COX7C;COX5A;COX7A2L;NDUFS8;NDUFS7;UQCRFS1
Nonalcoholic fatty liver disease WP4396	14/155	6.661589645342229E-9	1.0480901042005106E-6	0	0	7.433957254745785	139.9584270465599	NDUFA9;COX7B;NDUFB10;NDUFB6;NDUFA4;NDUFC2;UQCR11;UQCR10;COX7C;COX5A;COX7A2L;NDUFS8;NDUFS7;UQCRFS1
Oxidative phosphorylation WP623	7/60	8.00251329223563E-6	9.442965684838044E-4	0	0	9.602194787379974	112.68900456605446	NDUFA9;NDUFS8;NDUFS7;NDUFB6;NDUFB10;NDUFA4;NDUFC2
Mitochondrial complex I assembly model OXPHOS system WP4324	5/56	5.858112093851205E-4	0.05530057816595537	0	0	7.348618459729572	54.692188334651604	NDUFB6;NDUFB10;NDUFC2;NDUFAF3;TMEM70
Parkin-Ubiquitin Proteasomal System pathway WP2359	4/70	0.010423194327067347	0.8199579537292979	0	0	4.703115814226925	21.463711851079953	PSMD8;PSMD10;PSMD4;PSMD14
Prostaglandin Synthesis and Regulation WP98	3/45	0.01727596324755903	1.0	0	0	5.486968449931413	22.26852757890679	ANXA2;S100A6;S100A10
Selenium Micronutrient Network WP15	4/86	0.020793641650388665	1.0	0	0	3.8281175232079625	14.826712714681605	PRDX5;PRDX4;RFK;TXN
Androgen receptor signaling pathway WP138	4/90	0.02410790518988923	1.0	0	0	3.6579789666209424	13.626759857679367	SUMO1;RNF14;BAG1;DSTN
TNF alpha Signaling Pathway WP231	4/92	0.025878106162233443	1.0	0	0	3.578457684737878	13.076965430968633	RFK;CYBA;TXN;FADD
Sulindac Metabolic Pathway WP2542	1/5	0.059297134239487945	1.0	0	0	16.460905349794242	46.50525597745519	CYP1B1
TGF-beta Signaling Pathway WP366	4/132	0.0775126758262552	1.0	0	0	2.4940765681506423	6.378136418378113	APP;EID2;SUMO1;RBX1
Alzheimers Disease WP2059	3/83	0.0803464486659872	1.0	0	0	2.9748624126134167	7.500840059744025	APP;CHP1;FADD
Arachidonate Epoxygenase / Epoxide Hydrolase WP678	1/7	0.08202351178985823	1.0	0	0	11.757789535567314	29.40328446410602	COX5A
Cerebral Organic Acidurias, including diseases WP4519	1/7	0.08202351178985823	1.0	0	0	11.757789535567314	29.40328446410602	MDH2
Ferroptosis WP4313	2/40	0.08488181164341788	1.0	0	0	4.1152263374485605	10.150187001317232	SLC40A1;VDAC3
Microglia Pathogen Phagocytosis Pathway WP3937	2/40	0.08488181164341788	1.0	0	0	4.1152263374485605	10.150187001317232	CYBA;PIK3CG
Phase I biotransformations, non P450 WP136	1/8	0.09318081142653449	1.0	0	0	10.2880658436214	24.41577638343014	LIPA
Dual hijack model of Vif in HIV infection WP3300	1/8	0.09318081142653449	1.0	0	0	10.2880658436214	24.41577638343014	RBX1
Glycolysis and Gluconeogenesis WP534	2/45	0.10364508487199241	1.0	0	0	3.6579789666209424	8.291844029845302	MDH2;MPC2
Benzo(a)pyrene metabolism WP696	1/9	0.1042030549491331	1.0	0	0	9.144947416552355	20.680510580363627	CYP1B1
