Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Ribosome	113/153	4.388902293400136E-27	1.351781906367242E-24	0	0	2.344641560327835	142.29798059788584	RPL5;RPL30;RPL32;RPL31;RPL34;RPL10L;RPL8;RPL10A;RPL9;RPS15;RPS14;RPS17;RPS16;RPS19;RPL18A;RPL36AL;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;MRPS18A;RPSA;MRPS18C;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPS4Y2;MRPL18;MRPL19;MRPL16;MRPL17;MRPL14;MRPL15;MRPL12;MRPL13;MRPL10;MRPL11;MRPL20;RPL41;MRPL27;MRPL28;MRPL23;MRPL24;MRPL21;MRPL22;RPS26;MRPL30;RPS25;RPS28;RPS29;RPL27A;RPS20;RPS21;RSL24D1;RPS24;RPS23;MRPS17;MRPS15;MRPS16;MRPS14;MRPS11;RPLP1;MRPS12;RPLP0;MRPS10;MRPL36;MRPL34;MRPL35;MRPL33;RPS4X;MRPL3;RPL7A;MRPL1;RPLP2;RPL13A;MRPS21;MRPS7;MRPS6;RPL37A;RPL10;RPL12;RPL11;RPL36A;RPS27L;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL35A;RPL22L1;FAU;RPL26L1
Oxidative phosphorylation	78/133	8.80920361943095E-11	1.3566173573923662E-8	0	0	1.861797350519155	43.105521914479525	NDUFA13;COX7B;NDUFA11;NDUFA12;COX4I1;COX6A1;ATP12A;COX7C;UQCRFS1;ATP6V1E1;ATP6V1E2;COX8A;ATP6V1G1;ATP6V0B;ATP6V0E1;NDUFC2;SDHC;NDUFC1;SDHD;SDHB;COX6B1;COX7A2L;NDUFS8;PPA2;NDUFS7;PPA1;NDUFS6;NDUFS5;NDUFS4;UQCRC1;ATP6V1B2;NDUFS3;UQCRC2;ATP6V0D1;ATP6V0D2;ATP6V0C;ATP6V1A;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;NDUFB11;COX15;NDUFB5;NDUFB4;COX17;NDUFB3;NDUFB2;NDUFB1;COX7A2;UQCR11;UQCR10;COX5B;COX5A;UQCRH;ATP6V1H;COX11;ATP6V0A4;NDUFV3;CYC1;NDUFV2;ATP6V1D;COX10;ATP6V1F;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;ATP4B;UQCRQ;NDUFAB1
Proteasome	32/45	5.525116196205683E-8	5.672452628104501E-6	0	0	2.257495590828924	37.72585868818567	PSMD11;PSMD14;POMP;PSMA7;PSMB10;PSMA8;PSMD8;PSMB6;PSMB7;PSMB4;PSMD6;PSMD7;PSMB5;PSMD4;PSMB2;PSMB3;PSMB1;PSMD1;PSMF1;PSMB8;PSMB9;PSMA5;PSMA6;PSMA3;PSMA4;PSMC3;PSMA1;PSMC4;PSMA2;PSMC2;PSME1;PSME2
Parkinson disease	72/142	1.4121653427973912E-6	1.0873673139539912E-4	0	0	1.6096579476861166	21.682714410382708	NDUFA13;COX7B;NDUFA11;NDUFA12;COX4I1;UBE2L6;PARK7;COX6A1;COX7C;UBE2L3;UCHL1;UQCRFS1;COX8A;NDUFC2;SDHC;NDUFC1;SDHD;SDHB;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;UQCRC1;VDAC3;NDUFS3;UQCRC2;SLC25A5;SLC25A6;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;NDUFB11;NDUFB5;NDUFB4;NDUFB3;NDUFB2;GNAI3;NDUFB1;COX7A2;UQCR11;UQCR10;UBE2J2;COX5B;COX5A;UQCRH;UBE2J1;GNAI2;UBB;NDUFV3;CYC1;DRD1;NDUFV2;SNCA;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;UBE2G1;COX6C;UQCRQ;NDUFAB1;CYCS
Alzheimer disease	81/171	9.818951785014989E-6	6.048474299569233E-4	0	0	1.5037593984962405	17.34014463784284	APP;NDUFA13;COX7B;NDUFA11;NDUFA12;COX4I1;COX6A1;COX7C;PPP3CA;UQCRFS1;NOS1;COX8A;PSENEN;NDUFC2;SDHC;NDUFC1;SDHD;SDHB;COX6B1;BACE2;COX7A2L;NDUFS8;PLCB4;NDUFS7;NDUFS6;NDUFS5;NDUFS4;UQCRC1;NDUFS3;UQCRC2;RTN3;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;NDUFB11;NDUFB5;NDUFB4;NDUFB3;NDUFB2;LPL;NDUFB1;CACNA1D;COX7A2;UQCR11;UQCR10;COX5B;COX5A;HSD17B10;UQCRH;RTN4;GRIN2A;PPP3R2;APH1B;NDUFV3;CYC1;FADD;NAE1;NDUFV2;BID;SNCA;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;BAD;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;CDK5;UQCRQ;GNAQ;NDUFAB1;CYCS;CALM3;CALM1;CALM2
Huntington disease	88/193	2.6468515855911777E-5	0.0013587171472701379	0	0	1.4474874578501522	15.25587311249884	COX7B;NDUFA13;NDUFA11;NDUFA12;COX4I1;CLTA;COX6A1;COX7C;DNALI1;GRM5;UQCRFS1;COX8A;GPX1;NDUFC2;SDHC;NDUFC1;SDHD;SDHB;COX6B1;COX7A2L;PLCB4;NDUFS8;NDUFS7;NDUFS6;TBPL2;NDUFS5;NDUFS4;UQCRC1;VDAC3;NDUFS3;TBPL1;PPARG;UQCRC2;SLC25A5;SLC25A6;DNAH3;NDUFB9;NDUFB8;HDAC2;NDUFB7;NDUFB10;NDUFB6;DNAH7;NDUFB11;NDUFB5;DNAH5;NDUFB4;DNAH6;NDUFB3;UCP1;NDUFB2;NDUFB1;UQCR11;COX7A2;UQCR10;COX5B;COX5A;UQCRH;AP2S1;POLR2F;POLR2G;NDUFV3;CYC1;NDUFV2;POLR2I;PPARGC1A;POLR2J;POLR2K;POLR2L;NDUFA9;DNAH12;NDUFA8;NDUFA7;NDUFA6;NDUFA5;BDNF;NDUFA4;NDUFA3;DNAH14;NDUFA2;NDUFA1;COX6C;SOD1;REST;UQCRQ;GNAQ;NDUFAB1;CYCS
Retrograde endocannabinoid signaling	69/148	8.054963654524122E-5	0.0035441840079906135	0	0	1.4800514800514801	13.951907985317964	GABRB3;GABRB2;NDUFA13;GABRB1;NDUFA11;NDUFA12;RIMS1;GRM5;GNGT2;PRKCB;NDUFC2;NDUFC1;GABRG2;GABRG1;NDUFS8;PLCB4;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFS3;MGLL;GRIA2;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;NDUFB11;NDUFB5;NDUFB4;NDUFB3;NDUFB2;GNAI3;CACNA1A;NDUFB1;CACNA1D;ADCY2;GNAI2;GNG2;GNG5;GNG4;NDUFV3;SLC17A8;NDUFV2;GABRD;GRIA3;GRIA4;KCNJ3;GABRA2;NDUFA9;GABRP;NDUFA8;KCNJ6;NDUFA7;NDUFA6;NDUFA5;GABRA5;NDUFA4;GABRA4;NDUFA3;NDUFA2;NDUFA1;GNG12;GNG11;MAPK10;GNAQ;GNB1;NDUFAB1
Non-alcoholic fatty liver disease (NAFLD)	68/149	1.994412793786245E-4	0.007678489256077043	0	0	1.4488121870672206	12.343866365531234	NDUFA13;COX7B;NDUFA11;NDUFA12;COX4I1;COX6A1;COX7C;UQCRFS1;RAC1;COX8A;ADIPOQ;NDUFC2;SDHC;NDUFC1;SDHD;SDHB;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;UQCRC1;NDUFS3;UQCRC2;PPARA;NDUFB9;NDUFB8;PRKAA2;NDUFB7;NDUFB10;NDUFB6;NDUFB11;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;COX7A2;UQCR11;UQCR10;COX5B;ADIPOR2;COX5A;UQCRH;NDUFV3;CYC1;NDUFV2;BID;NDUFA9;NDUFA8;XBP1;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;EIF2S1;MAPK10;MLXIPL;UQCRQ;LEP;NDUFAB1;CYCS
Phagosome	62/152	0.009491758581385219	0.32482907145184975	0	0	1.294903926482874	6.030796683947853	ITGB5;ITGB3;ACTB;CTSS;ACTG1;TUBA1C;FCGR3A;TUBA1B;FCGR3B;CTSL;SEC61G;TUBB1;LAMP2;SEC61B;CD36;NOS1;RAC1;ATP6V1E1;ATP6V1E2;ATP6V1G1;ATP6V0B;ATP6V0E1;TUBB;SFTPD;CYBA;HLA-G;TUBA4A;DYNC1LI1;TUBB2B;CANX;ATP6V1B2;ATP6V0D1;PLA2R1;ATP6V0D2;ATP6V0C;HLA-DQB1;RAB7A;ATP6V1A;STX12;DYNC1I2;RAB5C;THBS2;C3;CLEC7A;ATP6V1H;ATP6V0A4;CD14;ATP6V1D;HLA-DQA2;DYNC1I1;ATP6V1F;MSR1;HLA-DRB5;HLA-DRB4;MARCO;CD209;HLA-DPB1;HLA-DRA;HLA-DRB3;FCGR2B;RAB5A;TUBA8
Protein export	13/23	0.01126030594796378	0.3468174231972844	0	0	1.7943409247757072	8.050259394123632	SRP19;SRP14;IMMP1L;SPCS2;SPCS1;SRP72;SEC61G;SRPRB;SEC61B;SEC62;SEC11A;SEC63;SEC11C
Thermogenesis	88/231	0.01905086728110691	0.5334242838709935	0	0	1.2093726379440664	4.789892851856009	COX7B;NDUFA13;NDUFA11;NDUFA12;COX4I1;COX6A1;COX7C;ACTB;ACTG1;RPS6KA6;UQCRFS1;PRKG2;PRKG1;COA6;COX8A;SMARCC1;RPS6;NDUFC2;SDHC;NDUFC1;SDHD;SDHB;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;UQCRC1;NDUFS3;PPARG;UQCRC2;MGLL;COX19;NDUFB9;NDUFB8;PRKAA2;NDUFB7;NDUFB10;COX16;NDUFB6;NDUFB11;COX15;NDUFB5;NDUFB4;COX17;NDUFB3;UCP1;NDUFB2;NDUFB1;UQCR11;ADCY2;COX7A2;UQCR10;COX5B;COX5A;UQCRH;PRDM16;COX11;COX14;NDUFV3;CYC1;SLC25A20;NDUFV2;PPARGC1A;COX10;COA4;NDUFA9;COA3;NDUFA8;NDUFA7;COA1;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;UQCRQ;RHEB;NDUFAF4;NDUFAB1;NDUFAF2;NDUFAF3;GRB2;NDUFAF1
Collecting duct acid secretion	14/27	0.02200794411837785	0.5648705657050315	0	0	1.6460905349794237	6.282060567100401	ATP6V1A;ATP6V1G1;ATP6V0E1;ATP4B;CA2;ATP6V1B2;ATP6V0A4;ATP6V1E1;ATP6V0D1;ATP6V1D;ATP6V1E2;ATP6V0C;ATP6V0D2;ATP6V1F
Pentose phosphate pathway	15/30	0.026407283792561517	0.6256494929314574	0	0	1.5873015873015872	5.768437151825749	PRPS2;PRPS1;TKTL1;RPEL1;TALDO1;PGD;DERA;RPIA;IDNK;PGLS;PRPS1L1;ALDOA;FBP1;PGM1;RBKS
Ubiquinone and other terpenoid-quinone biosynthesis	7/11	0.028327676966801538	0.6232088932696339	0	0	2.0202020202020203	7.199830237486405	VKORC1;VKORC1L1;NQO1;COQ3;COQ2;TAT;COQ5
