Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
SRP-dependent cotranslational protein targeting to membrane_Homo sapiens_R-HSA-1799339	89/107	2.2090159073505466E-28	3.379794338246336E-25	0	0	2.6405577807446967	168.15028504867908	RPL5;SRP19;RPL30;TRAM1;RPL32;RPL31;RPL34;RPLP1;RPLP0;SRP14;RPL8;RPL10A;RPL9;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPS19;RPL18A;RPS18;SEC61G;RPL36;RPL35;RPLP2;RPL38;RPL37;SEC61B;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPS7;SSR4;RPS8;RPL23;RPS5;SSR2;RPL22;RPS6;SSR3;RPL13A;RPSA;DDOST;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPN2;RPL10;RPL12;RPN1;RPL11;RPL36A;RPS15A;SRP72;RPL14;RPS3;SSR1;RPL13;RPL15;RPS2;RPL18;RPS27A;SEC11A;RPL19;SEC11C;RPL41;RPL35A;RPS26;RPS25;RPS28;SPCS2;SPCS1;RPS29;RPL27A;SRPRB;RPS20;FAU;RPS21;RPS24;RPL26L1;RPS23
Respiratory electron transport, ATP synthesis by chemiosmotic coupling, and heat production by uncoupling proteins._Homo sapiens_R-HSA-163200	87/109	2.729413846830846E-25	2.0880015928255973E-22	0	0	2.533857579729139	143.3163541247715	NDUFA13;COX7B;NDUFA11;NDUFA12;TACO1;COX4I1;ATP5C1;ETFA;ETFB;ATP5G3;COX6A1;ATP5G2;COX7C;ATP5G1;UQCRFS1;COX8A;NDUFC2;SDHC;NDUFC1;SDHD;ATP5F1;SDHB;ATP5J2;COX6B1;COX7A2L;NDUFS8;SCO1;NDUFS7;NDUFS6;NDUFS5;NDUFS4;UQCRC1;NDUFS3;UQCRC2;TMEM126B;ATP5S;COX19;NDUFB9;NDUFB8;NDUFB7;NDUFB10;COX16;NDUFB6;NDUFB11;NDUFB5;NDUFB4;ATP5A1;NDUFB3;UCP1;NDUFB2;ATP5J;NDUFB1;ATP5I;UQCR11;ATP5H;UQCR10;ATP5O;COX5B;COX5A;UQCRH;ATP5L;ATP5D;UCP2;COX11;COX14;NDUFV3;CYC1;NDUFV2;NDUFA9;NDUFA8;SURF1;NDUFA7;TIMMDC1;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;UQCRQ;NDUFAF4;NDUFAB1;NDUFAF2;NDUFAF3;CYCS;NDUFAF1
Viral mRNA Translation_Homo sapiens_R-HSA-192823	72/84	7.7514898178058125E-25	3.953259807080964E-22	0	0	2.7210884353741496	151.0659653480408	RPL5;RPL30;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPS4X;RPS15;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;DNAJC3;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPS26;RPS25;RPS28;RPS29;RPL27A;RPS20;FAU;RPS21;RPL26L1;RPS24;RPS23
Translation_Homo sapiens_R-HSA-72766	109/151	8.627789845999497E-25	3.3001296160948076E-22	0	0	2.291600967097656	126.97678221312883	RPL5;SRP19;RPL30;RPL32;RPL31;RPL34;SRP14;RPL8;RPL10A;RPL9;EEF1B2;RPS15;RPS14;RPS17;RPS16;RPS19;RPL18A;RPS18;RPL36;RPL35;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPSA;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPN2;RPN1;GSPT2;EIF4EBP1;SSR1;EIF2B3;RPL41;EIF2B2;EIF2S2;EIF2S1;RPS26;RPS25;RPS28;RPS29;RPL27A;SRPRB;RPS20;RPS21;RPS24;RPS23;TRAM1;RPLP1;RPLP0;RPS4X;TRMT112;RPL7A;SEC61G;RPLP2;SEC61B;SSR4;SSR2;SSR3;RPL13A;DDOST;EEF1G;EEF1D;RPL37A;PABPC1;RPL10;RPL12;RPL11;RPL36A;RPS15A;SRP72;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;EIF4E;SEC11A;RPL19;SEC11C;RPL35A;SPCS2;SPCS1;EIF3K;EIF3L;EIF3I;EIF3J;EIF3G;EIF3H;EIF3E;FAU;EIF3D;RPL26L1
Formation of a pool of free 40S subunits_Homo sapiens_R-HSA-72689	79/96	9.809828554841618E-25	3.001807537781535E-22	0	0	2.6124338624338623	144.418589937559	RPL5;RPL30;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPS4X;RPS15;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPS26;RPS25;RPS28;EIF3K;RPS29;EIF3L;RPL27A;EIF3I;EIF3J;EIF3G;EIF3H;RPS20;EIF3E;FAU;RPS21;EIF3D;RPL26L1;RPS24;RPS23
Eukaryotic Translation Termination_Homo sapiens_R-HSA-72764	73/87	5.548897642811333E-24	1.4149688989168899E-21	0	0	2.663747491333698	142.6395305642144	RPL5;RPL30;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPS4X;RPS15;TRMT112;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;GSPT2;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPS26;RPS25;RPS28;RPS29;RPL27A;RPS20;FAU;RPS21;RPL26L1;RPS24;RPS23
Eukaryotic Translation Elongation_Homo sapiens_R-HSA-156842	74/89	8.460358496453774E-24	1.849192642796325E-21	0	0	2.639557695737471	140.23085966083602	RPL5;RPL30;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;EEF1B2;RPS4X;RPS15;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;EEF1G;EEF1D;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPS26;RPS25;RPS28;RPS29;RPL27A;RPS20;FAU;RPS21;RPL26L1;RPS24;RPS23
Peptide chain elongation_Homo sapiens_R-HSA-156902	71/84	9.510197390002081E-24	1.818825250837898E-21	0	0	2.6832955404383974	142.24063150273162	RPL5;RPL30;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPS4X;RPS15;RPL7A;RPS14;RPS17;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPS26;RPS25;RPS28;RPS29;RPL27A;RPS20;FAU;RPS21;RPL26L1;RPS24;RPS23
L13a-mediated translational silencing of Ceruloplasmin expression_Homo sapiens_R-HSA-156827	83/106	3.6766292820673825E-23	6.2502697795145505E-21	0	0	2.4857741838873917	128.4087823683154	RPL5;RPL30;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPS19;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPL37A;RPL24;RPL27;RPL26;PABPC1;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;EIF4E;RPL19;RPL41;RPL35A;EIF2S2;EIF2S1;RPS26;RPS25;RPS28;EIF3K;RPS29;EIF3L;RPL27A;EIF3I;EIF3J;EIF3G;EIF3H;RPS20;EIF3E;FAU;RPS21;EIF3D;RPS24;RPL26L1;RPS23
3' -UTR-mediated translational regulation_Homo sapiens_R-HSA-157279	83/106	3.6766292820673825E-23	5.625242801563095E-21	0	0	2.4857741838873917	128.4087823683154	RPL5;RPL30;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL8;RPL10A;RPL9;RPS15;RPS4X;RPS14;RPL7A;RPS17;RPS16;RPS19;RPL18A;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPL37A;RPL24;RPL27;RPL26;PABPC1;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;EIF4E;RPL19;RPL41;RPL35A;EIF2S2;EIF2S1;RPS26;RPS25;RPS28;EIF3K;RPS29;EIF3L;RPL27A;EIF3I;EIF3J;EIF3G;EIF3H;RPS20;EIF3E;FAU;RPS21;EIF3D;RPS24;RPL26L1;RPS23
