Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Cytoplasmic Ribosomal Proteins WP477	72/89	8.249719682329476E-22	3.893867690059513E-19	0	0	2.568218298555377	124.6785048449416	RPL5;RPL30;RPL32;RPL31;RPL34;RPLP1;RPLP0;RPL10A;RPL8;RPL9;RPS4X;RPS15;RPL7A;RPS14;RPS17;RPS6KA6;RPS16;RPL18A;RPS19;RPS18;RPL36;RPL35;RPLP2;RPL38;RPL37;RPS11;RPL39;RPS10;RPS13;RPS12;RPS9;RPS7;RPS8;RPL23;RPS5;RPL22;RPS6;RPL13A;RPSA;RPL37A;RPL24;RPL27;RPL26;RPL29;RPL28;UBA52;RPL10;RPL12;RPL11;MRPL19;RPL36A;RPS15A;RPL14;RPS3;RPL13;RPL15;RPS2;RPL18;RPS27A;RPL19;RPL41;RPL35A;RPS26;RPS25;RPS28;RPS29;RPL27A;RPS20;FAU;RPS21;RPS24;RPS23
Electron Transport Chain (OXPHOS system in mitochondria) WP111	61/103	5.706668742586985E-9	1.3467738232505284E-6	0	0	1.8801047927261518	35.68745427211972	COX7B;NDUFA12;COX4I1;COX6A1;COX7C;UQCRFS1;COX8A;NDUFC2;SDHC;NDUFC1;SDHD;SDHB;COX6B1;COX7A2L;NDUFS8;SCO1;NDUFS7;NDUFS6;NDUFS5;NDUFS4;UQCRC1;NDUFS3;UQCRC2;SLC25A5;SLC25A6;NDUFB9;NDUFB8;NDUFB7;NDUFB10;NDUFB6;COX15;NDUFB5;NDUFB4;COX17;NDUFB3;UCP1;NDUFB2;NDUFB1;COX7A2;UQCR11;UQCR10;COX5B;COX5A;UQCRH;UCP2;COX11;NDUFV3;NDUFV2;NDUFA9;NDUFA8;SURF1;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;COX6C;UQCRQ;NDUFAB1
Proteasome Degradation WP183	41/62	2.1547123158031573E-8	3.3900807101969674E-6	0	0	2.0993343573988734	37.05959879895844	PSMD10;PSMD11;RPN2;UBE2D2;UBE2D3;RPN1;PSMB10;PSMA7;PSMD8;PSMB6;PSMD9;PSMB7;UCHL1;PSMD6;PSMB4;PSMD7;PSMB5;PSMD4;UBB;PSMB2;PSMB3;PSMB1;PSMD1;HIST1H2AB;UBE2B;H2AFZ;UCHL3;HLA-G;PSMB8;PSMB9;PSMA5;PSMA6;PSMA3;PSMA4;PSMA1;PSMC3;PSMA2;PSMC4;PSMC2;PSME1;PSME2
Mitochondrial complex I assembly model OXPHOS system WP4324	38/56	2.4319632199061965E-8	2.869716599489312E-6	0	0	2.1541950113378685	37.76730795507666	NDUFB9;NDUFA13;NDUFB8;NDUFB7;NDUFB6;NDUFB10;NDUFA12;NDUFB11;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;TMEM186;TMEM70;NDUFV3;NDUFV2;NDUFA8;NDUFA7;COA1;TIMMDC1;NDUFA6;NDUFA5;NDUFA3;NDUFA2;NDUFA1;NDUFC2;NDUFC1;NDUFS6;NDUFS5;NDUFAF4;NDUFS4;NDUFAB1;NDUFS3;NDUFAF2;NDUFAF3;TMEM126B;NDUFAF1
Nonalcoholic fatty liver disease WP4396	71/155	1.2708039448281E-4	0.011996389239177264	0	0	1.454173067076293	13.044936728100607	NDUFA13;COX7B;NDUFA11;NDUFA12;COX4I1;COX6A1;COX7C;UQCRFS1;RAC1;COX8A;ADIPOQ;NDUFC2;SDHC;NDUFC1;SDHD;SDHB;COX6B1;COX7A2L;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;UQCRC1;NDUFS3;UQCRC2;PPARA;NDUFB9;NDUFB8;PRKAA2;NDUFB7;NDUFB10;NDUFB6;NDUFB11;NDUFB5;NDUFB4;NDUFB3;NDUFB2;NDUFB1;COX7A2;UQCR11;UQCR10;COX5B;ADIPOR2;COX5A;UQCRH;CCL2;NDUFV3;CYC1;NDUFV2;BID;NDUFA9;NDUFA8;XBP1;NDUFA7;VCAM1;NDUFA6;NDUFA5;NDUFA4;NDUFA3;NDUFA2;NDUFA1;NR1H4;COX6C;EIF2S1;VMP1;MLXIPL;UQCRQ;LEP;NDUFAB1;CYCS
Prostaglandin Synthesis and Regulation WP98	26/45	2.3806316544311377E-4	0.01872763568152495	0	0	1.8342151675485008	15.302810404273883	PTGFR;HPGD;PTGER2;PTGER3;PTGS1;HSD11B1;EDNRB;TBXA2R;SOX9;PPARGC1A;S100A10;PTGDR;ABCC4;CBR1;EDN1;PTGIS;ANXA1;ANXA2;ANXA3;ANXA4;AKR1C3;MITF;TBXAS1;S100A6;PPARG;PTGES
Oxidative phosphorylation WP623	31/60	9.039655057344536E-4	0.0609531026723803	0	0	1.6402116402116405	11.495783070152305	NDUFB9;NDUFB8;NDUFB7;NDUFA11;NDUFB6;NDUFB10;NDUFB5;NDUFB4;NDUFB2;NDUFB1;NDUFV3;NDUFV2;NDUFA9;NDUFA8;NDUFA7;NDUFA6;NDUFA5;NDUFA4;NDUFA3;ATP6AP2;NDUFA2;NDUFC2;GZMB;NDUFC1;NDUFS8;NDUFS7;NDUFS6;NDUFS5;NDUFS4;NDUFAB1;NDUFS3
Extracellular vesicles in the crosstalk of cardiac cells WP4300	13/19	0.0010318658651247942	0.060880086042362856	0	0	2.172096908939014	14.936178069894707	CD63;EGF;CD81;STAT3;HSPB1;SORBS2;IGF1;EGFR;SOD1;KDR;SPP1;BIRC5;PDLIM5
Differentiation of white and brown adipocyte    WP2895	15/25	0.0030314434800527246	0.15898236917609843	0	0	1.9047619047619047	11.045174051132246	SMAD1;CEBPB;ADIPOQ;CIDEA;SMAD9;EBF3;BMP7;PLAC8;BMP2;LEP;PRDM16;ZIC1;PPARG;HOXC9;PPARGC1A
Sulindac Metabolic Pathway WP2542	4/5	0.0368036849306783	1.0	0	0	2.53968253968254	8.386431250373338	MSRA;MSRB2;MSRB3;CYP1B1
Peptide GPCRs WP24	31/74	0.03796861425288176	1.0	0	0	1.3299013299013298	4.350101134218654	CX3CR1;OXTR;NPY2R;C5AR1;FPR1;CXCR4;FPR3;FPR2;EDNRB;CXCR1;CXCR3;GALR1;CXCR2;C3AR1;GNRHR;BDKRB2;CCR8;CCR7;CCR5;CCR2;CCR1;GHSR;NPY5R;NPY1R;TACR3;OPRK1;TACR1;OPRM1;AVPR1A;NMBR;AGTR1
