Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Herpes simplex virus 1 infection	272/492	5.707965612783258E-9	1.7580534087372434E-6	0	0	1.2998954348819294	24.673839317598894	ZNF175;ZNF607;ZNF606;AKT2;ZNF605;ZNF726;AKT3;ZSCAN32;AKT1;IL12A;ZNF600;ZNF841;ZNF169;ZNF285;ZNF19;ZNF284;ZFP1;ZNF705E;ZNF282;ZNF160;HLA-B;ZNF10;HLA-C;ZNF12;HLA-A;HCFC2;HLA-F;ZNF14;HCFC1;ZNF718;ZNF717;ZNF836;TP53;ZNF155;ZNF275;ZNF154;ZNF324B;ZNF273;HKR1;PIK3R2;ZNF23;PIK3R1;ZNF25;ZNF26;C5;ZNF708;ZNF707;ZNF700;ZNF141;ZNF140;EIF2AK3;SRPK1;ZNF814;CALR;RBAK;ZNF136;ZNF256;ZNF135;ZNF254;ZNF133;IFNA5;ZNF253;ZNF132;ZNF251;ZNF250;ZNF490;ZNF44;ZNF45;IKBKB;ZNF41;ZNF248;IKBKG;JAK2;IKBKE;ZIK1;ZNF484;IFNGR1;TYK2;TMEM173;IL1B;TLR9;ZNF780B;ZNF599;ZNF235;ZNF233;ZNF596;TLR2;ZNF595;ZNF473;RNASEL;SP100;ZNF350;ZNF471;ZNF8;RELA;ZNF7;HLA-DMA;ZNF229;ZNF107;ZNF468;ZNF589;ZNF225;ZNF585B;ZNF224;ZNF587;ZNF343;ZNF584;ZNF100;CD74;ZNF461;ZNF460;STAT2;CARD9;ZNF79;ZNF33B;ZNF33A;ZNF74;FAS;ZNF337;ZNF699;ZNF214;ZNF577;ZNF354A;ZNF334;ZNF212;ZNF333;ZNF354C;ZNF211;ZFP28;ZNF354B;ZNF331;ZNF571;TNF;PPP1CB;ZNF81;ZFP30;ZNF83;ZNF85;ZNF569;ZNF205;ZNF688;ZNF324;HLA-DOA;HLA-DOB;ZNF443;ZNF442;ZNF562;ZNF320;ZNF440;ZNF682;ZNF680;TAP2;ZFP69B;TAP1;TSC2;TSC1;TICAM1;ZNF439;ZNF317;ZNF559;ZNF558;ZNF316;ZNF799;ZNF436;SRSF6;ZNF675;ZNF554;ZNF432;ZNF674;ZNF431;ZNF793;ZNF671;ZNF550;SOCS3;IRAK1;ZNF549;ZNF548;ZNF546;ZNF304;TNFRSF14;ZNF302;ZNF544;ZNF543;ZNF785;ZNF300;ZNF783;ZNF662;EIF2B5;ZNF540;ZNF782;POU2F1;NFKBIA;ZFP69;MAVS;IL6;ZNF419;ZNF418;ZNF417;BCL2;ZNF778;ZNF777;TAB2;TAB1;MYD88;BCL2L1;ZNF530;ZNF891;PIK3CD;CASP9;CASP8;ZNF529;ZNF528;CASP3;ZNF527;ZNF768;ZNF404;ZNF764;ZNF763;ZNF641;ZNF761;APAF1;CHUK;DDX58;ZFP92;TRAF2;IRAK4;ZFP90;TNFRSF1A;TAPBP;PIK3CA;ZNF519;IRF3;TRAF3;TRAF6;ZNF517;TRAF5;ZNF878;LTA;ZNF514;ITGA5;ZNF510;ZNF630;IRF9;ZNF195;SRC;SRSF1;NXF1;ZNF749;ZNF506;ZNF746;ZNF286B;ZNF624;ZNF623;BAK1;ZNF621;ZNF286A;ZNF189;ZNF184;ZNF182;ZNF180;PTPN11;MTOR;PML;ZNF619;ZNF737;ZNF616;ZNF615;ZNF736;ZNF614;BAX;ZNF853;ZNF610
Hepatitis B	99/163	2.015891632753581E-6	3.104473114440515E-4	0	0	1.4280789165064285	18.728468065366258	ARAF;TNF;ELK1;CREB3L4;MYC;AKT2;CREB3L2;AKT3;AKT1;EP300;PRKCG;MAP2K3;MAP2K2;PRKCA;TICAM1;HSPG2;CCNE2;CCNE1;RAF1;TP53;ATF4;PIK3R2;PIK3R1;IRAK1;MAP2K7;STAT5A;STAT5B;CREBBP;SMAD4;JUN;TGFB1;SMAD3;TGFB3;SLC10A1;NFATC1;BRAF;NFATC4;NFKBIA;MAVS;IL6;CDK2;BCL2;TAB2;TAB1;MYD88;IFNA5;CDKN1A;DDX3X;PIK3CD;CASP9;IKBKB;CASP8;CASP10;CASP3;IKBKG;JAK2;HRAS;JAK3;IKBKE;ATP6AP1;APAF1;CHUK;DDX58;IRAK4;TYK2;FOS;MMP9;YWHAZ;TIRAP;TGFBR2;DDB2;CCNA2;DDB1;CREB1;PIK3CA;IRF3;TRAF3;TRAF6;SOS1;TLR2;ATF6B;SRC;RELA;MAPK9;MAPK8;E2F1;STAT4;E2F2;PTK2B;STAT6;E2F3;MAPK3;STAT2;MAPK14;MAPK12;MAPK13;MAPK11;FAS;BAX
TNF signaling pathway	71/110	2.5502596712984303E-6	2.618266595866389E-4	0	0	1.5176452985058675	19.54623242243693	CSF1;TNFAIP3;PIK3CD;CXCL3;TNF;CXCL2;ICAM1;RPS6KA4;IKBKB;CASP8;CREB3L4;CASP10;AKT2;CASP3;CREB3L2;AKT3;AKT1;MAP3K8;IKBKG;DNM1L;JUNB;MAP2K3;RIPK3;CHUK;TRAF2;TRAF1;FOS;MMP9;TNFRSF1A;MMP14;CREB1;PIK3CA;TRAF3;IL1B;TRAF5;LTA;PGAM5;ATF4;ATF6B;PIK3R2;PIK3R1;NOD2;PTGS2;RELA;SOCS3;MAPK9;MAPK8;RIPK1;MAP2K7;MAPK3;JUN;JAG1;MLKL;CCL20;LIF;DAB2IP;CFLAR;MAPK14;MAPK12;MAPK13;NFKBIA;MAPK11;IL6;ITCH;BCL3;TAB3;FAS;TAB2;TAB1;MAP3K14;IL18R1
Phosphatidylinositol signaling system	63/99	1.8019448245039598E-5	0.0013874975148680491	0	0	1.4962700126114186	16.34534178590416	DGKG;PI4K2B;DGKE;DGKD;CALML6;DGKA;MTMR14;INPPL1;PIK3CD;PIK3C2A;PIK3C2B;PPIP5K1;PPIP5K2;PIP4K2B;PIP4K2C;PRKCG;SACM1L;IPMK;ITPK1;OCRL;PRKCA;DGKZ;ITPKB;INPP4B;ITPKC;PLCB3;PIK3CA;DGKQ;ITPKA;PLCB2;DGKH;IPPK;MTMR1;MTMR3;MTMR8;ITPR1;ITPR2;ITPR3;PIK3R2;PIK3R1;MTMR4;MTMR6;MTMR7;MTM1;INPP5B;INPP5F;INPP5D;INPP5E;PLCG2;PIP5K1A;INPP5K;PIP5K1B;PLCG1;PIP5K1C;IP6K1;IP6K2;PIKFYVE;SYNJ1;PI4KA;PI4KB;PLCD3;PLCD4;PLCD1
Inositol phosphate metabolism	48/74	8.671603086795972E-5	0.005341707501466319	0	0	1.5251555340904037	14.26458417142534	IPPK;PI4K2B;MTMR1;ISYNA1;MTMR3;MTMR14;INPPL1;MTMR8;PIK3CD;PIK3C2A;MTMR4;MTMR6;PIK3C2B;MTMR7;MTM1;INPP5B;INPP5F;PIP5KL1;INPP5D;INPP5E;PLCG2;PIP5K1A;INPP5K;PIP4K2B;PIP5K1B;PIP4K2C;PLCG1;PIP5K1C;MIOX;SACM1L;IPMK;ITPK1;OCRL;ITPKB;ITPKC;INPP4B;PLCB3;PIKFYVE;PIK3CA;SYNJ1;ITPKA;PI4KA;PI4KB;PLCH2;PLCD3;PLCB2;PLCD4;PLCD1
Central carbon metabolism in cancer	43/65	1.0173877503528283E-4	0.005222590451811185	0	0	1.5554631120114308	14.299531137405312	RET;FLT3;GLS2;SLC2A1;PIK3CD;PIK3R2;SLC1A5;PIK3R1;HIF1A;HK2;GLS;HK1;HK3;MYC;AKT2;AKT3;ERBB2;AKT1;SLC16A3;HRAS;PDK1;MAPK3;PDGFRB;NTRK1;G6PD;MAP2K2;PGAM2;SIRT6;GCK;MTOR;SIRT3;SLC7A5;PFKL;PKM;PIK3CA;SCO2;HKDC1;RAF1;TP53;PFKM;FGFR3;PFKP;FGFR1
Human T-cell leukemia virus 1 infection	117/219	7.09668152756997E-4	0.03122539872130787	0	0	1.2561640614682947	9.108085200752628	CRTC2;CRTC3;TRRAP;CRTC1;BUB1B;ELK1;TNF;ETS1;ICAM1;ELK4;CCND3;ZFP36;CDC23;KAT5;CREB3L4;PTTG2;CHEK2;MYC;AKT2;CREB3L2;AKT3;AKT1;EP300;PRKACA;HLA-DOA;PRKACB;HLA-DOB;MAP2K2;ANAPC7;HLA-B;HLA-C;HLA-A;HLA-F;ADCY9;CCNE2;CCNE1;ANAPC4;VDAC1;ANAPC5;TLN1;TP53;ANAPC1;ATF4;ANAPC2;PIK3R2;PIK3R1;PPP3R1;TERT;STAT5A;STAT5B;CREBBP;JUN;SMAD4;TGFB1;SMAD3;TGFB3;NFATC1;NFATC4;NFKB2;FOSL1;NFKBIA;DLG1;IL6;CDC16;CDK2;ATM;CALR;TCF3;MAP3K14;ATR;BCL2L1;CDKN1A;SLC2A1;PIK3CD;TNFRSF13C;CD3E;ITGAL;IKBKB;PPP3CC;XPO1;IKBKG;HRAS;JAK3;TBP;CHUK;FOS;TNFRSF1A;TGFBR2;CCNA2;KAT2B;KAT2A;CREB1;PIK3CA;ESPL1;LCK;LTA;VAC14;ATF6B;ADCY4;ADCY3;IL2RG;ADCY7;RELA;RELB;MAPK9;HLA-DMA;MAPK8;E2F1;E2F2;E2F3;MAPK3;MAP3K3;RANBP3;CD4;IL2RB;BAX;LTBR
NF-kappa B signaling pathway	56/95	9.060910918821241E-4	0.03488450703746178	0	0	1.3860185379979455	9.710959693771875	CCL4L2;TNFAIP3;TNFRSF13C;CXCL2;TNF;ICAM1;IKBKB;PIDD1;BLNK;TRIM25;IKBKG;PIAS4;CSNK2A1;CHUK;DDX58;CSNK2A3;CSNK2A2;TRAF2;IRAK4;TRAF1;TICAM1;TIRAP;TNFRSF1A;ZAP70;TRAF3;LCK;IL1B;TRAF6;TRAF5;BTK;LTA;CARD14;CARD11;TNFRSF11A;PTGS2;RELA;RELB;IRAK1;CCL4;PLCG2;RIPK1;PLCG1;GADD45B;CFLAR;NFKB2;NFKBIA;BCL2;TAB3;ATM;TAB2;LTBR;TAB1;MAP3K14;LAT;MYD88;BCL2L1
Other types of O-glycan biosynthesis	17/22	9.930538099860628E-4	0.03398450816396748	0	0	1.8168993010281511	12.56336030217096	B4GALT2;POMT2;B4GALT3;ST6GAL1;B4GALT1;POMT1;GXYLT1;PLOD3;RFNG;LFNG;POFUT2;POFUT1;MFNG;EOGT;OGT;COLGALT1;ST3GAL3
Chronic myeloid leukemia	46/76	0.0011700596815510066	0.036037838191771004	0	0	1.423144034551462	9.607219176359589	CDKN1A;SHC2;SHC1;CTBP1;ARAF;PIK3CD;PIK3R2;PIK3R1;CBL;RELA;IKBKB;MYC;AKT2;AKT3;E2F1;ABL1;AKT1;E2F2;E2F3;POLK;IKBKG;BAK1;HRAS;MAPK3;STAT5A;STAT5B;SMAD4;MAP2K2;TGFB1;SMAD3;CHUK;GADD45B;TGFB3;PTPN11;BRAF;TGFBR2;DDB2;BCR;NFKBIA;PIK3CA;MDM2;BAX;RAF1;SOS1;TP53;BCL2L1
