Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Generic Transcription Pathway_Homo sapiens_R-HSA-212436	429/812	1.0594382426508711E-9	1.6209405112558329E-6	0	0	1.242241060786996	25.671566218306893	MDC1;ZNF175;MAML2;MAML1;EHMT2;EHMT1;NOC2L;GLS;AKT2;MYC;AKT3;ZSCAN32;AKT1;JUNB;ZNF169;RNF111;ZNF18;ZNF285;PRKAB2;ZNF19;CSNK2A1;ZNF282;ZNF705E;ZNF160;CSNK2A2;ZNF10;HUS1;ZNF12;ZNF14;MED6;SCO2;ZSCAN25;ZNF28;ZNF155;ZNF154;ZNF274;ZNF273;ZNF394;ZNF23;ZNF25;ZNF26;SFN;ATRIP;ZNF266;PLK3;CREBBP;ZNF263;JUN;ZNF141;ZNF140;PLK2;NR1D2;NR1D1;MOV10;AGO3;AGO4;AGO1;RAD17;CDK12;ZNF138;CDK13;ZNF136;ZNF256;ZNF135;ZNF496;ZNF254;ZNF133;ZNF253;BTG2;CDKN1A;RARG;ZNF493;ZNF250;ELL;SETD8;ZNF490;CHM;ZNF45;MED16;MED15;BBC3;MED12;ING5;MED14;CASP10;AIFM2;ZNF41;TNKS1BP1;NELFB;ZNF248;NELFCD;NELFA;TEAD2;ZIK1;ZNF484;BRD1;CNOT6L;FOS;MED26;DDB2;MED23;NCOR2;KAT2B;MED25;KAT2A;MED24;RARA;ZNF599;ZNF235;ZNF233;PPARD;ZNF596;ZNF595;ZNF473;ZNF471;ZNF350;CTDP1;NR1I3;WRN;PLAGL1;PMS2;RICTOR;ZNF468;ZNF589;ZNF225;ZNF224;ZNF587;ZNF343;MBD3;ZNF584;ZNF100;ZNF461;ZNF460;NR1H2;NR1H3;GTF2H2;ZNF79;HIPK1;GTF2H4;GATAD2B;LRPPRC;GATAD2A;ZNF33B;SKI;ZNF33A;ZNF70;CENPJ;ZNF74;ZNF337;ZNF215;ZNF699;ZNF214;ZNF577;ZNF213;ZNF697;ZNF334;ZNF696;ZNF212;ZNF333;ZNF211;ZNF331;ZNF692;ZNF571;ZNF691;CCNT2;CCNT1;RORC;RORA;STK11;SESN3;ZFP30;SESN1;ZNF569;ZNF205;ZNF688;ZNF446;ZNF445;ZNF324;ZNF202;ZNF443;ZNF442;MEN1;ZNF441;ZNF562;ZNF320;ZNF440;ZNF682;SUPT16H;USP7;ZNF680;USP2;ZFP69B;NRBP1;KAT6A;ZNF439;ZNF317;ZNF559;ZNF558;ZNF436;ZNF799;ZNF675;ZNF554;ZNF432;ZNF431;ZNF793;NOTCH2;ZNF671;ZNF550;BLM;NOTCH1;KRBA1;ZNF767P;ZKSCAN8;ZNF549;ZNF548;ZNF668;ZKSCAN5;ZNF546;ZNF304;ZKSCAN4;ZNF302;ZNF544;ZNF543;ZNF785;SKIL;ZNF300;ZNF662;FANCI;ESRRA;ZNF540;ZNF782;ZNF660;BRPF3;TNFRSF10B;TNFRSF10A;FANCC;TNFRSF10D;CNOT4;CDK9;CDK8;CNOT6;ZFP69;BCL6;ZNF419;CNOT1;ZNF418;ZNF417;CNOT3;CDK2;MDM2;ZNF778;MDM4;ZNF777;ZNF655;ZNF776;CNOT8;ZNF775;RAD9A;ZNF530;ZNF770;PPP1R13B;PPP1R13L;ZNF529;ZNF528;ZNF764;ZNF641;ZNF761;GPX2;APAF1;ZNF75D;RABGGTB;RABGGTA;ZNF75A;ZFP90;RRM2B;ZNF519;ZNF517;ZNF514;ZNF510;ZNF750;PRKAA1;SMARCD3;GLS2;RBBP4;POLR2A;ZNF749;POLR2B;ZNF506;TP53INP1;ZNF747;POLR2D;ZNF625;E2F1;ZNF746;ZNF624;E2F4;ZNF621;E2F5;ZNF500;RFFL;ZNF740;MTOR;PML;ZNF619;ZNF616;ZNF737;ZNF615;ZNF736;RQCD1;ZNF614;ZNF610;TNRC6A;CCNK;TP53AIP1;TRIM28;ZNF607;KAT5;PPP2R1B;ZNF606;PPP2R1A;ZNF726;ZNF605;CHEK2;ZNF600;ZNF720;ZFP1;RUNX2;ZNF718;ZNF839;ZNF717;RRAGB;ZNF711;ZNF710;DNA2;TP53;L3MBTL1;ZNF324B;HKR1;ZNF708;ZNF707;PCBP4;ZNF703;TP53BP2;ZNF700;BANP;ATM;TP73;ATR;RPTOR;NCOA2;PRMT5;NCOA6;TOP3A;RAD51D;SGK1;RXRB;ZNF585B;MIR26A2;MRE11A;FAS;ZNF354A;ZNF354C;ZFP28;CDK5R1;ZNF354B;STEAP3;NPPA;EP300;G6PD;TSC2;TSC1;CCNE2;CCNE1;FANCD2;NDRG1;UBC;SMAD4;SMAD3;SMURF2;SUPT5H;ESR2;SMAD7;NR4A2;NR4A1;TP53I3;NR4A3;CNOT11;JMY;COX20;PRR5;THRA;CHD4;CHD3;PIDD1;MLST8;CASP2;TOPBP1;ZNF385A;TGIF1;TGIF2;TBP;YWHAZ;CCNA2;RBL2;ZNF197;ZNF195;TAF1L;NR2C2;NR2C1;AURKB;MTA2;ZNF286A;ZNF189;ZNF184;TAF13;TAF11;ZNF180;SSRP1;MAPK14;MAPK11;ERCC3;CARM1;ERCC2;BAX;TAF6;TAF5;TAF4;TAF2;TAF1
Rho GTPase cycle_Homo sapiens_R-HSA-194840	73/122	8.473706718958835E-5	0.06482385640003509	0	0	1.4069143092821652	13.191168661471735	ARHGAP9;ARHGAP11B;TRIO;FAM13B;GDI1;RASGRF2;ARHGAP1;ARHGAP39;ARHGAP5;ARHGAP35;ARHGAP4;ARHGAP44;SYDE1;AKAP13;ARHGDIA;MCF2L;TAGAP;RAC3;ARHGEF11;PLEKHG2;STARD8;ARHGEF17;PLEKHG5;ARAP2;HMHA1;ARHGEF18;ARAP3;OCRL;RHOF;ARAP1;GMIP;VAV1;VAV2;RHOB;BCR;TIAM1;DEPDC7;ARHGEF9;OBSCN;ARHGEF3;ARHGEF4;ARHGEF2;ARHGEF7;SOS1;RHOQ;ARHGEF6;ARHGAP19;ARHGAP17;PIK3R2;FGD1;ARHGAP12;RHOBTB2;FGD2;ARHGAP22;INPP5B;FGD3;ABR;RHOT2;RHOT1;RACGAP1;SRGAP3;SRGAP2;ECT2;MCF2;MYO9B;ARHGAP25;ARHGAP24;ARHGAP23;ARHGAP33;ARHGAP32;ARHGAP31;ARHGAP30;TRIP10
PI Metabolism_Homo sapiens_R-HSA-1483255	40/60	1.3660572681475593E-4	0.06966892067552553	0	0	1.5675209655929148	13.948446880998583	PI4K2B;MTMR1;VAC14;MTMR3;MTMR14;PITPNB;INPPL1;PIK3R4;PIK3CD;PIK3R2;GDPD3;PIK3R1;PIK3C2A;MTMR4;GDPD5;MTMR6;PIK3R6;PIK3C2B;PIK3R5;MTMR7;MTM1;INPP5F;INPP5D;INPP5E;PIP5K1A;INPP5K;PIP4K2B;PIP5K1B;PIP4K2C;PIP5K1C;PNPLA7;SACM1L;OCRL;INPP4B;PIKFYVE;PIK3CA;SYNJ1;PI4KA;PI4KB;PNPLA6
Death Receptor Signalling_Homo sapiens_R-HSA-73887	33/48	2.1562758497240068E-4	0.08247755125194325	0	0	1.6165059957676933	13.64647537057662	RNF31;OTUD7B;TNFAIP3;TNF;SMPD3;IKBKB;SMPD2;CASP8;SHARPIN;CASP10;UBC;RIPK1;IKBKG;CHUK;USP21;USP4;USP2;TNFRSF10B;TNFRSF10A;TRAF2;CFLAR;TRAF1;TNFRSF1A;CLIP3;CYLD;ADAM17;MADD;OTULIN;FAS;TAB3;TAB2;RBCK1;TAB1
NOD1/2 Signaling Pathway_Homo sapiens_R-HSA-168638	23/31	3.506866665184897E-4	0.10731011995465785	0	0	1.7444991391275988	13.87856774244759	CHUK;CARD9;TNFAIP3;NOD1;NOD2;MAPK14;MAPK12;MAPK13;IKBKB;CASP9;MAPK11;CYLD;ITCH;CASP8;IRAK1;IRAK2;TRAF6;CASP2;TAB3;TAB2;IKBKG;UBE2V1;TAB1
TNFR1-induced NFkappaB signaling pathway_Homo sapiens_R-HSA-5357956	20/26	3.862770482400466E-4	0.09850064730121189	0	0	1.8086780372225941	14.214320578050256	RNF31;CHUK;USP21;USP4;USP2;OTUD7B;TNFAIP3;TRAF2;TRAF1;TNF;TNFRSF1A;IKBKB;CYLD;SHARPIN;TAB3;RIPK1;TAB2;IKBKG;RBCK1;TAB1
Phospholipid metabolism_Homo sapiens_R-HSA-1483257	90/161	4.143478875917864E-4	0.09056460971649045	0	0	1.3143809338822576	10.237456301838462	SLC44A5;PI4K2B;ACHE;SLC44A2;CPNE7;PITPNB;MTMR14;INPPL1;LPCAT1;PIK3CD;TAZ;PIK3C2A;LCLAT1;PLB1;PIK3C2B;CPNE1;PIP4K2B;PIP4K2C;PCYT2;PCYT1A;DGAT1;SACM1L;PLA2G4B;PLA2G4C;OCRL;GPCPD1;PISD;INPP4B;PHOSPHO1;PIK3CA;GPD1;PLA2G10;MTMR1;VAC14;MTMR3;ABHD4;ABHD3;PIK3R4;PLD4;PIK3R2;GDPD3;PIK3R1;PLD6;MTMR4;PLA2G6;PLD1;AGPAT1;GDPD5;MTMR6;PLD3;PIK3R6;AGPAT3;MTMR7;PIK3R5;PLD2;MTM1;AGPAT4;PTDSS2;INPP5F;INPP5D;INPP5E;PIP5K1A;INPP5K;PIP5K1B;PIP5K1C;GPAT2;CEPT1;CHKA;PNPLA7;MBOAT7;EPT1;DDHD2;MBOAT1;DDHD1;PIKFYVE;SYNJ1;GPAM;ETNK2;LPCAT4;LPCAT3;PI4KA;SARDH;CHPT1;PI4KB;GPD1L;PNPLA6;LPIN1;LPIN2;LPIN3;PNPLA2
Pre-NOTCH Processing in Golgi_Homo sapiens_R-HSA-1912420	15/18	4.779457849753474E-4	0.09140713137653518	0	0	1.9594012069911435	14.981607595538604	NOTCH2;B4GALT1;NOTCH1;SEL1L;ATP2A3;ATP2A2;FURIN;ATP2A1;RFNG;LFNG;MFNG;ST3GAL4;ST3GAL6;RAB6A;ST3GAL3
Chromatin organization_Homo sapiens_R-HSA-4839726	121/226	5.212551458171617E-4	0.0886133747889175	0	0	1.2588719259075842	9.516153932489845	SMARCB1;PRDM9;HDAC10;KDM1A;TRRAP;KDM1B;EHMT2;EHMT1;JADE3;JADE2;KAT5;SAP130;KAT8;EP300;KAT7;SUPT20H;ARID2;ATXN7L3;SMARCC2;KDM2A;KDM2B;SUPT7L;WDR77;HCFC1;KAT6B;KAT6A;PADI4;KMT2D;PADI6;KMT2C;KMT2B;TAF5L;PHF21A;EP400;SUDS3;DMAP1;CREBBP;SETDB1;BRPF3;SETD1B;SETD1A;SETDB2;SMARCA2;SMARCA4;ZZZ3;TADA2A;YEATS2;TADA3;TADA1;OGT;RCOR1;EZH2;SUV39H2;PHF2;KDM5B;SETD2;KDM5C;SETD3;KDM5D;SETD8;SUV39H1;SETD7;CHD4;IKBKAP;CHD3;PHF8;ING5;WDR5;HMG20B;WHSC1;UTY;JAK2;KDM6A;KDM6B;NCOA2;PRMT5;BRD1;PBRM1;PRMT7;ACTL6A;DNMT3A;MSL2;MSL3;ARID1A;HIST2H2BF;MSL1;NCOR2;TAF6L;KAT2B;KAT2A;AEBP2;KDM7A;SMARCD1;KDM3A;SMARCD2;SMARCD3;KDM3B;DOT1L;HDAC8;MTA1;RBBP4;RBBP5;NSD1;BRD8;MTA2;MTA3;MBD3;ATF7IP;KDM4A;KDM4B;KDM4C;MCRS1;USP22;ELP2;ELP5;GATAD2B;GATAD2A;KANSL1;KANSL2;CARM1;KANSL3
Chromatin modifying enzymes_Homo sapiens_R-HSA-3247509	121/226	5.212551458171617E-4	0.07975203731002575	0	0	1.2588719259075842	9.516153932489845	SMARCB1;PRDM9;HDAC10;KDM1A;TRRAP;KDM1B;EHMT2;EHMT1;JADE3;JADE2;KAT5;SAP130;KAT8;EP300;KAT7;SUPT20H;ARID2;ATXN7L3;SMARCC2;KDM2A;KDM2B;SUPT7L;WDR77;HCFC1;KAT6B;KAT6A;PADI4;KMT2D;PADI6;KMT2C;KMT2B;TAF5L;PHF21A;EP400;SUDS3;DMAP1;CREBBP;SETDB1;BRPF3;SETD1B;SETD1A;SETDB2;SMARCA2;SMARCA4;ZZZ3;TADA2A;YEATS2;TADA3;TADA1;OGT;RCOR1;EZH2;SUV39H2;PHF2;KDM5B;SETD2;KDM5C;SETD3;KDM5D;SETD8;SUV39H1;SETD7;CHD4;IKBKAP;CHD3;PHF8;ING5;WDR5;HMG20B;WHSC1;UTY;JAK2;KDM6A;KDM6B;NCOA2;PRMT5;BRD1;PBRM1;PRMT7;ACTL6A;DNMT3A;MSL2;MSL3;ARID1A;HIST2H2BF;MSL1;NCOR2;TAF6L;KAT2B;KAT2A;AEBP2;KDM7A;SMARCD1;KDM3A;SMARCD2;SMARCD3;KDM3B;DOT1L;HDAC8;MTA1;RBBP4;RBBP5;NSD1;BRD8;MTA2;MTA3;MBD3;ATF7IP;KDM4A;KDM4B;KDM4C;MCRS1;USP22;ELP2;ELP5;GATAD2B;GATAD2A;KANSL1;KANSL2;CARM1;KANSL3
