Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Prolactin Signaling Pathway WP2037	51/76	1.2947780527277627E-5	0.00611135240887504	0	0	1.5778336035244471	17.757864256514846	ITGB1;GSK3B;IRS2;ELK1;MYC;CASP3;RPS6KA2;AKT1;SIRPA;NEK3;JAK2;HRAS;PIAS3;MAP2K2;CISH;FOS;PRLR;YWHAZ;VAV1;VAV2;ZAP70;PIK3CA;RAF1;SOS1;SHC1;SRC;PXN;AGAP2;PIK3R2;PIK3R1;CBL;RELA;SOCS2;SOCS3;MAPK9;PAK1;MAPK8;ERBB2;FLNA;MAPK3;STAT5A;STAT5B;JUN;PTPN11;MAPK14;MTOR;PTK2;NFKBIA;TEC;RPS6KB1;PTPN6
IL-1 signaling pathway WP195	38/55	6.131700062556925E-5	0.014470812147634344	0	0	1.6245217279781117	15.756972828083008	PELI2;PIK3R2;IL1RAP;PIK3R1;PRKCZ;RELA;IKBKB;MAPK9;MAPK8;IRAK1;IRAK2;AKT1;IKBKG;PLCG1;MAP2K7;MAPK3;MAP2K3;MAP3K2;MAP3K3;JUN;MAP2K2;CHUK;IRAK3;PTPN11;IRAK4;MAPK14;NFKBIA;IL1A;IL1B;TRAF6;PELI1;TAB3;TAB2;UBE2V1;TAB1;SQSTM1;MAP3K14;MYD88
Insulin Signaling WP481	92/160	9.2279027977601E-5	0.014518567068475893	0	0	1.3519868328238889	12.560895493574423	GSK3B;GSK3A;INPPL1;SLC2A1;PIK3CD;CBLB;IRS2;PIK3C2A;ELK1;IGF1R;RPS6KA4;IKBKB;LIPE;RPS6KA3;GYS1;AKT2;RPS6KA2;GRB10;FLOT1;AKT1;FLOT2;MAP3K8;MAP3K9;MAP3K6;HRAS;MAP3K4;MAP2K3;MAP4K1;MAP4K2;PRKCH;MAP2K2;PRKCD;MINK1;GAB1;TSC2;TSC1;PRKCA;FOS;PIK3CA;TBC1D4;RAPGEF1;SGK3;RAF1;SGK1;SOS1;SGK2;VAMP2;RHOQ;SHC2;PRKAA1;SHC1;RRAD;STXBP1;STXBP2;PIK3R4;PIK3R2;PIK3R1;CBL;PRKCZ;CYTH3;SOCS3;MAPK9;MAPK8;MAPK7;STX4;MAP2K7;MAPK6;MAP4K5;SH2B2;MAP4K3;MAPK3;MAP4K4;MAP3K2;MAP3K3;JUN;PTPN11;MAPK14;MAPK12;MTOR;MAPK13;ARHGAP33;EHD1;MAPK11;PFKL;MYO1C;RPS6KB1;RPS6KB2;MAP3K10;MAP3K14;PFKM;MAP3K11;MAP3K12
T-Cell antigen Receptor (TCR)  Signaling Pathway WP69	55/90	2.865475241009125E-4	0.033812607843907674	0	0	1.436894218460172	11.721617124010928	ITK;CD83;CBLB;CD3E;IKBKB;PSTPIP1;AKT1;MAP3K8;IKBKG;HRAS;MAP4K1;MAP2K2;DBNL;CHUK;PRKCD;FOS;VAV1;IL1A;ZAP70;CREB1;IRF4;LCK;IL1B;TRAF6;LCP2;RAF1;SOS1;CARD11;SHC1;ITPR1;PIK3R2;PIK3R1;CBL;RELA;MAPK9;PAK1;MAPK8;PTK2B;PLCG1;ICOS;SH2B3;MAPK3;JUN;TGFB1;PTPN11;NFATC1;MAPK14;NFKBIA;IL6;CD4;CD28;FAS;CD247;MAP3K14;LAT
IL-4 Signaling Pathway WP395	36/54	2.9255856408645593E-4	0.027617528449761442	0	0	1.5675209655929148	12.754676216372031	SHC1;PIK3CD;IRS2;PIK3R2;PIK3R1;IL2RG;CBL;ELK1;RELA;IKBKB;SOCS3;INPP5D;AKT1;EP300;FLNA;STAT6;JAK2;JAK3;SOCS5;MAPK3;STAT5A;STAT5B;IL4R;CHUK;PTPN11;TYK2;FOS;MAPK14;NFKBIA;MAPK11;DOK2;PIK3CA;RPS6KB1;FES;PTPN6;SOS1
Resistin as a regulator of inflammation WP4481	24/33	4.294721249961652E-4	0.03378514049969833	0	0	1.7100228715559072	13.257728182806211	CHUK;ITPR1;PIK3CD;RETN;MAPK14;TNF;RELA;IKBKB;NFKBIA;IL6;PLCB3;PIK3CA;AKT2;AKT3;PLCG2;AKT1;IL12A;PLCG1;IKBKG;PLCD3;PLCD4;PLCB2;PLCD1;MAPK3
RANKL/RANK (Receptor activator of NFKB (ligand)) Signaling Pathway WP2018	35/55	0.0012797862167367544	0.08629415632853543	0	0	1.4962700126114186	9.96674767163687	SRC;PIK3R2;TNFRSF11A;PIK3R1;CBL;RELA;ICAM1;RELB;IKBKB;MAPK9;MAPK8;CTSK;AKT2;AKT1;IKBKG;PLCG1;MAP2K7;MAPK3;JUN;CHUK;TRAF2;NFATC1;TRAF1;FOS;MAPK14;MTOR;PTK2;NFKB2;NFKBIA;TRAF3;TRAF6;TRAF5;TAB2;TAB1;SQSTM1
TNF related weak inducer of apoptosis (TWEAK) Signaling Pathway WP2036	28/42	0.0013637813514243413	0.08046309973403613	0	0	1.5675209655929148	10.34171021545965	GSK3B;TNF;RELA;RELB;IKBKB;MAPK9;MAPK8;CASP8;AKT2;CASP3;AKT1;RIPK1;MAPK3;JUN;CHUK;TNFSF12;TRAF2;TRAF1;MAPK14;MMP9;NFKB2;NFKBIA;IL6;TRAF3;TRAF5;CTNNB1;RAF1;MAP3K14
B Cell Receptor Signaling Pathway WP23	56/97	0.0017867658758429536	0.0937059437108749	0	0	1.3574408361835548	8.589000650329664	GSK3B;GSK3A;ETS1;ELK1;IKBKB;MYC;BLNK;AKT1;IKBKG;HRAS;GTF2I;MAP4K1;CR2;MAP2K2;CHUK;PRKCD;GAB1;VAV1;VAV2;CREB1;IRF4;LCK;BTK;RAPGEF1;RAF1;SOS1;CARD11;BLK;SHC1;PIK3R2;PIK3R1;CBL;RELA;RASGRP3;CD79A;MAPK9;MAPK8;INPP5D;CD19;SH3BP2;PLCG2;PIP5K1A;PIP5K1B;E2F3;PLCG1;PIP5K1C;MEF2D;JUN;BRAF;PTPN11;MAPK14;NFKBIA;TEC;BCL6;PTPN6;CD22
TLR4 Signaling and Tolerance WP3851	20/28	0.0018780634094457318	0.08864459292583854	0	0	1.6794867488495515	10.543001804470741	CHUK;IRAK3;IRAK4;TICAM1;TNF;TIRAP;IKBKB;NFKBIA;IL6;IRAK1;IRF3;TRAF3;INPP5D;TRAF6;RIPK1;TAB2;IKBKG;TAB1;IKBKE;MYD88
