Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
PKMTs methylate histone lysines Homo sapiens R-HSA-3214841	5/40	0.0030603438504433	1.0	0	0	5.0	28.946139999524515	KMT2D;NSD1;DOT1L;KMT2B;SETD1A
PI Metabolism Homo sapiens R-HSA-1483255	6/60	0.0037874854136527355	1.0	0	0	4.0	22.304211837339444	VAC14;PNPLA7;INPPL1;PI4KA;PIP5K1C;MTMR7
Effects of PIP2 hydrolysis Homo sapiens R-HSA-114508	4/27	0.004291120421567734	1.0	0	0	5.925925925925926	32.30345131622333	DGKD;DGKQ;ITPR3;DGKZ
DAG and IP3 signaling Homo sapiens R-HSA-1489509	4/32	0.007971195406910945	1.0	0	0	5.0	24.159604045535342	PRKAR2A;ADRBK1;ITPR3;PLCG1
EGFR interacts with phospholipase C-gamma Homo sapiens R-HSA-212718	4/34	0.009885910454645437	1.0	0	0	4.705882352941176	21.72538692674213	PRKAR2A;ADRBK1;ITPR3;PLCG1
PLC-gamma1 signalling Homo sapiens R-HSA-167021	4/34	0.009885910454645437	1.0	0	0	4.705882352941176	21.72538692674213	PRKAR2A;ADRBK1;ITPR3;PLCG1
Rho GTPase cycle Homo sapiens R-HSA-194840	8/122	0.011631624992040353	1.0	0	0	2.622950819672131	11.682695339139553	INPP5B;ABR;OBSCN;PLEKHG2;GDI1;MYO9B;GMIP;ARHGAP4
Chromatin organization Homo sapiens R-HSA-4839726	12/226	0.011732809110802421	1.0	0	0	2.1238938053097343	9.4414856582674	NCOA2;KMT2D;BRD1;KAT2A;KDM5C;NSD1;SETD1A;DOT1L;KMT2B;IKBKAP;OGT;PHF8
Chromatin modifying enzymes Homo sapiens R-HSA-3247509	12/226	0.011732809110802421	1.0	0	0	2.1238938053097343	9.4414856582674	NCOA2;KMT2D;BRD1;KAT2A;KDM5C;NSD1;SETD1A;DOT1L;KMT2B;IKBKAP;OGT;PHF8
Stimuli-sensing channels Homo sapiens R-HSA-2672351	7/100	0.01274892534514542	1.0	0	0	2.8000000000000003	12.214463233238794	CLCN7;SCNN1D;ANO8;ANO9;SGK3;TRPC4AP;TPCN1
Transport of Mature mRNA Derived from an Intronless Transcript Homo sapiens R-HSA-159231	4/37	0.013278626831915668	1.0	0	0	4.324324324324325	18.687998017259645	NXF1;POM121;NUP188;CPSF1
Transcriptional regulation of white adipocyte differentiation Homo sapiens R-HSA-381340	6/79	0.014173928558836691	1.0	0	0	3.0379746835443036	12.930686639706304	MED12;NCOA2;SREBF1;MED8;MED15;MED7
Transport of Mature mRNAs Derived from Intronless Transcripts Homo sapiens R-HSA-159234	4/38	0.014554726485956956	1.0	0	0	4.2105263157894735	17.80985049987152	NXF1;POM121;NUP188;CPSF1
VxPx cargo-targeting to cilium Homo sapiens R-HSA-5620916	3/21	0.014777987746011578	1.0	0	0	5.7142857142857135	24.083522970404665	GBF1;EXOC3;PKD1
Activation of gene expression by SREBF (SREBP) Homo sapiens R-HSA-2426168	4/42	0.020420811588340845	1.0	0	0	3.8095238095238093	14.82362179908072	NCOA2;SREBF1;FASN;LSS
Circadian Clock Homo sapiens R-HSA-400253	5/63	0.02052270675923605	1.0	0	0	3.1746031746031744	12.337217012805942	NCOA2;SREBF1;RAI1;PER1;CRTC1
Synthesis of IP3 and IP4 in the cytosol Homo sapiens R-HSA-1855204	3/25	0.02374801151107834	1.0	0	0	4.8	17.95323109370892	INPP5B;INPPL1;PLCG1
Phospholipase C-mediated cascade; FGFR3 Homo sapiens R-HSA-5654227	4/44	0.02382609847412197	1.0	0	0	3.6363636363636362	13.58899536203803	PRKAR2A;ADRBK1;ITPR3;PLCG1
Inositol phosphate metabolism Homo sapiens R-HSA-1483249	4/44	0.02382609847412197	1.0	0	0	3.6363636363636362	13.58899536203803	INPP5B;ISYNA1;INPPL1;PLCG1
Reactions specific to the complex N-glycan synthesis pathway Homo sapiens R-HSA-975578	2/10	0.02457569018526242	1.0	0	0	8.0	29.64798022792225	MAN2A2;MGAT2
Synthesis of PIPs at the late endosome membrane Homo sapiens R-HSA-1660517	2/10	0.02457569018526242	1.0	0	0	8.0	29.64798022792225	VAC14;MTMR7
NRAGE signals death through JNK Homo sapiens R-HSA-193648	4/45	0.02564991223851159	1.0	0	0	3.5555555555555554	13.024764902655056	ABR;PLEKHG2;OBSCN;ARHGAP4
TAK1 activates NFkB by phosphorylation and activation of IKKs complex Homo sapiens R-HSA-445989	3/26	0.026359322007969647	1.0	0	0	4.615384615384615	16.781230569993895	NOD1;TAB1;NFKB2
Regulation of lipid metabolism by Peroxisome proliferator-activated receptor alpha (PPARalpha) Homo sapiens R-HSA-400206	7/116	0.02655573707700826	1.0	0	0	2.413793103448276	8.75847113176563	MED12;SREBF1;NCOA2;SIN3B;MED8;MED15;MED7
Phospholipase C-mediated cascade; FGFR4 Homo sapiens R-HSA-5654228	4/46	0.02755542815386633	1.0	0	0	3.4782608695652173	12.492367769086824	PRKAR2A;ADRBK1;ITPR3;PLCG1
