"","TB_status_limma_logFC","TB_status_limma_AveExpr","TB_status_limma_t","TB_status_limma_P.Value","TB_status_limma_padj","TB_status_limma_B"
"LINC01000",-17.9549490149179,84.3275704058774,-10.0788892198282,2.74043074346415e-11,6.95192471001986e-07,13.7102509705556
"TAF1C",-17.3341916154967,80.2255129766051,-9.54441569116743,9.92390748301755e-11,1.25874842514595e-06,12.7341689872344
"SAP25",-17.3085111485173,75.9314853278905,-9.20134160206743,2.31197197757462e-10,1.53379895368337e-06,12.0821035948413
"HIP1R",-20.821979833914,74.9049462123192,-9.10188921008702,2.96287896476794e-10,1.53379895368337e-06,11.8893133382505
"SLC17A9",-16.9581297754877,66.2842772476388,-9.09384520567249,3.02309790618767e-10,1.53379895368337e-06,11.8736457095688
"NPIPB5",-19.1607406294256,70.9547895357638,-8.8095208602669,6.18991925638347e-10,2.61709786159893e-06,11.3127163861282
"MICAL1",-12.1701067687658,89.1204184056539,-8.69294326528276,8.32957578030314e-10,2.66814903746388e-06,11.0787112599357
"TNK2",-15.9189672322274,86.497447385978,-8.68898543955342,8.41421960726545e-10,2.66814903746388e-06,11.0707257919054
"CELF6",-15.1274955724571,56.4782372849764,-8.40545779807448,1.74527589999159e-09,4.13490867408488e-06,10.4916841893132
"ATXN2L",-13.9478736631516,85.9897461090591,-8.39105355746804,1.81167981194707e-09,4.13490867408488e-06,10.4618998097926
"KIAA0556",-12.4950810118342,65.4178811423097,-8.36635865691259,1.93157539554709e-09,4.13490867408488e-06,10.4107545936001
"NEIL1",-16.168609670298,70.3858484911569,-8.36152681313862,1.95596436806285e-09,4.13490867408488e-06,10.4007352816798
"MED7",10.9308104957932,55.855594911228,8.28782437150502,2.36941976114564e-09,4.4293744991229e-06,10.2474132775316
"MAPK8IP3",-20.1182881480589,84.9509624847019,-8.25785691790931,2.56206506631471e-09,4.4293744991229e-06,10.1848084320734
