Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Histone Modifications WP2369	7/67	0.00139423121795429	0.6580771348744249	0	0	4.17910447761194	27.47933420717574	KMT2D;SMYD5;NSD1;DOT1L;KMT2B;SETD1A;EZH1
RANKL/RANK (Receptor activator of NFKB (ligand)) Signaling Pathway WP2018	6/55	0.0024347423340301366	0.5745991908311122	0	0	4.363636363636363	26.25998987211677	JUN;MITF;TRAF1;PLCG1;TAB1;NFKB2
Ectoderm Differentiation WP2858	10/138	0.0024910079436644664	0.39191858313654276	0	0	2.898550724637681	17.377008271771555	PAN2;ABCC4;SGSM3;CCDC88C;RHPN1;PI4KA;OGT;HDAC6;PHF8;PPARD
MFAP5-mediated ovarian cancer cell motility and invasiveness WP3301	3/13	0.003684485563252584	0.4347692964638049	0	0	9.23076923076923	51.72576337848703	JUN;ITPR3;PLCG1
GPR40 Pathway WP3958	3/15	0.005648024777015824	0.5331735389502937	0	0	8.0	41.41159513548328	ITPR3;PLCG1;PKD1
SREBF and miR33 in cholesterol and lipid homeostasis WP2011	3/16	0.006823799195615574	0.5368055367217585	0	0	7.5	37.40504171568808	SREBF1;FASN;MED15
Liver X Receptor Pathway WP2874	2/10	0.02457569018526242	1.0	0	0	8.0	29.64798022792225	SREBF1;FASN
T-Cell antigen Receptor (TCR)  Signaling Pathway WP69	6/90	0.025316242186923396	1.0	0	0	2.6666666666666665	9.803490948157773	MAP4K1;ZAP70;JUN;PTK2B;PLCG1;CCR5
Sterol Regulatory Element-Binding Proteins (SREBP) signalling WP1982	5/69	0.029098928808491353	1.0	0	0	2.898550724637681	10.252330191846333	SREBF1;FASN;MED15;LSS;SEC31B
Circadian rhythm related genes WP3594	10/201	0.030184738972977503	1.0	0	0	1.9900497512437811	6.966007590736679	NCOA2;SREBF1;PER1;SLC9A3;RAI1;JUN;ADORA2A;CRTC1;METTL3;OGT
Estrogen Receptor Pathway WP2881	2/13	0.040550197611673826	1.0	0	0	6.153846153846154	19.724397693220933	JUN;CYP1B1
EGF/EGFR Signaling Pathway WP437	8/162	0.05113853365647269	1.0	0	0	1.9753086419753085	5.873021200303235	MAP4K1;JUN;HGS;TNK2;INPPL1;PTK2B;ARHGEF1;PLCG1
Signaling of Hepatocyte Growth Factor Receptor WP313	3/34	0.0524623778440582	1.0	0	0	3.5294117647058822	10.403502278005256	MAP4K1;JUN;PTK2B
Inhibition of exosome biogenesis and secretion by Manumycin A in CRPC cells WP4301	2/18	0.07332402120449992	1.0	0	0	4.444444444444444	11.612742279715478	HGS;ARAF
TNF alpha Signaling Pathway WP231	5/92	0.08076492540372697	1.0	0	0	2.1739130434782608	5.470027172256797	JUN;RFK;TRAF1;TAB1;NFKB2
TNF related weak inducer of apoptosis (TWEAK) Signaling Pathway WP2036	3/42	0.08718222910547488	1.0	0	0	2.8571428571428568	6.970727895708977	JUN;TRAF1;NFKB2
B Cell Receptor Signaling Pathway WP23	5/97	0.09598139817691856	1.0	0	0	2.0618556701030926	4.832166753155399	MAP4K1;JUN;PLCG1;PIP5K1C;CD22
Sudden Infant Death Syndrome (SIDS) Susceptibility Pathways WP706	7/158	0.10205295161578054	1.0	0	0	1.7721518987341771	4.044517536301507	NEUROD1;SLC9A3;JUN;PRKAR2A;PBX1;CC2D1A;NFKB2
Neural Crest Differentiation WP2064	5/101	0.10912554395411007	1.0	0	0	1.9801980198019802	4.386646099300001	HOXA1;MITF;HDAC6;NFKB2;HDAC7
EBV LMP1 signaling WP262	2/23	0.11187435504137663	1.0	0	0	3.4782608695652173	7.618709103989623	TRAF1;NFKB2
Toll-like Receptor Signaling Pathway WP75	5/103	0.11600951646589339	1.0	0	0	1.9417475728155338	4.182685539304204	JUN;IRF3;LY96;TAB1;NFKB2
Exercise-induced Circadian Regulation WP410	3/48	0.11807273003133849	1.0	0	0	2.5	5.341136220470389	PER1;GFRA1;ERC2
Sulindac Metabolic Pathway WP2542	1/5	0.11891526936765551	1.0	0	0	8.0	17.03475249279432	CYP1B1
Photodynamic therapy-induced NFE2L2 (NRF2) survival signaling WP3612	2/24	0.12010982001247623	1.0	0	0	3.333333333333333	7.064495959797489	ABCC4;JUN
SCFA and skeletal muscle substrate metabolism WP4030	1/6	0.14094786294456849	1.0	0	0	6.666666666666666	13.062434822233206	PPARD
exRNA mechanism of action and biogenesis WP2805	1/6	0.14094786294456849	1.0	0	0	6.666666666666666	13.062434822233206	DGCR8
miRNA Biogenesis WP2338	1/6	0.14094786294456849	1.0	0	0	6.666666666666666	13.062434822233206	DGCR8
Apoptosis-related network due to altered Notch3 in ovarian cancer WP2864	3/53	0.14644202157094957	1.0	0	0	2.2641509433962264	4.349718534458366	ERN1;PTK2B;TRAF1
TLR4 Signaling and Tolerance WP3851	2/28	0.15436955442437558	1.0	0	0	2.8571428571428568	5.338302420588211	IRF3;TAB1
IL-1 signaling pathway WP195	3/55	0.15835797713897543	1.0	0	0	2.1818181818181817	4.020866466848246	JUN;PLCG1;TAB1
DDX1 as a regulatory component of the Drosha microprocessor WP2942	1/7	0.16243058031155067	1.0	0	0	5.7142857142857135	10.385740380401181	DGCR8
Lipid Metabolism Pathway WP3965	2/29	0.16320629383915272	1.0	0	0	2.758620689655172	5.000662819323756	PRKAR2A;FASN
MAPK Cascade WP422	2/29	0.16320629383915272	1.0	0	0	2.758620689655172	5.000662819323756	JUN;ARAF
PDGFR-beta pathway WP3972	2/29	0.16320629383915272	1.0	0	0	2.758620689655172	5.000662819323756	JUN;PLCG1
Selective expression of chemokine receptors during T-cell polarization WP4494	2/29	0.16320629383915272	1.0	0	0	2.758620689655172	5.000662819323756	CCR1;CCR5
