Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Amino sugar and nucleotide sugar metabolism	8/48	2.3251910987207885E-5	0.007161588584060029	0	0	6.640106241699867	70.84411179488964	CYB5R1;UGDH;CYB5R4;NAGK;FPGT;HEXA;PGM2;GALK1
SNARE interactions in vesicular transport	5/34	0.0014890609251297267	0.2293153824699779	0	0	5.858917272088118	38.139264174522964	SNAP23;STX7;STX6;STX1A;BET1
Propanoate metabolism	4/32	0.008081841902926212	0.8297357687004245	0	0	4.9800796812749	23.994698576417967	ECHS1;ECHDC1;SUCLG1;ACAT1
DNA replication	4/36	0.01223996416617629	0.9424772407955744	0	0	4.426737494466578	19.491141786198398	POLA2;RNASEH2A;PCNA;RPA3
Riboflavin metabolism	2/8	0.015925324055525752	0.9809999618203863	0	0	9.9601593625498	41.23351323581001	FLAD1;RFK
Lysine degradation	5/59	0.016090665535268993	0.8259874974771416	0	0	3.376325207644	13.942588816082965	SETD3;ECHS1;DOT1L;HADH;ACAT1
Fatty acid degradation	4/44	0.02413465585950812	1.0	0	0	3.621876131836291	13.488252332313431	ECHS1;ECI1;HADH;ACAT1
Apoptosis	8/143	0.028036124357610975	1.0	0	0	2.2288468503607946	7.9664813634159595	ERN1;NGFR;TUBA1B;TNFSF10;FADD;TRAF1;EIF2S1;CTSC
Collecting duct acid secretion	3/27	0.029417015980636684	1.0	0	0	4.426737494466578	15.609482059369098	ATP6V1E1;ATP6V1D;ATP6V1C1
Ubiquinone and other terpenoid-quinone biosynthesis	2/11	0.029765909159487694	0.916790002112221	0	0	7.243752263672582	25.457381588273158	COQ2;COQ5
Thermogenesis	11/231	0.03208900682184568	0.898492191011679	0	0	1.8971732119142477	6.524837363138715	COA3;CREB3;COX7B;NDUFB6;ACTL6A;PRKAG1;NDUFAF3;NDUFC2;SDHD;SLC25A20;COA6
Butanoate metabolism	3/28	0.03234963274149071	0.8303072403649283	0	0	4.2686397268070575	14.646354343020972	ECHS1;HADH;ACAT1
Phagosome	8/152	0.038207129508367584	0.9052150683520934	0	0	2.0968756552736423	6.845739451539741	TUBA1B;FCGR3B;CD209;STX7;ATP6V1E1;ATP6V1D;ATP6V1C1;HLA-DPA1
Circadian rhythm	3/31	0.042022440561629244	0.9244936923558434	0	0	3.8555455596966968	12.220350228631123	PER1;PRKAG1;NR1D1
Base excision repair	3/33	0.04918512526743704	1.0	0	0	3.621876131836291	10.909685016870908	PCNA;MPG;NTHL1
Oxidative phosphorylation	7/133	0.05064083959150571	0.9748361621364849	0	0	2.0968756552736423	6.2549736248114165	COX7B;NDUFB6;NDUFC2;SDHD;ATP6V1E1;ATP6V1D;ATP6V1C1
Pyrimidine metabolism	4/57	0.054652697605553927	0.9901782860300358	0	0	2.7958342070315227	8.126809824800537	UCK2;PNP;NME6;DCK
Selenocompound metabolism	2/17	0.06670731126541286	1.0	0	0	4.687133817670494	12.690136948177397	TXNRD3;TXNRD1
Other glycan degradation	2/18	0.07383485953290411	1.0	0	0	4.426737494466578	11.535742839770466	FUCA1;HEXA
Pyruvate metabolism	3/39	0.07391962462766026	1.0	0	0	3.0646644192460926	7.9827671766797845	ACYP2;ME2;ACAT1
Rheumatoid arthritis	5/91	0.07892026670400036	1.0	0	0	2.189046013747209	5.55868223460275	TGFB3;ATP6V1E1;ATP6V1D;ATP6V1C1;HLA-DPA1
Pantothenate and CoA biosynthesis	2/19	0.0811928360183098	1.0	0	0	4.193751310547285	10.53020868979734	PANK2;AASDHPPT
Steroid biosynthesis	2/19	0.0811928360183098	1.0	0	0	4.193751310547285	10.53020868979734	CYP27B1;NSDHL
Non-alcoholic fatty liver disease (NAFLD)	7/149	0.08200729828782993	1.0	0	0	1.871707799673788	4.681042066680495	ERN1;COX7B;NDUFB6;PRKAG1;NDUFC2;SDHD;EIF2S1
Tuberculosis	8/179	0.08246274353703474	1.0	0	0	1.7805871486122549	4.443292628157385	TLR1;CYP27B1;FCGR3B;TGFB3;CD209;FADD;CAMP;HLA-DPA1
Porphyrin and chlorophyll metabolism	3/42	0.08798577820220385	1.0	0	0	2.8457598178713712	6.916847151118504	UROD;UROS;CPOX
Tryptophan metabolism	3/42	0.08798577820220385	1.0	0	0	2.8457598178713712	6.916847151118504	ECHS1;HADH;ACAT1
Epithelial cell signaling in Helicobacter pylori infection	4/68	0.09138437368030057	1.0	0	0	2.343566908835247	5.607407502782088	CXCR2;ATP6V1E1;ATP6V1D;ATP6V1C1
Vasopressin-regulated water reabsorption	3/44	0.09793900892150492	1.0	0	0	2.716407098877218	6.311328373778941	DYNC2LI1;CREB3;DYNLL1
Wnt signaling pathway	7/158	0.10365143895405136	1.0	0	0	1.7650915326037622	4.0009710277001655	FOSL1;RNF43;WNT10B;FRAT2;FZD2;RAC3;PPARD
Terpenoid backbone biosynthesis	2/22	0.10449254633741342	1.0	0	0	3.621876131836291	8.180512629611954	ICMT;ACAT1
Mismatch repair	2/23	0.11261863416387509	1.0	0	0	3.464403256539061	7.565383984266103	PCNA;RPA3
Proximal tubule bicarbonate reclamation	2/23	0.11261863416387509	1.0	0	0	3.464403256539061	7.565383984266103	SLC9A3;GLS2
Inositol phosphate metabolism	4/74	0.11530177408417508	1.0	0	0	2.1535479702810383	4.652099634210721	FIG4;MINPP1;ISYNA1;INPP5E
Valine, leucine and isoleucine degradation	3/48	0.11911287989291455	1.0	0	0	2.49003984063745	5.298017094000589	ECHS1;HADH;ACAT1
D-Glutamine and D-glutamate metabolism	1/5	0.11936706069898596	1.0	0	0	7.968127490039841	16.93666924005237	GLS2
RNA transport	7/165	0.12241875587534602	1.0	0	0	1.6902088615236026	3.549958663424283	EIF2B2;NUP50;RPP40;NUPL2;EIF2S1;THOC7;SNUPN
Arginine and proline metabolism	3/49	0.12465120790261948	1.0	0	0	2.439222701032604	5.079036780320939	CARNS1;PYCR2;LAP3
Malaria	3/49	0.12465120790261948	0.9844249239488922	0	0	2.439222701032604	5.079036780320939	TGFB3;HBB;HBA2
Vibrio cholerae infection	3/50	0.13028079457839345	1.0	0	0	2.390438247011952	4.871864222121594	ATP6V1E1;ATP6V1D;ATP6V1C1
Hepatocellular carcinoma	7/168	0.1309605044124727	0.9838008624156485	0	0	1.6600265604249667	3.374600754106419	WNT10B;FRAT2;FZD2;TXNRD3;TGFB3;TXNRD1;ACTL6A
Synaptic vesicle cycle	4/78	0.13261172640855165	0.9724859936627122	0	0	2.0431096128307282	4.12775517557838	ATP6V1E1;ATP6V1D;STX1A;ATP6V1C1
Mineral absorption	3/51	0.13599827034748127	0.9741271457447497	0	0	2.343566908835247	4.675681067167063	SLC9A3;SLC40A1;SLC30A1
Alzheimer disease	7/171	0.13979125382552468	0.9785387767786727	0	0	1.6309032874350549	3.208973484383135	ERN1;COX7B;NDUFB6;NDUFC2;SDHD;APOE;FADD
Fatty acid elongation	2/27	0.14656361179373656	1.0	0	0	2.951158329644385	5.667096752459284	ECHS1;HADH
Pathogenic Escherichia coli infection	3/55	0.15967957356635804	1.0	0	0	2.1731256791017746	3.986786244782138	TUBA1B;ARPC1A;LY96
Citrate cycle (TCA cycle)	2/30	0.17320220700672326	1.0	0	0	2.6560424966799467	4.6568274645469945	SUCLG1;SDHD
Galactose metabolism	2/31	0.18224909073322165	1.0	0	0	2.5703637064644647	4.375738072802829	PGM2;GALK1
RNA polymerase	2/31	0.18224909073322165	1.0	0	0	2.5703637064644647	4.375738072802829	POLR3C;POLR3K
beta-Alanine metabolism	2/31	0.18224909073322165	1.0	0	0	2.5703637064644647	4.375738072802829	ECHS1;CARNS1
Sulfur relay system	1/8	0.18404704593506174	1.0	0	0	4.9800796812749	8.429102936380286	CTU2
AMPK signaling pathway	5/120	0.18409755558795657	1.0	0	0	1.6600265604249667	2.80924546557638	RAB10;PFKFB1;CREB3;PPP2CB;PRKAG1
Fructose and mannose metabolism	2/33	0.20053626220149043	1.0	0	0	2.414584087890861	3.8796575871742216	PFKFB1;FPGT
Chemokine signaling pathway	7/190	0.20184890411877715	1.0	0	0	1.4678129586915494	2.348846933568562	CCR1;CX3CR1;CXCR2;GNB4;RAC3;CCR5;CCR2
Sulfur metabolism	1/9	0.2045356318359021	1.0	0	0	4.426737494466578	7.025290304872648	BPNT1
Cytokine-cytokine receptor interaction	10/294	0.206271324295962	1.0	0	0	1.3551237227958914	2.1391479911454896	CCR1;CX3CR1;NGFR;GDF9;TGFB3;CXCR2;TNFSF10;CCR5;IL17C;CCR2
Hippo signaling pathway	6/160	0.21474881331525383	1.0	0	0	1.4940239043824701	2.298236420352234	WNT10B;PPP2CB;FZD2;TGFB3;TP73;YWHAH
Synthesis and degradation of ketone bodies	1/10	0.22451074812755697	1.0	0	0	3.9840637450199203	5.951520705574745	ACAT1
Protein processing in endoplasmic reticulum	6/165	0.23497728416171473	1.0	0	0	1.4487504527345163	2.0981766499844983	ERN1;LMAN2;FBXO6;EIF2S1;RNF185;UBQLN4
African trypanosomiasis	2/37	0.23764451565107203	1.0	0	0	2.1535479702810383	3.0946039702997306	HBB;HBA2
Staphylococcus aureus infection	3/68	0.24341914275522333	1.0	0	0	1.7576751816264355	2.4835430997387635	FCGR3B;CAMP;HLA-DPA1
Tight junction	6/170	0.2557645584559421	1.0	0	0	1.4061401453011484	1.917269207234538	PPP2CB;TUBA1B;PCNA;PRKAG1;MYH11;MYL6B
Glucagon signaling pathway	4/103	0.25938817669719344	1.0	0	0	1.5472092213669593	2.0878499014635343	PFKFB1;CREB3;PPP4C;PRKAG1
Homologous recombination	2/41	0.2750632914923082	1.0	0	0	1.9434457292780098	2.508510459459909	RAD51C;RPA3
Leishmaniasis	3/74	0.28420107928400484	1.0	0	0	1.6151609777107785	2.0319908458677785	FCGR3B;TGFB3;HLA-DPA1
Toxoplasmosis	4/113	0.31554639919635485	1.0	0	0	1.410288051334485	1.6266961072035613	TGFB3;LY96;CCR5;HLA-DPA1
Nucleotide excision repair	2/47	0.3309061737612947	1.0	0	0	1.6953462744765617	1.8749180414429183	PCNA;RPA3
