Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Protein repair Homo sapiens R-HSA-5676934	3/6	2.971106944022427E-4	0.4545793624354313	0	0	19.9203187250996	161.78099163695313	PCMT1;MSRB2;MSRB1
Membrane Trafficking Homo sapiens R-HSA-199991	23/420	4.254526640461924E-4	0.32547128799533714	0	0	2.1817491937013846	16.935515829198515	SCOC;SPTBN5;SNAPIN;STXBP3;SNAP23;PRKAG1;HIP1R;PLA2G6;DYNLL1;KIF27;BLOC1S4;DYNC2LI1;RAB10;DAB2;GOLGA5;LMAN2;STX6;NAA38;SNX5;CTSC;BET1;YWHAH;CHMP5
Vesicle-mediated transport Homo sapiens R-HSA-5653656	25/492	7.284582915883791E-4	0.3715137287100733	0	0	2.0244226346645937	14.625603655338939	SCOC;SPTBN5;STXBP3;SNAP23;PRKAG1;HBB;PLA2G6;BLOC1S4;DYNC2LI1;GOLGA5;LMAN2;STX6;APOE;SNX5;CTSC;YWHAH;SNAPIN;HIP1R;DYNLL1;KIF27;RAB10;DAB2;NAA38;BET1;CHMP5
Metabolism Homo sapiens R-HSA-1430728	70/1908	7.898190761336044E-4	0.3021057966211037	0	0	1.4616586066634927	10.44166031763698	PANK2;COX7B;ECI1;HEXA;HBB;CPOX;NSDHL;ABHD10;PNP;UROD;FLAD1;RFK;PGM2;HADH;NCOA2;LYPLA1;MED8;NDUFC2;SDHD;HSPG2;DCK;MED7;MINPP1;UGDH;PRKAR1A;NUP50;MED20;SUCLG1;TMEM126B;STX1A;PPARD;PFKFB1;ISYNA1;ECHS1;NDUFB6;GLS2;HSD17B4;GLRX;PLA2G6;ACAT1;CYB5R1;CYP27B1;PPP2CB;CYB5R4;PDZD11;UCP3;CARNS1;INPP5E;BPNT1;SLC25A20;APOE;DECR2;AASDHPPT;UROS;TXNRD1;PYCR2;NR1D1;NMRAL1;COQ5;FIG4;GGCT;AIMP2;UCK2;COQ2;ETNK2;GNB4;CSPG5;NDUFAF3;NUPL2;GALK1
Heme biosynthesis Homo sapiens R-HSA-189451	3/11	0.0022315706128728883	0.6828606075391038	0	0	10.865628395508873	66.33520062348967	UROD;UROS;CPOX
Erythrocytes take up carbon dioxide and release oxygen Homo sapiens R-HSA-1237044	3/12	0.002920303136950364	0.7446772999223429	0	0	9.9601593625498	58.12816587715291	CYB5R1;CYB5R4;HBB
O2/CO2 exchange in erythrocytes Homo sapiens R-HSA-1480926	3/12	0.002920303136950364	0.6382948285048654	0	0	9.9601593625498	58.12816587715291	CYB5R1;CYB5R4;HBB
Vitamin B5 (pantothenate) metabolism Homo sapiens R-HSA-199220	3/12	0.002920303136950364	0.5585079749417572	0	0	9.9601593625498	58.12816587715291	PANK2;PDZD11;AASDHPPT
Fatty acid, triacylglycerol, and ketone body metabolism Homo sapiens R-HSA-535734	13/217	0.0034278155150836535	0.5827286375642211	0	0	2.38676629885986	13.546884766545576	NCOA2;ECHS1;ECI1;TXNRD1;MED8;NR1D1;MED7;ACAT1;MED20;SLC25A20;DECR2;HADH;PPARD
Removal of the Flap Intermediate Homo sapiens R-HSA-69166	3/14	0.0046547384938433025	0.7121749895580253	0	0	8.537279453614115	45.844076954824054	POLA2;PCNA;RPA3
Processive synthesis on the lagging strand Homo sapiens R-HSA-69183	3/15	0.005711043989147191	0.7943543003086547	0	0	7.968127490039841	41.15819471553277	POLA2;PCNA;RPA3
Beta oxidation of hexanoyl-CoA to butanoyl-CoA Homo sapiens R-HSA-77350	2/5	0.0059792059503541335	0.762348758670152	0	0	15.936254980079681	81.58513950689911	ECHS1;HADH
Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA Homo sapiens R-HSA-77310	2/5	0.0059792059503541335	0.7037065464647557	0	0	15.936254980079681	81.58513950689911	ECHS1;HADH
Beta oxidation of octanoyl-CoA to hexanoyl-CoA Homo sapiens R-HSA-77348	2/5	0.0059792059503541335	0.6534417931458446	0	0	15.936254980079681	81.58513950689911	ECHS1;HADH
Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA Homo sapiens R-HSA-77346	2/5	0.0059792059503541335	0.6098790069361216	0	0	15.936254980079681	81.58513950689911	ECHS1;HADH
Vitamin B2 (riboflavin) metabolism Homo sapiens R-HSA-196843	2/5	0.0059792059503541335	0.571761569002614	0	0	15.936254980079681	81.58513950689911	FLAD1;RFK
Galactose catabolism Homo sapiens R-HSA-70370	2/5	0.0059792059503541335	0.538128535531872	0	0	15.936254980079681	81.58513950689911	PGM2;GALK1
Ligand-dependent caspase activation Homo sapiens R-HSA-140534	3/17	0.00822366614902411	0.6990116226670494	0	0	7.030700726505742	33.75256034084706	TNFSF10;LY96;FADD
Mitochondrial Fatty Acid Beta-Oxidation Homo sapiens R-HSA-77289	3/17	0.00822366614902411	0.6622215372635205	0	0	7.030700726505742	33.75256034084706	ECHS1;ECI1;HADH
Metabolism of porphyrins Homo sapiens R-HSA-189445	3/17	0.00822366614902411	0.6291104604003445	0	0	7.030700726505742	33.75256034084706	UROD;UROS;CPOX
GDP-fucose biosynthesis Homo sapiens R-HSA-6787639	2/6	0.008820265769537141	0.6426193632091346	0	0	13.280212483399733	62.824744712042914	FPGT;FUOM
Serotonin Neurotransmitter Release Cycle Homo sapiens R-HSA-181429	3/18	0.009686994816140358	0.6736864576679431	0	0	6.640106241699867	30.789980303278515	BZRAP1;SYN1;STX1A
ROS, RNS production in response to bacteria Homo sapiens R-HSA-1222556	4/34	0.010021584277071161	0.6666532149529946	0	0	4.687133817670494	21.574942977921598	ATP6V1E1;ATP6V1D;ATP6V1C1;CAMP
Base Excision Repair Homo sapiens R-HSA-73884	4/35	0.011095096975462699	0.7073124321857471	0	0	4.553215708594195	20.495171233559294	PCNA;MPG;NTHL1;RPA3
Resolution of Abasic Sites (AP sites) Homo sapiens R-HSA-73933	4/35	0.011095096975462699	0.6790199348983172	0	0	4.553215708594195	20.495171233559294	PCNA;MPG;NTHL1;RPA3
PP2A-mediated dephosphorylation of key metabolic factors Homo sapiens R-HSA-163767	2/7	0.012144283986603003	0.7146444038270228	0	0	11.383039271485485	50.209410058864066	PPP2CB;PFKFB1
TRAIL  signaling Homo sapiens R-HSA-75158	2/7	0.012144283986603003	0.6881760925741701	0	0	11.383039271485485	50.209410058864066	TNFSF10;FADD
Ubiquinol biosynthesis Homo sapiens R-HSA-2142789	2/7	0.012144283986603003	0.6635983749822355	0	0	11.383039271485485	50.209410058864066	COQ2;COQ5
Lagging Strand Synthesis Homo sapiens R-HSA-69186	3/20	0.013041302367869828	0.6880411249255461	0	0	5.9760956175298805	25.934066848411234	POLA2;PCNA;RPA3
Chemokine receptors bind chemokines Homo sapiens R-HSA-380108	5/56	0.01304530566077826	0.6653105886996913	0	0	3.5571997723392146	15.435852765397694	CX3CR1;CCR1;CXCR2;CCR5;CCR2
The citric acid (TCA) cycle and respiratory electron transport Homo sapiens R-HSA-1428517	9/153	0.015290147973605695	0.7546427870844101	0	0	2.343566908835247	9.797390628744171	COX7B;NDUFB6;UCP3;NDUFAF3;NDUFC2;SUCLG1;SDHD;TMEM126B;PPARD
Recycling of eIF2:GDP Homo sapiens R-HSA-72731	2/8	0.015925324055525752	0.761429556404825	0	0	9.9601593625498	41.23351323581001	EIF2B2;EIF2S1
Regulation of cytoskeletal remodeling and cell spreading by IPP complex components Homo sapiens R-HSA-446388	2/8	0.015925324055525752	0.7383559334834667	0	0	9.9601593625498	41.23351323581001	PARVB;LIMS1
mitochondrial fatty acid beta-oxidation of saturated fatty acids Homo sapiens R-HSA-77286	2/8	0.015925324055525752	0.7166395824986589	0	0	9.9601593625498	41.23351323581001	ECHS1;HADH
