"","TB_status_limma_logFC","TB_status_limma_AveExpr","TB_status_limma_t","TB_status_limma_P.Value","TB_status_limma_padj","TB_status_limma_B"
"DGCR9",-31.2503898750954,37.8268849641106,-7.59911155685321,6.16484269183782e-08,0.000777515830843288,6.73769368649418
"HEATR4",-28.4947086403371,33.1668144002495,-7.40306394467677,9.74289344175629e-08,0.000777515830843288,6.41105933646347
"TNKS1BP1",-27.5773366265402,48.1760057864215,-7.37948417651031,1.02977075766946e-07,0.000777515830843288,6.37130888911821
"COMMD8",18.8186702080529,65.0220888456317,7.30542895095277,1.22597891965198e-07,0.000777515830843288,6.24582045007037
"MED7",14.6984172542062,54.9247475060311,7.17005124177183,1.68940110853897e-07,0.000857134546428334,6.01388702022347
"DEPDC7",-19.9270267882591,31.7652506209448,-7.01537391081588,2.44380044050752e-07,0.00103323882624658,5.74489925963153
"SYCE2",-28.8969942180035,36.8503545277484,-6.76626755696232,4.45637302063501e-07,0.00105967451263308,5.30283969034846
"MED8",15.3076068447561,67.7771176084795,6.75866367021374,4.53938776552938e-07,0.00105967451263308,5.28917577206359
"STX7",14.2972672746813,78.9623310402429,6.74373362187969,4.70700577492067e-07,0.00105967451263308,5.26231789358006
"C4orf27",13.9300978564387,57.6918501994929,6.71981085443645,4.98885946568384e-07,0.00105967451263308,5.21920259856918
"ICMT",12.2927930552298,65.4504869840355,6.67273840203157,5.59479417332948e-07,0.00105967451263308,5.13407748570771
"NLGN2",-27.3647374859757,47.8329068555968,-6.64169814457069,6.0349488565039e-07,0.00105967451263308,5.07773668259854
"TARS",11.3227861645012,69.4782175805949,6.59937768440299,6.69258634568442e-07,0.00105967451263308,5.00065609271677
"UBQLN4",-12.6024064717483,63.6152352504894,-6.59913258015235,6.69660076562948e-07,0.00105967451263308,5.00020878211846
"NUPL2",12.5979650300494,65.835735672985,6.58067775984014,7.0060214128576e-07,0.00105967451263308,4.96649976212699
"RPP40",18.5290351932376,42.6571066014323,6.57967133110332,7.02330877215381e-07,0.00105967451263308,4.96465978674486
"MPLKIP",16.9114938733063,61.4656123328083,6.57516455656413,7.1012561947187e-07,0.00105967451263308,4.95641829397478
"POU6F1",-21.1334234011677,63.5077978959198,-6.51224769025759,8.2862755576018e-07,0.00110814587007744,4.84100412493311
"C6orf211",13.8318941115342,60.1972636433368,6.51158693351835,8.29973649143463e-07,0.00110814587007744,4.8397884964818
"C1orf204",-20.5439270037915,34.2154008287361,-6.48012733299619,8.96710026608264e-07,0.00113738699774992,4.7818258120482
"MYH11",-14.3973545835688,57.6935345571365,-6.4447328793891,9.78359868318051e-07,0.00115042646012794,4.71641537221641
"CCR5",17.7233745704512,60.9852359486478,6.43679452714234,9.97689298439557e-07,0.00115042646012794,4.70171628624366
"INPP5E",-14.1968124191679,70.2147342850067,-6.37844457829018,1.15223844833294e-06,0.0012708689111874,4.59335157252148
"HIGD1A",15.811858841539,69.9337173985016,6.32592027803827,1.31214993228173e-06,0.00138694247842179,4.49532612425016
"ORAI3",16.752955489622,67.0416538620385,6.25715775780074,1.55621275485576e-06,0.00157912020660724,4.36631538374682
"TCEAL1",13.5864371890423,53.3027675667113,6.22798020325181,1.67328950234263e-06,0.00163261569597799,4.31134221491756
"TRAF1",-15.898592880736,82.743933045291,-6.18211398441477,1.87572680400523e-06,0.00173335179401162,4.22465061572957
"SCOC",12.4542534851901,64.0340003365426,6.17235722260896,1.92190752674032e-06,0.00173335179401162,4.20616621054425
"MKKS",18.5716864808505,66.0978538859462,6.1500741154284,2.03176099622009e-06,0.00173335179401162,4.16389387195285
"TMEM194A",-12.390778398257,65.4183019234203,-6.13911104530511,2.08812939031318e-06,0.00173335179401162,4.14306754819787
"SNAPIN",16.6776333838754,63.7572590284377,6.13338942227299,2.11817666407917e-06,0.00173335179401162,4.13219078831976
"COA6",12.8134613929364,56.4063751563776,6.09178079538305,2.3503226707044e-06,0.00186321829720092,4.05293892866225
"C21orf91",11.2295754003704,69.1239745479804,6.07137521718317,2.47345950279697e-06,0.00190141577778647,4.01397391519587
"LOC100130744",-26.7642623640596,56.8074072024287,-6.04303423827412,2.6554379896185e-06,0.00198126914472477,3.95974922234218
"CETN3",16.4173367174193,48.8828569365328,6.03100700641502,2.73672139210262e-06,0.00198357566499598,3.93670021444551
"POLR3K",17.4440650073933,58.7909089465686,6.00216453091793,2.94209801791848e-06,0.00207319840329322,3.88133630218378
"HBD",35.3283948780557,15.0239053407522,5.97777930236801,3.12790971701233e-06,0.00212556473416907,3.83442950816949
"SNORA64",-24.8795859230903,43.0036203908121,-5.96489635030442,3.23084132320765e-06,0.00212556473416907,3.80961190741749
"ASIC3",-35.2441249496566,45.6469653340951,-5.95594328869558,3.30439294933881e-06,0.00212556473416907,3.79235009869734
"FOSL1",-30.2504175558852,41.8637130366841,-5.95030669432501,3.35156848654852e-06,0.00212556473416907,3.78147637914151
"CHCHD4",14.034100437183,53.4018582734168,5.90474960458554,3.75883966706783e-06,0.00227674072409557,3.69341679914654
"CASZ1",-13.7227032461557,66.7348155035217,-5.90363203989459,3.76943828492643e-06,0.00227674072409557,3.69125272924757
"RABIF",11.9181966870532,65.0642909747642,5.86455077306976,4.15978006420386e-06,0.00243631505913291,3.61545949692192
"MATN1",-31.2758369244959,32.2862867764012,-5.85831879418671,4.22571202309399e-06,0.00243631505913291,3.60335266410907
"MRS2",13.1081455076875,69.4321563354373,5.84015269144438,4.42401369722809e-06,0.00244685842854064,3.56802921669146
"APOE",-27.6796030024854,28.2217062127154,-5.83900019352297,4.4369082195234e-06,0.00244685842854064,3.56578660287149
"SNORA53",-25.4296083543484,30.8224190462584,-5.79898699284104,4.90903109686744e-06,0.00264962342266667,3.48780725643181
"FRAT2",14.9805126159822,70.2206575280017,5.77590867623569,5.20417974684137e-06,0.00274823999272458,3.4427270684372
"KIF27",-19.3427370632501,44.4751592235029,-5.75976419699004,5.42128559568881e-06,0.00274823999272458,3.41114622260896
"NDUFC2",17.4273087997753,62.1991306597261,5.75585153995468,5.47526945150398e-06,0.00274823999272458,3.40348698332835
"SPON1",-25.5885487966709,47.1040915337654,-5.75227584535479,5.52508040164591e-06,0.00274823999272458,3.39648548211295
"MSRB1",24.2717940361905,73.7380949840249,5.7426645891672,5.66125716019412e-06,0.0027618225315347,3.37765695923235
"ANKRD52",-21.1149897952279,71.1672643482171,-5.72455232810963,5.92719344232631e-06,0.00283700081594215,3.34213977653594
"TMEM126B",13.1820774188992,68.6796039296336,5.68827005518367,6.49861196682709e-06,0.00291607616468524,3.27085520297779
"LPAR6",16.1871910446614,74.3777246742376,5.68811116838771,6.50123330508993e-06,0.00291607616468524,3.27054263559451
"HHEX",18.3000380614219,76.1819811689432,5.67669797112968,6.69235821273341e-06,0.00291607616468524,3.24808116935006
"ABHD10",10.6968752174954,65.7208485696851,5.6763886794444,6.69761604012021e-06,0.00291607616468524,3.24747222742221
"TMPRSS5",-23.8870026023387,37.3651361778774,-5.67212856173418,6.77046324021955e-06,0.00291607616468524,3.23908346290584
"RNASEH2A",14.4232730271429,57.1639017041909,5.67145192934423,6.78210713167885e-06,0.00291607616468524,3.23775085181562
"CLIC2",14.1797737359613,51.9814574468779,5.64959928979812,7.16926413602724e-06,0.00298327441311628,3.19467915885915
"RHPN1",-39.8806153102458,57.3627840477597,-5.63968763953613,7.3521692412629e-06,0.00298327441311628,3.17512193652431
"HBB",61.2893900714491,64.2859228638384,5.6376339648081,7.39065368210879e-06,0.00298327441311628,3.17106806354469
"PNMA3",-18.8570573390393,59.2179513854785,-5.6317738337638,7.50159323408838e-06,0.00298327441311628,3.15949728123108
"GLRX2",13.933940417159,47.190994458385,5.63047578935817,7.52639397821831e-06,0.00298327441311628,3.1569336796248
"ZMYM6NB",11.8525098689588,61.8232331087042,5.60480958977904,8.03418695897977e-06,0.00306507151155976,3.10619744597754
"DCK",14.5408693874332,78.1771013717629,5.60209085970842,8.08996736591902e-06,0.00306507151155976,3.10081800545222
"SMG6",-16.9086647852659,66.6356599132026,-5.59687573300553,8.19806577012487e-06,0.00306507151155976,3.09049630935956
"TP73",-23.5933522648641,33.2674599558717,-5.59601465209371,8.21605419371111e-06,0.00306507151155976,3.08879172599491
"AHCTF1P1",-34.4926282277668,47.4863702207769,-5.58954236794448,8.35254799588918e-06,0.00307083242840169,3.07597615552756
"GIMAP4",23.1106012177761,84.1729957181194,5.5688615351445,8.80425654798856e-06,0.0031574093872359,3.03498979783508
"PDZD11",12.9199229705491,57.3944670161363,5.56740606323088,8.83696257070912e-06,0.0031574093872359,3.0321031605937
"SUSD2",-33.9360661925419,31.9969527616179,-5.55311062608286,9.16480112836509e-06,0.00321193198499963,3.00373638021149
"TCEAL8",12.9069984815943,59.6293216567764,5.54978618826182,9.24278756326762e-06,0.00321193198499963,2.99713582030457
"PIGL",-14.4415996389249,56.453163090379,-5.54367879393245,9.3878114669071e-06,0.00321824326070945,2.98500607246938
"OSR2",-30.2030309393854,26.5058128332126,-5.52387427050565,9.87410448952557e-06,0.0033021310958435,2.94563979177249
"FUNDC1",13.778535296749,51.2452860339455,5.52313050439715,9.8928556955261e-06,0.0033021310958435,2.94416039819709
"FRMPD3",-18.1315314987885,47.6796734668026,-5.50926845936629,1.02489980801124e-05,0.00337657900384793,2.91657510176882
"DNTTIP1",16.4754162188258,68.4944489772358,5.5001364885811,1.04906711174132e-05,0.0034118890372633,2.89838927596169
"FAM183B",-24.7992484560889,37.1005999081469,-5.48805682414289,1.0819228013581e-05,0.00347420476263954,2.87431712050894
"STX6",9.8061475783789,72.2525300649611,5.47126410128499,1.1293331915525e-05,0.00355552767339341,2.84082248209599
"TMA16",14.3162962263188,60.8654376626993,5.46920833026885,1.13527964973536e-05,0.00355552767339341,2.83671964174027
"ZNF286B",-22.4703945636236,38.0085559029202,-5.45651195750932,1.17271245541105e-05,0.0035897479805815,2.81136902766953
"LINC00265",-18.1478487337323,61.0388718584912,-5.4549281580913,1.17746865468769e-05,0.0035897479805815,2.80820528656969
"COQ2",13.7630672753283,59.5776061122389,5.45122739839242,1.18865827171573e-05,0.0035897479805815,2.80081157633261
"GLTSCR1",-11.4238765360975,75.5646791513484,-5.41399702542559,1.30738358028497e-05,0.0038107856154239,2.72633621374954
"HID1",-29.4499807182023,43.0644311624989,-5.41258177313041,1.31212590851038e-05,0.0038107856154239,2.72350183497624
"COA3",23.8628263796406,64.8566156904211,5.40630944974111,1.33335366848596e-05,0.0038107856154239,2.71093711655779
"NTHL1",13.5001981886226,54.7149702165391,5.40580490540977,1.33507622298205e-05,0.0038107856154239,2.70992620790886
"PPARD",-15.5636002214136,71.8552210974959,-5.40396911305288,1.34136275076639e-05,0.0038107856154239,2.70624774343899
"ANP32AP1",13.4328140825987,47.1423297085035,5.40088782514433,1.35198165164046e-05,0.0038107856154239,2.70007271242489
"SCARNA12",-31.3830697868057,33.7870390543203,-5.35500931526299,1.52051698447316e-05,0.00423873350133134,2.60799695458611
"MDK",-16.0397635415224,50.5166473312372,-5.34218549732332,1.57131226311919e-05,0.00429901866475756,2.58221609573612
"IKBIP",18.5788462057767,59.0534663133222,5.33965891353802,1.58152028462796e-05,0.00429901866475756,2.57713443447883
"SNX5",8.90135211839064,78.5589128593663,5.33684149017111,1.59298231822458e-05,0.00429901866475756,2.57146694553734
"ORM2",-28.4370452974473,42.4797087253768,-5.32126069071149,1.65789987483606e-05,0.00442711621314118,2.54010836514557
"LINC01080",8.74401336097119,1.681541030956,5.30656133854677,1.72159091343729e-05,0.00454930398875803,2.51049843536933
"NDUFAF3",12.3378881460845,71.7545406948028,5.29898746966186,1.75536575821275e-05,0.00459073387158155,2.4952323187293
"ATP6V1D",16.4255827857156,66.7213271537223,5.29231313736523,1.78568291026015e-05,0.00461674948155515,2.48177398813062
"XRCC6P5",20.7961760769509,25.1545270430194,5.28529077135944,1.81815138451251e-05,0.00461674948155515,2.46760848891236
"WDR27",-7.9106012165971,64.1319024100568,-5.27924047468181,1.84660258927814e-05,0.00461674948155515,2.45539943859657
"TNFAIP8L2",20.0768626094343,62.2221287802657,5.27830796515033,1.85102742980292e-05,0.00461674948155515,2.45351734179395
"PCMT1",17.6185516436797,76.8652060011598,5.2758376187559,1.86280119777453e-05,0.00461674948155515,2.44853094179396
"LACTB2",17.2896217850401,52.2347937535367,5.2729713318159,1.876556722552e-05,0.00461674948155515,2.44274448825951
"EXOC6B",-16.3646364546856,40.4390945842055,-5.26963293372295,1.8927071352954e-05,0.00461674948155515,2.43600379360529
"PWAR5",-29.1238893082957,44.2495859009019,-5.24455859554973,2.01857718211437e-05,0.00487688247198833,2.38533610994991
"C14orf119",20.4642015476497,66.7172153256836,5.23475932237724,2.07003237848417e-05,0.00495401711107419,2.36551615440711
"ADCY10P1",-13.8423906768771,60.1685942839974,-5.21034909187082,2.20403250969607e-05,0.00521843304269632,2.31609940025166
"TTLL13",-23.747401348243,23.4861806665249,-5.20412701305507,2.23956527602803e-05,0.00521843304269632,2.30349313433902
"MYT1L-AS1",5.5168581950631,1.06093426828136,5.20349377590273,2.24321374840081e-05,0.00521843304269632,2.30220993324356
"JKAMP",16.0448541596273,73.2917328627076,5.19671308262297,2.28265897682318e-05,0.00521843304269632,2.28846679810351
"TSEN34",16.601706985238,74.8034629105637,5.191897484099,2.31109643313133e-05,0.00521843304269632,2.27870360281178
"LOC100652768",-19.152610771918,56.922420631547,-5.18776173980834,2.33580392815194e-05,0.00521843304269632,2.27031682197449
"HEATR1",-10.6780925713831,68.2094020183435,-5.18644733550884,2.3437119532048e-05,0.00521843304269632,2.26765099935867
"CCDC127",12.2367598255157,50.8754636355137,5.18621944132868,2.34508580442834e-05,0.00521843304269632,2.26718877518875
"C9orf117",-24.8245855085988,24.9265882195091,-5.18198978421265,2.37073190831868e-05,0.00522962843915028,2.25860903694658
"GPRASP1",-16.3536575528243,76.357098091262,-5.17236059374457,2.43017640847657e-05,0.00527508796239558,2.2390696096319
"DOK1",13.7028950963323,67.1344512848157,5.17016204486163,2.44395806910883e-05,0.00527508796239558,2.23460700595686
"CLSTN3",-12.8664417724624,74.8337155882162,-5.16861186351149,2.45372271981504e-05,0.00527508796239558,2.23146015775313
"TMEM14A",12.9879800670927,50.1520241740838,5.15444243671764,2.54481780971091e-05,0.00542495278964256,2.20268504532836
"PKD1P1",-40.0515607300438,42.5396147499475,-5.13832528186547,2.65258329513538e-05,0.0055183311204822,2.16992982882493
"C9orf64",18.4605902422296,47.2174589694813,5.13436340472175,2.67977030258009e-05,0.0055183311204822,2.1618740419273
"ACTL6A",8.76540310347036,67.8699037806323,5.13336495187994,2.68666598951177e-05,0.0055183311204822,2.15984361539896
"MUC20",-16.008095935418,54.5099030709025,-5.1322902046991,2.69410856062658e-05,0.0055183311204822,2.15765792800649
"GLUD1P3",-13.3983499370398,60.1275332693117,-5.13181777124899,2.69738670348389e-05,0.0055183311204822,2.15669711519308
"LINC00925",-20.7488895437977,42.7262627652984,-5.12030251645443,2.77854315913547e-05,0.0056146894687318,2.13327110176041
"RBMX2",11.9002607507772,67.291537213909,5.11887787655891,2.78875304738334e-05,0.0056146894687318,2.13037198215653
"MINPP1",13.3872435549215,55.1951925514406,5.10873840559577,2.86251827299236e-05,0.00569321899917515,2.10973257558282
"FPGT",15.9484412018327,55.4498342495726,5.10504606366645,2.889865427617e-05,0.00569321899917515,2.10221413574815
"SDK2",-18.4378909312324,53.5224592176858,-5.10269288298875,2.90743119381161e-05,0.00569321899917515,2.09742183926867
"NCOA2",-11.1878004047885,71.1484335389156,-5.10134675937834,2.91752786933447e-05,0.00569321899917515,2.09468019213885
"PLA2G6",-27.2389622436745,62.6077259123778,-5.0940824143883,2.9726267074459e-05,0.00575645758125859,2.07988189589617
"ATG4C",13.7828599996307,62.7240542349802,5.07773496763641,3.10048006810646e-05,0.00595855896725187,2.04656178992928
"MPG",10.5233449859861,70.4808925173169,5.06097477710095,3.23730927350571e-05,0.00617474147746563,2.01237413915765
"SCN8A",-15.1370900150502,42.4831751299357,-5.05801459057874,3.26209985475749e-05,0.00617559321757373,2.00633317952645
"LOC729739",23.4745501220891,12.9327572194657,5.04399967183016,3.38208759590221e-05,0.0063553183802109,1.97772140617254
"LOC553103",-27.5849138813098,29.4232771809858,-5.03238847970863,3.48485176951513e-05,0.00650027350654851,1.95400323496041
"NPTN",14.2872832864947,78.3251169779149,5.028678945043,3.51834018234561e-05,0.00651483603983528,1.9464231875886
"TNFSF10",25.7740271509644,81.6614992430243,5.02250782767991,3.57476944367314e-05,0.0065414096913478,1.93381039938396
"GGH",15.8431576765862,47.2004863964033,5.02147919731484,3.58426343068963e-05,0.0065414096913478,1.93170770835891
"GOLGA5",8.5409577993613,69.3964894799387,5.00735257394044,3.71724266601928e-05,0.00667058442378987,1.90282098444813
"GOLGA7B",-12.3376750023266,63.3840285008385,-4.99909577846026,3.79725232592911e-05,0.00667058442378987,1.88592894558154
"LOC100506124",-12.9204311536829,42.7092716896524,-4.99811678983939,3.80685296096537e-05,0.00667058442378987,1.88392569918795
"SETD3",8.39490832669051,76.0948030671139,4.99766885297919,3.81125386970977e-05,0.00667058442378987,1.88300908453432
"DAPP1",17.0207762670797,81.5257771016104,4.99545704295503,3.83305963596563e-05,0.00667058442378987,1.8784827930687
"FZD2",26.3114429512369,49.1407699873788,4.99353916219092,3.8520691030645e-05,0.00667058442378987,1.8745576581939
"PDE4DIP",-10.0617999141924,74.374750604542,-4.98967751944243,3.89063252732129e-05,0.00667058442378987,1.86665344762298
"SMIM7",15.350005351324,71.9781947855166,4.98746410401835,3.91291099859644e-05,0.00667058442378987,1.86212233002539
"MEIS1-AS3",19.7192313186072,5.85871329248733,4.98559666505951,3.93180683694453e-05,0.00667058442378987,1.85829913616454
