Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Heme Biosynthesis WP561	3/9	0.0011794513212474108	0.5567010236287779	0	0	13.280212483399733	89.54456747192474	UROD;UROS;CPOX
Selenium Micronutrient Network WP15	8/86	0.0014250788120505338	0.33631859964392596	0	0	3.706105809320856	24.28806878565275	PRDX3;PRDX4;TXNRD3;FLAD1;RFK;TXNRD1;HBB;MSRB1
Fatty Acid Beta Oxidation WP143	5/34	0.0014890609251297267	0.234278918887077	0	0	5.858917272088118	38.139264174522964	ECHS1;ECI1;SLC25A20;HADH;ACAT1
Selective expression of chemokine receptors during T-cell polarization WP4494	4/29	0.00566244691539405	0.668168736016498	0	0	5.49526033795851	28.431922862930488	CCR1;TGFB3;CCR5;CCR2
Mitochondrial LC-Fatty Acid Beta-Oxidation WP368	3/17	0.00822366614902411	0.776314084467876	0	0	7.030700726505742	33.75256034084706	ECI1;SLC25A20;HADH
Fatty Acid Biosynthesis WP357	3/22	0.016978436969455186	1.0	0	0	5.432814197754436	22.143124702669766	ECHS1;ECHDC1;HADH
Pyrimidine metabolism WP4022	6/85	0.020053721439811434	1.0	0	0	2.812280290602297	10.994161334376214	POLA2;UCK2;NME6;POLR3C;DCK;POLR3K
Serotonin Transporter Activity WP1455	2/11	0.029765909159487694	1.0	0	0	7.243752263672582	25.457381588273158	PPP2CB;STX1A
Peptide GPCRs WP24	5/74	0.03830049047665605	1.0	0	0	2.6919349628512976	8.78187944626501	CX3CR1;CCR1;CXCR2;CCR5;CCR2
Monoamine Transport WP727	3/32	0.04553354184901946	1.0	0	0	3.735059760956175	11.538742683453387	PPP2CB;SYN1;STX1A
Mitochondrial complex I assembly model OXPHOS system WP4324	4/56	0.05180078792180051	1.0	0	0	2.8457598178713712	8.424444846291443	NDUFB6;NDUFC2;NDUFAF3;TMEM126B
Apoptosis WP254	5/84	0.06015976438497924	1.0	0	0	2.3714665148928096	6.665603101454435	IRF2;TNFSF10;TRAF1;FADD;TP73
Simplified Interaction Map Between LOXL4 and Oxidative Stress Pathway WP3670	2/18	0.07383485953290411	1.0	0	0	4.426737494466578	11.535742839770466	IGFBP7;PKD1
TCA Cycle (aka Krebs or citric acid cycle) WP78	2/18	0.07383485953290411	1.0	0	0	4.426737494466578	11.535742839770466	SUCLG1;SDHD
G1 to S cell cycle control WP45	4/64	0.07691679768372639	1.0	0	0	2.49003984063745	6.387029359823238	CREB3;POLA2;PCNA;RPA3
