"","TB_status_limma_logFC","TB_status_limma_AveExpr","TB_status_limma_t","TB_status_limma_P.Value","TB_status_limma_padj","TB_status_limma_B"
"HLA-DPA1",23.8289505640078,66.8024577865223,7.81081982606171,1.38369016088889e-06,0.0351014520014293,4.43387583625301
"ING1",8.45056365346395,72.4637953232537,7.10985201488279,4.16937563477675e-06,0.0528843605515083,3.66436519155795
"ABLIM2",-23.3096951260437,31.1119499442623,-6.27429590749485,1.69129274374715e-05,0.143015714411259,2.6373438676118
"PCDHB9",-25.3319357118347,19.5267628763646,-6.09192033748879,2.3253575642179e-05,0.147474176722699,2.39660751775561
"NCF4",13.0712677860164,87.5084053244231,5.90499838621876,3.2380087202614e-05,0.164283610431183,2.14361187361216
"NHLRC3",10.4540288590094,74.6487673117838,5.5840927186337,5.78085670404987e-05,0.203994167234816,1.69450599736193
"NUP50-AS1",11.0455274304463,63.2149758255255,5.55146961864897,6.13652001626859e-05,0.203994167234816,1.64781039368734
"NCF1",17.0189812037149,76.1186177841195,5.37391890354049,8.51397712684478e-05,0.203994167234816,1.39034037169074
"NR5A2",-26.0740529591505,27.3213737518474,-5.31666963579878,9.47053092570156e-05,0.203994167234816,1.30613167648793
"MEOX1",-24.6006426808238,21.4112227548251,-5.22237141504811,0.000112966041134863,0.203994167234816,1.16617638743858
"SNAP23",11.595697540967,94.2325199936981,5.21310798381226,0.000114946883479814,0.203994167234816,1.15234441273994
"RXFP4",16.8188179592407,6.030420866013,5.15193915393182,0.000128963697826331,0.203994167234816,1.06063666357873
"LAT2",13.9131085532745,89.9754408092778,5.12982131798871,0.000134458182843031,0.203994167234816,1.02731820468649
"TDRD12",-26.5498241999088,23.1547268685791,-5.12849255920507,0.000134795895255679,0.203994167234816,1.02531389069097
"SPOPL",7.32795564371026,80.6277745208216,5.0933242005395,0.000144060864719897,0.203994167234816,0.972156224022507
"CCNG2",9.00221176698842,78.6390314458745,5.033138798452,0.000161476194273139,0.203994167234816,0.880698746817354
"DNAJC13",8.9432797784989,78.4015763420781,5.01994967630452,0.000165575454412416,0.203994167234816,0.860575205040427
"DAZAP1",7.08279603925073,88.8775373506444,5.00176457963087,0.000171404763256458,0.203994167234816,0.832781258912284
"DDX26B",8.77235800885566,72.0335129221423,4.93839009463934,0.000193432490893505,0.203994167234816,0.735490925043123
"FST",-18.7219243950436,21.8249444741134,-4.91078411453668,0.000203923760299755,0.203994167234816,0.692904243632396
"TACR1",-20.9746856725605,26.0771621645406,-4.88168318404509,0.000215621298315613,0.203994167234816,0.647876676524891
"ARHGAP17",10.1889994406634,77.9568887762319,4.87818773404646,0.000217072227493535,0.203994167234816,0.642458950062418
"EGFEM1P",-26.8757820935279,28.3818486280838,-4.78829096623967,0.000258063970699606,0.203994167234816,0.502450107598524
"WWTR1",-19.2032090770637,29.6166652657512,-4.78694311820949,0.000258735994968867,0.203994167234816,0.500341119810449
"ANGPTL7",-23.1309858401132,20.0636858759454,-4.7664342520703,0.000269187104429623,0.203994167234816,0.468215427340097
"NTNG1",-18.4890883491289,22.0598275893713,-4.76523500481021,0.000269811536496478,0.203994167234816,0.466334844690707
"LOC100131347",-23.971439974171,16.4803649822425,-4.75959441408098,0.000272768607543656,0.203994167234816,0.457486607783651
"ZNF141",-23.2984686091885,29.2586146153242,-4.74830149555874,0.000278789719943081,0.203994167234816,0.439756760580737
"WDFY2",13.8455701086526,71.4743880909219,4.70684859548932,0.000302091075903294,0.203994167234816,0.374505820520127
"SYCE2",-22.5696578771791,29.0271143729985,-4.7065305810314,0.000302277392766654,0.203994167234816,0.374004207513926
"FAM160A1",-26.9793942923734,30.0892596745846,-4.69904093103518,0.000306699782543146,0.203994167234816,0.362186079072049
"PIAS1",10.3749822690944,87.1545939500751,4.67807222830233,0.000319438983960232,0.203994167234816,0.329053244016611
"TEX41",-26.7204232925018,24.1305997445512,-4.64439436562132,0.000341051060401739,0.203994167234816,0.275698531558866
"RARS",9.66631826967271,77.6434519530324,4.62483080393403,0.00035429113385119,0.203994167234816,0.244626095403538
"TMEM106A",11.6764668458257,67.1814547188483,4.60058972785604,0.000371433556475534,0.203994167234816,0.206045158412953
"SLC10A5",-14.8211258768543,13.7611012556859,-4.58897382973494,0.000379947996271122,0.203994167234816,0.187526971932272
"MSRB1",13.5691418143489,84.0134513235832,4.57075384322928,0.000393709589811964,0.203994167234816,0.158440467716373
"LRMP",8.73409346093626,85.3554407683633,4.55732763798058,0.000404177564866954,0.203994167234816,0.136975699433141
"DHX57",8.09220516893019,67.6468440589921,4.55222622695261,0.000408229584256845,0.203994167234816,0.128813081981434
"SNX3",9.6985113094641,96.5915793522207,4.54804732212671,0.000411579955723677,0.203994167234816,0.122123725688982
"LRRK1",9.4888221566365,56.5617209829564,4.53813880920604,0.000419637339999129,0.203994167234816,0.106252634565246
"GSAP",10.0031108883654,90.7283533796604,4.53802915554744,0.000419727408989495,0.203994167234816,0.106076916051737
"RNF181",7.65795456185517,80.7605403279353,4.51574566143979,0.000438449407631525,0.203994167234816,0.0703320563228207
"FIG4",9.80393540519107,77.1218646110827,4.48112266590379,0.000469256941938438,0.203994167234816,0.0146530755769003
"SKAP2",10.4255094420303,94.1079707035918,4.47039700729855,0.000479244819136967,0.203994167234816,-0.0026296880628065
"B3GALNT2",9.24348943748363,72.5730093431887,4.46800405978025,0.000481502777602107,0.203994167234816,-0.00648775459946638
"FGF9",-14.7796725794176,52.3657434550613,-4.46467836568643,0.000484659008798011,0.203994167234816,-0.0118509833012332
"SYDE2",-25.2628978570298,25.879357350747,-4.46331235274064,0.00048596155943683,0.203994167234816,-0.0140543505423798
"MIR1291",15.4258802535602,5.59432511566824,4.44809045863077,0.000500721650869828,0.203994167234816,-0.0386246771993317
