"","TB_status_limma_logFC","TB_status_limma_AveExpr","TB_status_limma_t","TB_status_limma_P.Value","TB_status_limma_padj","TB_status_limma_B"
"GEM",-76.2678562017968,39.3358572912122,-16.11240044908,1.78151619082637e-25,2.71164579405682e-21,16.4491998907752
"EFNB2",-57.8040400337469,32.9666657148726,-15.58603040432,1.13602963204106e-24,8.64575351464845e-21,16.024054359106
"SPINK1",-65.2488813866316,22.0818039227193,-15.268082067147,3.53790558588287e-24,1.79501536409077e-20,15.7549316293231
"CDH23",47.2081966116683,69.2685885521499,15.1259146024659,5.9040118371355e-24,2.24662410432599e-20,15.6314810321239
"PLBD1",62.1910104719628,85.0919260586571,14.3720555609165,9.31433068866204e-23,2.37630174198646e-19,14.9432300169118
"WAS",61.9437827481208,89.7910431338441,14.3522753459658,1.0023287426225e-22,2.37630174198646e-19,14.9243836865433
"CLEC12B",50.0479639387392,49.7761308271581,14.3289810537308,1.09283964219862e-22,2.37630174198646e-19,14.9021360866568
"ASGR1",63.1452958307507,60.1766449877628,14.2871508683626,1.27660016154898e-22,2.42889138236712e-19,14.8620408790525
"C1RL",38.1251855800971,61.2789907114624,14.0879966654548,2.68378866561572e-22,4.53888303103744e-19,14.668576256717
"SPI1",73.4536749028331,90.8927439022768,13.9783032150381,4.04973460445186e-22,6.16410104143618e-19,14.5601801674744
"KHDRBS3",-58.2570512758359,31.1637457587968,-13.8712564267919,6.05949771569888e-22,8.38469224824115e-19,14.4531240951364
"LILRA5",76.4174755314431,78.0386671687627,13.7402585583037,9.94184833681629e-22,1.26104061278901e-18,14.3203809417185
"MARVELD1",42.0972203748074,53.8521284884775,13.7148023607625,1.09487133290841e-21,1.28192588909222e-18,14.2943622209776
"ODF3B",43.9937684701887,73.1490049364229,13.6650764822472,1.32222521521908e-21,1.43754214291783e-18,14.2433264402612
"SLC24A4",42.4736805642738,65.6647784442269,13.6382905788718,1.46386821242706e-21,1.48543587075682e-18,14.2157188396956
"MARC1",49.4858035602702,53.1854101751192,13.5707312463909,1.89299781514298e-21,1.8008324840182e-18,14.145724310427
"NFAM1",51.902685608842,71.1437023419213,13.3874075017625,3.81395277802237e-21,3.4148338373105e-18,13.9531522720367
"PPP1R9B",43.2247293141918,80.5403656610216,13.3484526334036,4.42851893543248e-21,3.59246632686402e-18,13.9117306194901
"GGT7",43.2149481314938,65.2592073374796,13.3451860393306,4.4843873733931e-21,3.59246632686402e-18,13.9082491258978
"CORO1B",43.5286379857825,73.0460372976508,13.2831945838956,5.6903434524814e-21,4.33063588451097e-18,13.8419427062311
"JDP2",46.8563118151204,65.7451215971609,13.2282800766598,7.02977082342918e-21,5.09524484301979e-18,13.7828287864225
"PRAM1",60.3910128217272,73.1308049627956,13.2087259600228,7.58001889354092e-21,5.24433943539029e-18,13.7616934563022
"MTA2",33.5626964453822,82.8304985614706,13.1217210987377,1.06059408495378e-20,7.01882720307893e-18,13.6671036953878
"CEACAM4",51.5394283758527,41.1608407764146,13.0912230199578,1.19338915948805e-20,7.56857349856986e-18,13.6337336403579
"BTK",42.7875642570221,75.8466642979004,13.0512410209759,1.3932314942637e-20,8.48255062967514e-18,13.5898181355606
"CREB5",46.2083373762647,69.4299446832711,12.9994506459174,1.70314853775874e-20,9.61726409854169e-18,13.5326474151768
"SCIMP",39.7182994484017,62.9644720495084,12.9911969234046,1.75860169061242e-20,9.61726409854169e-18,13.5235064242429
"SLC22A18",33.346860559393,60.5782329039473,12.9896556154334,1.76915705117382e-20,9.61726409854169e-18,13.5217985170848
"CARD9",48.2371493764409,54.5490280962539,12.9009701773848,2.49758905963638e-20,1.31088976126639e-17,13.4230435261657
"RAB37",40.1088214531141,80.5385755936908,12.8765602664076,2.74671835233017e-20,1.39359333469392e-17,13.3956946741591
"RASSF4",49.2900912330538,76.5024558068899,12.8282016622365,3.31676648978644e-20,1.62853234648514e-17,13.3412993878468
"GZMM",57.4890548749557,74.4816383203663,12.7872929299001,3.89131654494821e-20,1.85092903533302e-17,13.29506082881
"FGD4",39.1968138405529,65.6860441070453,12.7661892494018,4.22594391248635e-20,1.91102566578628e-17,13.2711274346275
"LILRA2",49.2449155352499,72.4180636411332,12.7636110824806,4.26876503756215e-20,1.91102566578628e-17,13.2681998224704
"BST1",61.2272490656248,72.2689721467699,12.726888050325,4.92842213684754e-20,2.14330038128447e-17,13.2264105900262
"ALDH4A1",41.0046524058202,55.1079568539402,12.6493598163444,6.67871343438317e-20,2.82379714402073e-17,13.1376403628673
"MS4A6A",61.4985572824703,87.2752022266946,12.5703402196084,9.11057549429186e-20,3.74789377293558e-17,13.0463954459342
"NCF1",55.7812889660119,66.4927121372903,12.5607949029257,9.45927935101017e-20,3.78893923688752e-17,13.0353206982663
"LTBR",47.50632945027,59.8522760759488,12.5116480542094,1.14794924695547e-19,4.48023986869467e-17,12.978118831708
"CD1D",49.1588722811602,63.9291946915822,12.4863827494588,1.26820103055384e-19,4.82582197151501e-17,12.94859485571
"PADI4",44.0381734226228,63.1790066793246,12.413721247775,1.68967884293019e-19,6.27282967518058e-17,12.8632382860705
"LRP1",56.9276248520988,74.7299862971012,12.3369648301966,2.28951698505575e-19,8.29731857846039e-17,12.7723470959939
"ZNF428",30.5323532069594,60.2750622422583,12.3066426491663,2.58196699943801e-19,8.96637929900369e-17,12.7362351015424
"ZNF385A",59.648332705541,70.1534433274582,12.305669726515,2.59194986634362e-19,8.96637929900369e-17,12.7350744695216
"ARRB1",43.3028339816,82.9675411626875,12.2721465983213,2.96075184092462e-19,1.00145786157141e-16,12.695009945546
"ASGR2",53.0473791826673,62.1886674234649,12.2299016199769,3.5018067249549e-19,1.14975930840881e-16,12.6443174090226
"INO80B",37.1655318301757,37.5416170958756,12.2264442854712,3.55027182808054e-19,1.14975930840881e-16,12.6401586229775
"P2RY13",50.7129614849512,60.7956639375337,12.2166454647943,3.69133627499273e-19,1.15693013074831e-16,12.6283634238654
"MNDA",50.1394277036999,85.5361261821015,12.2144012004505,3.72443179861161e-19,1.15693013074831e-16,12.6256601898052
"DYSF",54.3830251545935,65.6911336959782,12.182393473688,4.23032591681765e-19,1.28779581559763e-16,12.5870363474866
"HRH2",45.8325074347882,60.1240366358618,12.1662320027379,4.51152301095811e-19,1.34646846568222e-16,12.5674842748959
"CD33",54.0534531349266,72.6616523925084,12.1356054928897,5.09712141482548e-19,1.49198625105882e-16,12.5303403260968
"MIIP",31.5799139463522,70.7348708245003,12.1073341509193,5.705500268949e-19,1.63855508667307e-16,12.4959454821227
"CD36",57.3074861877391,87.9318801702436,12.0999842387862,5.87531579868382e-19,1.6560774402179e-16,12.4869867084037
"GPBAR1",48.6429410859877,56.264389920238,12.0914606968983,6.0786351680794e-19,1.68223465260612e-16,12.4765886663553
"SULF2",51.6524863333808,80.0013560659959,12.085580291981,6.22302359020256e-19,1.69144003690131e-16,12.4694095688398
"SLC46A2",55.0017061069121,51.4416530440679,12.0475288236085,7.2446481355456e-19,1.90602969366257e-16,12.4228462773992
"NCF1B",47.5576168419158,66.2006295391499,12.0468967740458,7.26297367008928e-19,1.90602969366257e-16,12.4220712602
"PYGL",46.3855227016718,72.1071765263592,12.0141754201297,8.2783377997594e-19,2.13567084152776e-16,12.381877667744
"SLC7A11",-67.3691118928214,57.9763881981283,-11.9227424717981,1.19406204162979e-18,3.00981112003125e-16,12.2688270046498
"PPM1M",31.984805277401,85.1145330165029,11.9202176043386,1.2062182400756e-18,3.00981112003125e-16,12.2656897094544
"CACNA2D3",43.4131336351624,48.9059906674517,11.9001776714576,1.30723068294696e-18,3.20925132663478e-16,12.2407593693101
"DGKZ",45.6010539208116,73.9603667233632,11.8851332034794,1.38862686585073e-18,3.35496659128793e-16,12.2220090292398
"ROGDI",34.442901101085,68.4000080040157,11.8638151849486,1.51278656633964e-18,3.59783192597744e-16,12.1953890266208
"FAM198B",52.0843529905337,72.5710040337965,11.8245788739877,1.77129156732877e-18,4.11001531141605e-16,12.1462384636923
"ANKRD37",-50.8349859809275,41.7102823213091,-11.8230597655242,1.78214973098653e-18,4.11001531141605e-16,12.1443314404403
"ZDHHC8",26.2219878045702,71.4099975117838,11.8160910159529,1.83282595000285e-18,4.16379757984975e-16,12.1355792847528
"FAM222A",-55.4037532015503,32.7688734895183,-11.8073584831989,1.89838228739979e-18,4.2493054112518e-16,12.1246029519658
"CTNNAL1",-50.4206911210625,50.955110012994,-11.7445661148971,2.44479154479314e-18,5.39306842076759e-16,12.0453804808753
"ACPP",39.027767378444,52.8611346351625,11.736485251408,2.52577042545563e-18,5.47371495981462e-16,12.0351474211966
"RAP1GAP2",34.2458615445547,78.4555549297186,11.7337999633157,2.55327351781642e-18,5.47371495981462e-16,12.0317450440837
"LRRC25",64.1464222950817,74.0942447771559,11.6861039422091,3.09527663606655e-18,6.54350078855123e-16,11.9711531983469
"FES",50.3826772726258,74.8184477248788,11.6753005543841,3.23333959638424e-18,6.67047786337544e-16,11.9573869999725
"SULT1A1",44.0358894708576,68.593052394364,11.6745629453144,3.24298904073177e-18,6.67047786337544e-16,11.9564465386576
"FCRL4",-50.0932762821914,21.1480990998123,-11.6510060808062,3.56689917180732e-18,7.23890297254389e-16,11.926373267937
"SPIDR",27.2777623940227,77.256412427534,11.6325705788036,3.84296542277252e-18,7.63098959220846e-16,11.9027866690501
