Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Osteoclast differentiation	19/127	3.8646762150385655E-10	1.1903202742318782E-7	0	0	5.996244457418775	129.96244062145792	LILRA6;CSF1R;SPI1;NCF1;IL1R1;NCF4;LILRB1;LILRA1;LILRB2;LILRA2;LILRB3;SIRPB1;OSCAR;LILRA5;FCGR2A;BTK;MAP2K7;MAP2K6;MAPK3
Hematopoietic cell lineage	13/97	8.576551425182706E-7	1.3207889194781367E-4	0	0	5.37156787802409	75.03577412584775	CSF1R;IL11;CSF3R;ITGAM;CR1;IL1R1;ITGA2;CD1D;CD1C;CD4;CD14;CD36;CD33
Phagosome	14/152	2.832002081258297E-5	0.002907522136758518	0	0	3.6915937137432757	38.658153612287755	ITGAM;NCF1;ITGA2;NCF4;ITGB2;CYBB;TCIRG1;CORO1A;MARCO;FCGR2A;CLEC7A;CD14;CD36;ATP6V0A1
Legionellosis	7/55	4.156001892448501E-4	0.03200121457185346	0	0	5.101111313536163	39.71616535157713	PYCARD;ITGAM;CR1;ITGB2;CD14;HSPA2;HSPA1B
Leishmaniasis	8/74	5.052485663868721E-4	0.031123311689431322	0	0	4.332990304934193	32.88938975948774	ITGAM;CR1;FCGR2A;NCF1;ITGB2;NCF4;CYBB;MAPK3
Tuberculosis	13/179	5.76187113783391E-4	0.029577605174214077	0	0	2.9108496322253448	21.71225474325896	ITGAM;CR1;ITGB2;CARD9;TCIRG1;CORO1A;FCGR2A;CLEC7A;BAX;CD14;CTSD;ATP6V0A1;MAPK3
MAPK signaling pathway	17/295	0.0012608510648012008	0.05547744685125283	0	0	2.3097041540708534	15.41951180220749	CSF1R;IL1R1;CACNA2D3;RRAS2;ARRB1;HSPA2;RASGRP2;DUSP10;RRAS;FGF18;CD14;PRKACA;MAP2K7;MET;HSPA1B;MAP2K6;MAPK3
Malaria	6/49	0.0013182871167178199	0.05075405399363606	0	0	4.907774733139749	32.54552545366494	CR1;LRP1;ITGB2;CD36;ITGAL;MET
Fc gamma R-mediated phagocytosis	8/91	0.0019729485460894943	0.06751868357728491	0	0	3.523530577638794	21.945345218097813	HCK;GSN;FCGR2A;NCF1;ARPC1B;INPPL1;WAS;MAPK3
Hippo signaling pathway	11/160	0.0023085379197427653	0.07110296792807716	0	0	2.7555110220440886	16.729095638812705	YAP1;PPP2CB;RASSF1;FRMD6;FZD2;RASSF4;FZD7;ITGB2;TP53BP2;NKD1;LLGL2
Regulation of actin cytoskeleton	13/214	0.0028920484319082534	0.0809773560934311	0	0	2.434776094244564	14.23319029902887	GSN;ITGAM;ARPC1B;ITGA2;ITGB2;WAS;RRAS2;ITGAL;DIAPH2;RRAS;FGF18;NCKAP1L;MAPK3
