Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Immune System_Homo sapiens_R-HSA-168256	73/1547	9.176774281987E-8	1.404046465144011E-4	0	0	1.8913068541737643	30.64674569598555	FCN1;GSK3A;CSF3R;ITGAM;NCF1;ARPC1B;NCF4;ITGB2;INPPL1;ARRB1;TCIRG1;ITGAL;SIRPB1;PYCARD;DUSP10;CD36;PRKACA;CTSD;CD33;ZBP1;IL11;CR1;IL1R1;CYBB;SPTB;DDOST;OSCAR;SIGIRR;CLEC4A;HCK;BTK;TLR8;LILRA6;CSF1R;PTAFR;WAS;CD1D;LILRA1;MEFV;CD1C;LILRA2;RASGRP2;SAMHD1;LILRA5;PPP2CB;CLEC7A;ADRBK1;CD300LB;S100A12;NCKAP1L;CD14;IL12RB1;CD300LF;MAP2K7;MAP2K6;ATP6V0A1;MAPK3;RAP1GAP2;TNFSF12;CARD9;SIGLEC10;MIB2;LILRB1;LILRB2;LILRB3;P2RX7;BST2;GZMM;CD4;FCGR2A;FGF18;LTBR;SIGLEC7
Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell_Homo sapiens_R-HSA-198933	17/157	4.2144500605678884E-7	3.2240542963344346E-4	0	0	4.339889971024852	63.70774700486091	LILRA6;SIGLEC10;ITGB2;LILRB1;CD1D;LILRA1;LILRB2;CD1C;ITGAL;LILRA2;LILRB3;OSCAR;LILRA5;CD300LB;CD300LF;SIGLEC7;CD33
Cross-presentation of particulate exogenous antigens (phagosomes)_Homo sapiens_R-HSA-1236973	4/8	2.4748366871791384E-5	0.012621667104613606	0	0	20.04008016032064	212.56014140490592	NCF1;NCF4;CYBB;CD36
Innate Immune System_Homo sapiens_R-HSA-168249	39/807	6.757326175109611E-5	0.02584677261979426	0	0	1.9369594207001364	18.599261938304686	FCN1;GSK3A;ITGAM;ARPC1B;ITGB2;WAS;ARRB1;MEFV;RASGRP2;SIRPB1;PYCARD;PPP2CB;DUSP10;CLEC7A;ADRBK1;CD300LB;S100A12;NCKAP1L;CD14;CD36;PRKACA;MAP2K7;MAP2K6;MAPK3;ZBP1;CR1;CARD9;SPTB;DDOST;SIGIRR;CLEC4A;P2RX7;HCK;GZMM;CD4;FCGR2A;FGF18;BTK;TLR8
Toll-Like Receptors Cascades_Homo sapiens_R-HSA-168898	12/140	2.0674504410133748E-4	0.06326398349500927	0	0	3.4354423131978242	29.14637570513737	SIGIRR;PPP2CB;ITGAM;ITGB2;BTK;S100A12;TLR8;CD14;CD36;MAP2K7;MAP2K6;MAPK3
Toll Like Receptor 4 (TLR4) Cascade_Homo sapiens_R-HSA-166016	11/122	2.4265695412558984E-4	0.061877523302025415	0	0	3.6137849469430665	30.08064655799752	SIGIRR;PPP2CB;ITGAM;ITGB2;BTK;S100A12;CD14;CD36;MAP2K7;MAP2K6;MAPK3
MyD88:Mal cascade initiated on plasma membrane_Homo sapiens_R-HSA-166058	9/92	4.8370686260850885E-4	0.1057244999701455	0	0	3.9208852487583865	29.932161459653468	SIGIRR;PPP2CB;BTK;S100A12;CD36;CD14;MAP2K7;MAPK3;MAP2K6
Toll Like Receptor TLR1:TLR2 Cascade_Homo sapiens_R-HSA-168179	9/92	4.8370686260850885E-4	0.09250893747387731	0	0	3.9208852487583865	29.932161459653468	SIGIRR;PPP2CB;BTK;S100A12;CD36;CD14;MAP2K7;MAPK3;MAP2K6
Toll Like Receptor TLR6:TLR2 Cascade_Homo sapiens_R-HSA-168188	9/92	4.8370686260850885E-4	0.0822301666434465	0	0	3.9208852487583865	29.932161459653468	SIGIRR;PPP2CB;BTK;S100A12;CD36;CD14;MAP2K7;MAPK3;MAP2K6
Toll Like Receptor 2 (TLR2) Cascade_Homo sapiens_R-HSA-181438	9/92	4.8370686260850885E-4	0.07400714997910185	0	0	3.9208852487583865	29.932161459653468	SIGIRR;PPP2CB;BTK;S100A12;CD36;CD14;MAP2K7;MAPK3;MAP2K6
Pyrimidine salvage reactions_Homo sapiens_R-HSA-73614	3/9	0.0011591820711445307	0.16123168807737565	0	0	13.36005344021376	90.31450412363262	CDA;TK2;TYMP
ROS, RNS production in response to bacteria_Homo sapiens_R-HSA-1222556	5/34	0.0014501861279308413	0.18489873131118226	0	0	5.894141223623718	38.52448052986787	NCF1;NCF4;CYBB;TCIRG1;ATP6V0A1
Adaptive Immune System_Homo sapiens_R-HSA-1280218	33/762	0.0015941200468601	0.18761566705353486	0	0	1.735754974515961	11.180750049260379	LILRA6;GSK3A;NCF1;NCF4;ITGB2;WAS;CD1D;LILRA1;ITGAL;CD1C;LILRA2;RASGRP2;LILRA5;PPP2CB;CD300LB;CD36;PRKACA;CD300LF;CTSD;CD33;MAPK3;RAP1GAP2;SIGLEC10;MIB2;CYBB;LILRB1;LILRB2;LILRB3;OSCAR;CD4;FGF18;BTK;SIGLEC7
RHO GTPases Activate WASPs and WAVEs_Homo sapiens_R-HSA-5663213	5/36	0.0018860963261907366	0.2061233842194162	0	0	5.566688933422401	34.921209205871804	ARPC1B;WAS;BTK;NCKAP1L;MAPK3
Activated TLR4 signalling_Homo sapiens_R-HSA-166054	9/112	0.0019767003300475592	0.20162343366485105	0	0	3.2207271686229606	20.053298353731368	SIGIRR;PPP2CB;BTK;S100A12;CD14;CD36;MAP2K7;MAP2K6;MAPK3
MyD88 deficiency (TLR2/4)_Homo sapiens_R-HSA-5602498	3/11	0.002193714906129018	0.20977398789858734	0	0	10.93095281472035	66.92102971125014	BTK;CD14;CD36
IRAK4 deficiency (TLR2/4)_Homo sapiens_R-HSA-5603041	3/11	0.002193714906129018	0.1974343415516116	0	0	10.93095281472035	66.92102971125014	BTK;CD14;CD36
Pyrimidine metabolism_Homo sapiens_R-HSA-73848	4/24	0.0027363478933822827	0.23258957093749405	0	0	6.68002672010688	39.41971364923999	CDA;DPYD;TK2;TYMP
The NLRP3 inflammasome_Homo sapiens_R-HSA-844456	3/12	0.0028710863091617263	0.23119800279039165	0	0	10.02004008016032	58.64794404700532	PYCARD;P2RX7;MEFV
Basigin interactions_Homo sapiens_R-HSA-210991	4/25	0.003194127082163443	0.24435072178550338	0	0	6.412825651302605	36.850927084265614	SPN;SLC16A1;SLC7A11;SLC16A3
Glucose metabolism_Homo sapiens_R-HSA-70326	7/79	0.0035599018407233038	0.25936427696698355	0	0	3.551406610689734	20.02290969346393	HK3;PPP2CB;PFKFB4;GAA;PYGL;PRKACA;FBP1
Advanced glycosylation endproduct receptor signaling_Homo sapiens_R-HSA-879415	3/13	0.003663762206263562	0.2547980079810568	0	0	9.249267766301834	51.8815914997403	S100A12;DDOST;MAPK3
RHO GTPases Activate NADPH Oxidases_Homo sapiens_R-HSA-5668599	3/13	0.003663762206263562	0.24371983372101083	0	0	9.249267766301834	51.8815914997403	NCF1;NCF4;CYBB
Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways_Homo sapiens_R-HSA-168643	5/47	0.006135528234378204	0.3911399249416105	0	0	4.263846842621413	21.718582282661785	PYCARD;P2RX7;CARD9;MEFV;MAP2K6
Rap1 signalling_Homo sapiens_R-HSA-392517	3/16	0.006786174399265903	0.41531387323507324	0	0	7.515030060120241	37.52155245306602	RAP1GAP2;RASGRP2;PRKACA
Inflammasomes_Homo sapiens_R-HSA-622312	3/17	0.008089572477683991	0.47604022657140405	0	0	7.072969468348462	34.071762784976976	PYCARD;P2RX7;MEFV
Proton-coupled monocarboxylate transport_Homo sapiens_R-HSA-433692	2/6	0.008718577527855507	0.49405272657847876	0	0	13.36005344021376	63.357370499766176	SLC16A1;SLC16A3
Synthesis of Lipoxins (LX)_Homo sapiens_R-HSA-2142700	2/6	0.008718577527855507	0.4764079863435331	0	0	13.36005344021376	63.357370499766176	ALOX5;PTGR1
Hemostasis_Homo sapiens_R-HSA-109582	23/552	0.011919558087126626	0.6288594439070254	0	0	1.67000668002672	7.397419324081153	NFE2;SERPINA1;SERPINB2;SLC16A1;ITGAM;ITGA2;ITGB2;F13A1;ARRB1;SLC7A11;ITGAL;RASGRP2;DGKZ;SLC8A1;SPN;P2RX7;PPP2CB;GNG4;P2RX1;CD36;PRKACA;SLC16A3;MAPK3
Phase 3 - rapid repolarisation_Homo sapiens_R-HSA-5576890	2/7	0.012005473356053691	0.6122791411587383	0	0	11.45147437732608	50.64291577643951	KCNE3;KCNQ1
Cell surface interactions at the vascular wall_Homo sapiens_R-HSA-202733	7/101	0.013278988006625657	0.6553823112947502	0	0	2.777832893509792	12.004605803728378	SPN;ITGAM;SLC16A1;ITGB2;SLC7A11;ITGAL;SLC16A3
Synthesis of Leukotrienes (LT) and Eoxins (EX)_Homo sapiens_R-HSA-2142691	3/21	0.014699202274004773	0.7028056087258532	0	0	5.72573718866304	24.16239366587153	ALOX5;DPEP2;PTGR1
Sema4D mediated inhibition of cell attachment and migration_Homo sapiens_R-HSA-416550	2/8	0.015744862472324966	0.7299890782623394	0	0	10.02004008016032	41.5956027971552	RRAS;MET
Linoleic acid (LA) metabolism_Homo sapiens_R-HSA-2046105	2/8	0.015744862472324966	0.7085188112546235	0	0	10.02004008016032	41.5956027971552	ABCD1;FADS1
TRAF6 mediated induction of NFkB and MAP kinases upon TLR7/8 or 9 activation_Homo sapiens_R-HSA-975138	6/83	0.017566860659900253	0.7679227659899254	0	0	2.8973609870343093	11.710382892742093	PPP2CB;TLR8;S100A12;MAP2K7;MAPK3;MAP2K6
MyD88 dependent cascade initiated on endosome_Homo sapiens_R-HSA-975155	6/85	0.019535417963587796	0.8302552634524814	0	0	2.8291877873393845	11.134342534696456	PPP2CB;TLR8;S100A12;MAP2K7;MAPK3;MAP2K6
Toll Like Receptor 7/8 (TLR7/8) Cascade_Homo sapiens_R-HSA-168181	6/85	0.019535417963587796	0.8078159320078196	0	0	2.8291877873393845	11.134342534696456	PPP2CB;TLR8;S100A12;MAP2K7;MAPK3;MAP2K6
Diseases associated with the TLR signaling cascade_Homo sapiens_R-HSA-5602358	3/24	0.02117313795562006	0.8524973966341761	0	0	5.01002004008016	19.313737366186253	BTK;CD14;CD36
Diseases of Immune System_Homo sapiens_R-HSA-5260271	3/24	0.02117313795562006	0.8306384890281715	0	0	5.01002004008016	19.313737366186253	BTK;CD14;CD36
Toll Like Receptor 9 (TLR9) Cascade_Homo sapiens_R-HSA-168138	6/88	0.0227616039283372	0.870631350258898	0	0	2.7327382036800874	10.33707469713681	PPP2CB;TLR8;S100A12;MAP2K7;MAPK3;MAP2K6
Urea cycle_Homo sapiens_R-HSA-70635	2/10	0.02448392631737818	0.9136684698924052	0	0	8.016032064128257	29.737382327993018	ARG2;NMRAL1
Integrin cell surface interactions_Homo sapiens_R-HSA-216083	5/67	0.025830954341726303	0.9409847653057439	0	0	2.991056740346364	10.935846994075257	ITGAM;ITGA2;ITGB2;SPP1;ITGAL
Phase 2 - plateau phase_Homo sapiens_R-HSA-5576893	3/26	0.026223533838336602	0.933069924945465	0	0	4.624633883150917	16.838745336604294	KCNE3;KCNQ1;CACNA2D3
Platelet calcium homeostasis_Homo sapiens_R-HSA-418360	3/27	0.028968891579981497	1.0	0	0	4.45335114673792	15.77168883942596	P2RX7;P2RX1;SLC8A1
Uptake and function of anthrax toxins_Homo sapiens_R-HSA-5210891	2/11	0.029437318160463032	1.0	0	0	7.2873018764802335	25.691325081900818	MAP2K7;MAP2K6
Sodium/Calcium exchangers_Homo sapiens_R-HSA-425561	2/11	0.029437318160463032	0.9791107996849661	0	0	7.2873018764802335	25.691325081900818	SLC24A4;SLC8A1
Fcgamma receptor (FCGR) dependent phagocytosis_Homo sapiens_R-HSA-2029480	7/120	0.030880706510333856	1.0	0	0	2.338009352037408	8.130716674704882	HCK;FCGR2A;ARPC1B;BTK;WAS;NCKAP1L;MAPK3
Signaling by NOTCH1_Homo sapiens_R-HSA-1980143	5/72	0.033872830469891285	1.0	0	0	2.7833444667112004	9.42201638555587	KAT2A;HEY1;MIB2;ARRB1;DTX2
TRAF6 Mediated Induction of proinflammatory cytokines_Homo sapiens_R-HSA-168180	5/72	0.033872830469891285	1.0	0	0	2.7833444667112004	9.42201638555587	PPP2CB;S100A12;MAP2K7;MAPK3;MAP2K6
MyD88-independent TLR3/TLR4 cascade_Homo sapiens_R-HSA-166166	6/97	0.03452990902606896	1.0	0	0	2.479185174472657	8.344762272301118	PPP2CB;S100A12;CD14;MAP2K7;MAP2K6;MAPK3
Toll Like Receptor 3 (TLR3) Cascade_Homo sapiens_R-HSA-168164	6/97	0.03452990902606896	1.0	0	0	2.479185174472657	8.344762272301118	PPP2CB;S100A12;CD14;MAP2K7;MAP2K6;MAPK3
TRIF-mediated TLR3/TLR4 signaling_Homo sapiens_R-HSA-937061	6/97	0.03452990902606896	1.0	0	0	2.479185174472657	8.344762272301118	PPP2CB;S100A12;CD14;MAP2K7;MAP2K6;MAPK3
Regulation of actin dynamics for phagocytic cup formation_Homo sapiens_R-HSA-2029482	6/97	0.03452990902606896	0.9968068077336888	0	0	2.479185174472657	8.344762272301118	FCGR2A;ARPC1B;BTK;WAS;NCKAP1L;MAPK3
Ethanol oxidation_Homo sapiens_R-HSA-71384	2/12	0.0347505757360525	0.9845996458548208	0	0	6.68002672010688	22.44194481739897	ALDH2;ALDH1A1
TP53 Regulates Transcription of Death Receptors and Ligands_Homo sapiens_R-HSA-6803211	2/12	0.0347505757360525	0.9666978341120059	0	0	6.68002672010688	22.44194481739897	TNFRSF10C;TP53BP2
ERKs are inactivated_Homo sapiens_R-HSA-202670	2/12	0.0347505757360525	0.9494353727885773	0	0	6.68002672010688	22.44194481739897	PPP2CB;MAPK3
Pyrimidine catabolism_Homo sapiens_R-HSA-73621	2/12	0.0347505757360525	0.9327786118624619	0	0	6.68002672010688	22.44194481739897	DPYD;TYMP
Negative regulation of FGFR3 signaling_Homo sapiens_R-HSA-5654732	3/29	0.034896686429043866	0.9205505213178813	0	0	4.14622348144565	13.912086513749546	PPP2CB;FGF18;MAPK3
Signaling by Interleukins_Homo sapiens_R-HSA-449147	16/392	0.0379536504987207	0.9842217841193673	0	0	1.6359249110465828	5.351747719834815	CSF1R;IL11;CSF3R;IL1R1;INPPL1;ARRB1;SPTB;HCK;PPP2CB;CD4;DUSP10;FGF18;PRKACA;IL12RB1;MAP2K6;MAPK3
Activated NOTCH1 Transmits Signal to the Nucleus_Homo sapiens_R-HSA-2122948	3/30	0.03807704815856621	0.9709647280434385	0	0	4.008016032064129	13.098771899430595	MIB2;DTX2;ARRB1
Ion homeostasis_Homo sapiens_R-HSA-5578775	4/51	0.038088521547117615	0.9553350486408189	0	0	3.1435419859326497	10.272599517372385	FXYD7;FXYD6;PRKACA;SLC8A1
Activation of DNA fragmentation factor_Homo sapiens_R-HSA-211227	2/13	0.040402734490517254	0.9970352221047	0	0	6.16617851086789	19.78639007798208	DFFB;H1F0
Apoptosis induced DNA fragmentation_Homo sapiens_R-HSA-140342	2/13	0.040402734490517254	0.9812092661982762	0	0	6.16617851086789	19.78639007798208	DFFB;H1F0
alpha-linolenic (omega3) and linoleic (omega6) acid metabolism_Homo sapiens_R-HSA-2046104	2/13	0.040402734490517254	0.9658778714139281	0	0	6.16617851086789	19.78639007798208	ABCD1;FADS1
alpha-linolenic acid (ALA) metabolism_Homo sapiens_R-HSA-2046106	2/13	0.040402734490517254	0.9510182118537138	0	0	6.16617851086789	19.78639007798208	ABCD1;FADS1
Negative regulation of FGFR4 signaling_Homo sapiens_R-HSA-5654733	3/31	0.04139994548577581	0.9597260089884392	0	0	3.878725192320124	12.351706179793531	PPP2CB;FGF18;MAPK3
Arachidonic acid metabolism_Homo sapiens_R-HSA-2142753	4/53	0.042954159057175124	0.9808934829474318	0	0	3.0249177600483987	9.521297085889532	ALOX5;TBXAS1;DPEP2;PTGR1
Oncogene Induced Senescence_Homo sapiens_R-HSA-2559585	3/32	0.04486378082167966	1.0	0	0	3.7575150300601203	11.663794362384895	CDKN2D;ERF;MAPK3
Glycolysis_Homo sapiens_R-HSA-70171	3/32	0.04486378082167966	0.9948055747415926	0	0	3.7575150300601203	11.663794362384895	HK3;PPP2CB;PFKFB4
Thrombin signalling through proteinase activated receptors (PARs)_Homo sapiens_R-HSA-456926	3/32	0.04486378082167966	0.9805940665309983	0	0	3.7575150300601203	11.663794362384895	GNG4;ARRB1;MAPK3
Golgi Associated Vesicle Biogenesis_Homo sapiens_R-HSA-432722	4/54	0.045512072077792426	0.9807531025214425	0	0	2.9689007644919467	9.173243280117035	GAK;BLOC1S1;SORT1;ARRB1
SUMOylation of transcription factors_Homo sapiens_R-HSA-3232118	2/14	0.046373648320711176	0.9854400268151124	0	0	5.72573718866304	17.583875781291272	MTA1;TP53BP1
Regulation of TP53 Activity through Association with Co-factors_Homo sapiens_R-HSA-6804759	2/14	0.046373648320711176	0.9719408483655904	0	0	5.72573718866304	17.583875781291272	TP53BP2;ZNF385A
Bile salt and organic anion SLC transporters_Homo sapiens_R-HSA-425471	2/14	0.046373648320711176	0.9588065125768661	0	0	5.72573718866304	17.583875781291272	SLC16A1;SLC16A3
SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion_Homo sapiens_R-HSA-399955	2/14	0.046373648320711176	0.9460224257425079	0	0	5.72573718866304	17.583875781291272	RRAS;FES
Synthesis of Prostaglandins (PG) and Thromboxanes (TX)_Homo sapiens_R-HSA-2162123	2/14	0.046373648320711176	0.933574762245896	0	0	5.72573718866304	17.583875781291272	TBXAS1;PTGR1
G alpha (q) signalling events_Homo sapiens_R-HSA-416476	9/191	0.05070905755534205	1.0	0	0	1.8885939418103224	5.631127513457992	HRH1;NMB;GNG4;ADRBK1;PTAFR;NMUR1;RASGRP2;DGKZ;LTB4R
